,Contract,LastClose,ATR20,PC2016-07-14 00:00:00,ACT,usdATR,QTY,Close2016-07-14 00:00:00,vSTART,LastSEA,SEA2016-07-14 00:00:00,LastSRUN,SRUN2016-07-14 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-13 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-13 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-13 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-13 00:00:00
AC,@ACQ6,1.573,0.03837263,-0.0131744040151,-1.0,1112.80627,2.0,1.573,2016-07-01,-1.0,-1.0,-8.0,-8.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
AD,@ADU6,0.7621,0.009735,0.00368760700645,1.0,973.5,3.0,0.7621,2016-06-28,1.0,1.0,11.0,11.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
AEX,AEXN6,448.2,11.7725,0.00832395950506,1.0,2617.49765,1.0,448.2,2016-07-06,-1.0,-1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
BO,@BOZ6,31.19,0.7225,-0.00160051216389,-1.0,433.5,5.0,31.19,2016-07-07,-1.0,-1.0,-5.0,-5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,-1.0,2.0,5.0,-1.0,-1.0,2.0,5.0,-1.0
BP,@BPU6,1.3338,0.031245,0.0128331688055,1.0,1952.8125,2.0,1.3338,2016-07-08,1.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
C,@CU6,357.75,14.25,-0.0117403314917,-1.0,712.5,3.0,357.75,2016-07-06,-1.0,-1.0,-6.0,-6.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
CC,@CCU6,3157.0,51.35,0.00445434298441,1.0,513.5,4.0,3157.0,2016-06-30,-1.0,-1.0,9.0,9.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,2.0,4.0,1.0
CD,@CDU6,0.77605,0.007855,0.00589760207388,1.0,785.5,3.0,0.77605,2016-07-01,-1.0,-1.0,-3.0,-3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0
CGB,CBU6,148.18,0.8555,-0.00470177324019,-1.0,663.641300132,4.0,148.18,2016-07-08,1.0,1.0,-4.0,-4.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0
CL,QCLU6,46.42,1.953441774,0.0215669014085,1.0,1953.441774,2.0,46.42,2016-06-29,-1.0,-1.0,-10.0,-10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
CT,@CTZ6,73.87,1.7655,0.00984278879016,1.0,882.75,3.0,73.87,2016-06-30,1.0,1.0,-9.0,-9.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
CU,@EUU6,1.11485,0.01134,0.00116743747474,1.0,1417.5,2.0,1.11485,2016-06-23,1.0,1.0,-14.0,-14.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
DX,@DXU6,96.1,0.80245,-0.00112256776983,-1.0,802.45,3.0,96.1,2016-06-23,-1.0,-1.0,-15.0,-15.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
EBL,BDU6,166.67,0.9855,-0.00370613903999,-1.0,1095.58035,2.0,166.67,2016-06-23,1.0,1.0,15.0,15.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
EBM,BLU6,133.66,0.2685,-0.00104633781764,-1.0,298.49145,7.0,133.66,2016-06-23,1.0,1.0,15.0,15.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0
EBS,EZU6,112.07,0.0705,-0.000312207305651,-1.0,78.37485,26.0,112.07,2016-07-01,1.0,1.0,9.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
ED,@EDZ6,99.22,0.04275,-0.000151156346047,-1.0,106.875,19.0,99.22,2016-06-27,1.0,1.0,-12.0,-12.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0
EMD,@EMDU6,1540.9,26.455,0.00240697371845,1.0,2645.5,1.0,1540.9,2016-06-27,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
ES,@ESU6,2157.25,31.4625,0.00524231127679,1.0,1573.125,2.0,2157.25,2016-06-27,-1.0,-1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FC,@GFQ6,141.7,3.06625,0.0174115957638,1.0,1533.125,2.0,141.7,2016-07-06,-1.0,-1.0,-6.0,-6.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FCH,MTN6,4385.5,114.875,0.0115326951909,1.0,1277.065375,2.0,4385.5,2016-07-06,-1.0,-1.0,-6.0,-6.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FDX,DXMU6,10071.0,253.175,0.0129752564876,1.0,1407.2732375,2.0,10071.0,2016-07-06,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FEI,IEZ6,100.35,0.02625,-0.000149454491107,-1.0,72.9553125,28.0,100.35,2016-06-16,1.0,1.0,20.0,20.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0
FFI,LFU6,6609.0,161.95,-0.00474361870341,-1.0,2161.0608,1.0,6609.0,2016-06-29,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
FLG,LGU6,129.74,1.0125,-0.00422135236779,-1.0,1351.08,2.0,129.74,2016-06-23,1.0,1.0,-2.0,-2.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FSS,LLZ6,99.66,0.057,-0.00050145421723,-1.0,95.076,22.0,99.66,2016-07-05,-1.0,-1.0,-7.0,-7.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
FV,@FVU6,121.671875,0.443359375,-0.00153865880241,-1.0,443.359375,5.0,121.671875,2016-07-05,1.0,1.0,-7.0,-7.0,-1.0,1.0,5.0,-1.0,-1.0,1.0,5.0,-1.0,-1.0,1.0,5.0,-1.0,-1.0,2.0,5.0,-1.0
GC,QGCQ6,1332.2,25.085,-0.00848466805597,-1.0,2508.5,1.0,1332.2,2016-07-06,1.0,1.0,-6.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
HCM,HHIN6,9009.0,198.761100691,0.0129300652125,1.0,1279.02896198,2.0,9009.0,2016-06-24,1.0,1.0,13.0,13.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
HG,QHGU6,224.3,5.110159213,0.00133928571429,1.0,1277.53980325,2.0,224.3,2016-07-08,1.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
HIC,HSIN6,21586.0,433.189149344,0.012666541565,1.0,2787.5749636,1.0,21586.0,2016-06-27,1.0,1.0,12.0,12.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
HO,QHOU6,1.4299,0.056712345,0.0171432636221,1.0,2381.91849,1.0,1.4299,2016-06-29,1.0,1.0,10.0,10.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0
JY,@JYU6,0.95035,0.0149875,-0.0107219070421,-1.0,1873.4375,2.0,0.95035,2016-07-08,1.0,1.0,-4.0,-4.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
KC,@KCU6,152.15,4.085,0.0304774805283,1.0,1531.875,2.0,152.15,2016-06-27,1.0,1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
KW,@KWU6,417.75,12.2125,-0.0112426035503,-1.0,610.625,4.0,417.75,2016-06-08,1.0,1.0,25.0,25.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0
LB,@LBU6,333.3,6.69745984,0.018954448181,1.0,736.7205824,3.0,333.3,2016-06-27,-1.0,-1.0,-12.0,-12.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
LC,@LEQ6,112.725,2.17125,0.0114401076716,1.0,868.5,3.0,112.725,2016-07-07,1.0,1.0,2.0,2.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
LCO,EBZ6,49.01,1.7925,0.0214672780325,1.0,1792.5,2.0,49.01,2016-06-29,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
LGO,GASQ6,412.0,16.3625,0.0204334365325,1.0,1636.25,2.0,412.0,2016-06-29,1.0,1.0,-11.0,-11.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
LH,@HEV6,67.4,1.2515326015,-0.00222057735011,-1.0,500.6130406,4.0,67.4,2016-06-20,1.0,1.0,17.0,17.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0,-1.0,2.0,4.0,-1.0
LRC,LRCU6,1842.0,30.45,0.0143171806167,1.0,304.5,7.0,1842.0,2016-07-07,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0
LSU,QWV6,544.6,13.335,0.0107646622123,1.0,666.75,3.0,544.6,2016-06-29,-1.0,-1.0,-11.0,-11.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0
MEM,@MMEU6,870.1,19.485,0.0143390067615,1.0,974.25,3.0,870.1,2016-06-27,-1.0,-1.0,-2.0,-2.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
MFX,IBN6,8562.0,275.375,0.0069624123818,1.0,3061.343875,1.0,8562.0,2016-07-06,1.0,1.0,-6.0,-6.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
MP,@PXU6,0.05421,0.000988,0.00370301795964,1.0,494.0,5.0,0.05421,2016-07-07,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0
MW,@MWU6,500.0,10.2875,-0.00497512437811,-1.0,514.375,4.0,500.0,2016-07-06,-1.0,-1.0,6.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0
NE,@NEU6,0.719,0.00981,-0.00813905366257,-1.0,981.0,3.0,0.719,2016-06-27,1.0,1.0,12.0,12.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
NG,QNGU6,2.707,0.101,0.0,1.0,1010.0,2.0,2.707,2016-07-01,-1.0,-1.0,8.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
NIY,@NKDU6,16535.0,473.75,0.0116243499541,1.0,2246.53831563,1.0,16535.0,2016-06-28,-1.0,-1.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0
NQ,@NQU6,4590.0,72.65,0.00630309673883,1.0,1453.0,2.0,4590.0,2016-06-27,1.0,1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
O,@OZ6,203.75,6.499369748,-0.0204326923077,-1.0,324.9684874,7.0,203.75,2016-07-05,-1.0,-1.0,7.0,7.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,2.0,7.0,1.0
OJ,@OJU6,184.2,5.33887341,0.0171176145776,1.0,800.8310115,3.0,184.2,2016-07-08,1.0,1.0,2.0,2.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0
PA,QPAU6,651.1,17.1275,0.0107109593294,1.0,1712.75,2.0,651.1,2016-06-27,1.0,1.0,12.0,12.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
PL,QPLV6,1104.6,23.4471103205,0.00399927285948,1.0,1172.35551602,2.0,1104.6,2016-06-27,-1.0,-1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
RB,QRBU6,1.422,0.058301844,0.0253082414017,1.0,2448.677448,1.0,1.422,2016-06-23,-1.0,-1.0,-14.0,-14.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
RR,@RRU6,10.595,0.2535,-0.00795880149813,-1.0,507.0,4.0,10.595,2016-07-05,1.0,1.0,-7.0,-7.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0
RS,@RSX6,477.0,11.985,-0.0107839070925,-1.0,185.943681638,11.0,477.0,2016-07-07,-1.0,-1.0,-5.0,-5.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,11.0,1.0
S,@SX6,1062.25,35.95,-0.0389052250622,-1.0,1797.5,2.0,1062.25,2016-07-07,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
SB,@SBV6,19.91,0.699,0.0220739219713,1.0,782.88,3.0,19.91,2016-06-29,1.0,1.0,-10.0,-10.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0
SF,@SFU6,1.0234,0.008695,0.00254702194357,1.0,1086.875,2.0,1.0234,2016-06-23,1.0,1.0,-14.0,-14.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
SI,QSIU6,2032.2,64.4730259895,-0.0044579434674,-1.0,3223.65129947,1.0,2032.2,2016-06-27,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
SIN,INN6,8580.5,113.792655044,0.00745567688153,1.0,227.585310087,9.0,8580.5,2016-06-24,1.0,1.0,14.0,14.0,-1.0,1.0,9.0,-1.0,-1.0,1.0,9.0,-1.0,1.0,2.0,9.0,1.0,1.0,2.0,9.0,1.0
SJB,BBU6,153.47,0.303,-0.000976435359979,-1.0,287.367223065,7.0,153.47,2016-06-22,1.0,1.0,16.0,16.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0
SM,@SMZ6,368.2,13.5,-0.0423927178153,-1.0,1350.0,2.0,368.2,2016-07-07,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0
SMI,SWU6,8163.0,156.35,0.0056671183935,1.0,1594.26939941,2.0,8163.0,2016-07-01,-1.0,-1.0,-9.0,-9.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
