2016-08-09 00:00:00,Contract,LastClose,ATR20,PC2016-08-09 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-09 00:00:00,RiskOn,group,PC2016-08-08 00:00:00,Close2016-08-08 00:00:00,SEA2016-08-09 00:00:00,SRUN2016-08-09 00:00:00,SEA2016-08-08 00:00:00,SRUN2016-08-08 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-08 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACU6,1.422,0.028708402,-0.00420168067227,-1.0,1.0,-1.0,1.0,1.0,-5.0,2016-08-02,832.543658,3.0,1.0,41238.0,1.422,1.0,energy,,,1.0,-5.0,,,1.0,1.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
AD,@ADU6,0.7658,0.007665,0.0018315018315,1.0,1.0,1.0,1.0,-1.0,-12.0,2016-07-22,766.5,3.0,1.0,76580.0,0.7658,1.0,currency,,,-1.0,-12.0,,,1.0,-1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,-1,420.769230769,420.769230769,420.769230769,-420.769230769,420.769230769,-420.769230769,-420.769230769,420.769230769,420.769230769,420.769230769,-420.769230769,-420.769230769,-420.769230769,420.769230769,420.769230769,-420.769230769,420.769230769,420.769230769,420.769230769,420.769230769,-420.769230769,420.769230769
AEX,AEXQ6,452.15,5.33,0.0106168976308,1.0,-1.0,-1.0,1.0,-1.0,-5.0,2016-08-02,1184.859,2.0,1.0,100512.945,452.15,1.0,index,,,-1.0,-5.0,,,1.0,-1.0,-4.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,2134.27129526,2134.27129526,2134.27129526,-2134.27129526,2134.27129526,-2134.27129526,-2134.27129526,-2134.27129526,-2134.27129526,2134.27129526,-2134.27129526,2134.27129526,-2134.27129526,2134.27129526,2134.27129526,-2134.27129526,2134.27129526,-2134.27129526,-2134.27129526,-2134.27129526,-2134.27129526,-2134.27129526
BO,@BOZ6,31.65,0.691,0.00732017823043,1.0,1.0,1.0,-1.0,-1.0,-5.0,2016-08-02,414.6,5.0,2.0,18990.0,31.65,1.0,grain,,,-1.0,-5.0,,,1.0,-1.0,-4.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,1,-1,1,-1,1.0,-1,1,1,1,1,1,1,-1,695.050922979,695.050922979,695.050922979,-695.050922979,695.050922979,-695.050922979,695.050922979,695.050922979,695.050922979,-695.050922979,695.050922979,-695.050922979,-695.050922979,695.050922979,695.050922979,-695.050922979,695.050922979,695.050922979,695.050922979,695.050922979,695.050922979,695.050922979
BP,@BPU6,1.3009,0.01588,-0.00291254694566,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2016-08-02,992.5,3.0,1.0,81306.25,1.3009,1.0,currency,,,-1.0,5.0,,,-1.0,-1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1,-1.0,1,-1,-1,1,-1,1,1,-1,-710.424810301,710.424810301,710.424810301,-710.424810301,-710.424810301,710.424810301,-710.424810301,710.424810301,710.424810301,710.424810301,-710.424810301,-710.424810301,710.424810301,-710.424810301,710.424810301,-710.424810301,710.424810301,710.424810301,-710.424810301,710.424810301,-710.424810301,-710.424810301
C,@CZ6,332.5,8.5899041875,-0.0067214339059,-1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-28,429.495209375,5.0,2.0,16625.0,332.5,1.0,grain,,,1.0,-8.0,,,1.0,1.0,-7.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-558.719193428,558.719193428,-558.719193428,558.719193428,-558.719193428,558.719193428,-558.719193428,-558.719193428,-558.719193428,-558.719193428,558.719193428,558.719193428,-558.719193428,558.719193428,558.719193428,-558.719193428,-558.719193428,558.719193428,558.719193428,558.719193428,-558.719193428,558.719193428
CC,@CCZ6,2953.0,63.725750577,-0.00739495798319,-1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-29,637.25750577,4.0,1.0,29530.0,2953.0,1.0,soft,,,-1.0,-7.0,,,1.0,-1.0,-6.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-873.492436975,873.492436975,-873.492436975,873.492436975,-873.492436975,873.492436975,873.492436975,-873.492436975,873.492436975,-873.492436975,873.492436975,873.492436975,873.492436975,-873.492436975,-873.492436975,873.492436975,-873.492436975,873.492436975,-873.492436975,-873.492436975,873.492436975,873.492436975
CD,@CDU6,0.7614,0.0062475,0.00236966824645,1.0,1.0,1.0,1.0,-1.0,3.0,2016-07-25,624.75,4.0,1.0,76140.0,0.7614,1.0,currency,,,-1.0,3.0,,,-1.0,-1.0,2.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,1,1,-1.0,1,1,1,1,1,-1,1,-1,721.706161137,721.706161137,-721.706161137,721.706161137,721.706161137,-721.706161137,-721.706161137,721.706161137,721.706161137,721.706161137,-721.706161137,-721.706161137,-721.706161137,721.706161137,-721.706161137,721.706161137,721.706161137,721.706161137,721.706161137,721.706161137,-721.706161137,721.706161137
CGB,CBU6,148.62,0.688,0.00412134315249,1.0,1.0,1.0,1.0,1.0,4.0,2016-08-03,524.590163934,4.0,1.0,113320.625238,148.62,-1.0,rates,,,1.0,4.0,,,1.0,1.0,-5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
CL,QCLU6,42.77,1.32,-0.00581125058113,-1.0,-1.0,1.0,-1.0,-1.0,-5.0,2016-08-02,1320.0,2.0,1.0,42770.0,42.77,1.0,energy,,,-1.0,-5.0,,,1.0,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,1,-1,1,1,1,-1,-497.094374709,497.094374709,-497.094374709,497.094374709,-497.094374709,497.094374709,-497.094374709,497.094374709,-497.094374709,497.094374709,-497.094374709,-497.094374709,497.094374709,-497.094374709,-497.094374709,497.094374709,-497.094374709,-497.094374709,497.094374709,-497.094374709,-497.094374709,-497.094374709
