2016-08-19 00:00:00,Contract,LastClose,ATR20,PC2016-08-19 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-19 00:00:00,RiskOn,group,SEA2016-08-19 00:00:00,SRUN2016-08-19 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-18 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-18 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-18 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-18 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACV6,1.473,0.024844592,0.0130674002751,1.0,1.0,-1.0,1.0,1.0,-13.0,2016-08-02,720.493168,3.0,1.0,1.0,42717.0,1.473,1.0,energy,1.0,-13.0,1.0,1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
AD,@ADU6,0.7615,0.00809,-0.00923757481135,-1.0,-1.0,-1.0,1.0,-1.0,-26.0,2016-07-14,809.0,3.0,1.0,1.0,76150.0,0.7615,1.0,currency,-1.0,-26.0,1.0,-1.0,-25.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-2110.32396565,2110.32396565,-2110.32396565,2110.32396565,-2110.32396565,2110.32396565,-2110.32396565,2110.32396565,2110.32396565,-2110.32396565,2110.32396565,-2110.32396565,2110.32396565,-2110.32396565,-2110.32396565,2110.32396565,-2110.32396565,2110.32396565,2110.32396565,2110.32396565,2110.32396565,2110.32396565
AEX,AEXU6,448.15,4.9355714455,-0.00598868803371,-1.0,1.0,-1.0,1.0,1.0,-31.0,2016-07-07,1117.61079812,2.0,1.0,1.0,101479.086,448.15,1.0,index,1.0,-31.0,1.0,-1.0,-30.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1215.453176,1215.453176,-1215.453176,1215.453176,-1215.453176,1215.453176,-1215.453176,-1215.453176,1215.453176,-1215.453176,1215.453176,1215.453176,1215.453176,-1215.453176,-1215.453176,1215.453176,-1215.453176,1215.453176,-1215.453176,-1215.453176,1215.453176,1215.453176
BO,@BOZ6,34.56,0.6995,-0.00144466917076,-1.0,-1.0,-1.0,1.0,1.0,-13.0,2016-08-02,419.7,5.0,2.0,1.0,20736.0,34.56,1.0,grain,1.0,-13.0,1.0,1.0,-12.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-149.783299624,149.783299624,-149.783299624,149.783299624,-149.783299624,149.783299624,-149.783299624,149.783299624,149.783299624,-149.783299624,149.783299624,-149.783299624,-149.783299624,149.783299624,149.783299624,-149.783299624,-149.783299624,149.783299624,149.783299624,149.783299624,-149.783299624,149.783299624
BP,@BPU6,1.3085,0.01272,-0.00524555268359,-1.0,1.0,1.0,1.0,-1.0,13.0,2016-08-02,795.0,3.0,1.0,1.0,81781.25,1.3085,1.0,currency,-1.0,13.0,1.0,-1.0,12.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,-1286.96356622,1286.96356622,-1286.96356622,1286.96356622,-1286.96356622,1286.96356622,-1286.96356622,-1286.96356622,-1286.96356622,-1286.96356622,1286.96356622,1286.96356622,1286.96356622,-1286.96356622,1286.96356622,-1286.96356622,-1286.96356622,1286.96356622,-1286.96356622,-1286.96356622,-1286.96356622,-1286.96356622
C,@CZ6,343.75,5.9375,0.00511695906433,1.0,1.0,-1.0,1.0,1.0,-16.0,2016-07-28,296.875,7.0,2.0,1.0,17187.5,343.75,1.0,grain,1.0,-16.0,1.0,1.0,-15.0,1.0,1.0,7.0,1.0,1.0,7.0,-1.0,1.0,7.0,1.0,1.0,7.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,615.634137427,615.634137427,615.634137427,-615.634137427,615.634137427,-615.634137427,615.634137427,615.634137427,-615.634137427,615.634137427,-615.634137427,-615.634137427,615.634137427,-615.634137427,-615.634137427,615.634137427,615.634137427,-615.634137427,-615.634137427,-615.634137427,615.634137427,-615.634137427
CC,@CCZ6,3099.0,55.4050808315,-0.00449726951494,-1.0,1.0,-1.0,1.0,1.0,-15.0,2016-07-29,554.050808315,4.0,1.0,1.0,30990.0,3099.0,1.0,soft,1.0,-15.0,1.0,1.0,-14.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-557.481529072,557.481529072,-557.481529072,557.481529072,-557.481529072,557.481529072,-557.481529072,-557.481529072,557.481529072,-557.481529072,557.481529072,557.481529072,-557.481529072,557.481529072,557.481529072,-557.481529072,-557.481529072,557.481529072,557.481529072,557.481529072,-557.481529072,557.481529072
CD,@CDU6,0.7777,0.0062325,-0.00702247191011,-1.0,-1.0,-1.0,1.0,1.0,-19.0,2016-07-25,623.25,4.0,1.0,1.0,77770.0,0.7777,1.0,currency,1.0,-19.0,1.0,1.0,-18.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-2184.5505618,2184.5505618,-2184.5505618,2184.5505618,-2184.5505618,2184.5505618,-2184.5505618,2184.5505618,2184.5505618,-2184.5505618,2184.5505618,-2184.5505618,-2184.5505618,2184.5505618,2184.5505618,-2184.5505618,-2184.5505618,2184.5505618,2184.5505618,2184.5505618,-2184.5505618,2184.5505618
CGB,CBU6,147.71,0.6245,-0.00283534733005,-1.0,1.0,-1.0,1.0,1.0,-29.0,2016-07-08,485.501049522,5.0,2.0,1.0,114833.242634,147.71,-1.0,rates,1.0,-29.0,1.0,1.0,-28.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
CL,QCLV6,49.11,1.451482132,0.0044998977296,1.0,-1.0,-1.0,-1.0,-1.0,-13.0,2016-08-02,1451.482132,2.0,1.0,1.0,49110.0,49.11,1.0,energy,-1.0,-13.0,1.0,-1.0,-12.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,441.979955001,441.979955001,441.979955001,-441.979955001,441.979955001,-441.979955001,441.979955001,-441.979955001,-441.979955001,-441.979955001,441.979955001,441.979955001,-441.979955001,441.979955001,441.979955001,-441.979955001,441.979955001,-441.979955001,-441.979955001,-441.979955001,441.979955001,-441.979955001
