2016-08-26 00:00:00,Contract,LastClose,ATR20,PC2016-08-26 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-26 00:00:00,RiskOn,group,SEA2016-08-26 00:00:00,SRUN2016-08-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-25 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-25 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-25 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-25 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
AC,@ACV6,1.427,0.022924777,-0.00557491289199,-1.0,1.0,-1.0,1.0,-1.0,14.0,2016-08-08,664.818533,4.0,1.0,1.0,41383.0,1.427,1.0,energy,-1.0,14.0,-1.0,-1.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
AD,@ADU6,0.7549,0.007135,-0.00814610432269,-1.0,-1.0,-1.0,1.0,1.0,-31.0,2016-07-14,713.5,3.0,1.0,1.0,75490.0,0.7549,1.0,currency,1.0,-31.0,1.0,1.0,-30.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1844.84824596,1844.84824596,-1844.84824596,1844.84824596,-1844.84824596,1844.84824596,1844.84824596,1844.84824596,1844.84824596,-1844.84824596,1844.84824596,-1844.84824596,-1844.84824596,1844.84824596,1844.84824596,-1844.84824596,-1844.84824596,1844.84824596,1844.84824596,1844.84824596,-1844.84824596,1844.84824596,1844.84824596,1844.84824596,1844.84824596
AEX,AEXU6,452.8,4.697397739,0.00678154530295,1.0,1.0,-1.0,1.0,1.0,-36.0,2016-07-07,1051.4655099,2.0,1.0,1.0,101354.752,452.8,1.0,index,1.0,-36.0,-1.0,1.0,-35.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,-1,1374.68368471,1374.68368471,-1374.68368471,1374.68368471,1374.68368471,-1374.68368471,-1374.68368471,1374.68368471,-1374.68368471,1374.68368471,-1374.68368471,-1374.68368471,1374.68368471,-1374.68368471,-1374.68368471,1374.68368471,-1374.68368471,-1374.68368471,1374.68368471,-1374.68368471,-1374.68368471,-1374.68368471,-1374.68368471,1374.68368471,-1374.68368471
BO,@BOZ6,33.35,0.727,0.000900360144058,1.0,-1.0,-1.0,-1.0,1.0,5.0,2016-08-19,436.2,5.0,1.0,1.0,20010.0,33.35,1.0,grain,1.0,5.0,-1.0,1.0,4.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,0,90.081032413,90.081032413,-90.081032413,90.081032413,90.081032413,-90.081032413,-90.081032413,-90.081032413,-90.081032413,-90.081032413,90.081032413,90.081032413,90.081032413,-90.081032413,90.081032413,-90.081032413,-90.081032413,90.081032413,-90.081032413,-90.081032413,-90.081032413,-90.081032413,-90.081032413,90.081032413,0.0
BP,@BPU6,1.3131,0.012165,-0.00333965844402,-1.0,-1.0,-1.0,-1.0,1.0,18.0,2016-08-02,760.3125,3.0,1.0,1.0,82068.75,1.3131,1.0,currency,1.0,18.0,-1.0,1.0,17.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,0,-822.244781784,822.244781784,822.244781784,-822.244781784,-822.244781784,822.244781784,822.244781784,822.244781784,822.244781784,822.244781784,-822.244781784,-822.244781784,-822.244781784,822.244781784,-822.244781784,822.244781784,822.244781784,-822.244781784,822.244781784,822.244781784,822.244781784,822.244781784,822.244781784,-822.244781784,-0.0
C,@CZ6,325.0,5.675,-0.0210843373494,-1.0,-1.0,1.0,-1.0,-1.0,-21.0,2016-07-28,283.75,8.0,1.0,1.0,16250.0,325.0,1.0,grain,-1.0,-21.0,-1.0,-1.0,-20.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,2.0,8.0,-1.0,2.0,8.0,-1.0,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1,-2740.96385542,2740.96385542,2740.96385542,-2740.96385542,-2740.96385542,2740.96385542,-2740.96385542,2740.96385542,-2740.96385542,2740.96385542,-2740.96385542,-2740.96385542,2740.96385542,-2740.96385542,-2740.96385542,2740.96385542,2740.96385542,-2740.96385542,-2740.96385542,-2740.96385542,2740.96385542,-2740.96385542,-2740.96385542,-2740.96385542,-2740.96385542
CC,@CCZ6,3015.0,59.599769053,-0.00429326287979,-1.0,1.0,1.0,1.0,-1.0,10.0,2016-08-12,595.99769053,4.0,1.0,1.0,30150.0,3015.0,1.0,soft,-1.0,10.0,1.0,-1.0,9.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,1,0,-517.767503303,517.767503303,-517.767503303,517.767503303,-517.767503303,517.767503303,-517.767503303,-517.767503303,-517.767503303,-517.767503303,517.767503303,517.767503303,517.767503303,-517.767503303,517.767503303,-517.767503303,-517.767503303,517.767503303,-517.767503303,-517.767503303,-517.767503303,-517.767503303,517.767503303,-517.767503303,-0.0
CD,@CDU6,0.76875,0.0058825,-0.00620515803762,-1.0,1.0,-1.0,1.0,1.0,-24.0,2016-07-25,588.25,4.0,1.0,1.0,76875.0,0.76875,1.0,currency,1.0,-24.0,1.0,1.0,-23.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1908.08609657,1908.08609657,-1908.08609657,1908.08609657,-1908.08609657,1908.08609657,1908.08609657,-1908.08609657,1908.08609657,-1908.08609657,1908.08609657,1908.08609657,-1908.08609657,1908.08609657,1908.08609657,-1908.08609657,-1908.08609657,1908.08609657,1908.08609657,1908.08609657,-1908.08609657,1908.08609657,1908.08609657,1908.08609657,1908.08609657
CGB,CBU6,147.53,0.6295,-0.00337769371073,-1.0,1.0,-1.0,1.0,1.0,-34.0,2016-07-08,484.305277735,5.0,1.0,1.0,113502.077243,147.53,-1.0,rates,1.0,-34.0,-1.0,1.0,-33.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,1,-1,-1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
CL,QCLV6,47.64,1.4876392455,0.00654975702514,1.0,-1.0,-1.0,-1.0,-1.0,-18.0,2016-08-02,1487.6392455,2.0,1.0,1.0,47640.0,47.64,1.0,energy,-1.0,-18.0,1.0,-1.0,-17.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-1,1,624.060849356,624.060849356,624.060849356,-624.060849356,624.060849356,-624.060849356,-624.060849356,-624.060849356,-624.060849356,-624.060849356,624.060849356,624.060849356,-624.060849356,624.060849356,624.060849356,-624.060849356,624.060849356,-624.060849356,-624.060849356,-624.060849356,624.060849356,-624.060849356,-624.060849356,-624.060849356,624.060849356
CT,@CTZ6,68.03,1.6305,-0.000146972369195,-1.0,-1.0,1.0,-1.0,1.0,-12.0,2016-08-10,815.25,3.0,1.0,1.0,34015.0,68.03,1.0,soft,1.0,-12.0,1.0,1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,0,-14.9977954145,14.9977954145,-14.9977954145,14.9977954145,-14.9977954145,14.9977954145,14.9977954145,14.9977954145,-14.9977954145,14.9977954145,-14.9977954145,-14.9977954145,-14.9977954145,14.9977954145,14.9977954145,-14.9977954145,14.9977954145,14.9977954145,14.9977954145,14.9977954145,-14.9977954145,14.9977954145,14.9977954145,-14.9977954145,-0.0
CU,@EUU6,1.11965,0.007105,-0.00819381698999,-1.0,1.0,1.0,1.0,1.0,25.0,2016-07-22,888.125,3.0,1.0,1.0,139956.25,1.11965,1.0,currency,1.0,25.0,1.0,1.0,24.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,-1,1,-1,-3440.32769732,3440.32769732,-3440.32769732,3440.32769732,-3440.32769732,3440.32769732,3440.32769732,-3440.32769732,-3440.32769732,-3440.32769732,3440.32769732,3440.32769732,-3440.32769732,3440.32769732,-3440.32769732,3440.32769732,-3440.32769732,-3440.32769732,3440.32769732,-3440.32769732,3440.32769732,3440.32769732,3440.32769732,-3440.32769732,3440.32769732
DX,@DXU6,95.542,0.5936,0.00843334072174,1.0,1.0,1.0,1.0,-1.0,25.0,2016-07-22,593.6,4.0,1.0,1.0,95542.0,95.542,-1.0,currency,-1.0,25.0,-1.0,-1.0,24.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,-1,-1,1,1,-1.0,1,1,1,1,1,-1,1,1,1,0,3222.95295695,3222.95295695,-3222.95295695,3222.95295695,-3222.95295695,3222.95295695,3222.95295695,3222.95295695,3222.95295695,3222.95295695,-3222.95295695,-3222.95295695,-3222.95295695,3222.95295695,-3222.95295695,3222.95295695,3222.95295695,3222.95295695,3222.95295695,3222.95295695,-3222.95295695,3222.95295695,3222.95295695,3222.95295695,0.0
