2016-10-24 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-24 00:00:00,Close2016-10-24 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-24 00:00:00,LastSRUN,SRUN2016-10-24 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-21 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-21 00:00:00,0.5SIG2016-10-20 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-21 00:00:00,0.75SIG2016-10-20 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-21 00:00:00,1SIG2016-10-20 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.542,0.02195,-0.00194174757282,-1.0,1.0,-1.0,1.0,1.0,20.0,2016-09-23,636.55,1.0,1.0,1.0,44718.0,1.0,-0.00194174757282,1.542,energy,1.0,1.0,2016-09-23,1.0,1.0,21.0,21.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
AD,@ADZ6,0.7593,0.006455,0.000131717597471,1.0,-1.0,-1.0,1.0,-1.0,28.0,2016-09-13,645.5,1.0,1.0,1.0,75930.0,1.0,0.000131717597471,0.7593,currency,1.0,1.0,2016-09-13,-1.0,-1.0,29.0,29.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,,2.0,1.0,-1.0,,1.0,1.0,1.0,,0,-1,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,1,1.0,1,10.001317176,10.001317176,-10.001317176,10.001317176,10.001317176,-10.001317176,10.001317176,-10.001317176,10.001317176,-10.001317176,-10.001317176,10.001317176,-10.001317176,10.001317176,10.001317176,-10.001317176,10.001317176,-10.001317176,10.001317176,-10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,10.001317176,0.0,10.001317176,10.001317176
AEX,AEXX6,457.95,5.9443291395,0.0051580333626,1.0,1.0,1.0,1.0,1.0,20.0,2016-09-23,1293.36713417,1.0,1.0,1.0,99640.761,0.919202132549,0.0051580333626,457.95,index,1.0,1.0,2016-09-23,1.0,1.0,21.0,21.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,513.950369513,513.950369513,513.950369513,-513.950369513,513.950369513,-513.950369513,513.950369513,-513.950369513,-513.950369513,513.950369513,513.950369513,513.950369513,-513.950369513,-513.950369513,-513.950369513,513.950369513,-513.950369513,513.950369513,-513.950369513,513.950369513,-513.950369513,-513.950369513,-513.950369513,0.0,-513.950369513,-513.950369513,-513.950369513,-513.950369513,0.0,-513.950369513,513.950369513,513.950369513,513.950369513,-513.950369513
BO,@BOZ6,35.99,0.7215,0.0247722095672,1.0,-1.0,-1.0,-1.0,1.0,12.0,2016-10-05,432.9,2.0,1.0,1.0,21594.0,1.0,0.0247722095672,35.99,grain,1.0,1.0,2016-10-05,1.0,1.0,13.0,13.0,1.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,0,-1,-1,1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,0,0.0,-1,1069.86218679,1069.86218679,1069.86218679,-1069.86218679,1069.86218679,-1069.86218679,1069.86218679,-1069.86218679,-1069.86218679,-1069.86218679,-1069.86218679,-1069.86218679,1069.86218679,1069.86218679,1069.86218679,1069.86218679,-1069.86218679,1069.86218679,-1069.86218679,1069.86218679,-1069.86218679,-1069.86218679,0.0,0.0,-1069.86218679,1069.86218679,1069.86218679,-1069.86218679,-1069.86218679,0.0,-1069.86218679,0.0,1069.86218679,-1069.86218679
BP,@BPZ6,1.2235,0.013765,-0.000490156033004,-1.0,1.0,1.0,-1.0,1.0,-8.0,2016-10-11,860.3125,1.0,1.0,1.0,76468.75,1.0,-0.000490156033004,1.2235,currency,1.0,1.0,2016-09-06,1.0,1.0,-34.0,-34.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,-1.0,,0,-1,-1,1,-1,-1,-1,1,-1.0,1,1,1,-1,-1,1,1.0,1.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,-37.4816191488,37.4816191488,37.4816191488,-37.4816191488,-37.4816191488,37.4816191488,-37.4816191488,37.4816191488,-0.0,-37.4816191488,-37.4816191488,37.4816191488,-37.4816191488,37.4816191488,37.4816191488,-37.4816191488,37.4816191488,37.4816191488,-37.4816191488,-37.4816191488,-37.4816191488,37.4816191488,-37.4816191488,-37.4816191488,-0.0,37.4816191488,-37.4816191488,-37.4816191488,-37.4816191488,-0.0,37.4816191488,-0.0,-37.4816191488,37.4816191488
C,@CZ6,348.25,7.325,-0.0120567375887,-1.0,1.0,-1.0,1.0,1.0,16.0,2016-09-29,366.25,2.0,1.0,1.0,17412.5,1.0,-0.0120567375887,348.25,grain,1.0,1.0,2016-09-29,1.0,1.0,17.0,17.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-419.875886525,419.875886525,-419.875886525,419.875886525,-419.875886525,419.875886525,-419.875886525,419.875886525,419.875886525,-419.875886525,419.875886525,-419.875886525,419.875886525,419.875886525,-419.875886525,-419.875886525,419.875886525,-419.875886525,419.875886525,-419.875886525,419.875886525,419.875886525,419.875886525,-0.0,419.875886525,419.875886525,419.875886525,419.875886525,419.875886525,419.875886525,-419.875886525,-419.875886525,-419.875886525,419.875886525
CC,@CCH7,2627.0,61.268053,-0.00567751703255,-1.0,1.0,1.0,1.0,-1.0,12.0,2016-10-05,612.68053,1.0,1.0,1.0,26270.0,1.0,-0.00567751703255,2627.0,soft,1.0,1.0,2016-10-05,-1.0,-1.0,13.0,13.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,-1,1.0,1.0,0.0,-1.0,1.0,-1.0,-1,-1,-1.0,-1,-149.148372445,149.148372445,-149.148372445,149.148372445,-149.148372445,149.148372445,-149.148372445,149.148372445,149.148372445,-149.148372445,-149.148372445,-149.148372445,149.148372445,149.148372445,149.148372445,149.148372445,-149.148372445,149.148372445,-149.148372445,149.148372445,-149.148372445,149.148372445,149.148372445,149.148372445,149.148372445,-149.148372445,149.148372445,-149.148372445,-149.148372445,-0.0,149.148372445,-149.148372445,149.148372445,149.148372445
CD,@CDZ6,0.7479,0.006305,-0.0027335155677,-1.0,-1.0,-1.0,-1.0,-1.0,-33.0,2016-09-06,630.5,1.0,1.0,1.0,74790.0,1.0,-0.0027335155677,0.7479,currency,1.0,1.0,2016-09-06,-1.0,-1.0,-34.0,-34.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0.0,0,-204.439629309,204.439629309,204.439629309,-204.439629309,-204.439629309,204.439629309,-204.439629309,204.439629309,-0.0,204.439629309,204.439629309,204.439629309,-204.439629309,-204.439629309,-204.439629309,204.439629309,-204.439629309,-204.439629309,204.439629309,204.439629309,204.439629309,-204.439629309,-0.0,-0.0,-0.0,-204.439629309,-204.439629309,-204.439629309,-204.439629309,-204.439629309,-204.439629309,-0.0,-204.439629309,-204.439629309
CGB,CBZ6,145.42,0.6105,-0.00185325005148,-1.0,1.0,1.0,1.0,-1.0,-5.0,2016-10-14,458.884546001,2.0,1.0,1.0,109305.472038,1.3304,-0.00185325005148,145.42,rates,-1.0,1.0,2016-10-14,1.0,1.0,-6.0,-6.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1.0,0.0,-1.0,1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
CL,QCLZ6,50.52,1.3432602635,-0.00648967551622,-1.0,1.0,1.0,1.0,-1.0,-25.0,2016-09-16,1343.2602635,1.0,1.0,1.0,50520.0,1.0,-0.00648967551622,50.52,energy,1.0,1.0,2016-09-16,-1.0,-1.0,-26.0,-26.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,1.0,0.0,1.0,1.0,-1.0,-1,-1,-1.0,-1,-327.85840708,327.85840708,-327.85840708,327.85840708,-327.85840708,327.85840708,-327.85840708,327.85840708,327.85840708,-327.85840708,-327.85840708,-327.85840708,327.85840708,327.85840708,327.85840708,327.85840708,-327.85840708,-327.85840708,327.85840708,327.85840708,327.85840708,327.85840708,327.85840708,327.85840708,327.85840708,-327.85840708,327.85840708,-327.85840708,-327.85840708,-0.0,-327.85840708,-327.85840708,327.85840708,327.85840708
