,Contract,LastClose,ATR20,PC2016-07-12 00:00:00,ACT,usdATR,QTY,Close2016-07-12 00:00:00,vSTART,LastSEA,SEA2016-07-12 00:00:00,LastSRUN,SRUN2016-07-12 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-12 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-12 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-12 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-12 00:00:00
AC,@ACQ6,1.591,0.038490771,0.00759974667511,1.0,1116.232359,2.0,1.591,2016-07-01,-1.0,-1.0,-6.0,-6.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,2.0,0.0,1.0
AD,@ADU6,0.7619,0.010485,0.0137040979244,1.0,1048.5,2.0,0.7619,2016-06-28,1.0,1.0,9.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
AEX,AEXN6,445.4,11.9932215315,0.0107795302394,1.0,2659.85667126,1.0,445.4,2016-07-06,-1.0,-1.0,-3.0,-3.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
BO,@BOZ6,31.32,0.7425,0.0185365853659,1.0,445.5,5.0,31.32,2016-06-28,-1.0,-1.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,-1.0,2.0,5.0,-1.0,-1.0,2.0,5.0,-1.0
BP,@BPU6,1.3278,0.03015,0.020285846012,1.0,1884.375,2.0,1.3278,2016-06-29,1.0,1.0,2.0,2.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
C,@CU6,352.25,13.6125,0.0114860014358,1.0,680.625,3.0,352.25,2016-07-06,-1.0,-1.0,-4.0,-4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,1.0,3.0,-1.0
CC,@CCU6,3114.0,58.8,0.00419219606579,1.0,588.0,4.0,3114.0,2016-06-30,-1.0,-1.0,7.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0
CD,@CDU6,0.76805,0.00796,0.00853522421377,1.0,796.0,3.0,0.76805,2016-07-01,-1.0,-1.0,-6.0,-6.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0
CGB,CBU6,148.12,0.849,-0.00623951694062,-1.0,651.873464373,4.0,148.12,2016-06-23,1.0,1.0,-2.0,-2.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
CL,QCLU6,47.57,1.961821048,0.0455764074478,1.0,1961.821048,2.0,47.57,2016-06-29,-1.0,-1.0,-8.0,-8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0
CT,@CTZ6,70.78,1.5695,0.0442608439068,1.0,784.75,3.0,70.78,2016-06-30,1.0,1.0,-7.0,-7.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
CU,@EUU6,1.1096,0.01193,0.000992331980153,1.0,1491.25,2.0,1.1096,2016-06-23,1.0,1.0,-12.0,-12.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
DX,@DXU6,96.487,0.8407,-0.00106636297753,-1.0,840.7,3.0,96.487,2016-06-23,-1.0,-1.0,-13.0,-13.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
EBL,BDU6,166.65,0.9645,-0.00554958825636,-1.0,1069.53405,2.0,166.65,2016-06-23,1.0,1.0,13.0,13.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
EBM,BLU6,133.7,0.2665,-0.00164277180406,-1.0,295.52185,7.0,133.7,2016-06-23,1.0,1.0,13.0,13.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0
EBS,EZU6,112.105,0.0705,-0.000356681082527,-1.0,78.17745,26.0,112.105,2016-07-01,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,0.0,-1.0
ED,@EDZ6,99.22,0.04575,-0.000251901859036,-1.0,114.375,18.0,99.22,2016-06-27,1.0,1.0,-10.0,-10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0
EMD,@EMDU6,1540.9,26.755,0.010095050803,1.0,2675.5,1.0,1540.9,2016-06-27,-1.0,-1.0,10.0,10.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
ES,@ESU6,2145.75,32.0875,0.00727614129797,1.0,1604.375,2.0,2145.75,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FC,@GFQ6,138.6,3.08,-0.00609537468627,-1.0,1540.0,2.0,138.6,2016-07-06,-1.0,-1.0,-4.0,-4.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
