,Contract,LastClose,ATR20,PC2016-07-11 00:00:00,ACT,usdATR,QTY,Close2016-07-11 00:00:00,vSTART,LastSEA,SEA2016-07-11 00:00:00,LastSRUN,SRUN2016-07-11 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-08 00:00:00,SIG2016-07-07 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-08 00:00:00,0.5SIG2016-07-07 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-08 00:00:00,0.75SIG2016-07-07 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-08 00:00:00,1SIG2016-07-07 00:00:00
NQ,@NQU6,4549.5,74.6709952695,0.00713929935248,1.0,1493.41990539,2.0,4549.5,2016-06-27,1.0,1.0,9.0,9.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
O,@OZ6,205.75,6.382352941,0.0417721518987,1.0,319.11764705,7.0,205.75,2016-07-05,-1.0,-1.0,4.0,4.0,-1.0,,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,
OJ,@OJU6,178.0,5.42015748,-0.0529396115988,-1.0,813.023622,3.0,178.0,2016-06-29,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
PA,QPAU6,625.75,16.295,0.0140171771188,1.0,1629.5,2.0,625.75,2016-06-27,1.0,1.0,9.0,9.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
PL,QPLV6,1108.1,23.3586654805,0.00718051263407,1.0,1167.93327402,2.0,1108.1,2016-06-27,1.0,1.0,9.0,9.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
RB,QRBQ6,1.3835,0.056732385,0.00926466297053,1.0,2382.76017,1.0,1.3835,2016-06-23,-1.0,-1.0,-11.0,-11.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
RR,@RRU6,10.685,0.272138263,0.00564705882353,1.0,544.276526,4.0,10.685,2016-07-05,1.0,1.0,-4.0,-4.0,1.0,,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,
RS,@RSX6,470.5,11.49,0.00106382978723,1.0,175.099055166,12.0,470.5,2016-06-30,-1.0,-1.0,6.0,6.0,-1.0,,12.0,-1.0,,-1.0,1.0,12.0,-1.0,,1.0,2.0,12.0,1.0,,1.0,2.0,12.0,1.0,
S,@SX6,1055.0,32.8125,-0.00259985818955,-1.0,1640.625,2.0,1055.0,2016-06-30,-1.0,-1.0,-2.0,-2.0,-1.0,,2.0,-1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SB,@SBV6,20.28,0.6605,0.0362800204394,1.0,739.76,3.0,20.28,2016-06-29,1.0,1.0,-7.0,-7.0,1.0,,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
