2016-07-27 00:00:00,Contract,LastClose,ATR20,PC2016-07-27 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-27 00:00:00,RiskOn,group,SEA2016-07-27 00:00:00,SRUN2016-07-27 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-26 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.437,0.0341383185,-0.0116918844567,-1.0,-1.0,1.0,-1.0,-1.0,10.0,2016-07-13,-1.0,990.0112365,3.0,41673.0,1.437,1.0,energy,-1.0,10.0,-1.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1.0,-1,1,-1,-487.235900963,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
AD,@ADU6,0.7469,0.007905,-0.00306994127069,-1.0,-1.0,1.0,-1.0,-1.0,-9.0,2016-07-14,1.0,790.5,3.0,74690.0,0.7469,1.0,currency,-1.0,-9.0,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,-1,1.0,1,1,-1,-229.293913508,687.881740523,-687.881740523,687.881740523,-687.881740523,687.881740523,687.881740523,-687.881740523,-687.881740523,-687.881740523,-687.881740523,-687.881740523,687.881740523,-687.881740523,687.881740523
AEX,AEXQ6,449.55,5.947994198,-0.00233022636485,-1.0,1.0,-1.0,1.0,1.0,-14.0,2016-07-07,1.0,1315.6963166,2.0,99440.46,449.55,1.0,index,1.0,-14.0,1.0,-13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1.0,-1,-1,-1,-231.718781625,463.437563249,463.437563249,-463.437563249,463.437563249,-463.437563249,-463.437563249,463.437563249,463.437563249,463.437563249,463.437563249,-463.437563249,463.437563249,-463.437563249,463.437563249
BO,@BOZ6,30.02,0.7595,-0.00199468085106,-1.0,-1.0,-1.0,1.0,1.0,4.0,2016-07-21,1.0,455.7,5.0,18012.0,30.02,1.0,grain,1.0,4.0,1.0,3.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,-1,1.0,1,-1,-1,-35.9281914894,179.640957447,179.640957447,179.640957447,179.640957447,-179.640957447,-179.640957447,179.640957447,-179.640957447,-179.640957447,179.640957447,-179.640957447,179.640957447,-179.640957447,179.640957447
BP,@BPU6,1.3198,0.01949,0.00418473712242,1.0,-1.0,1.0,-1.0,-1.0,-9.0,2016-07-14,1.0,1218.125,2.0,82487.5,1.3198,1.0,currency,-1.0,-9.0,-1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1.0,1,1,-1,345.188503386,690.377006772,690.377006772,-690.377006772,690.377006772,-690.377006772,-690.377006772,690.377006772,690.377006772,690.377006772,690.377006772,690.377006772,-690.377006772,690.377006772,-690.377006772
C,@CZ6,343.0,12.543656849,0.0103092783505,1.0,1.0,1.0,1.0,1.0,10.0,2016-07-13,-1.0,627.18284245,4.0,17150.0,343.0,1.0,grain,1.0,10.0,1.0,9.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,1,1.0,1,1,-1,176.804123711,707.216494845,707.216494845,707.216494845,707.216494845,707.216494845,707.216494845,-707.216494845,707.216494845,707.216494845,707.216494845,-707.216494845,707.216494845,707.216494845,-707.216494845
CC,@CCU6,2857.0,56.2,0.00210452472817,1.0,-1.0,1.0,-1.0,-1.0,18.0,2016-07-14,-1.0,562.0,4.0,28570.0,2857.0,1.0,soft,-1.0,18.0,-1.0,17.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1.0,-1,1,-1,60.1262714837,240.505085935,240.505085935,-240.505085935,240.505085935,-240.505085935,-240.505085935,240.505085935,-240.505085935,-240.505085935,240.505085935,-240.505085935,240.505085935,240.505085935,-240.505085935
CD,@CDU6,0.75725,0.00669,-0.00105533935756,-1.0,-1.0,1.0,-1.0,-1.0,9.0,2016-07-14,1.0,669.0,3.0,75725.0,0.75725,1.0,currency,-1.0,9.0,-1.0,8.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,-1.0,-1,-1,-1,-79.9155728514,239.746718554,239.746718554,239.746718554,-239.746718554,239.746718554,239.746718554,-239.746718554,239.746718554,239.746718554,239.746718554,-239.746718554,239.746718554,-239.746718554,239.746718554
CGB,CBU6,147.96,0.688,0.00434428455064,1.0,-1.0,-1.0,-1.0,1.0,-13.0,2016-07-08,-1.0,521.805081532,4.0,112218.430034,147.96,-1.0,rates,1.0,-13.0,1.0,-12.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,1,-1.0,-1,-1,1,487.508791894,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
CL,QCLU6,41.92,1.6050911325,-0.0232991612302,-1.0,-1.0,1.0,-1.0,-1.0,11.0,2016-07-12,-1.0,1605.0911325,2.0,41920.0,41.92,1.0,energy,-1.0,11.0,-1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1.0,-1,1,-1,-976.70083877,1953.40167754,-1953.40167754,1953.40167754,-1953.40167754,1953.40167754,1953.40167754,-1953.40167754,1953.40167754,1953.40167754,-1953.40167754,1953.40167754,-1953.40167754,-1953.40167754,1953.40167754
CT,@CTZ6,73.55,1.8115,-0.00540906017579,-1.0,1.0,1.0,1.0,-1.0,3.0,2016-07-15,1.0,905.75,3.0,36775.0,73.55,1.0,soft,-1.0,3.0,-1.0,2.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1.0,1,-1,-1,-198.918187965,596.754563895,596.754563895,-596.754563895,-596.754563895,-596.754563895,596.754563895,-596.754563895,596.754563895,-596.754563895,596.754563895,-596.754563895,596.754563895,-596.754563895,596.754563895
CU,@EUU6,1.1043,0.0079075,0.00290618472437,1.0,-1.0,-1.0,-1.0,1.0,-23.0,2016-06-23,-1.0,988.4375,3.0,138037.5,1.1043,1.0,currency,1.0,-23.0,1.0,-22.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,1,-1.0,-1,-1,-1,401.16247389,1203.48742167,-1203.48742167,-1203.48742167,-1203.48742167,-1203.48742167,1203.48742167,-1203.48742167,-1203.48742167,-1203.48742167,-1203.48742167,-1203.48742167,1203.48742167,1203.48742167,-1203.48742167
