2016-07-22 00:00:00,Contract,LastClose,ATR20,PC2016-07-22 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-22 00:00:00,RiskOn,group,SEA2016-07-22 00:00:00,SRUN2016-07-22 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-21 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-21 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-21 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-21 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.459,0.035766188,0.00968858131488,1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-07-13,-1.0,1037.219452,2.0,42311.0,1.459,1.0,energy,-1.0,7.0,-1.0,6.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1.0,-1,-1,409.933564014,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
AD,@ADU6,0.7452,0.00828,-0.00281011641911,-1.0,-1.0,1.0,-1.0,-1.0,-6.0,2016-07-14,1.0,828.0,3.0,74520.0,0.7452,1.0,currency,-1.0,-6.0,-1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,-1,1.0,1,-1,-209.409875552,628.229626656,-628.229626656,628.229626656,-628.229626656,628.229626656,628.229626656,-628.229626656,-628.229626656,-628.229626656,-628.229626656,628.229626656,-628.229626656,628.229626656
AEX,AEXQ6,449.9,6.9964982135,0.00312151616499,1.0,1.0,-1.0,1.0,-1.0,12.0,2016-07-06,-1.0,1536.01121779,2.0,98771.046,449.9,1.0,index,-1.0,12.0,-1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1,1.0,1,-1,308.315416722,616.630833445,616.630833445,616.630833445,-616.630833445,616.630833445,-616.630833445,616.630833445,616.630833445,616.630833445,-616.630833445,616.630833445,616.630833445,-616.630833445
BO,@BOZ6,30.7,0.757,-0.0284810126582,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2016-07-07,1.0,454.2,5.0,18420.0,30.7,1.0,grain,-1.0,1.0,-1.0,-10.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1,-1,1.0,-1,-1,-524.620253165,2623.10126582,2623.10126582,2623.10126582,2623.10126582,2623.10126582,2623.10126582,-2623.10126582,-2623.10126582,2623.10126582,-2623.10126582,2623.10126582,-2623.10126582,2623.10126582
BP,@BPU6,1.31,0.022765,-0.00847714199213,-1.0,1.0,1.0,-1.0,-1.0,-6.0,2016-07-14,1.0,1422.8125,2.0,81875.0,1.31,1.0,currency,-1.0,-6.0,-1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1,-1,1.0,1,-1,-694.066000605,1388.13200121,-1388.13200121,-1388.13200121,-1388.13200121,1388.13200121,1388.13200121,-1388.13200121,-1388.13200121,-1388.13200121,-1388.13200121,1388.13200121,-1388.13200121,1388.13200121
C,@CZ6,341.75,13.4637331445,0.00293470286134,1.0,1.0,1.0,1.0,-1.0,7.0,2016-07-13,-1.0,673.186657225,3.0,17087.5,341.75,1.0,grain,-1.0,7.0,-1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,1,-1.0,1,-1,50.1467351431,150.440205429,150.440205429,150.440205429,150.440205429,150.440205429,-150.440205429,150.440205429,-150.440205429,150.440205429,-150.440205429,150.440205429,150.440205429,-150.440205429
CC,@CCU6,2886.0,55.1,-0.00551343900758,-1.0,-1.0,1.0,-1.0,-1.0,15.0,2016-07-14,-1.0,551.0,4.0,28860.0,2886.0,1.0,soft,-1.0,15.0,-1.0,14.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1.0,-1,-1,-159.117849759,636.471399035,636.471399035,636.471399035,-636.471399035,636.471399035,636.471399035,-636.471399035,636.471399035,636.471399035,636.471399035,-636.471399035,-636.471399035,636.471399035
CD,@CDU6,0.7607,0.006935,-0.00425420511814,-1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-07-14,-1.0,693.5,3.0,76070.0,0.7607,1.0,currency,-1.0,6.0,-1.0,5.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1.0,-1,-1,-323.617383337,970.85215001,970.85215001,970.85215001,-970.85215001,970.85215001,970.85215001,-970.85215001,970.85215001,970.85215001,970.85215001,-970.85215001,-970.85215001,970.85215001
CGB,CBU6,147.61,0.732,0.00122091840195,1.0,1.0,1.0,-1.0,1.0,-10.0,2016-07-08,1.0,557.120024355,4.0,112344.927316,147.61,-1.0,rates,1.0,-10.0,1.0,-9.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,1,137.163989126,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
CL,QCLU6,44.19,1.7191339745,-0.0125139664804,-1.0,-1.0,1.0,-1.0,-1.0,8.0,2016-07-12,-1.0,1719.1339745,2.0,44190.0,44.19,1.0,energy,-1.0,8.0,-1.0,7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1.0,-1,-1,-552.992178771,1105.98435754,1105.98435754,1105.98435754,-1105.98435754,1105.98435754,1105.98435754,-1105.98435754,1105.98435754,1105.98435754,1105.98435754,-1105.98435754,-1105.98435754,1105.98435754
