2017-07-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-03 00:00:00,Close2017-07-03 00:00:00,group,RiskOn,Custom,PC2017-06-30 00:00:00,Close2017-06-30 00:00:00,vSTART,LastSEA,SEA2017-07-03 00:00:00,LastSRUN,SRUN2017-07-03 00:00:00,SEA2017-06-30 00:00:00,SRUN2017-06-30 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-06-30 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-06-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-06-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-06-30 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACQ7,1.528,0.027795323,0.00725115359262,1.0,-1.0,1.0,-1.0,-1.0,11.0,2017-06-15,806.064367,1.0,1.0,1.0,44312.0,1.0,0.00725115359262,1.528,energy,1.0,1.0,,,2017-06-15,1.0,1.0,12.0,12.0,,,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
AD,@ADU7,0.7647,0.0045537625,-0.00364820846906,-1.0,1.0,-1.0,1.0,1.0,-7.0,2017-06-21,455.37625,2.0,1.0,1.0,76470.0,1.0,-0.00364820846906,0.7647,currency,1.0,1.0,,,2017-06-21,1.0,1.0,-8.0,-8.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-557.957003257,557.957003257,-557.957003257,557.957003257,-557.957003257,557.957003257,-557.957003257,557.957003257,-557.957003257,-557.957003257,557.957003257,-557.957003257,557.957003257,557.957003257,-557.957003257,-557.957003257,-557.957003257,557.957003257,-557.957003257,557.957003257,-557.957003257,557.957003257,557.957003257,557.957003257,-0.0,557.957003257,557.957003257,557.957003257,557.957003257,557.957003257,557.957003257,-557.957003257,-557.957003257,-557.957003257,557.957003257
AEX,AEXN7,512.45,5.854155648,0.0117472852912,1.0,1.0,-1.0,1.0,1.0,-3.0,2017-05-16,1330.53249568,1.0,1.0,1.0,116469.636,0.879971840901,0.0117472852912,512.45,index,1.0,1.0,,,2017-06-27,1.0,1.0,-4.0,-4.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
BO,@BOZ7,33.58,0.566035837,0.00719856028794,1.0,1.0,1.0,1.0,-1.0,-4.0,2017-06-26,339.6215022,2.0,1.0,1.0,20148.0,1.0,0.00719856028794,33.58,grain,1.0,1.0,,,2017-06-26,-1.0,-1.0,-5.0,-5.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,290.073185363,290.073185363,290.073185363,-290.073185363,290.073185363,-290.073185363,290.073185363,-290.073185363,290.073185363,290.073185363,290.073185363,290.073185363,-290.073185363,-290.073185363,-290.073185363,-290.073185363,-290.073185363,290.073185363,-290.073185363,290.073185363,-290.073185363,-290.073185363,-290.073185363,-290.073185363,-290.073185363,-290.073185363,290.073185363,290.073185363,290.073185363,290.073185363,0.0,-290.073185363,290.073185363,0.0,-290.073185363
BP,@BPU7,1.2985,0.0105201525,-0.00459946339594,-1.0,1.0,-1.0,1.0,1.0,-6.0,2017-06-22,657.50953125,1.0,1.0,1.0,81156.25,1.0,-0.00459946339594,1.2985,currency,1.0,1.0,,,2017-06-22,1.0,1.0,-7.0,-7.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-373.275201227,373.275201227,-373.275201227,373.275201227,-373.275201227,373.275201227,-373.275201227,373.275201227,-373.275201227,-373.275201227,373.275201227,-373.275201227,373.275201227,373.275201227,-373.275201227,-373.275201227,-373.275201227,373.275201227,-373.275201227,373.275201227,-373.275201227,373.275201227,373.275201227,373.275201227,-0.0,373.275201227,373.275201227,373.275201227,373.275201227,373.275201227,373.275201227,-373.275201227,-373.275201227,-373.275201227,373.275201227
C,@CU7,388.5,7.910809461,0.0196850393701,1.0,-1.0,1.0,-1.0,-1.0,-5.0,2017-06-23,395.54047305,2.0,1.0,1.0,19425.0,1.0,0.0196850393701,388.5,grain,1.0,1.0,,,2017-06-23,-1.0,-1.0,-6.0,-6.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,764.763779528,764.763779528,764.763779528,-764.763779528,764.763779528,-764.763779528,764.763779528,-764.763779528,764.763779528,-764.763779528,764.763779528,-764.763779528,764.763779528,764.763779528,-764.763779528,-764.763779528,-764.763779528,764.763779528,-764.763779528,764.763779528,764.763779528,-764.763779528,764.763779528,764.763779528,764.763779528,764.763779528,764.763779528,764.763779528,764.763779528,764.763779528,764.763779528,-764.763779528,764.763779528,764.763779528,764.763779528
CC,@CCU7,1958.0,60.975165563,0.00927835051546,1.0,1.0,-1.0,1.0,1.0,6.0,2017-06-22,609.75165563,1.0,1.0,1.0,19580.0,1.0,0.00927835051546,1958.0,soft,1.0,1.0,,,2017-06-22,1.0,1.0,7.0,7.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CD,@CDU7,0.7702,0.005010136,-0.00284826514759,-1.0,1.0,1.0,1.0,-1.0,24.0,2017-05-26,501.0136,1.0,1.0,1.0,77020.0,1.0,-0.00284826514759,0.7702,currency,1.0,1.0,,,2017-05-26,-1.0,-1.0,25.0,25.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-219.373381668,219.373381668,-219.373381668,219.373381668,-219.373381668,219.373381668,-219.373381668,219.373381668,-219.373381668,-219.373381668,-219.373381668,-219.373381668,219.373381668,219.373381668,219.373381668,219.373381668,219.373381668,-219.373381668,219.373381668,-219.373381668,219.373381668,219.373381668,219.373381668,219.373381668,219.373381668,219.373381668,-219.373381668,-219.373381668,-219.373381668,-219.373381668,-0.0,219.373381668,-219.373381668,-0.0,219.373381668
CGB,CBU7,140.55,0.7235,,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2017-06-26,556.281716131,1.0,1.0,1.0,108065.508227,1.3006,,,rates,-1.0,1.0,-0.00657336726039,140.55,2017-06-26,1.0,,-4.0,,1.0,-4.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,QCLQ7,47.07,1.1617475245,0.0223718505647,1.0,-1.0,-1.0,1.0,1.0,27.0,2017-06-21,1161.7475245,1.0,1.0,1.0,47070.0,1.0,0.0223718505647,47.07,energy,1.0,1.0,,,2017-06-21,1.0,1.0,28.0,28.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,1053.04300608,1053.04300608,1053.04300608,-1053.04300608,1053.04300608,-1053.04300608,1053.04300608,-1053.04300608,1053.04300608,-1053.04300608,-1053.04300608,1053.04300608,-1053.04300608,1053.04300608,1053.04300608,1053.04300608,1053.04300608,-1053.04300608,1053.04300608,-1053.04300608,1053.04300608,-1053.04300608,-1053.04300608,-1053.04300608,0.0,-1053.04300608,-1053.04300608,-1053.04300608,-1053.04300608,-1053.04300608,0.0,1053.04300608,0.0,1053.04300608,-1053.04300608
