2016-09-16 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-16 00:00:00,Close2016-09-16 00:00:00,group,RiskOn,Excess,PC2016-09-15 00:00:00,Close2016-09-15 00:00:00,PC2016-09-14 00:00:00,Close2016-09-14 00:00:00,SEA2016-09-16 00:00:00,SRUN2016-09-16 00:00:00,SEA2016-09-15 00:00:00,SRUN2016-09-15 00:00:00,SEA2016-09-14 00:00:00,SRUN2016-09-14 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-15 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-15 00:00:00,0.5SIG2016-09-14 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-15 00:00:00,0.75SIG2016-09-14 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-15 00:00:00,1SIG2016-09-14 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.4,0.0272015915,0.00734802823856,1.0,-1.0,1.0,-1.0,-1.0,-11.0,2016-08-31,788.8461535,3.0,1.0,1.0,40600.0,0.00734802823856,1.4,energy,1.0,1.0,,,,,-1.0,-11.0,,,,,-1.0,-1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,-1,1,0.0,0,1,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
AD,@ADZ6,0.7462,0.0069860275,-0.00480128034142,-1.0,-1.0,-1.0,1.0,1.0,-15.0,2016-08-25,698.60275,3.0,1.0,1.0,74620.0,-0.00480128034142,0.7462,currency,1.0,1.0,,,,,1.0,-15.0,,,,,1.0,1.0,-14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,2.0,3.0,1.0,,-1,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,1,1,0.0,0,-1,-1,-1074.81461723,1074.81461723,-1074.81461723,1074.81461723,-1074.81461723,1074.81461723,-1074.81461723,1074.81461723,1074.81461723,1074.81461723,1074.81461723,-1074.81461723,1074.81461723,-1074.81461723,-1074.81461723,1074.81461723,1074.81461723,-1074.81461723,-1074.81461723,1074.81461723,1074.81461723,1074.81461723,-1074.81461723,1074.81461723,1074.81461723,1074.81461723,1074.81461723,1074.81461723,-1074.81461723,-1074.81461723,-0.0,-0.0,1074.81461723
AEX,AEXV6,438.8,5.9947937845,-0.0092571686611,-1.0,-1.0,-1.0,-1.0,1.0,9.0,2016-09-05,1337.67828507,2.0,1.0,1.0,97913.832,-0.0092571686611,438.8,index,1.0,1.0,,,,,1.0,9.0,,,,,1.0,-1.0,8.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,1,-1,0.0,0.0,1,1,1.0,0,1,0,-1812.80971416,1812.80971416,-1812.80971416,1812.80971416,-1812.80971416,1812.80971416,-1812.80971416,1812.80971416,-0.0,1812.80971416,1812.80971416,1812.80971416,-1812.80971416,-1812.80971416,1812.80971416,-1812.80971416,1812.80971416,-1812.80971416,-1812.80971416,1812.80971416,-1812.80971416,-0.0,-1812.80971416,1812.80971416,-1812.80971416,1812.80971416,-0.0,-0.0,-1812.80971416,-1812.80971416,-1812.80971416,-0.0,-1812.80971416
BO,@BOZ6,32.23,0.6065,-0.00154894671623,-1.0,-1.0,-1.0,-1.0,-1.0,-19.0,2016-08-19,363.9,6.0,1.0,1.0,19338.0,-0.00154894671623,32.23,grain,1.0,1.0,,,,,-1.0,-19.0,,,,,1.0,-1.0,-18.0,0.0,1.0,6.0,0.0,1.0,6.0,-1.0,,2.0,6.0,-1.0,,2.0,6.0,-1.0,,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,-1,1,-1,0.0,0.0,1,1,1.0,0,1,0,-179.721189591,179.721189591,-179.721189591,179.721189591,-179.721189591,179.721189591,-179.721189591,179.721189591,-0.0,179.721189591,179.721189591,179.721189591,-179.721189591,-179.721189591,179.721189591,-179.721189591,-179.721189591,179.721189591,-179.721189591,179.721189591,-179.721189591,-0.0,-179.721189591,179.721189591,-179.721189591,179.721189591,-0.0,-0.0,-179.721189591,-179.721189591,-179.721189591,-0.0,-179.721189591
BP,@BPZ6,1.3022,0.011554723,-0.0179487179487,-1.0,1.0,-1.0,1.0,1.0,8.0,2016-09-06,722.1701875,3.0,1.0,1.0,81387.5,-0.0179487179487,1.3022,currency,1.0,1.0,,,,,1.0,8.0,,,,,1.0,1.0,-22.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,1,-1,-1.0,-1,-1,-1,-4382.40384615,4382.40384615,-4382.40384615,4382.40384615,-4382.40384615,4382.40384615,-4382.40384615,4382.40384615,4382.40384615,-4382.40384615,4382.40384615,-4382.40384615,4382.40384615,4382.40384615,-4382.40384615,4382.40384615,4382.40384615,-4382.40384615,-4382.40384615,4382.40384615,4382.40384615,4382.40384615,-4382.40384615,4382.40384615,4382.40384615,4382.40384615,4382.40384615,4382.40384615,-4382.40384615,4382.40384615,4382.40384615,4382.40384615,4382.40384615
C,@CZ6,337.0,6.9125,0.0212121212121,1.0,-1.0,-1.0,1.0,-1.0,-11.0,2016-08-31,345.625,6.0,1.0,1.0,16850.0,0.0212121212121,337.0,grain,1.0,1.0,,,,,-1.0,-11.0,,,,,-1.0,-1.0,-10.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,,1.0,6.0,-1.0,,1.0,6.0,1.0,,-1,-1,-1,1,1,1,1.0,-1,-1,-1,1,-1,1,1,1,1.0,1.0,-1,1,0.0,0,1,0,2144.54545455,2144.54545455,-2144.54545455,2144.54545455,2144.54545455,-2144.54545455,2144.54545455,-2144.54545455,2144.54545455,-2144.54545455,-2144.54545455,2144.54545455,-2144.54545455,2144.54545455,-2144.54545455,2144.54545455,2144.54545455,-2144.54545455,-2144.54545455,-2144.54545455,2144.54545455,0.0,-2144.54545455,2144.54545455,2144.54545455,2144.54545455,2144.54545455,2144.54545455,-2144.54545455,2144.54545455,0.0,0.0,2144.54545455
CC,@CCZ6,2803.0,64.45,-0.0102401129944,-1.0,1.0,1.0,-1.0,1.0,14.0,2016-08-26,644.5,4.0,1.0,1.0,28030.0,-0.0102401129944,2803.0,soft,1.0,1.0,,,,,1.0,14.0,,,,,1.0,1.0,13.0,0.0,1.0,4.0,0.0,2.0,4.0,1.0,,2.0,4.0,1.0,,1.0,4.0,-1.0,,-1,-1,1,-1,-1,-1,1.0,-1,1,-1,-1,1,-1,1,1,0.0,0.0,1,-1,-1.0,-1,-1,0,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,-0.0,-1148.12146893,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,-1148.12146893,1148.12146893,1148.12146893,-0.0,-1148.12146893,1148.12146893,-1148.12146893,-1148.12146893,-0.0,-0.0,-1148.12146893,1148.12146893,1148.12146893,1148.12146893,1148.12146893
CD,@CDZ6,0.7572,0.005738038,-0.00440470711985,-1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-09-06,573.8038,4.0,1.0,1.0,75720.0,-0.00440470711985,0.7572,currency,1.0,1.0,,,,,1.0,-8.0,,,,,1.0,1.0,-7.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,1,0.0,0.0,1,1,0.0,0,-1,1,-1334.09769246,1334.09769246,-1334.09769246,1334.09769246,-1334.09769246,1334.09769246,-1334.09769246,1334.09769246,-0.0,1334.09769246,-1334.09769246,1334.09769246,-1334.09769246,-1334.09769246,-1334.09769246,1334.09769246,1334.09769246,-1334.09769246,-1334.09769246,-1334.09769246,1334.09769246,-1334.09769246,-1334.09769246,1334.09769246,-1334.09769246,-1334.09769246,-0.0,-0.0,-1334.09769246,-1334.09769246,-0.0,-0.0,1334.09769246
CGB,CBZ6,144.54,0.7049348815,-0.000553173834878,-1.0,-1.0,1.0,-1.0,1.0,10.0,2016-09-01,533.354680714,4.0,1.0,1.0,109359.158659,-0.000553173834878,144.54,rates,-1.0,1.0,,,,,1.0,10.0,,,,,-1.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,1,1,-1,1,1.0,-1,1,1,1,-1,1,-1,1,1.0,0.0,1,1,0.0,1,1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CL,QCLX6,43.62,1.595638976,-0.0202156334232,-1.0,1.0,1.0,1.0,-1.0,19.0,2016-08-19,1595.638976,2.0,1.0,1.0,43620.0,-0.0202156334232,43.62,energy,1.0,1.0,,,,,-1.0,19.0,,,,,1.0,-1.0,18.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,1,1,1.0,1.0,1,-1,0.0,-1,-1,0,-1763.61185984,1763.61185984,-1763.61185984,1763.61185984,-1763.61185984,1763.61185984,-1763.61185984,1763.61185984,-1763.61185984,-1763.61185984,-1763.61185984,-1763.61185984,1763.61185984,1763.61185984,1763.61185984,-1763.61185984,1763.61185984,-1763.61185984,1763.61185984,-1763.61185984,1763.61185984,-0.0,-1763.61185984,-1763.61185984,-1763.61185984,-1763.61185984,-1763.61185984,-1763.61185984,-1763.61185984,1763.61185984,-0.0,1763.61185984,1763.61185984
CT,@CTZ6,67.28,1.2965,-0.00649734199646,-1.0,1.0,-1.0,1.0,-1.0,11.0,2016-08-31,648.25,4.0,1.0,1.0,33640.0,-0.00649734199646,67.28,soft,1.0,1.0,,,,,-1.0,11.0,,,,,1.0,-1.0,10.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,-1,1,-1,0.0,0.0,-1,-1,0.0,-1,-1,-1,-874.282339043,874.282339043,-874.282339043,874.282339043,-874.282339043,874.282339043,-874.282339043,874.282339043,-0.0,-874.282339043,874.282339043,-874.282339043,874.282339043,874.282339043,874.282339043,-874.282339043,874.282339043,-874.282339043,874.282339043,874.282339043,874.282339043,874.282339043,-874.282339043,874.282339043,-874.282339043,874.282339043,-0.0,-0.0,874.282339043,874.282339043,-0.0,874.282339043,874.282339043
