2017-09-29 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-09-29 00:00:00,Close2017-09-29 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-09-29 00:00:00,LastSRUN,SRUN2017-09-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-09-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-09-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-09-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-09-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ7,68.45,1.381,-0.00753950993185,-1.0,1.0,-1.0,1.0,1.0,9.0,2017-09-15,690.5,1.0,1.0,1.0,34225.0,1.0,-0.00753950993185,68.45,soft,1.0,1.0,2017-09-15,1.0,1.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
CU,@EUZ7,1.18645,0.0084017465,0.00198462967655,1.0,-1.0,-1.0,-1.0,-1.0,-14.0,2017-09-08,1050.2183125,1.0,1.0,1.0,148306.25,1.0,0.00198462967655,1.18645,currency,1.0,1.0,2017-09-08,-1.0,-1.0,-15.0,-15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,294.332984967,294.332984967,294.332984967,-294.332984967,294.332984967,-294.332984967,294.332984967,-294.332984967,294.332984967,-294.332984967,-294.332984967,-294.332984967,294.332984967,294.332984967,294.332984967,-294.332984967,-294.332984967,294.332984967,-294.332984967,294.332984967,294.332984967,-294.332984967,294.332984967,0.0,294.332984967,294.332984967,294.332984967,-294.332984967,294.332984967,0.0,294.332984967,-294.332984967,294.332984967,294.332984967,294.332984967
DX,@DXZ7,92.883,0.5684596355,-0.000527267249172,-1.0,1.0,-1.0,1.0,1.0,-14.0,2017-09-08,568.4596355,1.0,1.0,1.0,92883.0,1.0,-0.000527267249172,92.883,currency,-1.0,-1.0,2017-09-08,1.0,1.0,-15.0,-15.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1.0,-1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
EBL,BDZ7,161.01,0.6345,0.00130597014925,1.0,-1.0,-1.0,-1.0,-1.0,-15.0,2017-09-07,749.78865,1.0,1.0,1.0,190265.517,0.846238470001,0.00130597014925,161.01,rates,-1.0,1.0,2017-09-07,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
EBM,BLZ7,131.18,0.244,0.000228745711018,1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2017-09-18,288.3348,3.0,1.0,1.0,155015.406,0.846238470001,0.000228745711018,131.18,rates,-1.0,1.0,2017-09-18,-1.0,-1.0,-9.0,-9.0,-1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
EBS,EZZ7,112.13,0.05575,-8.91742464777e-05,-1.0,1.0,-1.0,1.0,-1.0,4.0,2017-09-22,65.879775,15.0,3.0,3.0,132504.021,0.846238470001,-8.91742464777e-05,112.13,rates,-1.0,1.0,2017-09-22,-1.0,-1.0,5.0,5.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
ED,@EDZ7,98.52,0.024,0.0,1.0,1.0,-1.0,1.0,-1.0,7.0,2017-09-19,60.0,16.0,4.0,4.0,246300.0,1.0,0.0,98.52,rates,-1.0,1.0,2017-09-19,-1.0,-1.0,8.0,8.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
EMD,@EMDZ7,1795.7,12.025,0.000947603121516,1.0,1.0,-1.0,1.0,-1.0,-8.0,2017-09-18,1202.5,1.0,1.0,1.0,179570.0,1.0,0.000947603121516,1795.7,index,1.0,1.0,2017-09-18,-1.0,-1.0,-9.0,-9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,170.161092531,170.161092531,170.161092531,-170.161092531,170.161092531,-170.161092531,170.161092531,-170.161092531,170.161092531,170.161092531,-170.161092531,170.161092531,-170.161092531,-170.161092531,170.161092531,-170.161092531,-170.161092531,170.161092531,-170.161092531,170.161092531,-170.161092531,-170.161092531,-170.161092531,-170.161092531,-170.161092531,-170.161092531,170.161092531,-170.161092531,170.161092531,0.0,0.0,-170.161092531,170.161092531,0.0,-170.161092531
ES,@ESZ7,2516.0,12.021853716,0.00328980161499,1.0,1.0,1.0,1.0,-1.0,-8.0,2017-09-18,601.0926858,1.0,1.0,1.0,125800.0,1.0,0.00328980161499,2516.0,index,1.0,1.0,2017-09-18,-1.0,-1.0,-9.0,-9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,413.857043166,413.857043166,413.857043166,-413.857043166,413.857043166,-413.857043166,413.857043166,-413.857043166,413.857043166,413.857043166,413.857043166,413.857043166,-413.857043166,-413.857043166,-413.857043166,-413.857043166,-413.857043166,413.857043166,-413.857043166,413.857043166,-413.857043166,-413.857043166,-413.857043166,-413.857043166,-413.857043166,-413.857043166,413.857043166,413.857043166,413.857043166,413.857043166,0.0,-413.857043166,413.857043166,0.0,-413.857043166
FC,@GFX7,154.0,2.321465807,-0.00629133731247,-1.0,-1.0,1.0,-1.0,-1.0,6.0,2017-09-20,1160.7329035,1.0,1.0,1.0,77000.0,1.0,-0.00629133731247,154.0,meat,1.0,-1.0,2017-09-20,-1.0,-1.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-484.43297306,484.43297306,-484.43297306,484.43297306,-484.43297306,484.43297306,484.43297306,-484.43297306,-484.43297306,484.43297306,-484.43297306,484.43297306,-484.43297306,-484.43297306,484.43297306,484.43297306,484.43297306,-484.43297306,484.43297306,-484.43297306,-484.43297306,484.43297306,-484.43297306,-484.43297306,-484.43297306,-484.43297306,-484.43297306,-484.43297306,-484.43297306,-484.43297306,-484.43297306,484.43297306,-484.43297306,-484.43297306,-484.43297306
