2016-09-27 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-27 00:00:00,Close2016-09-27 00:00:00,group,RiskOn,Excess,PC2016-09-26 00:00:00,Close2016-09-26 00:00:00,SEA2016-09-27 00:00:00,SRUN2016-09-27 00:00:00,SEA2016-09-26 00:00:00,SRUN2016-09-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-26 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.452,0.026481432,0.0139664804469,1.0,1.0,1.0,1.0,1.0,-18.0,2016-08-31,767.961528,3.0,1.0,1.0,42108.0,0.0139664804469,1.452,energy,1.0,1.0,,,1.0,-18.0,,,1.0,1.0,-17.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
AD,@ADZ6,0.7649,0.007041261,0.0036740585225,1.0,1.0,-1.0,1.0,1.0,10.0,2016-09-13,704.1261,3.0,1.0,1.0,76490.0,0.0036740585225,0.7649,currency,1.0,1.0,,,1.0,10.0,,,1.0,1.0,9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,843.086209159,843.086209159,843.086209159,-843.086209159,843.086209159,-843.086209159,843.086209159,-843.086209159,-843.086209159,843.086209159,-843.086209159,843.086209159,-843.086209159,-843.086209159,843.086209159,-843.086209159,843.086209159,-843.086209159,843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159,-843.086209159
AEX,AEXV6,447.65,6.300860169,0.0,1.0,-1.0,-1.0,-1.0,1.0,2.0,2016-09-16,1413.53497031,2.0,1.0,1.0,100425.801,0.0,447.65,index,1.0,1.0,,,1.0,2.0,,,-1.0,1.0,-6.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
BO,@BOZ6,33.35,0.6195,0.0,1.0,-1.0,1.0,-1.0,-1.0,10.0,2016-09-13,371.7,6.0,1.0,1.0,20010.0,0.0,33.35,grain,1.0,1.0,,,-1.0,10.0,,,-1.0,-1.0,9.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP,@BPZ6,1.3043,0.011829059,0.004312004312,1.0,1.0,1.0,-1.0,1.0,-15.0,2016-09-06,739.3161875,3.0,1.0,1.0,81518.75,0.004312004312,1.3043,currency,1.0,1.0,,,1.0,-15.0,,,1.0,1.0,-14.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,-1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,0.0,0.0,-1.0,1.0,-1.0,-1,-1,0,1054.52760453,1054.52760453,1054.52760453,-1054.52760453,1054.52760453,-1054.52760453,1054.52760453,-1054.52760453,0.0,1054.52760453,1054.52760453,-1054.52760453,1054.52760453,-1054.52760453,1054.52760453,-1054.52760453,-1054.52760453,1054.52760453,1054.52760453,1054.52760453,-1054.52760453,0.0,1054.52760453,1054.52760453,-1054.52760453,-1054.52760453,0.0,0.0,-1054.52760453,1054.52760453,-1054.52760453,-1054.52760453,-1054.52760453
C,@CZ6,331.75,6.75,0.00835866261398,1.0,-1.0,-1.0,-1.0,1.0,12.0,2016-09-09,337.5,6.0,1.0,1.0,16587.5,0.00835866261398,331.75,grain,1.0,1.0,,,1.0,12.0,,,-1.0,-1.0,11.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,-1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,831.895896657,831.895896657,-831.895896657,831.895896657,831.895896657,-831.895896657,831.895896657,-831.895896657,831.895896657,-831.895896657,-831.895896657,-831.895896657,831.895896657,831.895896657,-831.895896657,831.895896657,-831.895896657,831.895896657,-831.895896657,831.895896657,831.895896657,831.895896657,831.895896657,-831.895896657,831.895896657,831.895896657,831.895896657,831.895896657,831.895896657,831.895896657,0.0,0.0,831.895896657
CC,@CCZ6,2868.0,57.65,0.00808435852373,1.0,1.0,-1.0,1.0,-1.0,21.0,2016-09-09,576.5,4.0,1.0,1.0,28680.0,0.00808435852373,2868.0,soft,1.0,1.0,,,-1.0,21.0,,,-1.0,-1.0,20.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,-1,-1,1,1,1.0,1.0,1.0,1.0,-1.0,-1,-1,1,927.437609842,927.437609842,-927.437609842,927.437609842,927.437609842,-927.437609842,927.437609842,-927.437609842,927.437609842,927.437609842,-927.437609842,927.437609842,-927.437609842,-927.437609842,-927.437609842,927.437609842,-927.437609842,927.437609842,-927.437609842,927.437609842,927.437609842,927.437609842,-927.437609842,-927.437609842,927.437609842,927.437609842,927.437609842,927.437609842,927.437609842,927.437609842,-927.437609842,-927.437609842,-927.437609842
CD,@CDZ6,0.75705,0.0062319365,0.00119024003174,1.0,-1.0,1.0,-1.0,-1.0,-15.0,2016-09-06,623.19365,4.0,1.0,1.0,75705.0,0.00119024003174,0.75705,currency,1.0,1.0,,,-1.0,-15.0,,,-1.0,-1.0,-14.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,360.428486411,360.428486411,-360.428486411,360.428486411,360.428486411,-360.428486411,360.428486411,-360.428486411,360.428486411,-360.428486411,360.428486411,-360.428486411,360.428486411,360.428486411,-360.428486411,360.428486411,360.428486411,-360.428486411,-360.428486411,360.428486411,360.428486411,360.428486411,-360.428486411,360.428486411,360.428486411,360.428486411,360.428486411,360.428486411,360.428486411,360.428486411,0.0,0.0,360.428486411
CGB,CBZ6,147.55,0.6875,0.00265017667845,1.0,1.0,-1.0,1.0,1.0,-10.0,2016-09-13,520.55728023,4.0,1.0,1.0,111721.057015,0.00265017667845,147.55,rates,-1.0,1.0,,,1.0,-10.0,,,1.0,1.0,-9.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CL,QCLX6,44.67,1.651167261,-0.0274330502939,-1.0,1.0,-1.0,1.0,-1.0,13.0,2016-09-08,1651.167261,2.0,1.0,1.0,44670.0,-0.0274330502939,44.67,energy,1.0,1.0,,,-1.0,13.0,,,1.0,-1.0,12.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,1,1,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-2450.86871326,2450.86871326,-2450.86871326,2450.86871326,-2450.86871326,2450.86871326,-2450.86871326,2450.86871326,-0.0,-2450.86871326,2450.86871326,-2450.86871326,2450.86871326,2450.86871326,2450.86871326,-2450.86871326,2450.86871326,-2450.86871326,2450.86871326,2450.86871326,2450.86871326,2450.86871326,-2450.86871326,-2450.86871326,-2450.86871326,2450.86871326,-0.0,-0.0,-0.0,-0.0,-0.0,2450.86871326,2450.86871326
