2016-07-25 00:00:00,Contract,LastClose,ATR20,PC2016-07-25 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-25 00:00:00,RiskOn,group,SEA2016-07-25 00:00:00,SRUN2016-07-25 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-22 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-22 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-22 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-22 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.466,0.034923565,0.00479780671693,1.0,1.0,1.0,1.0,-1.0,8.0,2016-07-13,1.0,1012.783385,2.0,42514.0,1.466,1.0,energy,-1.0,8.0,-1.0,7.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1.0,1,-1,-1,203.973954764,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
AD,@ADU6,0.7454,0.007575,0.000268384326355,1.0,-1.0,1.0,-1.0,-1.0,-7.0,2016-07-14,-1.0,757.5,3.0,74540.0,0.7454,1.0,currency,-1.0,-7.0,-1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1.0,1,1,-1,20.0053676865,60.0161030596,60.0161030596,-60.0161030596,60.0161030596,-60.0161030596,-60.0161030596,60.0161030596,60.0161030596,60.0161030596,60.0161030596,-60.0161030596,60.0161030596,60.0161030596,-60.0161030596
AEX,AEXQ6,449.35,6.752810128,-0.00122249388753,-1.0,1.0,-1.0,1.0,1.0,-12.0,2016-07-07,1.0,1484.67283474,2.0,98794.091,449.35,1.0,index,1.0,-12.0,-1.0,12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,-1.0,-1,-1,-1,-120.775172372,241.550344743,241.550344743,-241.550344743,241.550344743,-241.550344743,241.550344743,-241.550344743,241.550344743,241.550344743,241.550344743,-241.550344743,241.550344743,-241.550344743,241.550344743
BO,@BOZ6,29.96,0.781,-0.0241042345277,-1.0,-1.0,1.0,-1.0,1.0,2.0,2016-07-07,-1.0,468.6,5.0,17976.0,29.96,1.0,grain,1.0,2.0,-1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,1,-1.0,-1,1,-1,-433.29771987,2166.48859935,-2166.48859935,2166.48859935,-2166.48859935,2166.48859935,2166.48859935,-2166.48859935,2166.48859935,2166.48859935,-2166.48859935,2166.48859935,-2166.48859935,-2166.48859935,2166.48859935
BP,@BPU6,1.3136,0.020495,0.00274809160305,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-07-14,-1.0,1280.9375,2.0,82100.0,1.3136,1.0,currency,-1.0,-7.0,-1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1.0,-1,1,-1,225.618320611,451.236641221,451.236641221,-451.236641221,-451.236641221,-451.236641221,-451.236641221,451.236641221,451.236641221,-451.236641221,451.236641221,-451.236641221,451.236641221,451.236641221,-451.236641221
C,@CZ6,341.25,13.4058552165,-0.00146305779078,-1.0,1.0,1.0,1.0,-1.0,8.0,2016-07-13,1.0,670.292760825,3.0,17062.5,341.25,1.0,grain,-1.0,8.0,-1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,-1,-1.0,1,-1,-1,-24.9634235552,74.8902706657,74.8902706657,-74.8902706657,-74.8902706657,-74.8902706657,74.8902706657,-74.8902706657,74.8902706657,-74.8902706657,74.8902706657,-74.8902706657,74.8902706657,-74.8902706657,74.8902706657
CC,@CCU6,2854.0,55.95,-0.011088011088,-1.0,-1.0,1.0,-1.0,-1.0,16.0,2016-07-14,-1.0,559.5,4.0,28540.0,2854.0,1.0,soft,-1.0,16.0,-1.0,15.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1.0,-1,1,-1,-316.451836452,1265.80734581,-1265.80734581,1265.80734581,-1265.80734581,1265.80734581,1265.80734581,-1265.80734581,1265.80734581,1265.80734581,-1265.80734581,1265.80734581,-1265.80734581,-1265.80734581,1265.80734581
CD,@CDU6,0.75655,0.006825,-0.00545550151177,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,2016-07-14,-1.0,682.5,3.0,75655.0,0.75655,1.0,currency,-1.0,7.0,-1.0,6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1.0,-1,-1,-1,-412.735966873,1238.20790062,1238.20790062,1238.20790062,1238.20790062,1238.20790062,1238.20790062,-1238.20790062,1238.20790062,1238.20790062,1238.20790062,1238.20790062,-1238.20790062,-1238.20790062,1238.20790062
CGB,CBU6,147.49,0.688,-0.000812953051961,-1.0,1.0,1.0,-1.0,1.0,-11.0,2016-07-08,1.0,520.738722374,4.0,111633.363609,147.49,-1.0,rates,1.0,-11.0,1.0,-10.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,-1,1,-90.7526836465,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
CL,QCLU6,43.13,1.680881731,-0.0239873274496,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,2016-07-12,-1.0,1680.881731,2.0,43130.0,43.13,1.0,energy,-1.0,9.0,-1.0,8.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1.0,-1,-1,-1,-1034.5734329,2069.14686581,2069.14686581,2069.14686581,2069.14686581,2069.14686581,2069.14686581,-2069.14686581,2069.14686581,2069.14686581,2069.14686581,2069.14686581,-2069.14686581,-2069.14686581,2069.14686581
