2016-08-10 00:00:00,Contract,LastClose,ATR20,PC2016-08-10 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-10 00:00:00,RiskOn,group,SEA2016-08-10 00:00:00,SRUN2016-08-10 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-09 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-09 00:00:00,0.5SIG2016-08-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-09 00:00:00,0.75SIG2016-08-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-09 00:00:00,1SIG2016-08-08 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACU6,1.417,0.027218033,-0.00351617440225,-1.0,1.0,-1.0,1.0,1.0,-6.0,2016-08-02,789.322957,3.0,1.0,41093.0,1.417,1.0,energy,1.0,-6.0,-1.0,1.0,-5.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
AD,@ADU6,0.7701,0.00783,0.00561504309219,1.0,1.0,-1.0,1.0,-1.0,-13.0,2016-07-22,783.0,3.0,1.0,77010.0,0.7701,1.0,currency,-1.0,-13.0,1.0,-1.0,-12.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,1297.24340559,1297.24340559,1297.24340559,-1297.24340559,1297.24340559,-1297.24340559,1297.24340559,1297.24340559,-1297.24340559,1297.24340559,-1297.24340559,-1297.24340559,-1297.24340559,1297.24340559,1297.24340559,-1297.24340559,1297.24340559,-1297.24340559,1297.24340559,1297.24340559,-1297.24340559,-1297.24340559
AEX,AEXQ6,450.45,5.12,-0.00375981422094,-1.0,1.0,1.0,1.0,-1.0,-6.0,2016-08-02,1144.4224,2.0,1.0,100684.584,450.45,1.0,index,-1.0,-6.0,1.0,-1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,1,-1,1.0,-1,1,1,1,1,-1,1,-1,-757.110661506,757.110661506,-757.110661506,757.110661506,-757.110661506,757.110661506,-757.110661506,-757.110661506,-757.110661506,-757.110661506,757.110661506,757.110661506,757.110661506,-757.110661506,-757.110661506,757.110661506,-757.110661506,-757.110661506,-757.110661506,-757.110661506,757.110661506,-757.110661506
BO,@BOZ6,31.99,0.6835,0.0107424960506,1.0,-1.0,-1.0,1.0,-1.0,-6.0,2016-08-02,410.1,5.0,2.0,19194.0,31.99,1.0,grain,-1.0,-6.0,1.0,-1.0,-5.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,,1.0,5.0,-1.0,,2.0,5.0,1.0,,-1,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,1030.95734597,1030.95734597,1030.95734597,-1030.95734597,1030.95734597,-1030.95734597,1030.95734597,-1030.95734597,-1030.95734597,1030.95734597,-1030.95734597,1030.95734597,-1030.95734597,1030.95734597,1030.95734597,-1030.95734597,1030.95734597,-1030.95734597,-1030.95734597,-1030.95734597,-1030.95734597,-1030.95734597
BP,@BPU6,1.302,0.01453,0.00084556845261,1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-08-02,908.125,3.0,1.0,81375.0,1.302,1.0,currency,-1.0,6.0,-1.0,-1.0,5.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,1,1,-1.0,1,-1,1,1,1,1,1,-1,206.424398493,206.424398493,-206.424398493,206.424398493,206.424398493,-206.424398493,-206.424398493,-206.424398493,206.424398493,-206.424398493,206.424398493,206.424398493,-206.424398493,206.424398493,-206.424398493,206.424398493,-206.424398493,206.424398493,206.424398493,206.424398493,206.424398493,206.424398493
C,@CZ6,333.0,7.925,0.0015037593985,1.0,-1.0,1.0,-1.0,1.0,-9.0,2016-07-28,396.25,6.0,2.0,16650.0,333.0,1.0,grain,1.0,-9.0,-1.0,1.0,-8.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,,1.0,6.0,-1.0,,1.0,6.0,-1.0,,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,150.22556391,150.22556391,-150.22556391,150.22556391,150.22556391,-150.22556391,-150.22556391,-150.22556391,150.22556391,-150.22556391,150.22556391,150.22556391,150.22556391,-150.22556391,-150.22556391,150.22556391,-150.22556391,150.22556391,-150.22556391,-150.22556391,150.22556391,150.22556391
CC,@CCZ6,3005.0,66.847921478,0.0176092109719,1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-07-29,668.47921478,3.0,1.0,30050.0,3005.0,1.0,soft,1.0,-8.0,-1.0,-1.0,-7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1587.47036912,1587.47036912,-1587.47036912,1587.47036912,1587.47036912,-1587.47036912,-1587.47036912,-1587.47036912,1587.47036912,-1587.47036912,1587.47036912,1587.47036912,-1587.47036912,1587.47036912,1587.47036912,-1587.47036912,-1587.47036912,1587.47036912,1587.47036912,1587.47036912,-1587.47036912,1587.47036912
CD,@CDU6,0.76605,0.00631,0.00610717100079,1.0,-1.0,-1.0,-1.0,-1.0,4.0,2016-08-04,631.0,4.0,1.0,76605.0,0.76605,1.0,currency,-1.0,4.0,1.0,-1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1871.35933806,1871.35933806,1871.35933806,-1871.35933806,1871.35933806,-1871.35933806,1871.35933806,-1871.35933806,-1871.35933806,-1871.35933806,1871.35933806,1871.35933806,-1871.35933806,1871.35933806,-1871.35933806,1871.35933806,1871.35933806,-1871.35933806,-1871.35933806,-1871.35933806,1871.35933806,-1871.35933806
CGB,CBU6,148.86,0.6645,0.00161485668147,1.0,1.0,-1.0,1.0,1.0,5.0,2016-08-03,508.766556925,4.0,1.0,113972.896409,148.86,-1.0,rates,1.0,5.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CL,QCLU6,41.71,1.365,-0.0247837269114,-1.0,-1.0,1.0,-1.0,-1.0,-6.0,2016-08-02,1365.0,2.0,1.0,41710.0,41.71,1.0,energy,-1.0,-6.0,-1.0,-1.0,-5.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,-2067.45849895,2067.45849895,2067.45849895,-2067.45849895,-2067.45849895,2067.45849895,2067.45849895,2067.45849895,-2067.45849895,2067.45849895,-2067.45849895,-2067.45849895,2067.45849895,-2067.45849895,-2067.45849895,2067.45849895,2067.45849895,-2067.45849895,-2067.45849895,-2067.45849895,2067.45849895,-2067.45849895
