2016-07-28 00:00:00,Contract,LastClose,ATR20,PC2016-07-28 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-28 00:00:00,RiskOn,group,SEA2016-07-28 00:00:00,SRUN2016-07-28 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-27 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-27 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-27 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
LH,@HEV6,59.2,1.534887907,-0.030303030303,-1.0,-1.0,1.0,-1.0,-1.0,-10.0,2016-07-14,-1.0,613.9551628,4.0,23680.0,59.2,1.0,meat,-1.0,-10.0,1.0,-2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,1,-1.0,-1,1,1,1,-1,-717.575757576,2870.3030303,-2870.3030303,2870.3030303,-2870.3030303,2870.3030303,-2870.3030303,2870.3030303,2870.3030303,2870.3030303,-2870.3030303,-2870.3030303,2870.3030303,-2870.3030303,-2870.3030303,2870.3030303
LRC,LRCU6,1813.0,27.85,0.0049889135255,1.0,-1.0,-1.0,-1.0,1.0,10.0,2016-07-14,-1.0,278.5,8.0,18130.0,1813.0,1.0,soft,1.0,10.0,1.0,9.0,1.0,1.0,8.0,1.0,1.0,8.0,-1.0,2.0,8.0,-1.0,2.0,8.0,-1.0,-1,1,1.0,-1,1,1,1,-1,90.4490022173,723.592017738,723.592017738,-723.592017738,-723.592017738,-723.592017738,723.592017738,-723.592017738,723.592017738,-723.592017738,723.592017738,723.592017738,-723.592017738,723.592017738,723.592017738,-723.592017738
LSU,QWV6,518.1,11.57,-0.00747126436782,-1.0,-1.0,1.0,-1.0,-1.0,21.0,2016-06-29,-1.0,578.5,4.0,25905.0,518.1,1.0,soft,-1.0,21.0,-1.0,20.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1.0,-1,1,-1,-1,-1,-193.543103448,774.172413793,-774.172413793,774.172413793,-774.172413793,774.172413793,774.172413793,-774.172413793,774.172413793,774.172413793,-774.172413793,774.172413793,774.172413793,-774.172413793,-774.172413793,774.172413793
MEM,@MMEU6,876.1,11.475,-0.000114129194248,-1.0,-1.0,-1.0,-1.0,1.0,-8.0,2016-07-18,1.0,573.75,4.0,43805.0,876.1,1.0,index,1.0,-8.0,1.0,-7.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-4.99942935403,19.9977174161,19.9977174161,19.9977174161,19.9977174161,19.9977174161,-19.9977174161,19.9977174161,19.9977174161,19.9977174161,19.9977174161,19.9977174161,-19.9977174161,19.9977174161,-19.9977174161,19.9977174161
MFX,IBQ6,8494.9,149.620309506,-0.01732853656,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2016-07-13,1.0,1657.49378871,2.0,94106.5022,8494.9,1.0,index,-1.0,-1.0,1.0,-15.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1.0,1,-1,1,1,-1,-1630.7279639,3261.45592781,3261.45592781,-3261.45592781,3261.45592781,-3261.45592781,-3261.45592781,3261.45592781,3261.45592781,-3261.45592781,3261.45592781,-3261.45592781,-3261.45592781,3261.45592781,-3261.45592781,3261.45592781
MP,@PXU6,0.05269,0.0006965,-0.00396975425331,-1.0,1.0,1.0,1.0,-1.0,5.0,2016-07-21,1.0,348.25,6.0,26345.0,0.05269,1.0,currency,-1.0,5.0,-1.0,4.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,-104.583175803,627.49905482,627.49905482,-627.49905482,-627.49905482,-627.49905482,627.49905482,-627.49905482,627.49905482,-627.49905482,627.49905482,627.49905482,-627.49905482,627.49905482,-627.49905482,627.49905482
MW,@MWU6,486.75,10.0,-0.00307219662058,-1.0,1.0,1.0,1.0,-1.0,-6.0,2016-07-20,1.0,500.0,4.0,24337.5,486.75,1.0,grain,-1.0,-6.0,-1.0,-5.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,-1,1.0,1,1,-1,1,-1,-74.7695852535,299.078341014,-299.078341014,-299.078341014,-299.078341014,-299.078341014,299.078341014,-299.078341014,-299.078341014,-299.078341014,-299.078341014,299.078341014,-299.078341014,299.078341014,-299.078341014,299.078341014
NE,@NEU6,0.7058,0.00816,0.00113475177305,1.0,1.0,1.0,1.0,-1.0,9.0,2016-07-15,1.0,816.0,3.0,70580.0,0.7058,1.0,currency,-1.0,9.0,-1.0,8.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,80.0907801419,240.272340426,-240.272340426,240.272340426,240.272340426,240.272340426,-240.272340426,240.272340426,-240.272340426,240.272340426,-240.272340426,-240.272340426,240.272340426,-240.272340426,240.272340426,-240.272340426
NG,QNGU6,2.873,0.1047,0.0800751879699,1.0,-1.0,1.0,-1.0,-1.0,-6.0,2016-07-20,-1.0,1047.0,2.0,28730.0,2.873,1.0,energy,-1.0,-6.0,-1.0,17.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1.0,-1,1,-1,-1,-1,2300.56015038,4601.12030075,4601.12030075,-4601.12030075,4601.12030075,-4601.12030075,-4601.12030075,4601.12030075,-4601.12030075,-4601.12030075,4601.12030075,-4601.12030075,-4601.12030075,4601.12030075,4601.12030075,-4601.12030075
NIY,@NKDU6,16565.0,327.5,-0.00150693188668,-1.0,1.0,1.0,1.0,-1.0,-7.0,2016-07-19,1.0,1555.52389095,2.0,78678.6358887,16565.0,1.0,index,-1.0,-7.0,-1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,1,-1,1,-1,-118.563345221,237.126690442,-237.126690442,-237.126690442,-237.126690442,-237.126690442,237.126690442,-237.126690442,-237.126690442,-237.126690442,-237.126690442,237.126690442,-237.126690442,237.126690442,-237.126690442,237.126690442
NQ,@NQU6,4719.75,45.8875,0.00254898837024,1.0,1.0,1.0,1.0,-1.0,-7.0,2016-07-19,1.0,917.75,3.0,94395.0,4719.75,1.0,index,-1.0,-7.0,-1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,1,-1,1,-1,240.611757209,721.835271627,721.835271627,721.835271627,721.835271627,721.835271627,-721.835271627,721.835271627,721.835271627,721.835271627,721.835271627,-721.835271627,721.835271627,-721.835271627,721.835271627,-721.835271627
O,@OZ6,197.25,5.425,0.00254129606099,1.0,1.0,1.0,1.0,1.0,11.0,2016-07-13,-1.0,271.25,8.0,9862.5,197.25,1.0,grain,1.0,11.0,1.0,10.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,-1,1,1.0,-1,1,1,1,-1,25.0635324015,200.508259212,200.508259212,200.508259212,200.508259212,200.508259212,200.508259212,-200.508259212,200.508259212,-200.508259212,200.508259212,200.508259212,-200.508259212,200.508259212,200.508259212,-200.508259212
OJ,@OJU6,179.8,5.7575,-0.0526870389884,-1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-07-12,-1.0,863.625,3.0,26970.0,179.8,1.0,soft,-1.0,-2.0,-1.0,11.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1,-1.0,1,-1,1,1,-1,-1420.96944152,4262.90832455,4262.90832455,-4262.90832455,4262.90832455,-4262.90832455,4262.90832455,-4262.90832455,4262.90832455,-4262.90832455,4262.90832455,-4262.90832455,4262.90832455,-4262.90832455,-4262.90832455,4262.90832455
PA,QPAU6,698.65,16.66,-0.00745844580196,-1.0,1.0,-1.0,1.0,-1.0,22.0,2016-06-27,1.0,1666.0,2.0,69865.0,698.65,1.0,metal,-1.0,22.0,1.0,21.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1.0,1,-1,1,1,-1,-521.084315954,1042.16863191,1042.16863191,-1042.16863191,1042.16863191,-1042.16863191,-1042.16863191,1042.16863191,-1042.16863191,-1042.16863191,1042.16863191,-1042.16863191,-1042.16863191,1042.16863191,-1042.16863191,1042.16863191
PL,QPLV6,1138.9,24.695,0.00948413401879,1.0,1.0,-1.0,1.0,-1.0,22.0,2016-06-27,1.0,1234.75,2.0,56945.0,1138.9,-1.0,metal,-1.0,22.0,-1.0,-9.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,-1,-1,-1,1,540.0740117,1080.1480234,-1080.1480234,1080.1480234,-1080.1480234,1080.1480234,-1080.1480234,1080.1480234,1080.1480234,1080.1480234,-1080.1480234,-1080.1480234,1080.1480234,-1080.1480234,-1080.1480234,1080.1480234
RB,QRBU6,1.3011,0.0508242365,-0.0122228970544,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,2016-07-13,-1.0,2134.617933,1.0,54646.2,1.3011,1.0,energy,-1.0,11.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,-1,1,1.0,-1,1,1,1,-1,-667.934877012,667.934877012,-667.934877012,667.934877012,667.934877012,667.934877012,-667.934877012,667.934877012,-667.934877012,667.934877012,-667.934877012,-667.934877012,667.934877012,-667.934877012,-667.934877012,667.934877012
RR,@RRU6,9.77,0.24,-0.00559796437659,-1.0,-1.0,1.0,-1.0,-1.0,-15.0,2016-07-07,-1.0,480.0,5.0,19540.0,9.77,1.0,grain,-1.0,-15.0,1.0,-14.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,-1,1,-1.0,-1,1,1,1,-1,-109.384223919,546.921119593,-546.921119593,546.921119593,-546.921119593,546.921119593,-546.921119593,546.921119593,546.921119593,546.921119593,-546.921119593,-546.921119593,546.921119593,-546.921119593,-546.921119593,546.921119593
RS,@RSX6,451.2,10.22,-0.00594844679445,-1.0,1.0,1.0,-1.0,1.0,-3.0,2016-07-13,1.0,155.3781832,13.0,6859.74914481,451.2,1.0,grain,1.0,-3.0,1.0,-2.0,-1.0,1.0,13.0,-1.0,2.0,13.0,1.0,2.0,13.0,1.0,1.0,13.0,-1.0,-1,-1,-1.0,-1,-1,1,-1,-1,-40.8048528112,530.463086545,530.463086545,-530.463086545,-530.463086545,530.463086545,-530.463086545,530.463086545,530.463086545,530.463086545,530.463086545,-530.463086545,-530.463086545,530.463086545,-530.463086545,530.463086545
S,@SX6,978.0,36.075,-0.00811359026369,-1.0,1.0,1.0,-1.0,1.0,11.0,2016-07-13,1.0,1803.75,2.0,48900.0,978.0,1.0,grain,1.0,11.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,-1,-1,1.0,-1,1,1,1,-1,-396.754563895,793.509127789,-793.509127789,-793.509127789,-793.509127789,793.509127789,-793.509127789,793.509127789,-793.509127789,793.509127789,-793.509127789,-793.509127789,-793.509127789,793.509127789,-793.509127789,793.509127789
SB,@SBV6,18.8,0.621,-0.0157068062827,-1.0,1.0,-1.0,1.0,-1.0,-20.0,2016-06-29,-1.0,695.52,3.0,21056.0,18.8,1.0,soft,-1.0,-20.0,-1.0,-19.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1,1.0,1,1,1,1,-1,-330.722513089,992.167539267,-992.167539267,-992.167539267,992.167539267,-992.167539267,992.167539267,-992.167539267,-992.167539267,-992.167539267,-992.167539267,-992.167539267,992.167539267,-992.167539267,-992.167539267,992.167539267
SF,@SFU6,1.0221,0.007445,0.00948148148148,1.0,1.0,1.0,-1.0,-1.0,-24.0,2016-06-23,1.0,930.625,3.0,127762.5,1.0221,1.0,currency,-1.0,-24.0,1.0,-23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,-1,-1,-1.0,-1,-1,1,-1,-1,1211.37777778,3634.13333333,-3634.13333333,3634.13333333,3634.13333333,-3634.13333333,3634.13333333,-3634.13333333,-3634.13333333,-3634.13333333,-3634.13333333,3634.13333333,3634.13333333,-3634.13333333,3634.13333333,-3634.13333333
SI,QSIU6,2019.2,65.115,0.00985246311578,1.0,1.0,-1.0,1.0,1.0,22.0,2016-07-13,1.0,3255.75,1.0,100960.0,2019.2,-1.0,metal,1.0,22.0,1.0,21.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,-1,1.0,1,-1,1,1,1,994.704676169,994.704676169,-994.704676169,994.704676169,-994.704676169,994.704676169,994.704676169,-994.704676169,994.704676169,994.704676169,-994.704676169,994.704676169,994.704676169,-994.704676169,-994.704676169,994.704676169
SIN,INQ6,8696.5,82.055909248,0.00673752686278,1.0,1.0,1.0,1.0,-1.0,-5.0,2016-07-21,1.0,164.111818496,13.0,17393.0,8696.5,1.0,index,-1.0,-5.0,-1.0,-4.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,2.0,13.0,1.0,1,-1,1.0,1,1,-1,1,-1,117.185804724,1523.41546142,1523.41546142,1523.41546142,1523.41546142,1523.41546142,-1523.41546142,1523.41546142,1523.41546142,1523.41546142,1523.41546142,-1523.41546142,1523.41546142,-1523.41546142,1523.41546142,-1523.41546142
SJB,BBU6,153.75,0.298,-0.00123424710926,-1.0,1.0,-1.0,1.0,1.0,8.0,2016-07-18,1.0,283.081599696,8.0,146053.006555,153.75,-1.0,rates,1.0,8.0,1.0,7.0,-1.0,1.0,8.0,-1.0,1.0,8.0,-1.0,2.0,8.0,1.0,2.0,8.0,1.0,-1,-1,1.0,1,-1,1,1,1,-180.265501139,1442.12400911,1442.12400911,-1442.12400911,1442.12400911,-1442.12400911,-1442.12400911,1442.12400911,-1442.12400911,-1442.12400911,1442.12400911,-1442.12400911,-1442.12400911,1442.12400911,1442.12400911,-1442.12400911
SM,@SMZ6,340.8,13.31,-0.00699300699301,-1.0,-1.0,-1.0,1.0,-1.0,11.0,2016-07-13,1.0,1331.0,2.0,34080.0,340.8,1.0,grain,-1.0,11.0,-1.0,10.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,-238.321678322,476.643356643,476.643356643,476.643356643,476.643356643,-476.643356643,476.643356643,-476.643356643,476.643356643,-476.643356643,476.643356643,476.643356643,-476.643356643,476.643356643,-476.643356643,476.643356643
SMI,SWU6,8089.0,88.25,-0.0156972499392,-1.0,-1.0,1.0,-1.0,1.0,-19.0,2016-07-01,1.0,899.775693312,3.0,82473.4910277,8089.0,1.0,index,1.0,-19.0,1.0,-18.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1294.60700202,3883.82100605,3883.82100605,3883.82100605,-3883.82100605,3883.82100605,-3883.82100605,3883.82100605,3883.82100605,3883.82100605,3883.82100605,3883.82100605,-3883.82100605,3883.82100605,-3883.82100605,3883.82100605
SSG,SSQ6,317.6,3.696249998,-0.0127398311448,-1.0,1.0,-1.0,1.0,-1.0,22.0,2016-06-27,1.0,551.679104179,4.0,47402.9850746,317.6,1.0,index,-1.0,22.0,-1.0,21.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,-603.906025611,2415.62410244,2415.62410244,-2415.62410244,2415.62410244,-2415.62410244,2415.62410244,-2415.62410244,2415.62410244,-2415.62410244,2415.62410244,2415.62410244,-2415.62410244,2415.62410244,-2415.62410244,2415.62410244
STW,TWQ6,336.0,4.191343612,0.00590841949195,1.0,-1.0,-1.0,1.0,-1.0,-10.0,2016-07-14,1.0,419.1343612,5.0,33600.0,336.0,1.0,index,-1.0,-10.0,-1.0,-9.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,1,-1,1.0,1,-1,-1,-1,-1,198.522894929,992.614474647,-992.614474647,-992.614474647,-992.614474647,992.614474647,-992.614474647,992.614474647,992.614474647,992.614474647,-992.614474647,-992.614474647,992.614474647,-992.614474647,992.614474647,-992.614474647
SXE,EXU6,2970.0,46.3,-0.00768459739392,-1.0,1.0,1.0,1.0,-1.0,-16.0,2016-07-06,1.0,512.9114,4.0,32901.66,2970.0,1.0,index,-1.0,-16.0,1.0,-15.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1.0,1,-1,1,1,-1,-252.836010692,1011.34404277,1011.34404277,-1011.34404277,-1011.34404277,-1011.34404277,-1011.34404277,1011.34404277,1011.34404277,-1011.34404277,1011.34404277,-1011.34404277,-1011.34404277,1011.34404277,-1011.34404277,1011.34404277
TF,@TFSU6,1213.5,14.565,-0.00197384653343,-1.0,1.0,-1.0,1.0,-1.0,-16.0,2016-07-06,1.0,1456.5,2.0,121350.0,1213.5,1.0,index,-1.0,-16.0,-1.0,-22.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,-1,-1,-1,-1,-239.526276832,479.052553664,479.052553664,-479.052553664,479.052553664,-479.052553664,479.052553664,-479.052553664,-479.052553664,-479.052553664,479.052553664,479.052553664,-479.052553664,479.052553664,-479.052553664,479.052553664
TU,@TUU6,109.3828125,0.098828125,7.14285714285e-05,1.0,-1.0,1.0,-1.0,1.0,-17.0,2016-07-05,1.0,197.65625,11.0,218765.625,109.3828125,-1.0,rates,1.0,-17.0,1.0,-16.0,-1.0,1.0,11.0,-1.0,1.0,11.0,1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,1,15.6261160714,171.887276786,-171.887276786,-171.887276786,171.887276786,-171.887276786,171.887276786,-171.887276786,-171.887276786,-171.887276786,-171.887276786,-171.887276786,171.887276786,-171.887276786,-171.887276786,171.887276786
TY,@TYU6,132.5625,0.62734375,0.000117882824473,1.0,-1.0,1.0,-1.0,1.0,-17.0,2016-07-05,1.0,627.34375,4.0,132562.5,132.5625,-1.0,rates,1.0,-17.0,1.0,-16.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,1,15.6268419191,62.5073676766,-62.5073676766,-62.5073676766,62.5073676766,-62.5073676766,62.5073676766,-62.5073676766,-62.5073676766,-62.5073676766,-62.5073676766,-62.5073676766,62.5073676766,-62.5073676766,-62.5073676766,62.5073676766
US,@USU6,173.34375,1.78125,0.000721630885802,1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-07-08,1.0,1781.25,2.0,173343.75,173.34375,-1.0,rates,1.0,-14.0,1.0,-13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,1,125.090203861,250.180407721,-250.180407721,-250.180407721,250.180407721,-250.180407721,250.180407721,-250.180407721,-250.180407721,-250.180407721,-250.180407721,-250.180407721,250.180407721,-250.180407721,-250.180407721,250.180407721
VX,@VXQ6,14.375,0.825040186,-0.0270727580372,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2016-07-22,-1.0,825.040186,3.0,14375.0,14.375,-1.0,index,1.0,-4.0,1.0,-3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,-1.0,-1,1,1,1,1,-389.170896785,1167.51269036,-1167.51269036,1167.51269036,-1167.51269036,1167.51269036,-1167.51269036,1167.51269036,1167.51269036,1167.51269036,-1167.51269036,-1167.51269036,1167.51269036,-1167.51269036,1167.51269036,-1167.51269036
W,@WU6,410.25,14.0125,-0.0108499095841,-1.0,1.0,1.0,1.0,1.0,-3.0,2016-07-20,-1.0,700.625,3.0,20512.5,410.25,1.0,grain,1.0,-3.0,1.0,-2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1,-1.0,-1,1,1,1,-1,-222.558770344,667.676311031,-667.676311031,-667.676311031,-667.676311031,-667.676311031,-667.676311031,667.676311031,667.676311031,667.676311031,-667.676311031,-667.676311031,667.676311031,-667.676311031,-667.676311031,667.676311031
YA,APU6,5517.0,55.65,0.00309090909091,1.0,1.0,-1.0,1.0,-1.0,22.0,2016-06-28,1.0,1043.994,2.0,103498.92,5517.0,1.0,index,-1.0,22.0,-1.0,21.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,319.905752727,639.811505455,-639.811505455,639.811505455,-639.811505455,639.811505455,-639.811505455,639.811505455,-639.811505455,639.811505455,-639.811505455,-639.811505455,639.811505455,-639.811505455,639.811505455,-639.811505455
YB,HBSU6,98.16,0.029,0.000305716906145,1.0,1.0,1.0,-1.0,1.0,-5.0,2016-07-21,-1.0,52.22784,39.0,176782.2336,98.16,-1.0,rates,1.0,-5.0,1.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,-1,1,-1.0,-1,1,1,1,1,54.0453175176,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
YM,@YMU6,18376.0,144.75,-0.000761283306145,-1.0,1.0,1.0,1.0,-1.0,-7.0,2016-07-19,-1.0,723.75,3.0,91880.0,18376.0,1.0,index,-1.0,-7.0,-1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,1,1.0,1,1,1,1,-1,-69.9467101686,209.840130506,-209.840130506,-209.840130506,-209.840130506,-209.840130506,209.840130506,-209.840130506,-209.840130506,-209.840130506,-209.840130506,-209.840130506,209.840130506,-209.840130506,-209.840130506,209.840130506
YT2,HTSU6,98.58,0.058,0.000507459656957,1.0,-1.0,-1.0,-1.0,1.0,25.0,2016-06-23,-1.0,121.86496,17.0,207128.4096,98.58,-1.0,rates,1.0,25.0,1.0,24.0,1.0,1.0,17.0,1.0,1.0,17.0,-1.0,1.0,17.0,-1.0,1.0,17.0,-1.0,-1,1,1.0,-1,1,1,1,1,105.109311682,1786.85829859,1786.85829859,-1786.85829859,-1786.85829859,-1786.85829859,1786.85829859,-1786.85829859,1786.85829859,-1786.85829859,1786.85829859,1786.85829859,-1786.85829859,1786.85829859,-1786.85829859,1786.85829859
YT3,HXSU6,98.125,0.074,0.000918039475698,1.0,-1.0,-1.0,1.0,1.0,8.0,2016-07-18,-1.0,444.2368,5.0,589064.0,98.125,-1.0,rates,1.0,8.0,1.0,-15.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,-1,1,-1.0,-1,-1,1,-1,1,540.784005712,2703.92002856,-2703.92002856,-2703.92002856,-2703.92002856,2703.92002856,2703.92002856,-2703.92002856,-2703.92002856,-2703.92002856,-2703.92002856,2703.92002856,-2703.92002856,2703.92002856,-2703.92002856,2703.92002856
