2016-07-28 00:00:00,Contract,LastClose,ATR20,PC2016-07-28 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-28 00:00:00,RiskOn,group,SEA2016-07-28 00:00:00,SRUN2016-07-28 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-27 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-27 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-27 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
CT,@CTZ6,73.04,1.821,-0.00693405846363,-1.0,1.0,1.0,-1.0,-1.0,-9.0,2016-07-15,-1.0,910.5,3.0,36520.0,73.04,1.0,soft,-1.0,-9.0,-1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1,1,-1.0,-1,1,1,1,-1,-253.231815092,759.695445275,-759.695445275,-759.695445275,-759.695445275,759.695445275,759.695445275,-759.695445275,759.695445275,759.695445275,-759.695445275,-759.695445275,759.695445275,-759.695445275,-759.695445275,759.695445275
CU,@EUU6,1.10955,0.007745,0.00475414289595,1.0,1.0,1.0,1.0,1.0,-24.0,2016-06-23,1.0,968.125,3.0,138693.75,1.10955,1.0,currency,1.0,-24.0,1.0,-23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1.0,1,-1,1,1,-1,659.369906275,1978.10971883,-1978.10971883,1978.10971883,1978.10971883,1978.10971883,1978.10971883,-1978.10971883,-1978.10971883,1978.10971883,-1978.10971883,1978.10971883,1978.10971883,-1978.10971883,1978.10971883,-1978.10971883
DX,@DXU6,96.721,0.5631,-0.00330784608726,-1.0,1.0,-1.0,1.0,1.0,-25.0,2016-06-23,-1.0,563.1,4.0,96721.0,96.721,-1.0,currency,1.0,-25.0,1.0,-24.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,1,-1.0,-1,-1,1,-1,1,-319.938181406,1279.75272562,1279.75272562,-1279.75272562,1279.75272562,-1279.75272562,-1279.75272562,1279.75272562,1279.75272562,1279.75272562,1279.75272562,-1279.75272562,1279.75272562,-1279.75272562,1279.75272562,-1279.75272562
EBL,BDU6,167.41,0.7005,0.000298757170172,1.0,1.0,-1.0,1.0,1.0,9.0,2016-07-15,1.0,776.0139,3.0,185456.798,167.41,-1.0,rates,1.0,9.0,1.0,8.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1.0,1,-1,1,1,1,55.4065481596,166.219644479,-166.219644479,166.219644479,-166.219644479,166.219644479,166.219644479,-166.219644479,166.219644479,166.219644479,-166.219644479,166.219644479,166.219644479,-166.219644479,-166.219644479,166.219644479
EBM,BLU6,133.55,0.1955,-0.000449068183519,-1.0,1.0,1.0,1.0,1.0,-14.0,2016-07-08,1.0,216.5749,10.0,147946.69,133.55,-1.0,rates,1.0,-14.0,1.0,-13.0,-1.0,1.0,10.0,-1.0,1.0,10.0,1.0,2.0,10.0,1.0,2.0,10.0,1.0,-1,-1,-1.0,1,-1,1,1,1,-66.438151336,664.38151336,664.38151336,-664.38151336,-664.38151336,-664.38151336,-664.38151336,664.38151336,664.38151336,-664.38151336,664.38151336,-664.38151336,-664.38151336,664.38151336,664.38151336,-664.38151336
EBS,EZU6,111.995,0.0415,-0.000178547515958,-1.0,-1.0,1.0,-1.0,1.0,-13.0,2016-07-11,1.0,45.9737,44.0,124068.061,111.995,-1.0,rates,1.0,-13.0,1.0,-12.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,1,-22.1520441012,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
ED,@EDZ6,99.13,0.034,0.000151339353277,1.0,-1.0,1.0,-1.0,1.0,-22.0,2016-06-27,1.0,85.0,24.0,247825.0,99.13,-1.0,rates,1.0,-22.0,1.0,-21.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,1,37.5056752258,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
EMD,@EMDU6,1551.7,15.84,0.00355710774803,1.0,1.0,-1.0,1.0,-1.0,-11.0,2016-07-13,-1.0,1584.0,2.0,155170.0,1551.7,1.0,index,-1.0,-11.0,-1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,1.0,1,1,1,1,-1,551.956409261,1103.91281852,1103.91281852,1103.91281852,-1103.91281852,1103.91281852,-1103.91281852,1103.91281852,1103.91281852,1103.91281852,1103.91281852,1103.91281852,-1103.91281852,1103.91281852,1103.91281852,-1103.91281852
ES,@ESU6,2164.75,18.1625,0.00196713723675,1.0,1.0,-1.0,1.0,-1.0,-9.0,2016-07-15,-1.0,908.125,3.0,108237.5,2164.75,1.0,index,-1.0,-9.0,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,1,1.0,1,1,1,1,-1,212.918016663,638.754049988,638.754049988,638.754049988,-638.754049988,638.754049988,-638.754049988,638.754049988,638.754049988,638.754049988,638.754049988,638.754049988,-638.754049988,638.754049988,638.754049988,-638.754049988
FC,@GFQ6,140.475,3.2525,-0.012651555087,-1.0,1.0,1.0,1.0,-1.0,5.0,2016-07-21,-1.0,1626.25,2.0,70237.5,140.475,1.0,meat,-1.0,5.0,-1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,-1.0,1,1,1,1,-1,-888.613600422,1777.22720084,-1777.22720084,-1777.22720084,-1777.22720084,-1777.22720084,1777.22720084,-1777.22720084,1777.22720084,-1777.22720084,-1777.22720084,-1777.22720084,1777.22720084,-1777.22720084,-1777.22720084,1777.22720084
FCH,MTQ6,4421.0,66.170898415,-0.00573484763297,-1.0,1.0,1.0,1.0,-1.0,-16.0,2016-07-06,1.0,733.041212641,3.0,48975.838,4421.0,1.0,index,-1.0,-16.0,-1.0,-15.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,1,-1,1,-1,-280.868968627,842.606905881,-842.606905881,-842.606905881,-842.606905881,-842.606905881,842.606905881,-842.606905881,-842.606905881,-842.606905881,-842.606905881,842.606905881,-842.606905881,842.606905881,-842.606905881,842.606905881
FDX,DXMU6,10295.5,152.825,-0.00116420082464,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,2016-07-14,1.0,846.497675,3.0,57026.7745,10295.5,1.0,index,-1.0,-10.0,-1.0,-9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,1.0,1,-1,-1,-1,-1,-66.3906178996,199.171853699,199.171853699,199.171853699,199.171853699,199.171853699,199.171853699,-199.171853699,-199.171853699,-199.171853699,199.171853699,199.171853699,-199.171853699,199.171853699,-199.171853699,199.171853699
FEI,IEZ6,100.325,0.01275,-4.9835542709e-05,-1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-07-08,1.0,35.311125,57.0,277850.0875,100.325,-1.0,rates,1.0,-14.0,1.0,-13.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,1,-13.8468099023,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
FFI,LFU6,6684.0,72.625,-0.00149387511204,-1.0,1.0,-1.0,1.0,1.0,-10.0,2016-07-14,1.0,956.47125,3.0,88028.28,6684.0,1.0,index,1.0,-10.0,1.0,-9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1.0,1,-1,1,1,-1,-131.503256648,394.509769943,394.509769943,-394.509769943,394.509769943,-394.509769943,-394.509769943,394.509769943,394.509769943,-394.509769943,394.509769943,-394.509769943,-394.509769943,394.509769943,-394.509769943,394.509769943
FLG,LGU6,130.69,0.678,0.00183978535837,1.0,1.0,1.0,1.0,1.0,25.0,2016-06-23,1.0,892.926,3.0,172118.73,130.69,-1.0,rates,1.0,25.0,1.0,24.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1.0,1,1,1,1,1,316.661519356,949.984558068,949.984558068,949.984558068,949.984558068,949.984558068,949.984558068,-949.984558068,949.984558068,949.984558068,949.984558068,949.984558068,949.984558068,-949.984558068,-949.984558068,949.984558068
FSS,LLZ6,99.7,0.032,0.0,1.0,1.0,-1.0,1.0,-1.0,12.0,2016-07-12,1.0,52.68,38.0,164131.125,99.7,-1.0,rates,-1.0,12.0,-1.0,11.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1.0,1,-1,-1,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
FV,@FVU6,121.703125,0.34453125,0.000128402670776,1.0,1.0,1.0,1.0,1.0,-17.0,2016-07-05,1.0,344.53125,6.0,121703.125,121.703125,-1.0,rates,1.0,-17.0,1.0,-16.0,-1.0,1.0,6.0,-1.0,2.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,-1,-1,-1.0,1,-1,1,1,1,15.6270062917,93.7620377504,-93.7620377504,93.7620377504,93.7620377504,93.7620377504,93.7620377504,-93.7620377504,-93.7620377504,93.7620377504,-93.7620377504,93.7620377504,93.7620377504,-93.7620377504,-93.7620377504,93.7620377504
GC,QGCZ6,1341.2,19.865557028,0.0050206069689,1.0,-1.0,1.0,-1.0,1.0,6.0,2016-07-20,1.0,1986.5557028,2.0,134120.0,1341.2,-1.0,metal,1.0,6.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1.0,-1,1,-1,-1,1,673.363806669,1346.72761334,1346.72761334,-1346.72761334,1346.72761334,-1346.72761334,1346.72761334,-1346.72761334,1346.72761334,-1346.72761334,1346.72761334,-1346.72761334,1346.72761334,-1346.72761334,-1346.72761334,1346.72761334
HCM,HHIN6,9053.0,140.8,-0.00417995820042,-1.0,1.0,-1.0,1.0,-1.0,23.0,2016-06-24,1.0,906.048906049,3.0,58256.1132561,9053.0,1.0,index,-1.0,23.0,-1.0,22.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,-243.508118329,730.524354988,730.524354988,-730.524354988,730.524354988,-730.524354988,730.524354988,-730.524354988,730.524354988,-730.524354988,730.524354988,730.524354988,-730.524354988,730.524354988,-730.524354988,730.524354988
