2016-07-18 00:00:00,Contract,LastClose,ATR20,PC2016-07-18 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-18 00:00:00,RiskOn,group,SEA2016-07-18 00:00:00,SRUN2016-07-18 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-15 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-15 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-15 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-15 00:00:00,AntiSEA,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACQ6,1.569,0.037198799,0.00706033376123,1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-07-01,-1.0,1078.765171,2.0,45501.0,1.569,1.0,energy,-1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,-1.0,-1,-1,321.25224647,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
AD,@ADU6,0.7576,0.009815,-0.000527704485488,-1.0,1.0,-1.0,1.0,1.0,13.0,2016-06-28,-1.0,981.5,3.0,75760.0,0.7576,1.0,currency,1.0,13.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1.0,1,-1,-39.9788918206,119.936675462,119.936675462,-119.936675462,119.936675462,-119.936675462,-119.936675462,119.936675462,-119.936675462,-119.936675462,119.936675462,-119.936675462,119.936675462
AEX,AEXQ6,445.0,10.8713152595,0.00191376787121,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-07,-1.0,2408.21375628,1.0,98576.4,445.0,1.0,index,-1.0,-7.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1,-1,188.65234718,188.65234718,-188.65234718,188.65234718,-188.65234718,188.65234718,-188.65234718,188.65234718,188.65234718,188.65234718,-188.65234718,188.65234718,-188.65234718
BO,@BOZ6,31.47,0.738,0.00159134309357,1.0,1.0,1.0,1.0,-1.0,-7.0,2016-07-07,1.0,442.8,5.0,18882.0,31.47,1.0,grain,-1.0,-7.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,1,1.0,1,-1,30.0477402928,150.238701464,150.238701464,150.238701464,150.238701464,150.238701464,-150.238701464,150.238701464,150.238701464,150.238701464,150.238701464,150.238701464,-150.238701464
BP,@BPU6,1.3267,0.03086,0.00423889183256,1.0,1.0,1.0,-1.0,-1.0,6.0,2016-07-08,-1.0,1928.75,2.0,82918.75,1.3267,1.0,currency,-1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,-1.0,-1,-1,351.483612141,702.967224283,702.967224283,702.967224283,702.967224283,-702.967224283,-702.967224283,702.967224283,-702.967224283,-702.967224283,-702.967224283,702.967224283,-702.967224283
C,@CZ6,363.25,14.2531848835,0.0139567341242,1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-07-06,-1.0,712.659244175,3.0,18162.5,363.25,1.0,grain,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1.0,-1,-1,253.489183531,760.467550593,760.467550593,-760.467550593,760.467550593,-760.467550593,-760.467550593,760.467550593,760.467550593,-760.467550593,-760.467550593,760.467550593,-760.467550593
CC,@CCU6,3085.0,52.3,0.00652528548124,1.0,1.0,1.0,-1.0,-1.0,-2.0,2016-06-30,-1.0,523.0,4.0,30850.0,3085.0,1.0,soft,-1.0,-2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,1,1.0,1,-1,201.305057096,805.220228385,805.220228385,805.220228385,805.220228385,-805.220228385,-805.220228385,805.220228385,805.220228385,805.220228385,-805.220228385,805.220228385,-805.220228385
CD,@CDU6,0.7724,0.007795,-0.000452927855063,-1.0,1.0,1.0,1.0,-1.0,-5.0,2016-07-11,-1.0,779.5,3.0,77240.0,0.7724,1.0,currency,-1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1.0,1,-1,-34.9841475251,104.952442575,-104.952442575,-104.952442575,-104.952442575,-104.952442575,104.952442575,-104.952442575,-104.952442575,-104.952442575,104.952442575,-104.952442575,104.952442575
CGB,CBU6,147.52,0.8565,0.00156154525087,1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,661.798794622,4.0,113985.473652,147.52,-1.0,rates,1.0,-6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,-1.0,-1,1,177.993475048,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
CL,QCLU6,45.94,1.8817005345,-0.015219721329,-1.0,1.0,1.0,1.0,-1.0,-12.0,2016-06-29,1.0,1881.7005345,2.0,45940.0,45.94,1.0,energy,-1.0,-12.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1.0,1,-1,-699.193997856,1398.38799571,-1398.38799571,-1398.38799571,-1398.38799571,-1398.38799571,1398.38799571,-1398.38799571,-1398.38799571,-1398.38799571,-1398.38799571,-1398.38799571,1398.38799571
CT,@CTZ6,73.95,1.7545,-0.00444264943457,-1.0,-1.0,-1.0,1.0,1.0,-11.0,2016-06-30,1.0,877.25,3.0,36975.0,73.95,1.0,soft,1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,-1.0,-1,-1,-164.266962843,492.80088853,492.80088853,492.80088853,492.80088853,-492.80088853,-492.80088853,492.80088853,492.80088853,492.80088853,-492.80088853,-492.80088853,492.80088853
CU,@EUU6,1.1096,0.0112675,0.000676376426027,1.0,-1.0,1.0,-1.0,1.0,-16.0,2016-06-23,-1.0,1408.4375,2.0,138700.0,1.1096,1.0,currency,1.0,-16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1.0,-1,-1,93.8134102899,187.62682058,187.62682058,-187.62682058,187.62682058,-187.62682058,187.62682058,-187.62682058,-187.62682058,-187.62682058,-187.62682058,187.62682058,-187.62682058
DX,@DXU6,96.587,0.7807,0.000248542402369,1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-06-23,1.0,780.7,3.0,96587.0,96.587,-1.0,currency,-1.0,-17.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1.0,1,1,24.0059650177,72.017895053,-72.017895053,72.017895053,-72.017895053,72.017895053,-72.017895053,72.017895053,72.017895053,72.017895053,72.017895053,-72.017895053,72.017895053
