2016-08-02 00:00:00,Contract,LastClose,ATR20,PC2016-08-02 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,contractValue,Close2016-08-02 00:00:00,RiskOn,group,PC2016-08-01 00:00:00,Close2016-08-01 00:00:00,SEA2016-08-02 00:00:00,SRUN2016-08-02 00:00:00,SEA2016-08-01 00:00:00,SRUN2016-08-01 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-01 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-01 00:00:00,0.5SIG2016-07-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-01 00:00:00,0.75SIG2016-07-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-01 00:00:00,1SIG2016-07-29 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
HG,QHGU6,220.9,4.39,0.00431916344624,1.0,-1.0,-1.0,-1.0,-1.0,-10.0,2016-07-19,1097.5,2.0,55225.0,220.9,1.0,metal,,,-1.0,-10.0,,,-1.0,-1.0,-9.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,1,1.0,-1,1,1,-1,1,-1,238.525801318,477.051602637,477.051602637,-477.051602637,-477.051602637,-477.051602637,477.051602637,-477.051602637,477.051602637,477.051602637,-477.051602637,477.051602637,477.051602637,-477.051602637,477.051602637,-477.051602637,477.051602637,477.051602637,-477.051602637
HIC,HSIQ6,22120.0,303.223265306,,1.0,1.0,-1.0,1.0,-1.0,24.0,2016-06-27,1951.24366349,2.0,142342.342342,,1.0,index,0.0158905116194,22120.0,,,-1.0,24.0,1.0,-1.0,24.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,
HO,QHOU6,1.259,0.044119428,0.000874473328563,1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-07-25,1853.015976,2.0,52878.0,1.259,1.0,energy,,,1.0,-6.0,,,-1.0,1.0,-5.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,-1,1,-1.0,1,1,-1,1,1,-1,46.2404006678,92.4808013355,-92.4808013355,-92.4808013355,-92.4808013355,-92.4808013355,92.4808013355,92.4808013355,-92.4808013355,-92.4808013355,92.4808013355,92.4808013355,-92.4808013355,92.4808013355,92.4808013355,-92.4808013355,92.4808013355,92.4808013355,-92.4808013355
JY,@JYU6,0.9927,0.013935,0.0144601706607,1.0,1.0,-1.0,1.0,1.0,9.0,2016-07-20,1741.875,2.0,124087.5,0.9927,-1.0,currency,,,1.0,9.0,,,-1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,1,1.0,-1,1,1,1,1,1,1794.32642686,3588.65285371,3588.65285371,3588.65285371,-3588.65285371,3588.65285371,-3588.65285371,3588.65285371,-3588.65285371,3588.65285371,-3588.65285371,3588.65285371,3588.65285371,3588.65285371,3588.65285371,-3588.65285371,3588.65285371,-3588.65285371,3588.65285371
KC,@KCU6,141.25,4.1725,-0.0153363541304,-1.0,1.0,-1.0,1.0,1.0,-3.0,2016-07-18,1564.6875,2.0,52968.75,141.25,1.0,soft,,,1.0,-3.0,,,-1.0,1.0,-2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-812.347507842,1624.69501568,1624.69501568,-1624.69501568,1624.69501568,-1624.69501568,1624.69501568,-1624.69501568,1624.69501568,1624.69501568,-1624.69501568,1624.69501568,1624.69501568,-1624.69501568,1624.69501568,1624.69501568,-1624.69501568,-1624.69501568,1624.69501568
KW,@KWU6,406.5,11.075,-0.00671960904093,-1.0,-1.0,-1.0,-1.0,1.0,6.0,2016-07-25,553.75,4.0,20325.0,406.5,1.0,grain,,,1.0,6.0,,,-1.0,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,-1,1,-1.0,1,1,-1,1,1,-1,-136.576053757,546.304215027,546.304215027,546.304215027,546.304215027,546.304215027,-546.304215027,-546.304215027,546.304215027,546.304215027,-546.304215027,-546.304215027,546.304215027,-546.304215027,-546.304215027,546.304215027,-546.304215027,-546.304215027,546.304215027
LB,@LBU6,314.9,6.565,0.0015903307888,1.0,-1.0,1.0,-1.0,1.0,12.0,2016-07-15,722.15,3.0,34639.0,314.9,1.0,soft,,,1.0,12.0,,,-1.0,1.0,11.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,-1,1,1.0,-1,1,1,1,1,-1,55.0874681934,165.26240458,165.26240458,-165.26240458,165.26240458,-165.26240458,165.26240458,165.26240458,-165.26240458,165.26240458,-165.26240458,165.26240458,165.26240458,165.26240458,165.26240458,-165.26240458,165.26240458,165.26240458,-165.26240458
LC,@LEV6,114.575,2.1620024795,0.00438308130616,1.0,1.0,-1.0,1.0,-1.0,8.0,2016-07-21,864.8009918,3.0,45830.0,114.575,1.0,meat,,,-1.0,8.0,,,1.0,-1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,200.876616261,602.629848784,-602.629848784,602.629848784,-602.629848784,602.629848784,-602.629848784,-602.629848784,602.629848784,-602.629848784,602.629848784,-602.629848784,-602.629848784,-602.629848784,-602.629848784,602.629848784,-602.629848784,602.629848784,-602.629848784
LCO,EBZ6,42.81,1.444,-0.00879833294744,-1.0,-1.0,1.0,-1.0,-1.0,14.0,2016-07-13,1444.0,2.0,42810.0,42.81,1.0,energy,,,-1.0,14.0,,,-1.0,-1.0,13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,1,-1.0,1,1,1,-1,1,-1,-376.65663348,753.31326696,753.31326696,753.31326696,-753.31326696,753.31326696,-753.31326696,753.31326696,-753.31326696,753.31326696,-753.31326696,-753.31326696,-753.31326696,753.31326696,-753.31326696,753.31326696,-753.31326696,-753.31326696,753.31326696
LGO,GASU6,364.0,13.9646564785,0.0,1.0,-1.0,1.0,-1.0,1.0,-24.0,2016-06-29,1396.46564785,2.0,36400.0,364.0,1.0,energy,,,1.0,-24.0,,,-1.0,1.0,-23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,-1,1,-1.0,1,1,1,1,1,-1,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
LH,@HEV6,60.525,1.525741238,-0.00123762376238,-1.0,1.0,1.0,1.0,-1.0,-6.0,2016-07-25,610.2964952,4.0,24210.0,60.525,1.0,meat,,,-1.0,-6.0,,,1.0,-1.0,-12.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-29.9628712871,119.851485149,-119.851485149,-119.851485149,-119.851485149,-119.851485149,119.851485149,119.851485149,-119.851485149,-119.851485149,119.851485149,119.851485149,-119.851485149,119.851485149,119.851485149,-119.851485149,119.851485149,-119.851485149,119.851485149
LRC,LRCU6,1826.0,28.9,0.004400440044,1.0,1.0,-1.0,1.0,1.0,13.0,2016-07-25,289.0,7.0,18260.0,1826.0,1.0,soft,,,1.0,13.0,,,-1.0,1.0,-5.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,,1.0,7.0,1.0,,1.0,7.0,1.0,,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,80.3520352035,562.464246425,-562.464246425,562.464246425,-562.464246425,562.464246425,-562.464246425,562.464246425,-562.464246425,-562.464246425,562.464246425,-562.464246425,-562.464246425,562.464246425,-562.464246425,-562.464246425,562.464246425,562.464246425,-562.464246425
LSU,QWV6,528.4,11.815,0.0147877856731,1.0,-1.0,1.0,-1.0,-1.0,24.0,2016-06-29,590.75,4.0,26420.0,528.4,1.0,soft,,,-1.0,24.0,,,-1.0,-1.0,23.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,-1.0,1,1,1,-1,1,-1,390.693297484,1562.77318994,-1562.77318994,-1562.77318994,1562.77318994,-1562.77318994,1562.77318994,-1562.77318994,1562.77318994,-1562.77318994,1562.77318994,1562.77318994,1562.77318994,-1562.77318994,1562.77318994,-1562.77318994,1562.77318994,1562.77318994,-1562.77318994
MEM,@MMEU6,873.2,11.565,-0.00682438580528,-1.0,-1.0,-1.0,1.0,1.0,-11.0,2016-07-18,578.25,4.0,43660.0,873.2,1.0,index,,,1.0,-11.0,,,-1.0,1.0,-10.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,1.0,4.0,-1.0,,2.0,4.0,1.0,,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-297.952684258,1191.81073703,1191.81073703,1191.81073703,1191.81073703,-1191.81073703,1191.81073703,-1191.81073703,1191.81073703,1191.81073703,-1191.81073703,1191.81073703,1191.81073703,-1191.81073703,1191.81073703,1191.81073703,-1191.81073703,-1191.81073703,1191.81073703
MFX,IBQ6,8281.4,153.48476336,-0.0286431453505,-1.0,1.0,-1.0,1.0,1.0,2.0,2016-07-27,1722.71298396,2.0,92950.4336,8281.4,1.0,index,,,1.0,2.0,,,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,-1,-2662.39277999,5324.78555999,-5324.78555999,-5324.78555999,5324.78555999,-5324.78555999,5324.78555999,5324.78555999,-5324.78555999,-5324.78555999,5324.78555999,-5324.78555999,-5324.78555999,-5324.78555999,-5324.78555999,5324.78555999,-5324.78555999,-5324.78555999,5324.78555999
MP,@PXU6,0.05253,0.000639,-0.00530202613141,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,2016-07-21,319.5,7.0,26265.0,0.05253,1.0,currency,,,-1.0,8.0,,,-1.0,-1.0,7.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,,2.0,7.0,-1.0,,2.0,7.0,-1.0,,1,1,1,-1.0,1,1,-1,-1,-1,-1,-139.257716342,974.804014391,974.804014391,974.804014391,974.804014391,974.804014391,-974.804014391,974.804014391,-974.804014391,974.804014391,-974.804014391,-974.804014391,974.804014391,974.804014391,974.804014391,974.804014391,-974.804014391,-974.804014391,974.804014391
MW,@MWU6,486.5,9.1875,0.00361010830325,1.0,-1.0,-1.0,-1.0,-1.0,6.0,2016-07-25,459.375,5.0,24325.0,486.5,1.0,grain,,,-1.0,6.0,,,-1.0,-1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,,1.0,5.0,-1.0,,2.0,5.0,-1.0,,1,1,1,-1.0,1,1,-1,-1,-1,-1,87.8158844765,439.079422383,-439.079422383,-439.079422383,-439.079422383,-439.079422383,439.079422383,-439.079422383,439.079422383,-439.079422383,439.079422383,439.079422383,-439.079422383,-439.079422383,-439.079422383,-439.079422383,439.079422383,439.079422383,-439.079422383
NE,@NEU6,0.7218,0.00846,0.0057126933259,1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-07-21,846.0,3.0,72180.0,0.7218,1.0,currency,,,-1.0,-8.0,,,-1.0,-1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,1,1.0,-1,1,1,-1,1,-1,412.342204264,1237.02661279,1237.02661279,-1237.02661279,1237.02661279,-1237.02661279,1237.02661279,-1237.02661279,1237.02661279,1237.02661279,-1237.02661279,1237.02661279,1237.02661279,-1237.02661279,1237.02661279,-1237.02661279,1237.02661279,1237.02661279,-1237.02661279
NG,QNGU6,2.733,0.0955,-0.0137134608445,-1.0,1.0,-1.0,1.0,-1.0,-9.0,2016-07-20,955.0,3.0,27330.0,2.733,1.0,energy,,,-1.0,-9.0,,,-1.0,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,-1,-374.788884879,1124.36665464,-1124.36665464,-1124.36665464,1124.36665464,-1124.36665464,1124.36665464,1124.36665464,-1124.36665464,-1124.36665464,1124.36665464,-1124.36665464,-1124.36665464,-1124.36665464,-1124.36665464,1124.36665464,-1124.36665464,-1124.36665464,1124.36665464
NIY,@NKDU6,16095.0,353.5,-0.0215805471125,-1.0,1.0,1.0,-1.0,-1.0,9.0,2016-07-20,1751.73439049,2.0,79757.185332,16095.0,1.0,index,,,-1.0,9.0,,,1.0,-1.0,-9.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,-1.0,,1,1,-1,1.0,-1,1,1,-1,1,-1,-1721.20369561,3442.40739123,-3442.40739123,-3442.40739123,-3442.40739123,3442.40739123,-3442.40739123,3442.40739123,-3442.40739123,-3442.40739123,3442.40739123,-3442.40739123,-3442.40739123,3442.40739123,-3442.40739123,-3442.40739123,3442.40739123,-3442.40739123,3442.40739123
NQ,@NQU6,4714.25,42.675,-0.00637580356202,-1.0,1.0,-1.0,1.0,-1.0,-10.0,2016-07-19,853.5,3.0,94285.0,4714.25,1.0,index,,,-1.0,-10.0,,,1.0,-1.0,-9.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-601.142638845,1803.42791653,-1803.42791653,-1803.42791653,1803.42791653,-1803.42791653,1803.42791653,1803.42791653,-1803.42791653,-1803.42791653,1803.42791653,1803.42791653,1803.42791653,1803.42791653,1803.42791653,-1803.42791653,1803.42791653,-1803.42791653,1803.42791653
O,@OZ6,190.75,5.1625,-0.0341772151899,-1.0,1.0,1.0,-1.0,-1.0,-8.0,2016-07-21,258.125,8.0,9537.5,190.75,1.0,grain,,,-1.0,-8.0,,,-1.0,-1.0,-7.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,,1.0,8.0,1.0,,2.0,8.0,-1.0,,1,1,1,1.0,-1,1,1,1,1,-1,-325.965189873,2607.72151899,-2607.72151899,-2607.72151899,-2607.72151899,2607.72151899,-2607.72151899,2607.72151899,-2607.72151899,-2607.72151899,2607.72151899,-2607.72151899,-2607.72151899,-2607.72151899,-2607.72151899,2607.72151899,-2607.72151899,-2607.72151899,2607.72151899
OJ,@OJU6,170.85,6.11,-0.0552944429085,-1.0,-1.0,-1.0,1.0,-1.0,5.0,2016-07-26,916.5,3.0,25627.5,170.85,1.0,soft,,,-1.0,5.0,,,1.0,-1.0,-4.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,2.0,3.0,1.0,,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1417.05833564,4251.17500691,-4251.17500691,4251.17500691,4251.17500691,-4251.17500691,4251.17500691,4251.17500691,-4251.17500691,-4251.17500691,4251.17500691,4251.17500691,4251.17500691,4251.17500691,4251.17500691,-4251.17500691,4251.17500691,-4251.17500691,4251.17500691
PA,QPAU6,717.7,16.24,0.00202443280977,1.0,1.0,-1.0,1.0,-1.0,25.0,2016-06-27,1624.0,2.0,71770.0,717.7,1.0,metal,,,-1.0,25.0,,,1.0,-1.0,24.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,145.293542757,290.587085515,-290.587085515,290.587085515,-290.587085515,290.587085515,-290.587085515,-290.587085515,290.587085515,-290.587085515,290.587085515,-290.587085515,-290.587085515,-290.587085515,-290.587085515,290.587085515,-290.587085515,290.587085515,-290.587085515
PL,QPLV6,1172.1,23.475,0.00756468666724,1.0,1.0,-1.0,1.0,-1.0,25.0,2016-06-27,1173.75,2.0,58605.0,1172.1,-1.0,metal,,,-1.0,25.0,,,1.0,-1.0,24.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,443.328462134,886.656924267,-886.656924267,886.656924267,-886.656924267,886.656924267,-886.656924267,-886.656924267,886.656924267,-886.656924267,886.656924267,-886.656924267,-886.656924267,-886.656924267,-886.656924267,886.656924267,-886.656924267,-886.656924267,886.656924267
RB,QRBU6,1.3116,0.046077771,0.00613685179503,1.0,-1.0,-1.0,-1.0,-1.0,-6.0,2016-07-25,1935.266382,2.0,55087.2,1.3116,1.0,energy,,,-1.0,-6.0,,,-1.0,-1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1,1,1,1.0,-1,1,1,-1,1,-1,338.061982203,676.123964406,676.123964406,-676.123964406,-676.123964406,-676.123964406,676.123964406,-676.123964406,676.123964406,676.123964406,-676.123964406,676.123964406,676.123964406,-676.123964406,676.123964406,-676.123964406,676.123964406,676.123964406,-676.123964406
RR,@RRU6,9.565,0.227,-0.0123902942695,-1.0,-1.0,1.0,-1.0,-1.0,-18.0,2016-07-07,454.0,5.0,19130.0,9.565,1.0,grain,,,-1.0,-18.0,,,-1.0,-1.0,-17.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,,2.0,5.0,-1.0,,2.0,5.0,-1.0,,1,1,1,1.0,-1,1,1,-1,1,-1,-237.026329375,1185.13164688,-1185.13164688,1185.13164688,-1185.13164688,1185.13164688,-1185.13164688,1185.13164688,-1185.13164688,-1185.13164688,1185.13164688,-1185.13164688,-1185.13164688,1185.13164688,-1185.13164688,1185.13164688,-1185.13164688,-1185.13164688,1185.13164688
RS,@RSX6,447.5,10.115,-0.0141000220313,-1.0,1.0,-1.0,1.0,1.0,3.0,2016-07-25,154.4039078,13.0,6831.01816517,447.5,1.0,grain,,,1.0,3.0,,,1.0,1.0,-4.0,-1.0,1.0,13.0,-1.0,1.0,13.0,,-1.0,2.0,13.0,,1.0,2.0,13.0,,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,-96.3175066249,1252.12758612,1252.12758612,-1252.12758612,1252.12758612,-1252.12758612,1252.12758612,-1252.12758612,1252.12758612,1252.12758612,-1252.12758612,1252.12758612,1252.12758612,-1252.12758612,1252.12758612,-1252.12758612,1252.12758612,-1252.12758612,1252.12758612
S,@SX6,953.0,35.1125,-0.00884035361414,-1.0,1.0,-1.0,1.0,-1.0,2.0,2016-07-25,1755.625,2.0,47650.0,953.0,1.0,grain,,,-1.0,2.0,,,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,-1,-421.242849714,842.485699428,-842.485699428,-842.485699428,842.485699428,-842.485699428,842.485699428,842.485699428,-842.485699428,-842.485699428,842.485699428,-842.485699428,-842.485699428,-842.485699428,-842.485699428,842.485699428,-842.485699428,-842.485699428,842.485699428
SB,@SBV6,19.05,0.5965,0.0127591706539,1.0,-1.0,-1.0,-1.0,-1.0,-23.0,2016-06-29,668.08,3.0,21336.0,19.05,1.0,soft,,,-1.0,-23.0,,,-1.0,-1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1,1,1,-1.0,1,1,-1,-1,-1,-1,272.229665072,816.688995215,-816.688995215,-816.688995215,-816.688995215,-816.688995215,816.688995215,-816.688995215,816.688995215,-816.688995215,816.688995215,816.688995215,-816.688995215,-816.688995215,-816.688995215,-816.688995215,816.688995215,816.688995215,-816.688995215
SF,@SFU6,1.0399,0.007645,0.00357073923953,1.0,1.0,-1.0,1.0,1.0,5.0,2016-07-26,955.625,3.0,129987.5,1.0399,1.0,currency,,,1.0,5.0,,,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,1.0,-1,-1,-1,1,-1,-1,464.151466898,1392.45440069,1392.45440069,1392.45440069,-1392.45440069,1392.45440069,-1392.45440069,1392.45440069,-1392.45440069,1392.45440069,-1392.45440069,-1392.45440069,-1392.45440069,1392.45440069,-1392.45440069,1392.45440069,-1392.45440069,1392.45440069,-1392.45440069
SI,QSIU6,2070.1,53.055,0.00980487804878,1.0,1.0,-1.0,1.0,-1.0,5.0,2016-07-26,2652.75,1.0,103505.0,2070.1,-1.0,metal,,,-1.0,5.0,,,1.0,-1.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1014.85390244,1014.85390244,1014.85390244,1014.85390244,-1014.85390244,1014.85390244,-1014.85390244,-1014.85390244,1014.85390244,1014.85390244,-1014.85390244,-1014.85390244,-1014.85390244,-1014.85390244,-1014.85390244,1014.85390244,-1014.85390244,-1014.85390244,1014.85390244
SIN,INQ6,8660.0,84.456244935,-0.00322283609576,-1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-21,168.91248987,12.0,17320.0,8660.0,1.0,index,,,-1.0,-8.0,,,1.0,-1.0,-7.0,1.0,1.0,12.0,1.0,1.0,12.0,-1.0,,2.0,12.0,1.0,,2.0,12.0,1.0,,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-55.8195211786,669.834254144,-669.834254144,-669.834254144,669.834254144,-669.834254144,669.834254144,669.834254144,-669.834254144,-669.834254144,669.834254144,669.834254144,669.834254144,669.834254144,669.834254144,-669.834254144,669.834254144,-669.834254144,669.834254144
SJB,BBU6,151.65,0.449,-0.00426789231779,-1.0,-1.0,-1.0,1.0,1.0,-4.0,2016-07-27,444.995044599,5.0,150297.324083,151.65,-1.0,rates,,,1.0,-4.0,,,-1.0,1.0,-3.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,,1.0,5.0,-1.0,,2.0,5.0,1.0,,-1,-1,1,-1.0,1,-1,-1,1,-1,1,-641.45279484,3207.2639742,3207.2639742,3207.2639742,3207.2639742,-3207.2639742,3207.2639742,-3207.2639742,3207.2639742,3207.2639742,-3207.2639742,3207.2639742,3207.2639742,-3207.2639742,3207.2639742,3207.2639742,-3207.2639742,3207.2639742,-3207.2639742
SM,@SMZ6,326.7,13.09,-0.0147768395657,-1.0,1.0,1.0,1.0,-1.0,2.0,2016-07-25,1309.0,2.0,32670.0,326.7,1.0,grain,,,-1.0,2.0,,,-1.0,-1.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,1,-1.0,1,-1,1,1,1,-1,-482.759348613,965.518697226,965.518697226,-965.518697226,-965.518697226,-965.518697226,965.518697226,965.518697226,-965.518697226,965.518697226,-965.518697226,965.518697226,-965.518697226,-965.518697226,-965.518697226,965.518697226,-965.518697226,-965.518697226,965.518697226
SMI,SWU6,8001.0,87.5,-0.0162301733678,-1.0,1.0,1.0,1.0,-1.0,-4.0,2016-07-26,907.393964534,3.0,82972.104117,8001.0,1.0,index,,,-1.0,-4.0,,,1.0,1.0,-20.0,-1.0,1.0,3.0,-1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,-1346.65163451,4039.95490352,4039.95490352,-4039.95490352,-4039.95490352,-4039.95490352,4039.95490352,-4039.95490352,4039.95490352,4039.95490352,-4039.95490352,4039.95490352,4039.95490352,-4039.95490352,4039.95490352,-4039.95490352,4039.95490352,-4039.95490352,4039.95490352
SSG,SSQ6,311.4,4.049261531,-0.0151802656546,-1.0,1.0,-1.0,1.0,-1.0,8.0,2016-07-21,604.367392687,4.0,46477.6119403,311.4,1.0,index,,,-1.0,8.0,,,1.0,-1.0,-12.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-705.542496247,2822.16998499,-2822.16998499,-2822.16998499,2822.16998499,-2822.16998499,2822.16998499,2822.16998499,-2822.16998499,-2822.16998499,2822.16998499,2822.16998499,2822.16998499,2822.16998499,2822.16998499,-2822.16998499,2822.16998499,-2822.16998499,2822.16998499
STW,TWQ6,337.3,4.2155992855,-0.00325059101655,-1.0,-1.0,-1.0,1.0,-1.0,-13.0,2016-07-14,421.55992855,5.0,33730.0,337.3,1.0,index,,,-1.0,-13.0,,,1.0,-1.0,1.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,,1.0,5.0,-1.0,,2.0,5.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,-109.642434988,548.212174941,548.212174941,548.212174941,548.212174941,-548.212174941,548.212174941,548.212174941,-548.212174941,548.212174941,-548.212174941,548.212174941,548.212174941,548.212174941,548.212174941,-548.212174941,548.212174941,-548.212174941,548.212174941
SXE,EXU6,2906.0,46.1,-0.020559487698,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,2016-07-25,517.4264,4.0,32616.944,2906.0,1.0,index,,,-1.0,6.0,,,-1.0,-1.0,-2.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,1.0,-1,1,1,-1,1,-1,-670.587658915,2682.35063566,-2682.35063566,2682.35063566,2682.35063566,2682.35063566,-2682.35063566,2682.35063566,-2682.35063566,-2682.35063566,2682.35063566,-2682.35063566,-2682.35063566,2682.35063566,-2682.35063566,2682.35063566,-2682.35063566,-2682.35063566,2682.35063566
TF,@TFSU6,1199.9,14.785,-0.0143748973222,-1.0,1.0,1.0,1.0,1.0,-19.0,2016-07-06,1478.5,2.0,119990.0,1199.9,1.0,index,,,1.0,-19.0,,,1.0,1.0,-13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,-1724.84392969,3449.68785937,3449.68785937,-3449.68785937,-3449.68785937,-3449.68785937,3449.68785937,-3449.68785937,3449.68785937,3449.68785937,-3449.68785937,3449.68785937,3449.68785937,-3449.68785937,3449.68785937,-3449.68785937,3449.68785937,-3449.68785937,3449.68785937
