2016-08-02 00:00:00,Contract,LastClose,ATR20,PC2016-08-02 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,contractValue,Close2016-08-02 00:00:00,RiskOn,group,PC2016-08-01 00:00:00,Close2016-08-01 00:00:00,SEA2016-08-02 00:00:00,SRUN2016-08-02 00:00:00,SEA2016-08-01 00:00:00,SRUN2016-08-01 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-01 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-01 00:00:00,0.5SIG2016-07-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-01 00:00:00,0.75SIG2016-07-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-01 00:00:00,1SIG2016-07-29 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
CT,@CTZ6,73.98,1.8845,-0.00537778972842,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,2016-07-25,942.25,3.0,36990.0,73.98,1.0,soft,,,-1.0,-6.0,,,1.0,-1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-198.924442054,596.773326163,-596.773326163,596.773326163,596.773326163,596.773326163,-596.773326163,596.773326163,-596.773326163,-596.773326163,596.773326163,-596.773326163,596.773326163,596.773326163,596.773326163,-596.773326163,596.773326163,-596.773326163,596.773326163
CU,@EUU6,1.1248,0.0073525,0.00509337860781,1.0,1.0,1.0,1.0,1.0,7.0,2016-07-22,919.0625,3.0,140600.0,1.1248,1.0,currency,,,1.0,7.0,,,-1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,1,1.0,-1,1,1,1,1,-1,716.129032258,2148.38709677,2148.38709677,2148.38709677,2148.38709677,2148.38709677,-2148.38709677,2148.38709677,-2148.38709677,2148.38709677,-2148.38709677,2148.38709677,2148.38709677,2148.38709677,2148.38709677,-2148.38709677,2148.38709677,2148.38709677,-2148.38709677
DX,@DXU6,94.988,0.59415,-0.00720131275019,-1.0,1.0,-1.0,1.0,-1.0,7.0,2016-07-22,594.15,4.0,94988.0,94.988,-1.0,currency,,,-1.0,7.0,,,1.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,1.0,-1,-1,-1,1,-1,1,-684.038295515,2736.15318206,-2736.15318206,-2736.15318206,2736.15318206,-2736.15318206,2736.15318206,-2736.15318206,2736.15318206,-2736.15318206,2736.15318206,2736.15318206,2736.15318206,-2736.15318206,2736.15318206,-2736.15318206,2736.15318206,2736.15318206,-2736.15318206
EBL,BDU6,166.59,0.7325,-0.00513586145118,-1.0,1.0,1.0,-1.0,1.0,-2.0,2016-07-15,822.158,3.0,186980.616,166.59,-1.0,rates,,,1.0,-2.0,,,-1.0,1.0,11.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,2.0,3.0,-1.0,,1,-1,1,1.0,-1,1,1,1,1,1,-960.306537832,2880.9196135,-2880.9196135,-2880.9196135,-2880.9196135,2880.9196135,-2880.9196135,-2880.9196135,2880.9196135,-2880.9196135,2880.9196135,-2880.9196135,-2880.9196135,-2880.9196135,-2880.9196135,2880.9196135,-2880.9196135,2880.9196135,-2880.9196135
EBM,BLU6,133.35,0.203,-0.00164707643932,-1.0,1.0,1.0,-1.0,1.0,-17.0,2016-07-08,227.8472,9.0,149672.04,133.35,-1.0,rates,,,1.0,-17.0,,,-1.0,1.0,-16.0,-1.0,1.0,9.0,-1.0,1.0,9.0,1.0,,1.0,9.0,1.0,,2.0,9.0,-1.0,,1,-1,1,-1.0,1,1,1,1,1,1,-246.521290709,2218.69161638,2218.69161638,-2218.69161638,-2218.69161638,2218.69161638,-2218.69161638,-2218.69161638,2218.69161638,2218.69161638,-2218.69161638,-2218.69161638,-2218.69161638,-2218.69161638,-2218.69161638,2218.69161638,-2218.69161638,2218.69161638,-2218.69161638
EBS,EZU6,111.96,0.04275,-0.000267881060809,-1.0,-1.0,1.0,-1.0,1.0,-16.0,2016-07-11,47.9826,42.0,125663.904,111.96,-1.0,rates,,,1.0,-16.0,,,-1.0,1.0,-15.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,1,-1.0,1,1,1,1,1,1,-33.6629799089,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
ED,@EDZ6,99.135,0.03575,-0.000201704402199,-1.0,-1.0,1.0,-1.0,1.0,6.0,2016-07-25,89.375,23.0,247837.5,99.135,-1.0,rates,,,1.0,6.0,,,-1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,1,-1,1,1.0,-1,1,1,1,1,1,-49.9899147799,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
EMD,@EMDU6,1534.2,15.265,-0.0118510884967,-1.0,1.0,-1.0,1.0,1.0,-14.0,2016-07-13,1526.5,2.0,153420.0,1534.2,1.0,index,,,1.0,-14.0,,,-1.0,-1.0,-13.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,-1,-1818.19399717,3636.38799433,-3636.38799433,-3636.38799433,3636.38799433,-3636.38799433,3636.38799433,3636.38799433,-3636.38799433,-3636.38799433,3636.38799433,-3636.38799433,-3636.38799433,-3636.38799433,-3636.38799433,3636.38799433,-3636.38799433,-3636.38799433,3636.38799433
ES,@ESU6,2152.75,17.2375,-0.00542850542851,-1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-07-15,861.875,3.0,107637.5,2152.75,1.0,index,,,-1.0,-12.0,,,-1.0,-1.0,-11.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,-1,-584.310753061,1752.93225918,-1752.93225918,-1752.93225918,1752.93225918,-1752.93225918,1752.93225918,1752.93225918,-1752.93225918,-1752.93225918,1752.93225918,-1752.93225918,-1752.93225918,-1752.93225918,-1752.93225918,1752.93225918,-1752.93225918,-1752.93225918,1752.93225918
FC,@GFQ6,145.475,3.2,0.00639916983743,1.0,-1.0,-1.0,1.0,-1.0,8.0,2016-07-21,1600.0,2.0,72737.5,145.475,1.0,meat,,,-1.0,8.0,,,1.0,-1.0,7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,2.0,2.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,465.45961605,930.9192321,-930.9192321,-930.9192321,-930.9192321,930.9192321,-930.9192321,-930.9192321,930.9192321,-930.9192321,930.9192321,-930.9192321,-930.9192321,-930.9192321,-930.9192321,930.9192321,-930.9192321,930.9192321,-930.9192321
FCH,MTQ6,4327.5,64.193546525,-0.0183735964614,-1.0,1.0,-1.0,1.0,-1.0,-19.0,2016-07-06,720.508366197,3.0,48571.86,4327.5,1.0,index,,,-1.0,-19.0,,,-1.0,-1.0,-18.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,-1,-892.439755019,2677.31926506,-2677.31926506,-2677.31926506,2677.31926506,-2677.31926506,2677.31926506,2677.31926506,-2677.31926506,-2677.31926506,2677.31926506,-2677.31926506,-2677.31926506,-2677.31926506,-2677.31926506,2677.31926506,-2677.31926506,-2677.31926506,2677.31926506
FDX,DXMU6,10146.0,148.05,-0.018429836018,-1.0,-1.0,-1.0,-1.0,-1.0,-13.0,2016-07-14,830.8566,3.0,56939.352,10146.0,1.0,index,,,-1.0,-13.0,,,1.0,-1.0,-12.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1049.38292033,3148.14876099,-3148.14876099,3148.14876099,3148.14876099,3148.14876099,-3148.14876099,3148.14876099,-3148.14876099,-3148.14876099,3148.14876099,-3148.14876099,3148.14876099,3148.14876099,3148.14876099,-3148.14876099,3148.14876099,-3148.14876099,3148.14876099
FEI,IEZ6,100.325,0.012,-4.9835542709e-05,-1.0,-1.0,-1.0,-1.0,1.0,-8.0,2016-07-21,33.672,60.0,281511.95,100.325,-1.0,rates,,,1.0,-8.0,,,1.0,1.0,-7.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-14.0293008073,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
FFI,LFU6,6595.0,66.275,-0.00804692787847,-1.0,1.0,1.0,1.0,1.0,5.0,2016-07-26,885.03635,3.0,88069.63,6595.0,1.0,index,,,1.0,5.0,,,-1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,1,1.0,-1,1,1,1,1,-1,-708.689960893,2126.06988268,-2126.06988268,-2126.06988268,-2126.06988268,-2126.06988268,2126.06988268,-2126.06988268,2126.06988268,-2126.06988268,2126.06988268,-2126.06988268,-2126.06988268,-2126.06988268,-2126.06988268,2126.06988268,-2126.06988268,-2126.06988268,2126.06988268
FLG,LGU6,129.63,0.694,-0.00613355823047,-1.0,-1.0,-1.0,1.0,1.0,-2.0,2016-06-23,926.7676,3.0,173107.902,129.63,-1.0,rates,,,1.0,-2.0,,,-1.0,1.0,27.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,1.0,,-1,-1,1,1.0,-1,1,1,1,1,1,-1061.76739707,3185.30219121,-3185.30219121,3185.30219121,3185.30219121,-3185.30219121,3185.30219121,-3185.30219121,3185.30219121,-3185.30219121,3185.30219121,-3185.30219121,-3185.30219121,-3185.30219121,-3185.30219121,3185.30219121,-3185.30219121,3185.30219121,-3185.30219121
FSS,LLZ6,99.69,0.03,-0.000100300902708,-1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-14,50.0775,40.0,166407.5325,99.69,-1.0,rates,,,1.0,-13.0,,,-1.0,-1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,-1,1,1,1.0,-1,1,1,1,1,1,-16.6908257272,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
FV,@FVU6,121.84375,0.337109375,-0.000768836494106,-1.0,1.0,1.0,1.0,1.0,12.0,2016-07-15,337.109375,6.0,121843.75,121.84375,-1.0,rates,,,1.0,12.0,,,-1.0,1.0,11.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,,2.0,6.0,1.0,,2.0,6.0,1.0,,-1,-1,1,1.0,-1,1,1,1,1,1,-93.6779215787,562.067529472,-562.067529472,-562.067529472,-562.067529472,-562.067529472,562.067529472,-562.067529472,562.067529472,-562.067529472,562.067529472,-562.067529472,-562.067529472,-562.067529472,-562.067529472,562.067529472,-562.067529472,562.067529472,-562.067529472
GC,QGCZ6,1372.6,19.185307691,0.00956163577523,1.0,1.0,-1.0,1.0,1.0,-19.0,2016-07-20,1918.5307691,2.0,137260.0,1372.6,-1.0,metal,,,1.0,-19.0,,,1.0,1.0,-18.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1.0,1,-1,-1,1,-1,1,1312.43012651,2624.86025302,-2624.86025302,2624.86025302,-2624.86025302,2624.86025302,-2624.86025302,2624.86025302,-2624.86025302,-2624.86025302,2624.86025302,-2624.86025302,-2624.86025302,2624.86025302,-2624.86025302,2624.86025302,-2624.86025302,-2624.86025302,2624.86025302
HCM,HHIQ6,9150.0,142.601751769,,1.0,1.0,-1.0,1.0,-1.0,25.0,2016-06-24,917.643190277,3.0,58880.3088803,,1.0,index,0.0197258441993,9150.0,,,-1.0,25.0,1.0,-1.0,25.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,1,-1,-1.0,1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,
