2016-09-13 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-13 00:00:00,Close2016-09-13 00:00:00,group,RiskOn,Excess,SEA2016-09-13 00:00:00,SRUN2016-09-13 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-12 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-12 00:00:00,0.5SIG2016-09-09 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-12 00:00:00,0.75SIG2016-09-09 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-12 00:00:00,1SIG2016-09-09 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,66.9,1.335,0.00314889788574,1.0,-1.0,-1.0,-1.0,-1.0,8.0,2016-08-31,667.5,3.0,1.0,1.0,33450.0,0.00314889788574,66.9,soft,1.0,1.0,-1.0,8.0,-1.0,1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,-1,1,1.0,-1,1,-1,1,-1,-1,-1,1,0.0,0,-1,1,-1.0,0,-1,1,315.991902834,315.991902834,-315.991902834,315.991902834,315.991902834,-315.991902834,315.991902834,-315.991902834,-315.991902834,-315.991902834,-315.991902834,-315.991902834,315.991902834,315.991902834,315.991902834,-315.991902834,315.991902834,-315.991902834,315.991902834,-315.991902834,315.991902834,315.991902834,-315.991902834,-315.991902834,-315.991902834,315.991902834,0.0,0.0,-315.991902834,315.991902834,-315.991902834,0.0,-315.991902834
CU,@EUU6,1.12105,0.0070375,-0.00306803023566,-1.0,-1.0,-1.0,1.0,1.0,36.0,2016-07-22,879.6875,3.0,1.0,1.0,140131.25,-0.00306803023566,1.12105,currency,1.0,1.0,1.0,36.0,1.0,1.0,35.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,1.0,,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,1,0.0,0,-1,-1,-1289.78073588,1289.78073588,-1289.78073588,1289.78073588,-1289.78073588,1289.78073588,-1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,-1289.78073588,1289.78073588,-1289.78073588,-1289.78073588,1289.78073588,-1289.78073588,1289.78073588,-1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,1289.78073588,-1289.78073588,-0.0,-0.0,1289.78073588
DX,@DXU6,95.645,0.55915,0.00585773178529,1.0,-1.0,1.0,-1.0,-1.0,-18.0,2016-08-18,559.15,4.0,1.0,1.0,95645.0,0.00585773178529,95.645,currency,-1.0,-1.0,-1.0,-18.0,-1.0,-1.0,-17.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1,-1,1,1.0,1,1,1,2241.05102642,2241.05102642,-2241.05102642,2241.05102642,-2241.05102642,2241.05102642,-2241.05102642,2241.05102642,2241.05102642,-2241.05102642,2241.05102642,-2241.05102642,2241.05102642,2241.05102642,-2241.05102642,2241.05102642,2241.05102642,-2241.05102642,-2241.05102642,2241.05102642,2241.05102642,2241.05102642,-2241.05102642,2241.05102642,2241.05102642,2241.05102642,2241.05102642,2241.05102642,-2241.05102642,2241.05102642,2241.05102642,2241.05102642,2241.05102642
EBL,BDZ6,163.29,0.706268563,-0.000367309458219,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,2016-09-07,792.292073973,3.0,1.0,1.0,183178.722,-0.000367309458219,163.29,rates,-1.0,1.0,1.0,-4.0,-1.0,1.0,-3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,-1,-1,0.0,0,1,1,0.0,1,1,1,-201.849831405,201.849831405,201.849831405,-201.849831405,201.849831405,-201.849831405,-201.849831405,201.849831405,-201.849831405,201.849831405,201.849831405,201.849831405,-201.849831405,-201.849831405,-201.849831405,201.849831405,201.849831405,-201.849831405,-201.849831405,-201.849831405,-201.849831405,-201.849831405,-201.849831405,201.849831405,201.849831405,201.849831405,-0.0,-0.0,-201.849831405,-201.849831405,-0.0,-201.849831405,-201.849831405
EBM,BLZ6,131.4,0.1948300165,-0.00030432136336,-1.0,-1.0,-1.0,1.0,-1.0,-4.0,2016-09-07,218.56031251,10.0,2.0,2.0,147404.52,-0.00030432136336,131.4,rates,-1.0,1.0,-1.0,-4.0,-1.0,-1.0,29.0,1.0,1.0,10.0,1.0,2.0,10.0,-1.0,,2.0,10.0,-1.0,,1.0,10.0,1.0,,1,-1,-1,1,1,1,-1.0,1,-1,1,1,-1,1,-1,-1,1.0,1,-1,1,1.0,1,1,0,-448.583444918,448.583444918,448.583444918,-448.583444918,448.583444918,-448.583444918,-448.583444918,448.583444918,-448.583444918,448.583444918,448.583444918,-448.583444918,448.583444918,-448.583444918,448.583444918,-448.583444918,448.583444918,-448.583444918,448.583444918,-448.583444918,-448.583444918,-0.0,448.583444918,-448.583444918,448.583444918,448.583444918,-448.583444918,-448.583444918,448.583444918,-448.583444918,-448.583444918,-448.583444918,-448.583444918
EBS,EZZ6,111.995,0.035499198,-0.000178547515958,-1.0,1.0,1.0,1.0,1.0,30.0,2016-08-02,39.8230003164,51.0,7.0,7.0,125635.991,-0.000178547515958,111.995,rates,-1.0,1.0,1.0,30.0,1.0,1.0,29.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,0.0,0,-1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
ED,@EDZ6,99.055,0.03225,0.0,1.0,1.0,1.0,-1.0,1.0,-54.0,2016-06-27,80.625,25.0,4.0,4.0,247637.5,0.0,99.055,rates,-1.0,1.0,1.0,-54.0,1.0,1.0,-53.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,-1.0,,1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,-1,-1,0.0,-1,1,-1,0.0,0,-1,0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
EMD,@EMDZ6,1513.9,17.8031507485,-0.0185664380903,-1.0,1.0,-1.0,1.0,1.0,27.0,2016-08-04,1780.31507485,2.0,1.0,1.0,151390.0,-0.0185664380903,1513.9,index,1.0,1.0,1.0,27.0,1.0,1.0,26.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-5621.54612498,5621.54612498,-5621.54612498,5621.54612498,-5621.54612498,5621.54612498,-5621.54612498,5621.54612498,5621.54612498,-5621.54612498,5621.54612498,-5621.54612498,5621.54612498,5621.54612498,-5621.54612498,5621.54612498,-5621.54612498,5621.54612498,-5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498,5621.54612498
ES,@ESZ6,2122.25,19.803377863,-0.0137827194833,-1.0,1.0,1.0,1.0,1.0,-41.0,2016-07-15,990.16889315,3.0,1.0,1.0,106112.5,-0.0137827194833,2122.25,index,1.0,1.0,1.0,-41.0,1.0,1.0,-40.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,1,1,0.0,-1,1,-1,-1.0,-1,-1,1,-4387.5564635,4387.5564635,-4387.5564635,4387.5564635,-4387.5564635,4387.5564635,-4387.5564635,4387.5564635,4387.5564635,-4387.5564635,-4387.5564635,-4387.5564635,4387.5564635,4387.5564635,-4387.5564635,4387.5564635,4387.5564635,-4387.5564635,-4387.5564635,-4387.5564635,4387.5564635,-4387.5564635,-4387.5564635,4387.5564635,-4387.5564635,-4387.5564635,-0.0,4387.5564635,-4387.5564635,4387.5564635,4387.5564635,4387.5564635,4387.5564635
FC,@GFV6,130.55,3.155,-0.0132275132275,-1.0,1.0,1.0,1.0,-1.0,-8.0,2016-08-31,1577.5,2.0,1.0,1.0,65275.0,-0.0132275132275,130.55,meat,1.0,-1.0,-1.0,-8.0,1.0,-1.0,-7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,1,0.0,0,-1,-1,0.0,-1,-1,-1,-1726.85185185,1726.85185185,-1726.85185185,1726.85185185,-1726.85185185,1726.85185185,1726.85185185,-1726.85185185,1726.85185185,-1726.85185185,-1726.85185185,-1726.85185185,1726.85185185,1726.85185185,1726.85185185,-1726.85185185,-1726.85185185,1726.85185185,1726.85185185,1726.85185185,1726.85185185,1726.85185185,1726.85185185,-1726.85185185,-1726.85185185,-1726.85185185,-0.0,-0.0,1726.85185185,1726.85185185,-0.0,1726.85185185,1726.85185185
