2016-09-26 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-26 00:00:00,Close2016-09-26 00:00:00,group,RiskOn,Excess,SEA2016-09-26 00:00:00,SRUN2016-09-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-23 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-23 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-23 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-23 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACZ6,1.432,0.026866843,0.0013986013986,1.0,1.0,-1.0,1.0,1.0,-17.0,2016-08-31,779.138447,3.0,1.0,1.0,41528.0,0.0013986013986,1.432,energy,1.0,1.0,1.0,-17.0,1.0,1.0,-16.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,0.0,-1.0,-1,-1,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
AD,@ADZ6,0.7621,0.007020351,0.00249934227835,1.0,1.0,1.0,1.0,1.0,9.0,2016-09-13,702.0351,3.0,1.0,1.0,76210.0,0.00249934227835,0.7621,currency,1.0,1.0,1.0,9.0,-1.0,1.0,8.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,-1,1,1.0,1.0,0.0,0.0,-1.0,-1,-1,0,571.424625099,571.424625099,-571.424625099,571.424625099,571.424625099,-571.424625099,571.424625099,-571.424625099,0.0,571.424625099,571.424625099,571.424625099,-571.424625099,-571.424625099,571.424625099,-571.424625099,571.424625099,-571.424625099,-571.424625099,571.424625099,-571.424625099,0.0,-571.424625099,571.424625099,-571.424625099,571.424625099,571.424625099,571.424625099,0.0,0.0,-571.424625099,-571.424625099,-571.424625099
AEX,AEXV6,447.65,6.1707203385,-0.0145294441387,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-09-16,1388.78231938,2.0,1.0,1.0,100748.109,-0.0145294441387,447.65,index,1.0,1.0,1.0,-6.0,-1.0,1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,0,-1,1,-2927.62804359,2927.62804359,2927.62804359,-2927.62804359,-2927.62804359,2927.62804359,-2927.62804359,2927.62804359,-2927.62804359,2927.62804359,-2927.62804359,2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,2927.62804359,2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,-2927.62804359,2927.62804359,-0.0,2927.62804359
BO,@BOZ6,33.35,0.6225,-0.00625744934446,-1.0,-1.0,1.0,-1.0,-1.0,9.0,2016-09-13,373.5,6.0,1.0,1.0,20010.0,-0.00625744934446,33.35,grain,1.0,1.0,-1.0,9.0,-1.0,-1.0,8.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,-751.269368296,751.269368296,751.269368296,-751.269368296,-751.269368296,751.269368296,-751.269368296,751.269368296,-751.269368296,751.269368296,-751.269368296,751.269368296,-751.269368296,-751.269368296,751.269368296,-751.269368296,751.269368296,-751.269368296,751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-751.269368296,-0.0,-0.0,-751.269368296
BP,@BPZ6,1.2987,0.011684543,0.000462214005084,1.0,-1.0,-1.0,-1.0,1.0,-14.0,2016-09-06,730.2839375,3.0,1.0,1.0,81168.75,0.000462214005084,1.2987,currency,1.0,1.0,1.0,-14.0,-1.0,1.0,-13.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,112.551999076,112.551999076,-112.551999076,112.551999076,112.551999076,-112.551999076,112.551999076,-112.551999076,112.551999076,-112.551999076,-112.551999076,-112.551999076,112.551999076,112.551999076,112.551999076,-112.551999076,-112.551999076,112.551999076,112.551999076,112.551999076,112.551999076,112.551999076,112.551999076,-112.551999076,112.551999076,112.551999076,0.0,0.0,112.551999076,112.551999076,-112.551999076,0.0,-112.551999076
C,@CZ6,329.0,6.8125,-0.0222882615156,-1.0,1.0,-1.0,1.0,-1.0,11.0,2016-09-09,340.625,6.0,1.0,1.0,16450.0,-0.0222882615156,329.0,grain,1.0,1.0,-1.0,11.0,-1.0,-1.0,-16.0,0.0,1.0,6.0,0.0,1.0,6.0,-1.0,1.0,6.0,1.0,1.0,6.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,-1,1,1,1,1.0,1.0,1.0,0.0,-1.0,-1,-1,0,-2199.85141159,2199.85141159,2199.85141159,-2199.85141159,-2199.85141159,2199.85141159,-2199.85141159,2199.85141159,-0.0,-2199.85141159,2199.85141159,-2199.85141159,2199.85141159,2199.85141159,2199.85141159,-2199.85141159,-2199.85141159,2199.85141159,2199.85141159,2199.85141159,-2199.85141159,-0.0,2199.85141159,-2199.85141159,-2199.85141159,-2199.85141159,-2199.85141159,-2199.85141159,-2199.85141159,-0.0,2199.85141159,2199.85141159,2199.85141159
CC,@CCZ6,2845.0,58.75,-0.00245441795231,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,2016-09-09,587.5,4.0,1.0,1.0,28450.0,-0.00245441795231,2845.0,soft,1.0,1.0,-1.0,20.0,-1.0,-1.0,19.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,-279.312762973,279.312762973,279.312762973,-279.312762973,-279.312762973,279.312762973,-279.312762973,279.312762973,-279.312762973,279.312762973,279.312762973,279.312762973,-279.312762973,-279.312762973,279.312762973,-279.312762973,279.312762973,-279.312762973,279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-279.312762973,-0.0,-0.0,-279.312762973
CD,@CDZ6,0.75615,0.006172099,-0.00460738497993,-1.0,1.0,-1.0,1.0,-1.0,-14.0,2016-09-06,617.2099,4.0,1.0,1.0,75615.0,-0.00460738497993,0.75615,currency,1.0,1.0,-1.0,-14.0,-1.0,-1.0,-13.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,-1,1,1,1,1.0,1.0,1.0,0.0,-1.0,-1,-1,0,-1393.54966103,1393.54966103,1393.54966103,-1393.54966103,-1393.54966103,1393.54966103,-1393.54966103,1393.54966103,-0.0,-1393.54966103,1393.54966103,-1393.54966103,1393.54966103,1393.54966103,1393.54966103,-1393.54966103,-1393.54966103,1393.54966103,1393.54966103,1393.54966103,-1393.54966103,-0.0,1393.54966103,-1393.54966103,-1393.54966103,-1393.54966103,-1393.54966103,-1393.54966103,-1393.54966103,-0.0,1393.54966103,1393.54966103,1393.54966103
CGB,CBZ6,147.16,0.6845,0.00395688361304,1.0,-1.0,1.0,-1.0,1.0,-9.0,2016-09-13,517.345627693,4.0,1.0,1.0,111223.641448,0.00395688361304,147.16,rates,-1.0,1.0,1.0,-9.0,1.0,1.0,-8.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,-1,-1,0.0,-1.0,-1.0,1.0,1.0,1,1,0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
CL,QCLX6,45.93,1.627493987,0.0325989208633,1.0,-1.0,-1.0,-1.0,-1.0,12.0,2016-09-08,1627.493987,2.0,1.0,1.0,45930.0,0.0325989208633,45.93,energy,1.0,1.0,-1.0,12.0,-1.0,-1.0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,2994.5368705,2994.5368705,-2994.5368705,2994.5368705,2994.5368705,-2994.5368705,2994.5368705,-2994.5368705,2994.5368705,-2994.5368705,-2994.5368705,-2994.5368705,2994.5368705,2994.5368705,-2994.5368705,2994.5368705,-2994.5368705,2994.5368705,-2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,2994.5368705,0.0,0.0,2994.5368705
