2017-10-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-10-03 00:00:00,Close2017-10-03 00:00:00,group,RiskOn,Custom,PC2017-10-02 00:00:00,Close2017-10-02 00:00:00,PC2017-09-29 00:00:00,Close2017-09-29 00:00:00,vSTART,LastSEA,SEA2017-10-03 00:00:00,LastSRUN,SRUN2017-10-03 00:00:00,SEA2017-10-02 00:00:00,SRUN2017-10-02 00:00:00,SEA2017-09-29 00:00:00,SRUN2017-09-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-10-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-10-02 00:00:00,0.5SIG2017-09-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-10-02 00:00:00,0.75SIG2017-09-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-10-02 00:00:00,1SIG2017-09-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACX7,1.452,0.028877807,-0.00683994528044,-1.0,1.0,1.0,1.0,1.0,10.0,2017-09-18,837.456403,1.0,1.0,1.0,42108.0,1.0,-0.00683994528044,1.452,energy,1.0,1.0,,,,,2017-09-18,1.0,1.0,11.0,11.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
AD,@ADZ7,0.7827,0.006653482,0.000127779197547,1.0,-1.0,1.0,-1.0,1.0,-16.0,2017-09-08,665.3482,1.0,1.0,1.0,78270.0,1.0,0.000127779197547,0.7827,currency,1.0,1.0,,,,,2017-09-08,1.0,1.0,17.0,17.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,10.001277792,10.001277792,-10.001277792,10.001277792,10.001277792,-10.001277792,10.001277792,-10.001277792,10.001277792,-10.001277792,10.001277792,-10.001277792,10.001277792,10.001277792,-10.001277792,10.001277792,10.001277792,-10.001277792,10.001277792,-10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,10.001277792,-10.001277792,10.001277792,-10.001277792
AEX,AEXV7,542.1,3.237034144,0.00231117685125,1.0,1.0,-1.0,1.0,1.0,5.0,2017-09-25,760.573542474,1.0,1.0,1.0,127371.816,0.851208716377,0.00231117685125,542.1,index,1.0,1.0,,,,,2017-09-25,1.0,1.0,6.0,6.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
BO,@BOZ7,32.75,0.543,0.00707257072571,1.0,1.0,1.0,1.0,1.0,8.0,2017-09-20,325.8,3.0,1.0,1.0,19650.0,1.0,0.00707257072571,32.75,grain,1.0,1.0,,,,,2017-09-20,1.0,1.0,9.0,9.0,,,,,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,416.92804428,416.92804428,-416.92804428,416.92804428,416.92804428,-416.92804428,416.92804428,-416.92804428,416.92804428,416.92804428,416.92804428,416.92804428,-416.92804428,-416.92804428,-416.92804428,416.92804428,416.92804428,-416.92804428,416.92804428,-416.92804428,-416.92804428,416.92804428,-416.92804428,0.0,-416.92804428,-416.92804428,416.92804428,416.92804428,416.92804428,416.92804428,0.0,416.92804428,0.0,0.0,-416.92804428
BP,@BPZ7,1.3274,0.012700769,-0.00307923394668,-1.0,1.0,1.0,-1.0,-1.0,-11.0,2017-09-15,793.7980625,1.0,1.0,1.0,82962.5,1.0,-0.00307923394668,1.3274,currency,1.0,1.0,,,,,2017-09-15,-1.0,-1.0,-12.0,-12.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,-1.0,,0,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,-1,1,1.0,0,-255.460946301,255.460946301,255.460946301,-255.460946301,-255.460946301,255.460946301,-255.460946301,255.460946301,-255.460946301,-255.460946301,-255.460946301,255.460946301,-255.460946301,255.460946301,255.460946301,255.460946301,255.460946301,-255.460946301,-255.460946301,255.460946301,255.460946301,-255.460946301,-255.460946301,-255.460946301,-255.460946301,-0.0,-255.460946301,-255.460946301,-255.460946301,-255.460946301,-255.460946301,-255.460946301,-255.460946301,-0.0,255.460946301
C,@CZ7,349.5,4.975,-0.00568990042674,-1.0,1.0,1.0,1.0,1.0,18.0,2017-09-06,248.75,4.0,1.0,1.0,17475.0,1.0,-0.00568990042674,349.5,grain,1.0,1.0,,,,,2017-09-06,1.0,1.0,19.0,19.0,,,,,-1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,4.0,1.0,,1.0,4.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-397.724039829,397.724039829,397.724039829,-397.724039829,-397.724039829,397.724039829,-397.724039829,397.724039829,-397.724039829,-397.724039829,-397.724039829,-397.724039829,397.724039829,397.724039829,397.724039829,-397.724039829,-397.724039829,397.724039829,-397.724039829,397.724039829,397.724039829,-397.724039829,397.724039829,-0.0,397.724039829,397.724039829,-397.724039829,-397.724039829,-397.724039829,-397.724039829,-0.0,-397.724039829,-0.0,-0.0,397.724039829
CC,@CCZ7,2082.0,52.4,0.0220913107511,1.0,-1.0,-1.0,-1.0,-1.0,-5.0,2017-09-25,524.0,1.0,1.0,1.0,20820.0,1.0,0.0220913107511,2082.0,soft,1.0,1.0,,,,,2017-09-25,-1.0,-1.0,-6.0,-6.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,@CDZ7,0.80095,0.0062482295,0.000937265683579,1.0,-1.0,1.0,-1.0,-1.0,-15.0,2017-09-11,624.82295,1.0,1.0,1.0,80095.0,1.0,0.000937265683579,0.80095,currency,1.0,1.0,,,,,2017-09-26,-1.0,-1.0,5.0,5.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,75.0702949263,75.0702949263,-75.0702949263,75.0702949263,75.0702949263,-75.0702949263,75.0702949263,-75.0702949263,75.0702949263,-75.0702949263,75.0702949263,-75.0702949263,75.0702949263,75.0702949263,-75.0702949263,-75.0702949263,-75.0702949263,75.0702949263,75.0702949263,-75.0702949263,-75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,75.0702949263,0.0,0.0,75.0702949263
CGB,CBZ7,135.4,0.5645,0.00110905730129,1.0,-1.0,-1.0,1.0,-1.0,-12.0,2017-09-14,452.070152959,2.0,1.0,1.0,108432.770081,1.2487,0.00110905730129,135.4,rates,-1.0,1.0,,,,,2017-09-14,-1.0,-1.0,-13.0,-13.0,,,,,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,1.0,-1.0,-1.0,1,-1,-1.0,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
CL,QCLX7,50.42,1.0367430345,-0.00316330565441,-1.0,-1.0,-1.0,-1.0,-1.0,-22.0,2017-08-30,1036.7430345,1.0,1.0,1.0,50420.0,1.0,-0.00316330565441,50.42,energy,1.0,1.0,,,,,2017-08-30,-1.0,-1.0,-23.0,-23.0,,,,,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-159.493871095,159.493871095,159.493871095,-159.493871095,-159.493871095,159.493871095,-159.493871095,159.493871095,-159.493871095,159.493871095,159.493871095,159.493871095,-159.493871095,-159.493871095,-159.493871095,159.493871095,159.493871095,-159.493871095,-159.493871095,159.493871095,159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-159.493871095,-0.0,-0.0,-159.493871095
