2017-08-24 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-08-24 00:00:00,Close2017-08-24 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-08-24 00:00:00,LastSRUN,SRUN2017-08-24 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-08-23 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-08-23 00:00:00,0.5SIG2017-08-22 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-08-23 00:00:00,0.75SIG2017-08-22 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-08-23 00:00:00,1SIG2017-08-22 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACV7,1.456,0.030692202,-0.0128813559322,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,2017-08-07,890.073858,1.0,1.0,1.0,42224.0,1.0,-0.0128813559322,1.456,energy,1.0,1.0,2017-08-07,-1.0,-1.0,13.0,13.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AD,@ADU7,0.7903,0.006045,-0.000253004427577,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2017-08-15,604.5,1.0,1.0,1.0,79030.0,1.0,-0.000253004427577,0.7903,currency,1.0,1.0,2017-08-15,1.0,1.0,-7.0,-7.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-19.9949399114,19.9949399114,19.9949399114,-19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,-19.9949399114,19.9949399114,-19.9949399114,19.9949399114
AEX,AEXU7,518.75,4.5528916135,-0.000577979000096,-1.0,1.0,1.0,1.0,1.0,5.0,2017-08-16,1074.48242079,1.0,1.0,1.0,122425.0,0.847457627119,-0.000577979000096,518.75,index,1.0,1.0,2017-08-18,1.0,1.0,-4.0,-4.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
BO,@BOZ7,35.13,0.629,0.00199657729606,1.0,1.0,1.0,1.0,1.0,-6.0,2017-08-15,377.4,2.0,1.0,1.0,21078.0,1.0,0.00199657729606,35.13,grain,1.0,1.0,2017-08-15,1.0,1.0,16.0,16.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,84.1677124929,84.1677124929,84.1677124929,-84.1677124929,84.1677124929,-84.1677124929,84.1677124929,-84.1677124929,84.1677124929,84.1677124929,84.1677124929,84.1677124929,-84.1677124929,-84.1677124929,-84.1677124929,84.1677124929,84.1677124929,-84.1677124929,84.1677124929,-84.1677124929,84.1677124929,84.1677124929,-84.1677124929,84.1677124929,84.1677124929,0.0,84.1677124929,84.1677124929,-84.1677124929,0.0,-84.1677124929,84.1677124929,84.1677124929,84.1677124929,-84.1677124929
BP,@BPU7,1.2811,0.00796,-0.000312134217714,-1.0,-1.0,1.0,-1.0,1.0,15.0,2017-08-02,497.5,2.0,1.0,1.0,80068.75,1.0,-0.000312134217714,1.2811,currency,1.0,1.0,2017-08-02,1.0,1.0,16.0,16.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-49.9843932891,49.9843932891,49.9843932891,-49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,-49.9843932891,49.9843932891,-49.9843932891,49.9843932891
C,@CZ7,356.25,6.025,0.00140548137737,1.0,-1.0,1.0,-1.0,-1.0,-20.0,2017-07-26,301.25,3.0,1.0,1.0,17812.5,1.0,0.00140548137737,356.25,grain,1.0,1.0,2017-07-26,-1.0,-1.0,-21.0,-21.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,75.1054111033,75.1054111033,-75.1054111033,75.1054111033,75.1054111033,-75.1054111033,75.1054111033,-75.1054111033,75.1054111033,-75.1054111033,75.1054111033,-75.1054111033,75.1054111033,75.1054111033,-75.1054111033,-75.1054111033,-75.1054111033,75.1054111033,75.1054111033,-75.1054111033,-75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,75.1054111033,0.0,0.0,75.1054111033
CC,@CCZ7,1895.0,54.9767051155,0.0128273650454,1.0,1.0,1.0,-1.0,-1.0,14.0,2017-08-03,549.767051155,1.0,1.0,1.0,18950.0,1.0,0.0128273650454,1895.0,soft,1.0,1.0,2017-08-03,-1.0,-1.0,15.0,15.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,2.0,0.0,-1.0,,0,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,-1,1,1.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
CD,@CDU7,0.7986,0.004995,0.00163050294745,1.0,1.0,-1.0,1.0,1.0,-6.0,2017-08-15,499.5,2.0,1.0,1.0,79860.0,1.0,0.00163050294745,0.7986,currency,1.0,1.0,2017-08-15,1.0,1.0,-7.0,-7.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,260.423930766,260.423930766,260.423930766,-260.423930766,260.423930766,-260.423930766,260.423930766,-260.423930766,260.423930766,260.423930766,-260.423930766,260.423930766,-260.423930766,-260.423930766,260.423930766,260.423930766,260.423930766,-260.423930766,260.423930766,-260.423930766,260.423930766,-260.423930766,-260.423930766,-260.423930766,0.0,-260.423930766,-260.423930766,-260.423930766,-260.423930766,-260.423930766,-260.423930766,260.423930766,260.423930766,260.423930766,-260.423930766
CGB,CBU7,139.53,0.6975,-0.000644606789858,-1.0,1.0,1.0,1.0,1.0,16.0,2017-07-31,557.286673058,1.0,1.0,1.0,111481.303931,1.2516,-0.000644606789858,139.53,rates,-1.0,1.0,2017-07-31,1.0,1.0,17.0,17.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
CL,QCLV7,47.43,1.202747633,-0.0202437512911,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,2017-07-31,1202.747633,1.0,1.0,1.0,47430.0,1.0,-0.0202437512911,47.43,energy,1.0,1.0,2017-07-31,-1.0,-1.0,18.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-960.161123735,960.161123735,-960.161123735,960.161123735,-960.161123735,960.161123735,-960.161123735,960.161123735,-960.161123735,960.161123735,960.161123735,960.161123735,-960.161123735,-960.161123735,-960.161123735,960.161123735,960.161123735,-960.161123735,960.161123735,-960.161123735,-960.161123735,960.161123735,-960.161123735,-0.0,-960.161123735,-960.161123735,-960.161123735,960.161123735,-960.161123735,-0.0,-960.161123735,960.161123735,-960.161123735,-960.161123735,-960.161123735
