2017-07-20 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-20 00:00:00,Close2017-07-20 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-07-20 00:00:00,LastSRUN,SRUN2017-07-20 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-07-19 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-19 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-19 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-19 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACQ7,1.538,0.03075,-0.0012987012987,-1.0,-1.0,1.0,-1.0,-1.0,-5.0,2017-07-12,891.75,1.0,1.0,1.0,44602.0,1.0,-0.0012987012987,1.538,energy,1.0,1.0,2017-07-12,-1.0,-1.0,-6.0,-6.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AD,@ADU7,0.7955,0.005885,0.000754811926028,1.0,-1.0,-1.0,1.0,-1.0,14.0,2017-06-28,588.5,1.0,1.0,1.0,79550.0,1.0,0.000754811926028,0.7955,currency,1.0,1.0,2017-06-28,-1.0,-1.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,60.0452887156,60.0452887156,60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,60.0452887156,60.0452887156,-60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,-60.0452887156,60.0452887156,-60.0452887156,-60.0452887156,0.0,60.0452887156,-60.0452887156,60.0452887156,0.0,60.0452887156,-60.0452887156,60.0452887156,0.0,60.0452887156
AEX,AEXN7,526.25,5.1525,0.00391072109882,1.0,-1.0,-1.0,-1.0,-1.0,-5.0,2017-07-12,1198.6776,1.0,1.0,1.0,122426.8,0.85969738652,0.00391072109882,526.25,index,1.0,1.0,2017-07-12,-1.0,-1.0,-6.0,-6.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
BO,@BOZ7,34.45,0.6195,0.0168240850059,1.0,-1.0,1.0,-1.0,-1.0,-9.0,2017-07-06,371.7,2.0,1.0,1.0,20670.0,1.0,0.0168240850059,34.45,grain,1.0,1.0,2017-06-26,-1.0,-1.0,-17.0,-17.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,695.507674144,695.507674144,695.507674144,-695.507674144,695.507674144,-695.507674144,695.507674144,-695.507674144,695.507674144,-695.507674144,695.507674144,-695.507674144,695.507674144,695.507674144,-695.507674144,-695.507674144,-695.507674144,695.507674144,-695.507674144,695.507674144,695.507674144,-695.507674144,695.507674144,695.507674144,695.507674144,695.507674144,695.507674144,695.507674144,695.507674144,695.507674144,695.507674144,-695.507674144,695.507674144,695.507674144,695.507674144
BP,@BPU7,1.2999,0.008955,-0.0040606803555,-1.0,1.0,1.0,1.0,-1.0,7.0,2017-07-10,559.6875,1.0,1.0,1.0,81243.75,1.0,-0.0040606803555,1.2999,currency,1.0,1.0,2017-07-10,-1.0,-1.0,8.0,8.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,-329.904899632,329.904899632,329.904899632,-329.904899632,-329.904899632,329.904899632,-329.904899632,329.904899632,-329.904899632,-329.904899632,-329.904899632,-329.904899632,329.904899632,329.904899632,329.904899632,329.904899632,329.904899632,-329.904899632,-329.904899632,329.904899632,329.904899632,-329.904899632,-329.904899632,-329.904899632,-0.0,-0.0,-329.904899632,-329.904899632,-329.904899632,-329.904899632,-329.904899632,-329.904899632,-329.904899632,329.904899632,329.904899632
C,@CU7,391.0,9.7875,0.0222222222222,1.0,1.0,1.0,1.0,-1.0,-4.0,2017-07-13,489.375,2.0,1.0,1.0,19550.0,1.0,0.0222222222222,391.0,grain,1.0,1.0,2017-07-13,-1.0,-1.0,-5.0,-5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,868.888888889,868.888888889,868.888888889,-868.888888889,868.888888889,-868.888888889,868.888888889,-868.888888889,868.888888889,868.888888889,868.888888889,868.888888889,-868.888888889,-868.888888889,-868.888888889,-868.888888889,-868.888888889,868.888888889,-868.888888889,868.888888889,-868.888888889,-868.888888889,-868.888888889,-868.888888889,-868.888888889,-868.888888889,868.888888889,868.888888889,868.888888889,868.888888889,0.0,-868.888888889,868.888888889,0.0,-868.888888889
CC,@CCU7,1956.0,52.8,0.00617283950617,1.0,-1.0,-1.0,1.0,-1.0,6.0,2017-07-11,528.0,1.0,1.0,1.0,19560.0,1.0,0.00617283950617,1956.0,soft,1.0,1.0,2017-07-14,-1.0,-1.0,-4.0,-4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
CD,@CDU7,0.7953,0.00548,0.000503207950685,1.0,1.0,-1.0,1.0,-1.0,-13.0,2017-06-29,548.0,1.0,1.0,1.0,79530.0,1.0,0.000503207950685,0.7953,currency,1.0,1.0,2017-06-29,-1.0,-1.0,-14.0,-14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,40.020128318,40.020128318,40.020128318,-40.020128318,40.020128318,-40.020128318,40.020128318,-40.020128318,40.020128318,40.020128318,-40.020128318,40.020128318,-40.020128318,-40.020128318,40.020128318,-40.020128318,-40.020128318,40.020128318,-40.020128318,40.020128318,-40.020128318,-40.020128318,-40.020128318,-40.020128318,-40.020128318,-40.020128318,40.020128318,-40.020128318,40.020128318,0.0,0.0,-40.020128318,40.020128318,0.0,-40.020128318
CGB,CBU7,139.31,0.7725,0.000430879712747,1.0,1.0,1.0,-1.0,1.0,-16.0,2017-06-26,613.679694948,1.0,1.0,1.0,110668.891007,1.2588,0.000430879712747,139.31,rates,-1.0,1.0,2017-06-26,1.0,1.0,-17.0,-17.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1,1,1.0,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
CL,QCLU7,46.92,1.225687733,-0.00845308537616,-1.0,-1.0,-1.0,1.0,-1.0,8.0,2017-07-07,1225.687733,1.0,1.0,1.0,46920.0,1.0,-0.00845308537616,46.92,energy,1.0,1.0,2017-07-07,-1.0,-1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,-396.61876585,396.61876585,-396.61876585,396.61876585,-396.61876585,396.61876585,-396.61876585,396.61876585,-396.61876585,396.61876585,396.61876585,-396.61876585,396.61876585,-396.61876585,-396.61876585,396.61876585,396.61876585,-396.61876585,396.61876585,-396.61876585,396.61876585,396.61876585,-396.61876585,396.61876585,396.61876585,-0.0,-396.61876585,396.61876585,-396.61876585,-0.0,-396.61876585,396.61876585,-396.61876585,-0.0,-396.61876585
