2016-08-22 00:00:00,Contract,LastClose,ATR20,PC2016-08-22 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-22 00:00:00,RiskOn,group,SEA2016-08-22 00:00:00,SRUN2016-08-22 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-19 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-19 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-19 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-19 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
AC,@ACV6,1.471,0.0243491435,-0.00135777325187,-1.0,1.0,-1.0,1.0,1.0,10.0,2016-08-08,706.1251615,3.0,1.0,1.0,42659.0,1.471,1.0,energy,1.0,10.0,1.0,1.0,-13.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
AD,@ADU6,0.7625,0.007985,0.00131319763624,1.0,-1.0,-1.0,1.0,1.0,-27.0,2016-07-14,798.5,3.0,1.0,1.0,76250.0,0.7625,1.0,currency,1.0,-27.0,-1.0,-1.0,-26.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,-1,1,1,1,1.0,-1,1,1,1,1,-1,1,-1,300.393959291,300.393959291,-300.393959291,300.393959291,300.393959291,-300.393959291,300.393959291,-300.393959291,-300.393959291,300.393959291,-300.393959291,300.393959291,-300.393959291,300.393959291,300.393959291,-300.393959291,300.393959291,300.393959291,300.393959291,300.393959291,-300.393959291,300.393959291
AEX,AEXU6,447.3,5.005826406,-0.00189668637733,-1.0,-1.0,-1.0,-1.0,-1.0,-32.0,2016-07-07,1133.6194479,2.0,1.0,1.0,101295.558,447.3,1.0,index,-1.0,-32.0,-1.0,1.0,-31.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-384.251809885,384.251809885,384.251809885,-384.251809885,-384.251809885,384.251809885,384.251809885,384.251809885,384.251809885,384.251809885,-384.251809885,-384.251809885,-384.251809885,384.251809885,384.251809885,-384.251809885,384.251809885,384.251809885,384.251809885,384.251809885,-384.251809885,384.251809885
BO,@BOZ6,34.31,0.715,-0.0072337962963,-1.0,-1.0,-1.0,1.0,1.0,-14.0,2016-08-02,429.0,5.0,2.0,1.0,20586.0,34.31,1.0,grain,1.0,-14.0,-1.0,1.0,-13.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-744.574652778,744.574652778,744.574652778,-744.574652778,-744.574652778,744.574652778,-744.574652778,744.574652778,744.574652778,-744.574652778,744.574652778,-744.574652778,-744.574652778,744.574652778,744.574652778,-744.574652778,744.574652778,744.574652778,744.574652778,744.574652778,744.574652778,744.574652778
BP,@BPU6,1.3141,0.012725,0.00427970959113,1.0,1.0,-1.0,1.0,1.0,14.0,2016-08-02,795.3125,3.0,1.0,1.0,82131.25,1.3141,1.0,currency,1.0,14.0,-1.0,-1.0,13.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,1054.49369507,1054.49369507,-1054.49369507,1054.49369507,1054.49369507,-1054.49369507,1054.49369507,1054.49369507,-1054.49369507,1054.49369507,-1054.49369507,-1054.49369507,-1054.49369507,1054.49369507,-1054.49369507,1054.49369507,1054.49369507,-1054.49369507,1054.49369507,1054.49369507,-1054.49369507,1054.49369507
C,@CZ6,342.5,5.85,-0.00363636363636,-1.0,-1.0,1.0,-1.0,1.0,-17.0,2016-07-28,292.5,7.0,2.0,1.0,17125.0,342.5,1.0,grain,1.0,-17.0,1.0,1.0,-16.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-435.909090909,435.909090909,-435.909090909,435.909090909,-435.909090909,435.909090909,435.909090909,435.909090909,-435.909090909,435.909090909,-435.909090909,-435.909090909,-435.909090909,435.909090909,435.909090909,-435.909090909,435.909090909,435.909090909,435.909090909,435.909090909,-435.909090909,435.909090909
CC,@CCZ6,2984.0,59.1984988455,-0.0371087447564,-1.0,1.0,-1.0,1.0,1.0,-16.0,2016-07-29,591.984988455,4.0,1.0,1.0,29840.0,2984.0,1.0,soft,1.0,-16.0,-1.0,1.0,-15.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-4429.29977412,4429.29977412,4429.29977412,-4429.29977412,-4429.29977412,4429.29977412,-4429.29977412,-4429.29977412,4429.29977412,-4429.29977412,4429.29977412,4429.29977412,-4429.29977412,4429.29977412,4429.29977412,-4429.29977412,4429.29977412,4429.29977412,-4429.29977412,4429.29977412,4429.29977412,4429.29977412
CD,@CDU6,0.7722,0.0063475,-0.00707213578501,-1.0,1.0,-1.0,1.0,1.0,-20.0,2016-07-25,634.75,4.0,1.0,1.0,77220.0,0.7722,1.0,currency,1.0,-20.0,-1.0,1.0,-19.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-2184.44130127,2184.44130127,2184.44130127,-2184.44130127,-2184.44130127,2184.44130127,-2184.44130127,-2184.44130127,2184.44130127,-2184.44130127,2184.44130127,2184.44130127,-2184.44130127,2184.44130127,2184.44130127,-2184.44130127,2184.44130127,2184.44130127,-2184.44130127,2184.44130127,2184.44130127,2184.44130127
CGB,CBU6,148.38,0.651,0.00453591496852,1.0,-1.0,-1.0,1.0,1.0,-30.0,2016-07-08,502.663886959,4.0,1.0,1.0,114570.303451,148.38,-1.0,rates,1.0,-30.0,-1.0,1.0,-29.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CL,QCLV6,47.41,1.488183413,-0.0346161677866,-1.0,-1.0,-1.0,-1.0,-1.0,-14.0,2016-08-02,1488.183413,2.0,1.0,1.0,47410.0,47.41,1.0,energy,-1.0,-14.0,1.0,-1.0,-13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-3282.30502953,3282.30502953,-3282.30502953,3282.30502953,-3282.30502953,3282.30502953,3282.30502953,3282.30502953,3282.30502953,3282.30502953,-3282.30502953,-3282.30502953,3282.30502953,-3282.30502953,-3282.30502953,3282.30502953,-3282.30502953,3282.30502953,3282.30502953,3282.30502953,-3282.30502953,3282.30502953
