2016-07-26 00:00:00,Contract,LastClose,ATR20,PC2016-07-26 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-26 00:00:00,RiskOn,group,SEA2016-07-26 00:00:00,SRUN2016-07-26 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-25 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-25 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-25 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-25 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
AC,@ACU6,1.454,0.0338817615,-0.00818553888131,-1.0,1.0,-1.0,1.0,-1.0,9.0,2016-07-13,1.0,982.5710835,3.0,42166.0,1.454,1.0,energy,-1.0,9.0,-1.0,8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1.0,-1,-1,-1,-345.151432469,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
AD,@ADU6,0.7492,0.00755,0.00509793399517,1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-07-14,1.0,755.0,3.0,74920.0,0.7492,1.0,currency,-1.0,-8.0,-1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,1.0,1,1,-1,381.937214918,1145.81164475,1145.81164475,-1145.81164475,1145.81164475,-1145.81164475,-1145.81164475,1145.81164475,1145.81164475,1145.81164475,1145.81164475,1145.81164475,-1145.81164475,1145.81164475,-1145.81164475
AEX,AEXQ6,450.6,6.3352599275,0.00278179592745,1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-07,-1.0,1391.60319567,2.0,98978.796,450.6,1.0,index,1.0,-13.0,1.0,-12.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1.0,-1,-1,-1,275.338811617,550.677623234,-550.677623234,550.677623234,-550.677623234,550.677623234,550.677623234,-550.677623234,-550.677623234,-550.677623234,-550.677623234,-550.677623234,550.677623234,550.677623234,-550.677623234
BO,@BOZ6,30.08,0.765,0.00400534045394,1.0,1.0,-1.0,1.0,1.0,3.0,2016-07-07,-1.0,459.0,5.0,18048.0,30.08,1.0,grain,1.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,1,1.0,1,1,-1,72.2883845127,361.441922563,361.441922563,361.441922563,-361.441922563,361.441922563,361.441922563,-361.441922563,361.441922563,361.441922563,361.441922563,-361.441922563,361.441922563,361.441922563,-361.441922563
BP,@BPU6,1.3143,0.019915,0.000532886723508,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-14,1.0,1244.6875,2.0,82143.75,1.3143,1.0,currency,-1.0,-8.0,-1.0,-7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,-1,-1,43.7733137942,87.5466275883,-87.5466275883,87.5466275883,-87.5466275883,87.5466275883,-87.5466275883,87.5466275883,87.5466275883,87.5466275883,-87.5466275883,87.5466275883,-87.5466275883,87.5466275883,-87.5466275883
C,@CZ6,339.5,12.905154365,-0.00512820512821,-1.0,1.0,1.0,1.0,1.0,9.0,2016-07-13,-1.0,645.25771825,4.0,16975.0,339.5,1.0,grain,1.0,9.0,-1.0,8.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,1,-1.0,1,1,-1,-87.0512820513,348.205128205,-348.205128205,-348.205128205,-348.205128205,-348.205128205,348.205128205,-348.205128205,348.205128205,-348.205128205,-348.205128205,348.205128205,-348.205128205,-348.205128205,348.205128205
CC,@CCU6,2851.0,56.05,-0.0010511562719,-1.0,1.0,1.0,-1.0,-1.0,17.0,2016-07-14,-1.0,560.5,4.0,28510.0,2851.0,1.0,soft,-1.0,17.0,-1.0,16.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,1,1,-1.0,-1,1,-1,-29.9684653118,119.873861247,-119.873861247,-119.873861247,-119.873861247,119.873861247,119.873861247,-119.873861247,119.873861247,119.873861247,-119.873861247,119.873861247,-119.873861247,-119.873861247,119.873861247
CD,@CDU6,0.75805,0.006615,0.00198268455489,1.0,-1.0,1.0,-1.0,-1.0,8.0,2016-07-14,-1.0,661.5,4.0,75805.0,0.75805,1.0,currency,-1.0,8.0,-1.0,7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1.0,-1,1,-1,150.297402683,601.189610733,601.189610733,-601.189610733,601.189610733,-601.189610733,-601.189610733,601.189610733,-601.189610733,-601.189610733,601.189610733,-601.189610733,601.189610733,601.189610733,-601.189610733
CGB,CBU6,147.32,0.688,-0.00115262051665,-1.0,1.0,1.0,1.0,1.0,-12.0,2016-07-08,-1.0,521.607278241,4.0,111690.674754,147.32,-1.0,rates,1.0,-12.0,1.0,-11.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,1,-1.0,1,1,1,-128.736963239,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
CL,QCLU6,42.92,1.638359829,-0.00486900069557,-1.0,-1.0,1.0,-1.0,-1.0,10.0,2016-07-12,-1.0,1638.359829,2.0,42920.0,42.92,1.0,energy,-1.0,10.0,-1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1.0,-1,1,-1,-208.977509854,417.955019708,-417.955019708,417.955019708,-417.955019708,417.955019708,417.955019708,-417.955019708,417.955019708,417.955019708,-417.955019708,417.955019708,-417.955019708,-417.955019708,417.955019708
CT,@CTZ6,73.95,1.7705,0.0229630654309,1.0,-1.0,-1.0,-1.0,-1.0,2.0,2016-07-15,-1.0,885.25,3.0,36975.0,73.95,1.0,soft,-1.0,2.0,-1.0,1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1.0,-1,-1,-1,849.059344308,2547.17803292,-2547.17803292,-2547.17803292,-2547.17803292,-2547.17803292,-2547.17803292,2547.17803292,-2547.17803292,-2547.17803292,-2547.17803292,-2547.17803292,2547.17803292,2547.17803292,-2547.17803292
CU,@EUU6,1.1011,0.007795,-0.000272380606501,-1.0,-1.0,1.0,-1.0,1.0,-22.0,2016-06-23,1.0,974.375,3.0,137637.5,1.1011,1.0,currency,1.0,-22.0,1.0,-21.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,-1.0,-1,-1,-1,-37.4897857273,112.469357182,112.469357182,112.469357182,-112.469357182,112.469357182,-112.469357182,112.469357182,112.469357182,112.469357182,112.469357182,-112.469357182,112.469357182,-112.469357182,112.469357182
DX,@DXU6,97.168,0.5659,-0.00162340998294,-1.0,1.0,-1.0,1.0,1.0,-23.0,2016-06-23,-1.0,565.9,4.0,97168.0,97.168,-1.0,currency,1.0,-23.0,-1.0,-22.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,1,1.0,1,1,1,-157.743501223,630.974004891,-630.974004891,-630.974004891,630.974004891,-630.974004891,630.974004891,-630.974004891,-630.974004891,-630.974004891,-630.974004891,630.974004891,-630.974004891,630.974004891,-630.974004891
EBL,BDU6,166.49,0.765,-0.00137955854127,-1.0,-1.0,1.0,-1.0,1.0,-12.0,2016-07-08,1.0,840.1995,3.0,182855.967,166.49,-1.0,rates,1.0,-12.0,1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,-1.0,-1,-1,1,-252.260511096,756.781533289,756.781533289,756.781533289,-756.781533289,756.781533289,-756.781533289,756.781533289,756.781533289,756.781533289,756.781533289,-756.781533289,756.781533289,756.781533289,-756.781533289
EBM,BLU6,133.39,0.2085,-0.000524501723363,-1.0,1.0,-1.0,1.0,1.0,-12.0,2016-07-08,1.0,228.99555,9.0,146502.237,133.39,-1.0,rates,1.0,-12.0,1.0,-11.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,2.0,9.0,1.0,2.0,9.0,1.0,-1,-1,-1.0,-1,-1,1,-76.840675783,691.566082047,691.566082047,-691.566082047,691.566082047,-691.566082047,-691.566082047,691.566082047,691.566082047,691.566082047,691.566082047,-691.566082047,691.566082047,691.566082047,-691.566082047
EBS,EZU6,111.985,0.048,-4.46468434682e-05,-1.0,-1.0,-1.0,-1.0,1.0,-11.0,2016-07-11,1.0,52.7184,38.0,122993.1255,111.985,-1.0,rates,1.0,-11.0,1.0,-10.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,-1,-1.0,-1,-1,1,-5.49125482186,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
ED,@EDZ6,99.1,0.03325,5.04566325243e-05,1.0,-1.0,1.0,-1.0,1.0,-20.0,2016-06-27,-1.0,83.125,25.0,247750.0,99.1,-1.0,rates,1.0,-20.0,1.0,-19.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,1,-1.0,-1,1,1,12.5006307079,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
EMD,@EMDU6,1552.5,17.905,0.00530984912258,1.0,1.0,-1.0,1.0,1.0,-9.0,2016-07-13,-1.0,1790.5,2.0,155250.0,1552.5,1.0,index,1.0,-9.0,1.0,-8.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1.0,-1,-1,-1,824.354076281,1648.70815256,-1648.70815256,1648.70815256,-1648.70815256,1648.70815256,1648.70815256,-1648.70815256,-1648.70815256,-1648.70815256,-1648.70815256,-1648.70815256,1648.70815256,1648.70815256,-1648.70815256
ES,@ESU6,2163.25,20.8875,0.000462481211701,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-15,-1.0,1044.375,2.0,108162.5,2163.25,1.0,index,-1.0,-7.0,-1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1,1.0,1,1,-1,50.0231240606,100.046248121,100.046248121,100.046248121,-100.046248121,100.046248121,-100.046248121,100.046248121,100.046248121,100.046248121,100.046248121,-100.046248121,100.046248121,100.046248121,-100.046248121
FC,@GFQ6,142.45,3.24375,0.00529287226535,1.0,-1.0,-1.0,-1.0,-1.0,3.0,2016-07-06,1.0,1621.875,2.0,71225.0,142.45,1.0,meat,-1.0,3.0,-1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,-1.0,-1,-1,-1,376.9848271,753.969654199,-753.969654199,-753.969654199,-753.969654199,-753.969654199,-753.969654199,753.969654199,-753.969654199,-753.969654199,-753.969654199,753.969654199,-753.969654199,753.969654199,-753.969654199
FCH,MTQ6,4394.5,70.269655683,0.00182377749915,1.0,1.0,-1.0,1.0,-1.0,-14.0,2016-07-06,1.0,771.771628366,3.0,48264.7935,4394.5,1.0,index,-1.0,-14.0,-1.0,-13.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,-1,-1,88.0242443862,264.072733159,-264.072733159,264.072733159,-264.072733159,264.072733159,-264.072733159,264.072733159,264.072733159,264.072733159,-264.072733159,264.072733159,-264.072733159,264.072733159,-264.072733159
FDX,DXMU6,10246.5,163.4,0.00677966101695,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-14,1.0,897.3111,3.0,56268.65475,10246.5,1.0,index,-1.0,-8.0,-1.0,-7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,-1,-1,381.482405085,1144.44721525,-1144.44721525,1144.44721525,-1144.44721525,1144.44721525,-1144.44721525,1144.44721525,1144.44721525,1144.44721525,-1144.44721525,1144.44721525,-1144.44721525,1144.44721525,-1144.44721525
FEI,IEZ6,100.33,0.0145,4.9838026414e-05,1.0,-1.0,1.0,-1.0,1.0,-12.0,2016-07-08,-1.0,39.813375,51.0,275481.0975,100.33,-1.0,rates,1.0,-12.0,1.0,-2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1,1,-1.0,-1,1,1,13.7294342138,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
FFI,LFU6,6678.5,88.175,0.003681995792,1.0,1.0,-1.0,1.0,1.0,-8.0,2016-07-14,-1.0,1157.825925,2.0,87695.3835,6678.5,1.0,index,1.0,-8.0,1.0,-7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1.0,-1,-1,-1,322.894033025,645.788066051,-645.788066051,645.788066051,-645.788066051,645.788066051,645.788066051,-645.788066051,-645.788066051,-645.788066051,-645.788066051,-645.788066051,645.788066051,645.788066051,-645.788066051
FLG,LGU6,129.41,0.7525,-0.00192811969767,-1.0,1.0,-1.0,1.0,1.0,23.0,2016-06-23,1.0,988.10775,3.0,169928.271,129.41,-1.0,rates,1.0,23.0,1.0,22.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1.0,1,-1,1,-327.642046506,982.926139519,982.926139519,-982.926139519,982.926139519,-982.926139519,-982.926139519,982.926139519,-982.926139519,-982.926139519,982.926139519,-982.926139519,982.926139519,982.926139519,-982.926139519
FSS,LLZ6,99.7,0.038,0.000200642054575,1.0,1.0,-1.0,1.0,-1.0,10.0,2016-07-12,1.0,62.37225,33.0,163645.0875,99.7,-1.0,rates,-1.0,10.0,-1.0,9.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1.0,-1,-1,1,32.834086577,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
FV,@FVU6,121.421875,0.348828125,0.000193062616642,1.0,-1.0,1.0,-1.0,1.0,-15.0,2016-07-05,-1.0,348.828125,6.0,121421.875,121.421875,-1.0,rates,1.0,-15.0,1.0,-14.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,-1,1,-1.0,-1,1,1,23.4420249051,140.65214943,140.65214943,-140.65214943,140.65214943,-140.65214943,140.65214943,-140.65214943,-140.65214943,-140.65214943,140.65214943,-140.65214943,140.65214943,-140.65214943,140.65214943
GC,QGCZ6,1328.3,19.084106099,0.000828812537673,1.0,-1.0,1.0,-1.0,1.0,4.0,2016-07-20,-1.0,1908.4106099,2.0,132830.0,1328.3,-1.0,metal,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,1,1,1,110.091169379,220.182338758,220.182338758,-220.182338758,220.182338758,-220.182338758,220.182338758,-220.182338758,220.182338758,220.182338758,220.182338758,-220.182338758,220.182338758,-220.182338758,220.182338758
HCM,HHIN6,9046.0,145.45,-0.000221043324492,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2016-06-24,1.0,935.971685972,3.0,58211.0682111,9046.0,1.0,index,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,-1,-1,-12.8671680396,38.6015041187,38.6015041187,-38.6015041187,38.6015041187,-38.6015041187,38.6015041187,-38.6015041187,-38.6015041187,-38.6015041187,38.6015041187,-38.6015041187,38.6015041187,-38.6015041187,38.6015041187
HG,QHGU6,222.55,4.5275,0.00383400992332,1.0,1.0,1.0,1.0,1.0,12.0,2016-07-08,-1.0,1131.875,2.0,55637.5,222.55,1.0,metal,1.0,12.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,1.0,1,1,-1,213.314727109,426.629454217,426.629454217,426.629454217,426.629454217,426.629454217,426.629454217,-426.629454217,426.629454217,426.629454217,426.629454217,-426.629454217,426.629454217,426.629454217,-426.629454217
