2016-08-30 00:00:00,Contract,LastClose,ATR20,PC2016-08-30 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-30 00:00:00,RiskOn,group,SEA2016-08-30 00:00:00,SRUN2016-08-30 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-29 00:00:00,0.5SIG2016-08-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-29 00:00:00,0.75SIG2016-08-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-29 00:00:00,1SIG2016-08-26 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
AC,@ACV6,1.412,0.022537953,-0.0070323488045,-1.0,-1.0,1.0,-1.0,-1.0,16.0,2016-08-08,653.600637,4.0,1.0,1.0,40948.0,1.412,1.0,energy,-1.0,16.0,-1.0,-1.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AD,@ADU6,0.7506,0.00679,-0.00871632329635,-1.0,1.0,-1.0,1.0,1.0,-33.0,2016-07-14,679.0,3.0,1.0,1.0,75060.0,0.7506,1.0,currency,1.0,-33.0,1.0,1.0,-32.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1962.74167987,1962.74167987,-1962.74167987,1962.74167987,-1962.74167987,1962.74167987,1962.74167987,-1962.74167987,1962.74167987,-1962.74167987,1962.74167987,1962.74167987,-1962.74167987,1962.74167987,1962.74167987,-1962.74167987,-1962.74167987,1962.74167987,1962.74167987,1962.74167987,-1962.74167987,1962.74167987,1962.74167987,1962.74167987,1962.74167987
AEX,AEXU6,455.7,4.648043454,0.00818584070796,1.0,1.0,-1.0,1.0,1.0,-38.0,2016-07-07,1035.86296416,2.0,1.0,1.0,101557.302,455.7,1.0,index,1.0,-38.0,-1.0,1.0,-37.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1662.66379381,1662.66379381,-1662.66379381,1662.66379381,1662.66379381,-1662.66379381,1662.66379381,1662.66379381,-1662.66379381,1662.66379381,-1662.66379381,-1662.66379381,1662.66379381,-1662.66379381,-1662.66379381,1662.66379381,-1662.66379381,-1662.66379381,1662.66379381,-1662.66379381,-1662.66379381,-1662.66379381,-1662.66379381,1662.66379381,-1662.66379381
BO,@BOZ6,33.14,0.716,-0.00240818783865,-1.0,-1.0,1.0,-1.0,1.0,7.0,2016-08-19,429.6,5.0,1.0,1.0,19884.0,33.14,1.0,grain,1.0,7.0,-1.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,,2.0,5.0,-1.0,,2.0,5.0,-1.0,,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-239.422034919,239.422034919,239.422034919,-239.422034919,-239.422034919,239.422034919,-239.422034919,239.422034919,-239.422034919,239.422034919,-239.422034919,-239.422034919,-239.422034919,239.422034919,-239.422034919,239.422034919,239.422034919,-239.422034919,239.422034919,239.422034919,239.422034919,-239.422034919,-239.422034919,-239.422034919,-239.422034919
BP,@BPU6,1.3088,0.01143,-0.00190650499504,-1.0,-1.0,-1.0,-1.0,1.0,20.0,2016-08-02,714.375,3.0,1.0,1.0,81800.0,1.3088,1.0,currency,1.0,20.0,-1.0,1.0,19.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-467.856325784,467.856325784,467.856325784,-467.856325784,-467.856325784,467.856325784,-467.856325784,467.856325784,467.856325784,467.856325784,-467.856325784,-467.856325784,-467.856325784,467.856325784,-467.856325784,467.856325784,467.856325784,-467.856325784,467.856325784,467.856325784,467.856325784,467.856325784,467.856325784,-467.856325784,467.856325784
C,@CZ6,315.75,5.675,-0.0155884645362,-1.0,-1.0,1.0,-1.0,-1.0,-23.0,2016-07-28,283.75,8.0,1.0,1.0,15787.5,315.75,1.0,grain,-1.0,-23.0,-1.0,-1.0,-22.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,,2.0,8.0,-1.0,,2.0,8.0,-1.0,,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1968.82307093,1968.82307093,1968.82307093,-1968.82307093,-1968.82307093,1968.82307093,-1968.82307093,1968.82307093,-1968.82307093,1968.82307093,-1968.82307093,-1968.82307093,1968.82307093,-1968.82307093,-1968.82307093,1968.82307093,1968.82307093,-1968.82307093,-1968.82307093,-1968.82307093,1968.82307093,-1968.82307093,-1968.82307093,-1968.82307093,-1968.82307093
CC,@CCZ6,2890.0,57.5928406465,-0.0119658119658,-1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-08-18,575.928406465,4.0,1.0,1.0,28900.0,2890.0,1.0,soft,-1.0,-8.0,-1.0,-1.0,-7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1383.24786325,1383.24786325,1383.24786325,-1383.24786325,-1383.24786325,1383.24786325,-1383.24786325,1383.24786325,-1383.24786325,1383.24786325,-1383.24786325,-1383.24786325,1383.24786325,-1383.24786325,-1383.24786325,1383.24786325,1383.24786325,-1383.24786325,-1383.24786325,-1383.24786325,1383.24786325,-1383.24786325,-1383.24786325,-1383.24786325,-1383.24786325
CD,@CDU6,0.76445,0.0056575,-0.00481676755842,-1.0,1.0,-1.0,1.0,1.0,-26.0,2016-08-18,565.75,4.0,1.0,1.0,76445.0,0.76445,1.0,currency,1.0,-26.0,-1.0,1.0,-25.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1472.87118401,1472.87118401,1472.87118401,-1472.87118401,-1472.87118401,1472.87118401,-1472.87118401,-1472.87118401,1472.87118401,-1472.87118401,1472.87118401,1472.87118401,-1472.87118401,1472.87118401,1472.87118401,-1472.87118401,1472.87118401,1472.87118401,-1472.87118401,1472.87118401,1472.87118401,1472.87118401,1472.87118401,-1472.87118401,1472.87118401
CGB,CBZ6,146.67,0.596987879,-0.000340785169029,-1.0,-1.0,-1.0,-1.0,1.0,-36.0,2016-07-08,455.785523744,5.0,1.0,1.0,111978.928081,146.67,-1.0,rates,1.0,-36.0,1.0,1.0,-35.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
CL,QCLV6,46.35,1.4168010795,-0.0134099616858,-1.0,-1.0,-1.0,-1.0,-1.0,-20.0,2016-08-02,1416.8010795,2.0,1.0,1.0,46350.0,46.35,1.0,energy,-1.0,-20.0,-1.0,-1.0,-19.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1243.10344828,1243.10344828,1243.10344828,-1243.10344828,-1243.10344828,1243.10344828,-1243.10344828,1243.10344828,1243.10344828,1243.10344828,-1243.10344828,-1243.10344828,1243.10344828,-1243.10344828,-1243.10344828,1243.10344828,1243.10344828,-1243.10344828,-1243.10344828,-1243.10344828,1243.10344828,-1243.10344828,1243.10344828,-1243.10344828,-1243.10344828
CT,@CTZ6,66.29,1.6515,-0.00985810306199,-1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-08-10,825.75,3.0,1.0,1.0,33145.0,66.29,1.0,soft,1.0,-14.0,-1.0,1.0,-13.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-980.240477969,980.240477969,980.240477969,-980.240477969,-980.240477969,980.240477969,-980.240477969,980.240477969,-980.240477969,980.240477969,-980.240477969,-980.240477969,-980.240477969,980.240477969,980.240477969,-980.240477969,980.240477969,-980.240477969,980.240477969,980.240477969,-980.240477969,-980.240477969,-980.240477969,-980.240477969,-980.240477969
CU,@EUU6,1.11495,0.006865,-0.00410879371176,-1.0,1.0,-1.0,1.0,1.0,27.0,2016-07-22,858.125,3.0,1.0,1.0,139368.75,1.11495,1.0,currency,1.0,27.0,-1.0,1.0,26.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1717.91233085,1717.91233085,1717.91233085,-1717.91233085,-1717.91233085,1717.91233085,-1717.91233085,-1717.91233085,1717.91233085,-1717.91233085,1717.91233085,1717.91233085,-1717.91233085,1717.91233085,-1717.91233085,1717.91233085,1717.91233085,-1717.91233085,-1717.91233085,-1717.91233085,1717.91233085,1717.91233085,1717.91233085,-1717.91233085,1717.91233085
DX,@DXU6,96.041,0.57125,0.00521231278063,1.0,1.0,1.0,1.0,-1.0,-8.0,2016-08-18,571.25,4.0,1.0,1.0,96041.0,96.041,-1.0,currency,-1.0,-8.0,1.0,-1.0,26.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,,1.0,4.0,1.0,,1.0,4.0,1.0,,1,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,2002.38292706,2002.38292706,2002.38292706,-2002.38292706,-2002.38292706,2002.38292706,-2002.38292706,2002.38292706,2002.38292706,2002.38292706,-2002.38292706,-2002.38292706,-2002.38292706,2002.38292706,-2002.38292706,2002.38292706,2002.38292706,-2002.38292706,2002.38292706,2002.38292706,2002.38292706,2002.38292706,2002.38292706,-2002.38292706,2002.38292706
EBL,BDU6,167.73,0.661,0.000954824849317,1.0,1.0,1.0,1.0,1.0,51.0,2016-06-20,736.5523,3.0,1.0,1.0,186901.539,167.73,-1.0,rates,1.0,51.0,-1.0,1.0,50.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,535.374701438,535.374701438,-535.374701438,535.374701438,-535.374701438,535.374701438,535.374701438,535.374701438,535.374701438,535.374701438,-535.374701438,-535.374701438,535.374701438,-535.374701438,535.374701438,-535.374701438,-535.374701438,535.374701438,535.374701438,535.374701438,-535.374701438,535.374701438,535.374701438,535.374701438,-535.374701438
EBM,BLU6,133.64,0.185,0.000224534091759,1.0,-1.0,-1.0,-1.0,1.0,-37.0,2016-07-08,206.1455,10.0,2.0,2.0,148915.052,133.64,-1.0,rates,1.0,-37.0,-1.0,1.0,-36.0,-1.0,1.0,10.0,-1.0,1.0,10.0,-1.0,,1.0,10.0,-1.0,,1.0,10.0,-1.0,,1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,334.365059501,334.365059501,-334.365059501,334.365059501,-334.365059501,334.365059501,-334.365059501,-334.365059501,-334.365059501,-334.365059501,334.365059501,334.365059501,334.365059501,-334.365059501,-334.365059501,334.365059501,-334.365059501,-334.365059501,-334.365059501,-334.365059501,334.365059501,-334.365059501,334.365059501,-334.365059501,-334.365059501
EBS,EZU6,112.015,0.0315,-4.46348866273e-05,-1.0,-1.0,1.0,-1.0,1.0,-36.0,2016-07-11,35.10045,57.0,8.0,8.0,124818.3145,112.015,-1.0,rates,1.0,-36.0,1.0,1.0,-35.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
