2016-09-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-28 00:00:00,Close2016-09-28 00:00:00,group,RiskOn,Excess,PC2016-09-26 00:00:00,Close2016-09-26 00:00:00,SEA2016-09-28 00:00:00,SRUN2016-09-28 00:00:00,SEA2016-09-26 00:00:00,SRUN2016-09-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-27 00:00:00,0.5SIG2016-09-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-27 00:00:00,0.75SIG2016-09-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-27 00:00:00,1SIG2016-09-26 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
FCH,MTV6,4428.5,67.3836714915,0.00785161583978,1.0,1.0,1.0,1.0,1.0,-8.0,2016-09-16,755.84264312,3.0,1.0,1.0,49674.4845,0.00785161583978,4428.5,index,1.0,1.0,,,1.0,-8.0,,,-1.0,1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,1,1.0,1.0,0.0,1.0,-1.0,-1,-1,0,1170.074908,1170.074908,-1170.074908,1170.074908,1170.074908,-1170.074908,1170.074908,-1170.074908,1170.074908,1170.074908,1170.074908,1170.074908,-1170.074908,-1170.074908,1170.074908,-1170.074908,-1170.074908,1170.074908,-1170.074908,1170.074908,-1170.074908,0.0,-1170.074908,-1170.074908,-1170.074908,1170.074908,1170.074908,1170.074908,0.0,1170.074908,-1170.074908,-1170.074908,-1170.074908
FDX,DXMZ6,10427.0,156.174032491,0.0090482411574,1.0,1.0,-1.0,1.0,1.0,-7.0,2016-09-19,875.902061226,3.0,1.0,1.0,58479.8295,0.0090482411574,10427.0,index,1.0,1.0,,,1.0,-7.0,,,-1.0,1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,1,0.0,0.0,0.0,1.0,-1.0,-1,-1,0,1587.41880048,1587.41880048,-1587.41880048,1587.41880048,1587.41880048,-1587.41880048,1587.41880048,-1587.41880048,1587.41880048,1587.41880048,-1587.41880048,1587.41880048,-1587.41880048,-1587.41880048,1587.41880048,-1587.41880048,-1587.41880048,1587.41880048,-1587.41880048,1587.41880048,-1587.41880048,0.0,-1587.41880048,-1587.41880048,-1587.41880048,1587.41880048,0.0,0.0,0.0,1587.41880048,-1587.41880048,-1587.41880048,-1587.41880048
FEI,IEZ6,100.31,0.011,9.9700897308e-05,1.0,-1.0,1.0,-1.0,-1.0,4.0,2016-09-22,30.84675,65.0,9.0,9.0,281294.3175,9.9700897308e-05,100.31,rates,-1.0,1.0,,,-1.0,4.0,,,-1.0,-1.0,-57.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFI,LFZ6,6804.0,86.9911087785,0.00628558751756,1.0,1.0,1.0,-1.0,1.0,-11.0,2016-09-13,1132.7112274,2.0,1.0,1.0,88594.884,0.00628558751756,6804.0,index,1.0,1.0,,,1.0,-11.0,,,-1.0,1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,-1.0,,-1,-1,1,-1,-1,1,-1.0,1,1,1,-1,1,-1,-1,1,1.0,1.0,0.0,1.0,-1.0,-1,-1,1,1113.74179398,1113.74179398,-1113.74179398,1113.74179398,1113.74179398,-1113.74179398,1113.74179398,-1113.74179398,1113.74179398,1113.74179398,1113.74179398,-1113.74179398,1113.74179398,-1113.74179398,1113.74179398,-1113.74179398,-1113.74179398,1113.74179398,1113.74179398,1113.74179398,-1113.74179398,1113.74179398,1113.74179398,-1113.74179398,-1113.74179398,1113.74179398,1113.74179398,1113.74179398,0.0,1113.74179398,-1113.74179398,-1113.74179398,-1113.74179398
FLG,LGZ6,131.16,0.746,-0.000381068516119,-1.0,-1.0,-1.0,1.0,1.0,9.0,2016-09-15,971.3666,3.0,1.0,1.0,170783.436,-0.000381068516119,131.16,rates,-1.0,1.0,,,1.0,9.0,,,1.0,1.0,8.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,2.0,3.0,1.0,,1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,1,1,-1,-195.240571603,195.240571603,-195.240571603,195.240571603,195.240571603,-195.240571603,-195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,-195.240571603,195.240571603,-195.240571603,-195.240571603,195.240571603,-195.240571603,195.240571603,-195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,195.240571603,-195.240571603,-195.240571603,-195.240571603
FSS,LLZ6,99.68,0.01825,-5.01579976927e-05,-1.0,1.0,1.0,-1.0,1.0,-13.0,2016-09-09,29.70415625,68.0,9.0,9.0,162241.66,-5.01579976927e-05,99.68,rates,-1.0,-1.0,,,1.0,-13.0,,,-1.0,1.0,-34.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,-1.0,,1,1,1,-1,-1,1,-1.0,1,1,1,-1,1,-1,-1,-1,0.0,0.0,-1.0,1.0,-1.0,0,-1,0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
FV,@FVZ6,121.6640625,0.309765625,-0.000320965464116,-1.0,1.0,-1.0,1.0,1.0,11.0,2016-09-13,309.765625,7.0,1.0,1.0,121664.0625,-0.000320965464116,121.6640625,rates,-1.0,1.0,,,1.0,11.0,,,1.0,1.0,10.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,,2.0,7.0,1.0,,2.0,7.0,1.0,,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0,-1,-1,-273.349736006,273.349736006,-273.349736006,273.349736006,273.349736006,-273.349736006,-273.349736006,273.349736006,273.349736006,-273.349736006,273.349736006,-273.349736006,273.349736006,273.349736006,-273.349736006,273.349736006,-273.349736006,273.349736006,-273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,273.349736006,-0.0,-0.0,273.349736006
GC,QGCZ6,1323.7,14.555,-0.00503607937462,-1.0,1.0,1.0,1.0,1.0,8.0,2016-09-16,1455.5,2.0,1.0,1.0,132370.0,-0.00503607937462,1323.7,metal,-1.0,1.0,,,1.0,8.0,,,-1.0,1.0,7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1.0,0.0,-1.0,0.0,-1.0,0,-1,-1,-1333.25165364,1333.25165364,1333.25165364,-1333.25165364,1333.25165364,-1333.25165364,-1333.25165364,1333.25165364,1333.25165364,-1333.25165364,-1333.25165364,-1333.25165364,1333.25165364,1333.25165364,-1333.25165364,1333.25165364,-1333.25165364,1333.25165364,1333.25165364,-1333.25165364,1333.25165364,1333.25165364,1333.25165364,1333.25165364,1333.25165364,1333.25165364,-1333.25165364,-0.0,1333.25165364,-0.0,1333.25165364,-0.0,1333.25165364
HCM,HHIV6,9735.0,185.262954877,-0.00337837837838,-1.0,-1.0,-1.0,1.0,1.0,-12.0,2016-09-09,1192.1683068,2.0,1.0,1.0,62644.7876448,-0.00337837837838,9735.0,index,1.0,1.0,,,1.0,-12.0,,,1.0,1.0,-11.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,1.0,,-1,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,1,1,-1.0,-1.0,0.0,0.0,0.0,0,-1,0,-423.275592195,423.275592195,-423.275592195,423.275592195,-423.275592195,423.275592195,-423.275592195,423.275592195,-423.275592195,423.275592195,423.275592195,-423.275592195,423.275592195,-423.275592195,-423.275592195,423.275592195,423.275592195,-423.275592195,-423.275592195,423.275592195,423.275592195,-0.0,-423.275592195,423.275592195,-423.275592195,-423.275592195,423.275592195,423.275592195,-0.0,-0.0,-0.0,-0.0,423.275592195
HG,QHGZ6,218.75,2.7125,0.00760018424689,1.0,-1.0,-1.0,-1.0,-1.0,-15.0,2016-09-07,678.125,3.0,1.0,1.0,54687.5,0.00760018424689,218.75,metal,1.0,1.0,,,-1.0,-15.0,,,-1.0,-1.0,-14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,1,1,1.0,-1,-1,-1,1,-1,-1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,0,1246.90522801,1246.90522801,-1246.90522801,1246.90522801,1246.90522801,-1246.90522801,1246.90522801,-1246.90522801,-1246.90522801,-1246.90522801,-1246.90522801,-1246.90522801,1246.90522801,1246.90522801,-1246.90522801,1246.90522801,1246.90522801,-1246.90522801,-1246.90522801,-1246.90522801,1246.90522801,0.0,-1246.90522801,-1246.90522801,1246.90522801,1246.90522801,1246.90522801,1246.90522801,1246.90522801,1246.90522801,0.0,0.0,1246.90522801
HIC,HSIV6,23636.0,351.450006434,0.000635028152915,1.0,-1.0,1.0,-1.0,1.0,12.0,2016-09-09,2261.58305299,1.0,1.0,1.0,152097.812098,0.000635028152915,23636.0,index,1.0,1.0,,,1.0,12.0,,,1.0,1.0,11.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,-1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,-1,0,96.5863926789,96.5863926789,96.5863926789,-96.5863926789,96.5863926789,-96.5863926789,96.5863926789,-96.5863926789,-96.5863926789,-96.5863926789,96.5863926789,-96.5863926789,96.5863926789,96.5863926789,96.5863926789,-96.5863926789,96.5863926789,-96.5863926789,96.5863926789,-96.5863926789,-96.5863926789,0.0,96.5863926789,96.5863926789,96.5863926789,96.5863926789,0.0,0.0,0.0,0.0,0.0,0.0,-96.5863926789
HO,QHOX6,1.4956,0.0473344495,0.0561401031001,1.0,-1.0,1.0,-1.0,-1.0,-10.0,2016-09-14,1988.046879,2.0,1.0,1.0,62815.2,0.0561401031001,1.4956,energy,1.0,1.0,,,-1.0,-10.0,,,-1.0,-1.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,1,7052.9036085,7052.9036085,-7052.9036085,7052.9036085,7052.9036085,-7052.9036085,7052.9036085,-7052.9036085,7052.9036085,-7052.9036085,7052.9036085,-7052.9036085,7052.9036085,7052.9036085,-7052.9036085,7052.9036085,-7052.9036085,7052.9036085,-7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,7052.9036085,0.0,0.0,7052.9036085
JY,@JYZ6,0.99605,0.0100876015,-0.00469647764177,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,2016-09-02,1260.9501875,2.0,1.0,1.0,124506.25,-0.00469647764177,0.99605,currency,-1.0,1.0,,,-1.0,17.0,,,1.0,-1.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,0.0,-1.0,0.0,1.0,1.0,1,1,0,-1169.48163877,1169.48163877,-1169.48163877,1169.48163877,1169.48163877,-1169.48163877,-1169.48163877,1169.48163877,-1169.48163877,1169.48163877,1169.48163877,1169.48163877,-1169.48163877,-1169.48163877,1169.48163877,-1169.48163877,1169.48163877,-1169.48163877,-1169.48163877,1169.48163877,-1169.48163877,-0.0,-1169.48163877,-1169.48163877,-1169.48163877,1169.48163877,-0.0,1169.48163877,-0.0,-1169.48163877,-1169.48163877,-1169.48163877,-1169.48163877
KC,@KCZ6,153.1,3.5675,-0.0039037085231,-1.0,-1.0,1.0,-1.0,-1.0,-15.0,2016-09-07,1337.8125,2.0,1.0,1.0,57412.5,-0.0039037085231,153.1,soft,1.0,1.0,,,-1.0,-15.0,,,1.0,-1.0,-14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,1,1.0,1.0,1.0,0.0,1.0,0,1,1,-448.243331165,448.243331165,-448.243331165,448.243331165,-448.243331165,448.243331165,-448.243331165,448.243331165,448.243331165,448.243331165,-448.243331165,448.243331165,-448.243331165,-448.243331165,448.243331165,-448.243331165,-448.243331165,448.243331165,-448.243331165,448.243331165,-448.243331165,-448.243331165,-448.243331165,-448.243331165,-448.243331165,-448.243331165,-448.243331165,-448.243331165,-448.243331165,-0.0,-448.243331165,-0.0,-448.243331165
KW,@KWZ6,421.25,8.375,0.00477042337507,1.0,1.0,1.0,-1.0,1.0,20.0,2016-08-30,418.75,5.0,1.0,1.0,21062.5,0.00477042337507,421.25,grain,1.0,1.0,,,1.0,20.0,,,1.0,1.0,19.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,,1.0,5.0,1.0,,2.0,5.0,-1.0,,-1,-1,1,-1,-1,-1,1.0,-1,1,-1,-1,1,1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,-1,502.385211688,502.385211688,502.385211688,-502.385211688,502.385211688,-502.385211688,502.385211688,-502.385211688,-502.385211688,502.385211688,502.385211688,-502.385211688,502.385211688,-502.385211688,502.385211688,-502.385211688,502.385211688,-502.385211688,502.385211688,-502.385211688,-502.385211688,-502.385211688,502.385211688,502.385211688,-502.385211688,-502.385211688,0.0,0.0,-502.385211688,0.0,-502.385211688,-502.385211688,-502.385211688
LB,@LBX6,325.6,6.705,-0.00183936235438,-1.0,-1.0,-1.0,-1.0,1.0,-9.0,2016-09-15,737.55,3.0,1.0,1.0,35816.0,-0.00183936235438,325.6,soft,1.0,-1.0,,,1.0,-9.0,,,-1.0,1.0,-8.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,-1.0,0.0,1.0,1.0,-1.0,0,-1,1,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
LC,@LEZ6,103.625,2.223383152,0.00484848484848,1.0,-1.0,-1.0,-1.0,-1.0,5.0,2016-09-21,889.3532608,3.0,1.0,1.0,41450.0,0.00484848484848,103.625,meat,1.0,-1.0,,,-1.0,5.0,,,-1.0,-1.0,-4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,1,1,1,1.0,-1,-1,-1,1,-1,-1,1,1,0.0,1.0,1.0,0.0,0.0,0,1,0,602.909090909,602.909090909,-602.909090909,602.909090909,602.909090909,-602.909090909,-602.909090909,602.909090909,-602.909090909,-602.909090909,-602.909090909,-602.909090909,602.909090909,602.909090909,-602.909090909,602.909090909,602.909090909,-602.909090909,-602.909090909,-602.909090909,602.909090909,0.0,-602.909090909,-602.909090909,602.909090909,602.909090909,0.0,602.909090909,602.909090909,0.0,0.0,0.0,602.909090909
LCO,EBZ6,49.24,1.6825,0.0584694754944,1.0,1.0,-1.0,1.0,-1.0,14.0,2016-09-08,1682.5,2.0,1.0,1.0,49240.0,0.0584694754944,49.24,energy,1.0,1.0,,,-1.0,14.0,,,-1.0,-1.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,-1,-1,1,1,1.0,1.0,1.0,1.0,-1.0,-1,-1,1,5758.07394669,5758.07394669,-5758.07394669,5758.07394669,5758.07394669,-5758.07394669,5758.07394669,-5758.07394669,5758.07394669,5758.07394669,-5758.07394669,5758.07394669,-5758.07394669,-5758.07394669,-5758.07394669,5758.07394669,-5758.07394669,5758.07394669,-5758.07394669,5758.07394669,5758.07394669,5758.07394669,-5758.07394669,-5758.07394669,5758.07394669,5758.07394669,5758.07394669,5758.07394669,5758.07394669,5758.07394669,-5758.07394669,-5758.07394669,-5758.07394669
LGO,GASZ6,418.5,14.4,0.0139309509388,1.0,1.0,1.0,1.0,-1.0,14.0,2016-09-08,1440.0,2.0,1.0,1.0,41850.0,0.0139309509388,418.5,energy,1.0,1.0,,,-1.0,14.0,,,-1.0,-1.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,1.0,-1.0,-1,-1,1,1166.02059358,1166.02059358,-1166.02059358,1166.02059358,1166.02059358,-1166.02059358,1166.02059358,-1166.02059358,1166.02059358,1166.02059358,1166.02059358,1166.02059358,-1166.02059358,-1166.02059358,-1166.02059358,1166.02059358,-1166.02059358,1166.02059358,-1166.02059358,1166.02059358,1166.02059358,1166.02059358,-1166.02059358,1166.02059358,1166.02059358,1166.02059358,1166.02059358,1166.02059358,1166.02059358,1166.02059358,-1166.02059358,-1166.02059358,-1166.02059358
LH,@HEZ6,46.7,1.8028513215,0.005382131324,1.0,1.0,1.0,1.0,1.0,-18.0,2016-09-01,721.1405286,3.0,1.0,1.0,18680.0,0.005382131324,46.7,meat,1.0,-1.0,,,1.0,-18.0,,,-1.0,1.0,-17.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,1,0.0,1.0,0.0,0.0,-1.0,-1,-1,0,301.614639397,301.614639397,-301.614639397,301.614639397,301.614639397,-301.614639397,-301.614639397,301.614639397,301.614639397,301.614639397,301.614639397,301.614639397,-301.614639397,-301.614639397,301.614639397,-301.614639397,-301.614639397,301.614639397,-301.614639397,301.614639397,-301.614639397,0.0,-301.614639397,-301.614639397,-301.614639397,301.614639397,0.0,301.614639397,0.0,0.0,-301.614639397,-301.614639397,-301.614639397
LRC,LRCX6,1996.0,23.95,0.000501253132832,1.0,1.0,-1.0,1.0,-1.0,7.0,2016-09-19,239.5,9.0,2.0,2.0,19960.0,0.000501253132832,1996.0,soft,1.0,1.0,,,-1.0,7.0,,,1.0,-1.0,-1.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,,2.0,9.0,1.0,,2.0,9.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,-1,0.0,0.0,0.0,-1.0,0.0,-1,-1,-1,90.045112782,90.045112782,90.045112782,-90.045112782,90.045112782,-90.045112782,90.045112782,-90.045112782,-90.045112782,90.045112782,-90.045112782,90.045112782,-90.045112782,-90.045112782,-90.045112782,90.045112782,90.045112782,-90.045112782,-90.045112782,-90.045112782,-90.045112782,-90.045112782,-90.045112782,90.045112782,90.045112782,-90.045112782,0.0,0.0,0.0,-90.045112782,0.0,-90.045112782,-90.045112782
LSU,QWZ6,612.0,12.469495565,0.0112359550562,1.0,-1.0,-1.0,1.0,1.0,6.0,2016-09-20,623.47477825,4.0,1.0,1.0,30600.0,0.0112359550562,612.0,soft,1.0,1.0,,,1.0,6.0,,,1.0,1.0,-26.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,1.0,4.0,-1.0,,2.0,4.0,1.0,,-1,-1,-1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,1,1,-1.0,-1.0,0.0,0.0,0.0,0,-1,0,1375.28089888,1375.28089888,1375.28089888,-1375.28089888,1375.28089888,-1375.28089888,1375.28089888,-1375.28089888,1375.28089888,-1375.28089888,-1375.28089888,1375.28089888,-1375.28089888,1375.28089888,1375.28089888,-1375.28089888,-1375.28089888,1375.28089888,1375.28089888,-1375.28089888,-1375.28089888,0.0,1375.28089888,-1375.28089888,1375.28089888,1375.28089888,-1375.28089888,-1375.28089888,0.0,0.0,0.0,0.0,-1375.28089888
MEM,@MMEZ6,924.2,17.1649449205,0.00961328381036,1.0,1.0,1.0,1.0,1.0,1.0,2016-09-13,858.247246025,3.0,1.0,1.0,46210.0,0.00961328381036,924.2,index,1.0,1.0,,,1.0,1.0,,,1.0,1.0,2.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,1332.68953463,1332.68953463,1332.68953463,-1332.68953463,1332.68953463,-1332.68953463,1332.68953463,-1332.68953463,-1332.68953463,1332.68953463,1332.68953463,1332.68953463,-1332.68953463,-1332.68953463,1332.68953463,-1332.68953463,1332.68953463,-1332.68953463,1332.68953463,-1332.68953463,-1332.68953463,-1332.68953463,-1332.68953463,1332.68953463,-1332.68953463,-1332.68953463,0.0,0.0,-1332.68953463,-1332.68953463,-1332.68953463,-1332.68953463,-1332.68953463
MFX,IBV6,8711.0,134.734738776,0.00604016769261,1.0,-1.0,-1.0,-1.0,1.0,-14.0,2016-09-08,1511.31956486,2.0,1.0,1.0,97711.287,0.00604016769261,8711.0,index,1.0,1.0,,,1.0,-14.0,,,-1.0,1.0,-13.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,1180.38511788,1180.38511788,-1180.38511788,1180.38511788,1180.38511788,-1180.38511788,1180.38511788,-1180.38511788,1180.38511788,-1180.38511788,-1180.38511788,-1180.38511788,1180.38511788,1180.38511788,1180.38511788,-1180.38511788,-1180.38511788,1180.38511788,1180.38511788,1180.38511788,1180.38511788,1180.38511788,1180.38511788,-1180.38511788,1180.38511788,1180.38511788,0.0,0.0,1180.38511788,1180.38511788,-1180.38511788,0.0,-1180.38511788
MP,@PXZ6,0.05118,0.000790252,0.00471142520612,1.0,1.0,1.0,-1.0,1.0,-2.0,2016-09-06,395.126,6.0,1.0,1.0,25590.0,0.00471142520612,0.05118,currency,1.0,1.0,,,1.0,-2.0,,,1.0,1.0,-1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,,1.0,6.0,1.0,,1.0,6.0,-1.0,,-1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,0.0,0.0,-1.0,1.0,-1.0,-1,-1,0,723.392226148,723.392226148,723.392226148,-723.392226148,723.392226148,-723.392226148,723.392226148,-723.392226148,723.392226148,723.392226148,723.392226148,-723.392226148,723.392226148,-723.392226148,723.392226148,-723.392226148,-723.392226148,723.392226148,723.392226148,723.392226148,-723.392226148,0.0,723.392226148,723.392226148,-723.392226148,-723.392226148,0.0,0.0,-723.392226148,723.392226148,-723.392226148,-723.392226148,-723.392226148
MW,@MWZ6,508.5,7.6125,0.0114370959722,1.0,-1.0,-1.0,-1.0,1.0,19.0,2016-08-31,380.625,6.0,1.0,1.0,25425.0,0.0114370959722,508.5,grain,1.0,1.0,,,1.0,19.0,,,1.0,1.0,18.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,,1.0,6.0,-1.0,,1.0,6.0,-1.0,,-1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,1,-1,1,1,-1.0,-1.0,0.0,0.0,0.0,0,-1,0,1744.72899055,1744.72899055,1744.72899055,-1744.72899055,1744.72899055,-1744.72899055,1744.72899055,-1744.72899055,-1744.72899055,-1744.72899055,-1744.72899055,-1744.72899055,1744.72899055,1744.72899055,1744.72899055,-1744.72899055,1744.72899055,-1744.72899055,1744.72899055,-1744.72899055,-1744.72899055,0.0,1744.72899055,-1744.72899055,1744.72899055,1744.72899055,-1744.72899055,-1744.72899055,0.0,0.0,0.0,0.0,-1744.72899055
NE,@NEZ6,0.7256,0.00810616,-0.00302280846386,-1.0,-1.0,-1.0,-1.0,1.0,-15.0,2016-09-07,810.616,3.0,1.0,1.0,72560.0,-0.00302280846386,0.7256,currency,1.0,1.0,,,1.0,-15.0,,,1.0,1.0,-14.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,1,1,-1.0,-1.0,0.0,1.0,0.0,0,-1,0,-658.004946414,658.004946414,-658.004946414,658.004946414,-658.004946414,658.004946414,-658.004946414,658.004946414,-658.004946414,658.004946414,658.004946414,658.004946414,-658.004946414,-658.004946414,-658.004946414,658.004946414,658.004946414,-658.004946414,-658.004946414,658.004946414,658.004946414,-0.0,-658.004946414,658.004946414,-658.004946414,-658.004946414,658.004946414,658.004946414,-0.0,-658.004946414,-0.0,-0.0,658.004946414
