2016-09-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-28 00:00:00,Close2016-09-28 00:00:00,group,RiskOn,Excess,PC2016-09-26 00:00:00,Close2016-09-26 00:00:00,SEA2016-09-28 00:00:00,SRUN2016-09-28 00:00:00,SEA2016-09-26 00:00:00,SRUN2016-09-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-27 00:00:00,0.5SIG2016-09-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-27 00:00:00,0.75SIG2016-09-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-27 00:00:00,1SIG2016-09-26 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,68.48,1.5065,-0.0180671063952,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,2016-09-22,753.25,3.0,1.0,1.0,34240.0,-0.0180671063952,68.48,soft,1.0,1.0,,,-1.0,4.0,,,-1.0,-1.0,-8.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,1,1,1.0,-1,-1,-1,1,-1,-1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,0,-1855.85316891,1855.85316891,1855.85316891,-1855.85316891,-1855.85316891,1855.85316891,-1855.85316891,1855.85316891,1855.85316891,1855.85316891,1855.85316891,1855.85316891,-1855.85316891,-1855.85316891,1855.85316891,-1855.85316891,-1855.85316891,1855.85316891,1855.85316891,1855.85316891,-1855.85316891,-0.0,1855.85316891,1855.85316891,-1855.85316891,-1855.85316891,-1855.85316891,-1855.85316891,-1855.85316891,-1855.85316891,-0.0,-0.0,-1855.85316891
CU,@EUZ6,1.12545,0.007052992,-0.000665956313266,-1.0,-1.0,-1.0,-1.0,1.0,-28.0,2016-08-18,881.624,3.0,1.0,1.0,140681.25,-0.000665956313266,1.12545,currency,1.0,1.0,,,1.0,-28.0,,,-1.0,1.0,-27.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,-281.062699787,281.062699787,281.062699787,-281.062699787,-281.062699787,281.062699787,-281.062699787,281.062699787,-281.062699787,281.062699787,281.062699787,281.062699787,-281.062699787,-281.062699787,-281.062699787,281.062699787,281.062699787,-281.062699787,-281.062699787,-281.062699787,-281.062699787,-281.062699787,-281.062699787,281.062699787,-281.062699787,-281.062699787,-0.0,-0.0,-281.062699787,-281.062699787,281.062699787,-0.0,281.062699787
DX,@DXZ6,95.336,0.5628098015,0.000251804599631,1.0,-1.0,1.0,-1.0,1.0,-29.0,2016-08-18,562.8098015,4.0,1.0,1.0,95336.0,0.000251804599631,95.336,currency,-1.0,-1.0,,,1.0,-29.0,,,1.0,1.0,-28.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,-1.0,-1.0,-1.0,0.0,1.0,1,1,0,96.0241732416,96.0241732416,96.0241732416,-96.0241732416,-96.0241732416,96.0241732416,-96.0241732416,96.0241732416,96.0241732416,-96.0241732416,96.0241732416,-96.0241732416,96.0241732416,96.0241732416,96.0241732416,-96.0241732416,-96.0241732416,96.0241732416,96.0241732416,96.0241732416,-96.0241732416,0.0,96.0241732416,96.0241732416,-96.0241732416,-96.0241732416,-96.0241732416,-96.0241732416,-96.0241732416,0.0,96.0241732416,96.0241732416,96.0241732416
EBL,BDZ6,166.15,0.7441283035,0.00102421978552,1.0,1.0,-1.0,1.0,1.0,11.0,2016-09-13,834.688718036,3.0,1.0,1.0,186370.455,0.00102421978552,166.15,rates,-1.0,1.0,,,1.0,11.0,,,1.0,1.0,10.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0,-1,-1,572.65292234,572.65292234,572.65292234,-572.65292234,-572.65292234,572.65292234,572.65292234,-572.65292234,-572.65292234,572.65292234,-572.65292234,572.65292234,-572.65292234,-572.65292234,572.65292234,-572.65292234,572.65292234,-572.65292234,572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,-572.65292234,0.0,0.0,-572.65292234
EBM,BLZ6,132.25,0.2062959745,7.56200846945e-05,1.0,-1.0,-1.0,1.0,-1.0,8.0,2016-09-16,231.402194597,9.0,2.0,2.0,148344.825,7.56200846945e-05,132.25,rates,-1.0,1.0,,,-1.0,8.0,,,1.0,1.0,7.0,-1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,,1.0,9.0,-1.0,,2.0,9.0,1.0,,1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,1,1,-1,100.960634074,100.960634074,100.960634074,-100.960634074,-100.960634074,100.960634074,100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,100.960634074,-100.960634074,100.960634074,100.960634074,-100.960634074,100.960634074,-100.960634074,100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,-100.960634074,100.960634074,100.960634074,100.960634074
EBS,EZZ6,112.165,0.044999855,-4.45751983595e-05,-1.0,1.0,-1.0,1.0,-1.0,11.0,2016-09-13,50.4763373535,40.0,5.0,5.0,125815.4805,-4.45751983595e-05,112.165,rates,-1.0,1.0,,,-1.0,11.0,,,1.0,-1.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,1,-1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,1,-1,-1,0.0,-1.0,-1.0,0.0,1.0,0,1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
ED,@EDZ6,99.085,0.03025,0.0,1.0,-1.0,-1.0,1.0,-1.0,7.0,2016-09-19,75.625,27.0,4.0,4.0,247712.5,0.0,99.085,rates,-1.0,1.0,,,-1.0,7.0,,,-1.0,-1.0,-30.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,1.0,,1,-1,-1,1,1,1,1.0,-1,-1,-1,1,-1,-1,1,1,1.0,0.0,1.0,0.0,1.0,1,1,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMD,@EMDZ6,1554.6,20.3150777805,0.00948051948052,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-09-16,2031.50777805,1.0,1.0,1.0,155460.0,0.00948051948052,1554.6,index,1.0,1.0,,,-1.0,-8.0,,,1.0,-1.0,-7.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,-1,0.0,0.0,0.0,-1.0,0.0,-1,-1,-1,1473.84155844,1473.84155844,1473.84155844,-1473.84155844,1473.84155844,-1473.84155844,1473.84155844,-1473.84155844,-1473.84155844,1473.84155844,-1473.84155844,1473.84155844,-1473.84155844,-1473.84155844,-1473.84155844,1473.84155844,1473.84155844,-1473.84155844,-1473.84155844,-1473.84155844,-1473.84155844,-1473.84155844,-1473.84155844,1473.84155844,1473.84155844,-1473.84155844,0.0,0.0,0.0,-1473.84155844,0.0,-1473.84155844,-1473.84155844
ES,@ESZ6,2163.25,23.4536068705,0.00487748229009,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-09-16,1172.68034352,2.0,1.0,1.0,108162.5,0.00487748229009,2163.25,index,1.0,1.0,,,-1.0,-8.0,,,1.0,-1.0,-7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,-1,0.0,0.0,0.0,-1.0,0.0,-1,-1,-1,1055.1213564,1055.1213564,1055.1213564,-1055.1213564,1055.1213564,-1055.1213564,1055.1213564,-1055.1213564,-1055.1213564,1055.1213564,-1055.1213564,1055.1213564,-1055.1213564,-1055.1213564,-1055.1213564,1055.1213564,1055.1213564,-1055.1213564,-1055.1213564,-1055.1213564,-1055.1213564,-1055.1213564,-1055.1213564,1055.1213564,1055.1213564,-1055.1213564,0.0,0.0,0.0,-1055.1213564,0.0,-1055.1213564,-1055.1213564
FC,@GFX6,124.65,3.1615663185,0.0103343465046,1.0,1.0,1.0,-1.0,-1.0,8.0,2016-09-16,1580.78315925,2.0,1.0,1.0,62325.0,0.0103343465046,124.65,meat,1.0,-1.0,,,-1.0,8.0,,,-1.0,-1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,-1.0,,-1,1,1,-1,1,1,-1.0,1,-1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,-1,-1,1,1288.17629179,1288.17629179,-1288.17629179,1288.17629179,1288.17629179,-1288.17629179,-1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,-1288.17629179,1288.17629179,-1288.17629179,-1288.17629179,1288.17629179,-1288.17629179,1288.17629179,-1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,1288.17629179,-1288.17629179,-1288.17629179,-1288.17629179
