2016-08-05 00:00:00,Contract,LastClose,ATR20,PC2016-08-05 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,contractValue,Close2016-08-05 00:00:00,RiskOn,group,SEA2016-08-05 00:00:00,SRUN2016-08-05 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-04 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-04 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-04 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-04 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5
AC,@ACU6,1.413,0.029546926,0.00641025641026,1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-07-13,856.860854,3.0,40977.0,1.413,1.0,energy,1.0,-3.0,1.0,1.0,-2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,-1,262.673076923,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
AD,@ADU6,0.7617,0.007895,-0.00091815320042,-1.0,-1.0,-1.0,1.0,-1.0,-10.0,2016-07-22,789.5,3.0,76170.0,0.7617,1.0,currency,-1.0,-10.0,1.0,-1.0,-9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-69.935729276,209.807187828,-209.807187828,209.807187828,-209.807187828,209.807187828,209.807187828,209.807187828,209.807187828,-209.807187828,209.807187828,-209.807187828,209.807187828,-209.807187828,-209.807187828,209.807187828,209.807187828,209.807187828,209.807187828,209.807187828,209.807187828
AEX,AEXQ6,446.5,5.4475,0.0105239334616,1.0,-1.0,-1.0,-1.0,-1.0,-3.0,2016-07-29,1207.8197,2.0,98997.98,446.5,1.0,index,-1.0,-3.0,1.0,-1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1041.84815435,2083.6963087,2083.6963087,-2083.6963087,2083.6963087,-2083.6963087,2083.6963087,-2083.6963087,-2083.6963087,-2083.6963087,2083.6963087,2083.6963087,-2083.6963087,2083.6963087,-2083.6963087,2083.6963087,-2083.6963087,-2083.6963087,-2083.6963087,-2083.6963087,2083.6963087
BO,@BOZ6,31.01,0.713,-0.000644537544312,-1.0,-1.0,-1.0,1.0,-1.0,-3.0,2016-08-01,427.8,5.0,18606.0,31.01,1.0,grain,-1.0,-3.0,1.0,-1.0,-2.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,2.0,5.0,1.0,-1,1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-11.9922655495,59.9613277473,-59.9613277473,59.9613277473,-59.9613277473,59.9613277473,59.9613277473,59.9613277473,59.9613277473,-59.9613277473,59.9613277473,-59.9613277473,59.9613277473,-59.9613277473,-59.9613277473,59.9613277473,59.9613277473,59.9613277473,59.9613277473,59.9613277473,59.9613277473
BP,@BPU6,1.309,0.01774,-0.00259067357513,-1.0,-1.0,1.0,-1.0,-1.0,3.0,2016-07-28,1108.75,2.0,81812.5,1.309,1.0,currency,-1.0,3.0,-1.0,-1.0,-2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1,1.0,-1,1,1,1,1,-1,-1,-211.949481865,423.898963731,423.898963731,-423.898963731,-423.898963731,423.898963731,423.898963731,423.898963731,-423.898963731,423.898963731,-423.898963731,-423.898963731,423.898963731,-423.898963731,-423.898963731,423.898963731,-423.898963731,-423.898963731,-423.898963731,-423.898963731,423.898963731
C,@CZ6,334.25,9.513750887,0.00981873111782,1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-07-28,475.68754435,5.0,16712.5,334.25,1.0,grain,1.0,-6.0,-1.0,1.0,-5.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,1,1,-1,1,-1.0,1,1,-1,1,1,1,-1,164.095543807,820.477719033,-820.477719033,820.477719033,820.477719033,-820.477719033,820.477719033,-820.477719033,-820.477719033,-820.477719033,820.477719033,820.477719033,820.477719033,-820.477719033,-820.477719033,820.477719033,820.477719033,-820.477719033,820.477719033,820.477719033,820.477719033
CC,@CCU6,3021.0,64.9,0.0100300902708,1.0,1.0,1.0,1.0,-1.0,-5.0,2016-07-29,649.0,4.0,30210.0,3021.0,1.0,soft,-1.0,-5.0,-1.0,-1.0,-4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,1,1.0,-1,1,1,-1,1,-1,-1,303.009027081,1212.03610832,-1212.03610832,1212.03610832,1212.03610832,-1212.03610832,-1212.03610832,1212.03610832,1212.03610832,1212.03610832,-1212.03610832,-1212.03610832,-1212.03610832,1212.03610832,1212.03610832,-1212.03610832,1212.03610832,1212.03610832,-1212.03610832,1212.03610832,-1212.03610832
CD,@CDU6,0.76,0.0067425,-0.0113178092884,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2016-07-25,674.25,3.0,76000.0,0.76,1.0,currency,-1.0,1.0,1.0,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-860.153505919,2580.46051776,-2580.46051776,2580.46051776,-2580.46051776,2580.46051776,-2580.46051776,2580.46051776,2580.46051776,2580.46051776,-2580.46051776,-2580.46051776,2580.46051776,-2580.46051776,-2580.46051776,2580.46051776,-2580.46051776,2580.46051776,2580.46051776,2580.46051776,-2580.46051776
CGB,CBU6,147.92,0.698,-0.000337906332365,-1.0,-1.0,-1.0,1.0,1.0,-4.0,2016-07-29,529.670663227,4.0,112247.685537,147.92,-1.0,rates,1.0,-4.0,1.0,1.0,-3.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,-1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,1,-37.9292037361,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
CL,QCLU6,41.8,1.4235,-0.00310040543763,-1.0,-1.0,1.0,-1.0,-1.0,-3.0,2016-07-12,1423.5,2.0,41800.0,41.8,1.0,energy,-1.0,-3.0,1.0,-1.0,-2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,1,-1,1,1,-1,-129.596947293,259.193894586,-259.193894586,259.193894586,-259.193894586,259.193894586,-259.193894586,259.193894586,-259.193894586,259.193894586,-259.193894586,-259.193894586,259.193894586,-259.193894586,-259.193894586,259.193894586,-259.193894586,-259.193894586,259.193894586,-259.193894586,-259.193894586
CT,@CTZ6,76.74,1.899,0.0120005274957,1.0,-1.0,-1.0,-1.0,-1.0,-9.0,2016-07-25,949.5,3.0,38370.0,76.74,1.0,soft,-1.0,-9.0,1.0,-1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,460.460240011,1381.38072003,1381.38072003,-1381.38072003,1381.38072003,-1381.38072003,1381.38072003,-1381.38072003,-1381.38072003,-1381.38072003,1381.38072003,1381.38072003,-1381.38072003,1381.38072003,1381.38072003,-1381.38072003,1381.38072003,-1381.38072003,-1381.38072003,-1381.38072003,1381.38072003
CU,@EUU6,1.11095,0.0073925,-0.00358760482533,-1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-07-22,924.0625,3.0,138868.75,1.11095,1.0,currency,1.0,-3.0,-1.0,1.0,9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,1.0,-1,1,1,1,1,-1,-1,-498.206197587,1494.61859276,1494.61859276,-1494.61859276,-1494.61859276,1494.61859276,1494.61859276,1494.61859276,-1494.61859276,1494.61859276,-1494.61859276,-1494.61859276,-1494.61859276,1494.61859276,-1494.61859276,1494.61859276,-1494.61859276,-1494.61859276,-1494.61859276,-1494.61859276,1494.61859276
DX,@DXU6,96.136,0.604,0.00437748780258,1.0,-1.0,-1.0,-1.0,1.0,-3.0,2016-07-22,604.0,4.0,96136.0,96.136,-1.0,currency,1.0,-3.0,1.0,1.0,9.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1,-1,1.0,-1,1,-1,1,1,1,1,420.834167389,1683.33666956,1683.33666956,-1683.33666956,-1683.33666956,1683.33666956,1683.33666956,-1683.33666956,-1683.33666956,-1683.33666956,1683.33666956,1683.33666956,1683.33666956,-1683.33666956,1683.33666956,-1683.33666956,1683.33666956,-1683.33666956,1683.33666956,1683.33666956,1683.33666956
EBL,BDU6,167.15,0.7505,-0.00262545497941,-1.0,1.0,-1.0,1.0,1.0,3.0,2016-07-29,832.0043,3.0,185302.49,167.15,-1.0,rates,1.0,3.0,1.0,1.0,2.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,1,-486.503345068,1459.5100352,-1459.5100352,1459.5100352,1459.5100352,-1459.5100352,1459.5100352,-1459.5100352,1459.5100352,-1459.5100352,1459.5100352,1459.5100352,-1459.5100352,1459.5100352,-1459.5100352,1459.5100352,1459.5100352,1459.5100352,1459.5100352,1459.5100352,1459.5100352
EBM,BLU6,133.56,0.2135,-0.000598623166716,-1.0,-1.0,1.0,-1.0,1.0,3.0,2016-07-29,236.6861,9.0,148064.616,133.56,-1.0,rates,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,2.0,9.0,-1.0,2.0,9.0,-1.0,1,1,-1,-1,1.0,-1,1,1,1,1,1,1,-88.6349093086,797.714183777,-797.714183777,797.714183777,797.714183777,-797.714183777,-797.714183777,797.714183777,-797.714183777,797.714183777,-797.714183777,-797.714183777,-797.714183777,797.714183777,-797.714183777,797.714183777,-797.714183777,-797.714183777,-797.714183777,-797.714183777,-797.714183777
EBS,EZU6,111.995,0.04325,-4.46428571428e-05,-1.0,-1.0,1.0,-1.0,1.0,-19.0,2016-07-11,47.94695,42.0,124157.657,111.995,-1.0,rates,1.0,-19.0,1.0,1.0,-18.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,1,-5.54275254463,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
ED,@EDZ6,99.085,0.03575,-0.000453949359427,-1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-07-29,89.375,23.0,247712.5,99.085,-1.0,rates,1.0,-5.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,-1,-1,1.0,-1,1,1,1,1,1,1,-112.448930697,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EMD,@EMDU6,1559.9,14.345,0.0100362600363,1.0,1.0,1.0,1.0,1.0,-17.0,2016-07-13,1434.5,2.0,155990.0,1559.9,1.0,index,1.0,-17.0,1.0,1.0,-16.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1565.55620306,3131.11240611,3131.11240611,-3131.11240611,3131.11240611,-3131.11240611,3131.11240611,3131.11240611,3131.11240611,3131.11240611,-3131.11240611,-3131.11240611,3131.11240611,-3131.11240611,-3131.11240611,3131.11240611,-3131.11240611,-3131.11240611,-3131.11240611,-3131.11240611,3131.11240611
ES,@ESU6,2176.75,15.6125,0.00810466597198,1.0,1.0,1.0,1.0,-1.0,-15.0,2016-07-15,780.625,3.0,108837.5,2176.75,1.0,index,-1.0,-15.0,1.0,-1.0,-14.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-1,882.091582725,2646.27474818,2646.27474818,-2646.27474818,2646.27474818,-2646.27474818,-2646.27474818,2646.27474818,2646.27474818,2646.27474818,-2646.27474818,-2646.27474818,-2646.27474818,2646.27474818,2646.27474818,-2646.27474818,-2646.27474818,2646.27474818,-2646.27474818,-2646.27474818,-2646.27474818
FC,@GFU6,147.2,3.089496865,0.013599586848,1.0,-1.0,-1.0,1.0,-1.0,11.0,2016-07-21,1544.7484325,2.0,73600.0,147.2,1.0,meat,-1.0,11.0,1.0,-1.0,10.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,1.0,-1,1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1000.92959201,2001.85918402,2001.85918402,-2001.85918402,2001.85918402,-2001.85918402,2001.85918402,-2001.85918402,-2001.85918402,2001.85918402,-2001.85918402,2001.85918402,-2001.85918402,2001.85918402,-2001.85918402,2001.85918402,-2001.85918402,-2001.85918402,-2001.85918402,-2001.85918402,2001.85918402
FCH,MTQ6,4410.5,58.675,0.0150747986191,1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-07-27,650.47105,4.0,48894.803,4410.5,1.0,index,-1.0,7.0,1.0,-1.0,6.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,737.079308746,2948.31723498,2948.31723498,-2948.31723498,2948.31723498,-2948.31723498,2948.31723498,-2948.31723498,2948.31723498,-2948.31723498,2948.31723498,2948.31723498,-2948.31723498,2948.31723498,-2948.31723498,2948.31723498,-2948.31723498,-2948.31723498,-2948.31723498,-2948.31723498,2948.31723498
FDX,DXMU6,10353.0,136.6,0.0136087722734,1.0,-1.0,-1.0,-1.0,-1.0,-16.0,2016-07-14,757.1738,3.0,57386.679,10353.0,1.0,index,-1.0,-16.0,1.0,-1.0,-15.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,780.962246035,2342.8867381,2342.8867381,-2342.8867381,2342.8867381,-2342.8867381,2342.8867381,-2342.8867381,-2342.8867381,-2342.8867381,2342.8867381,2342.8867381,-2342.8867381,2342.8867381,2342.8867381,-2342.8867381,2342.8867381,-2342.8867381,-2342.8867381,-2342.8867381,2342.8867381
FEI,IEZ6,100.33,0.01175,-4.98330592514e-05,-1.0,1.0,1.0,1.0,1.0,-11.0,2016-07-21,32.565125,62.0,278064.595,100.33,-1.0,rates,1.0,-11.0,1.0,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,1,-13.8568094384,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
FFI,LFU6,6740.5,64.45,0.00762388818297,1.0,1.0,-1.0,1.0,1.0,8.0,2016-07-26,842.29705,3.0,88091.5945,6740.5,1.0,index,1.0,8.0,1.0,1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,671.600466328,2014.80139898,2014.80139898,-2014.80139898,2014.80139898,-2014.80139898,-2014.80139898,2014.80139898,-2014.80139898,2014.80139898,-2014.80139898,-2014.80139898,2014.80139898,-2014.80139898,2014.80139898,-2014.80139898,-2014.80139898,-2014.80139898,-2014.80139898,-2014.80139898,-2014.80139898
