dates,signals,safef,comment
2016-05-11 05:36:59.016000-04:00,1,1,
2016-05-11 06:25:36.543000-04:00,-1,1,
2016-05-11 07:19:47.263000-04:00,1,1,
2016-05-11 08:21:12.102000-04:00,1,1,
2016-05-11 10:40:43.277000-04:00,1,1,
2016-05-11 18:15:38.541000-04:00,-1,1,
2016-05-11 18:22:25.779000-04:00,-1,1,
2016-05-11 19:22:41.842000-04:00,-1,1,
2016-05-11 19:30:44.348000-04:00,-1,1,
2016-05-11 20:51:37.937000-04:00,-1,1,
2016-05-11 23:58:48.423000-04:00,-1,1,
2016-05-12 00:27:55.136000-04:00,-1,1,
2016-05-12 02:28:47.899000-04:00,-1,1,
2016-05-12 02:54:52.909000-04:00,1,1,
2016-05-12 03:53:26.827000-04:00,-1,1,
