dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,RS_netEquity,safef,cycleTime,timestamp,v4.4_system,mrThreshold
2016-05-03,110776.34,111728.97,-0.0110638386707,0.0,0.00884651736929,0.0,1119.64,both_worst_wf_is_all DPS wl90.0 maxL2 dd95_0.009 thres_0.0,1.0,0.00324088767364,wf_is_pv3s_v2v,1129.26,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f96_is51,111728.97,1.0,,,,
2016-05-04,111133.35,112091.07,0.00863924357883,0.00781184503496,0.00884651736929,2.0,357.01,both_worst_wf_is_pv3s_v2v DPS wl90.0 maxL2 dd95_0.009 thres_0.0,0.239822117989,0.0,wf_is_pv3s_v2v,362.1,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f96_is51,103364.95,1.0,2365.44938333,20160505 15:25:26 EDT,,
2016-05-05 00:00:00,85646.22,90798.19,0.0448079661946,5.99994600036e-05,0.00186500961648,6.85224576714,1054.31,both_gainAhead_PCA10_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,562.35,3.63207284588,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is7,,1.0,1566.87685,20160506 02:06:52 EDT,,
2016-05-05 00:00:00,82462.92,88928.01,0.0225286126656,0.00454494322526,0.00406469422349,6.59756166746,1015.12,both_gainAhead_PCA10_GNBayes DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_short,550.77,3.55726254222,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is20,,1.0,2689.68553333,20160506 20:49:41 EDT,,
2016-05-05 00:00:00,94045.55,95423.24,0.00324574710235,0.00494451539693,0.00406469422349,0.0,-1194.79,both_gainAhead_PCA10_GNBayes DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_short,-602.32,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is20,,1.0,63.57,20160508 01:15:29 EDT,,
2016-05-06 00:00:00,82059.99,89908.39,0.00358648281433,0.00272670830268,0.00417028828114,6.56532480777,363.79,both_gainAhead_PCA10_GNBayes DPS wl20.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_short,199.75,3.596479271,1.0,gainAhead_PCA10_GNBayes,1.0,gainAhead_PCA10_f10_is21,,1.0,4884.39855,20160509 09:24:23 EDT,,
2016-05-09 00:00:00,92910.16,95862.89,-6.1087910519e-05,0.0,0.00427327386967,2.0,488.45,both_gainAhead_PCA10_GNBayes DPS wl21.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_short,253.68,0.0,1.0,gainAhead_PCA10_GNBayes,1.0,gainAhead_PCA10_f10_is22,,1.0,1462.00668333,20160510 00:22:00 EDT,,
2016-05-10 00:00:00,85791.67,93272.53,0.00856295295357,0.000992642232672,0.00208514414057,6.86388282613,-104.67,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-56.87,3.73105063552,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is39,,1.0,1493.95753333,20160511 00:53:57 EDT,,
2016-05-10 00:00:00,93362.68,97377.17,0.0207252038628,0.00497508104898,0.00279751442472,0.0,106.19,both_zigZag_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,55.41,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f65_is83,,1.0,1681.50603333,20160511 04:01:30 EDT,,
2016-05-10 00:00:00,93246.85,96002.43,0.00836419455805,0.00544390782433,0.00279751442472,0.0,106.05,both_zigZag_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,54.62,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f65_is83,,1.0,1842.46758333,20160511 06:42:28 EDT,,
