dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp
2016-05-04,99911.83,99936.41,-0.0012158156197,0.0,0.00484543711852,0.0,-4.07,both_gainAhead_GNBayes DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0001792917974,wf_is_short,-4.07,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f79_is42,1.0,,
2016-05-05,99889.92,99914.5,-0.00206351237914,0.0,0.00493435163795,3.99575666514,-21.91,both_gainAhead_GNBayes DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,-21.91,3.99673968886,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f80_is43,1.0,21.92,20160507 21:17:20 EDT
2016-05-05 00:00:00,99089.05,99470.82,-0.00218099136383,0.0,0.00493435163795,3.96372041,-21.73,both_gainAhead_GNBayes DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,-21.82,3.97899207143,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f80_is43,1.0,74.04,20160507 23:41:45 EDT
2016-05-06 00:00:00,99154.9,99431.72,-0.00129603471805,0.0,0.00493435163795,3.96635447991,13.81,both_gainAhead_GNBayes DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_short,13.84,3.97742806461,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f80_is44,1.0,4845.16938333,20160509 08:45:10 EDT
2016-05-09 00:00:00,99769.42,99858.37,-0.000344478779224,0.0,0.00437383524868,3.99093655831,0.07,both_gainAhead_GNBayes DPS wl22.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_short,0.07,3.99449470324,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f74_is45,1.0,1642.64901667,20160510 03:22:38 EDT
2016-05-10 00:00:00,98717.69,99302.02,4.32002984496e-05,0.000141874029614,0.00208514414057,7.89804665654,-25.59,both_gainAhead_PCA10_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,-12.87,3.97223961525,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is6,1.0,1432.1929,20160510 23:52:11 EDT
2016-05-11 00:00:00,100275.2,100304.8,-0.00102711499418,0.0,0.00228416096288,0.0,0.0,both_zigZag_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,0.0,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f64_is25,1.0,1800.88955,20160512 06:00:53 EDT
2016-05-12 00:00:00,100249.23,100309.32,-0.00107833885008,0.0,0.00246717581898,0.0,0.0,both_zigZag_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,0.0,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f64_is25,1.0,1418.24218333,20160512 23:38:14 EDT
2016-05-13 00:00:00,100231.76,100318.3,-0.00112561890608,0.0,0.00263752189358,0.0,0.0,both_zigZag_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,0.0,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f64_is25,1.0,70.87,20160514 04:31:57 EDT
2016-05-13 00:00:00,100103.35,100126.33,-0.000685817755774,0.0,0.00263752189358,0.0,0.0,both_zigZag_PCA10_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,0.0,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is33,1.0,2.87,20160515 05:25:30 EDT
