dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity
2016-05-04,76590.12,86325.25,0.00540251301129,0.00449921907633,0.00406469422349,2.0,974.03,both_zigZag_PCA10_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.000103060284204,wf_is_pv3s_v2v,1100.06,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is39,1.0,,,
2016-05-05,76574.33,86316.35,0.00521191473055,0.00409276637615,0.00406469422349,0.0,-15.79,both_zigZag_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-8.9,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f71_is39,1.0,16.77,20160507 21:12:23 EDT,
2016-05-05 00:00:00,109345.91,107268.96,0.0100866147009,0.00328718470492,0.00406469422349,0.0,-22.54,both_zigZag_PCA10_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-11.06,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is39,1.0,77.95,20160507 23:45:52 EDT,
2016-05-05 00:00:00,82965.63,90507.42,0.00881307508482,0.00582582581324,0.00406469422349,0.0,-17.1,both_zigZag_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-9.33,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f71_is39,1.0,201.43,20160508 06:41:33 EDT,
2016-05-06 00:00:00,80890.44,92191.66,0.00776502027615,0.00591009224555,0.00406469422349,0.0,-790.22,both_zigZag_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-448.12,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f71_is39,1.0,4554.7068,20160509 03:54:42 EDT,
2016-05-09 00:00:00,94798.2,101077.25,0.000743770571066,0.00376883221854,0.00406469422349,0.0,-2068.62,both_zigZag_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-1090.91,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f71_is39,1.0,1615.7822,20160510 02:55:46 EDT,
2016-05-10 00:00:00,93073.42,95633.32,0.0443935689343,5.99994600036e-05,0.00161514570617,0.0,1014.35,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,523.98,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f58_is38,1.0,1493.43561667,20160511 00:53:26 EDT,
2016-05-11 00:00:00,132727.67,123447.58,0.0033906668351,0.00955482894733,0.00884651736929,0.0,-1565.67,both_finalWorst DPS wl90.0 maxL2 dd95_0.009 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-723.83,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is38,1.0,1812.24508333,20160512 06:12:14 EDT,79698.13
2016-05-12 00:00:00,126070.88,119879.72,0.00158793522782,0.00244990210586,0.00208514414057,2.52146808792,1464.86,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,1395.3,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f58_is38,1.0,1421.53436667,20160512 23:41:32 EDT,
2016-05-13 00:00:00,129784.85,120528.96,-0.00598132017134,0.0,0.00228416096288,5.19160173346,-1127.51,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-1047.1,4.82135135172,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f58_is38,1.0,82.59,20160514 04:30:38 EDT,
2016-05-13 00:00:00,117987.23,109986.93,-0.00405950346701,0.0,0.00228416096288,4.71967813736,-1025.02,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-955.51,4.39965304894,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f58_is38,1.0,6.51,20160515 05:26:16 EDT,
