dates,signals,safef,comment
2016-05-11 12:38:16.820000-04:00,-1,1,
2016-05-11 14:39:46.227000-04:00,1,1,
2016-05-11 15:12:16.528000-04:00,1,1,
2016-05-11 16:03:18.229000-04:00,1,1,
2016-05-11 16:10:31.806000-04:00,0,1,
2016-05-11 16:19:27.997000-04:00,1,1,
2016-05-11 19:14:02.213000-04:00,1,1,
2016-05-11 20:34:21.979000-04:00,0,1,
2016-05-11 20:46:47.342000-04:00,0,1,
2016-05-11 20:53:32.893000-04:00,1,1,
2016-05-11 21:06:01.543000-04:00,0,1,
2016-05-11 22:39:07.317000-04:00,1,1,
2016-05-11 22:40:24.922000-04:00,-1,1,
2016-05-11 23:26:23.409000-04:00,1,1,
2016-05-12 00:12:08.290000-04:00,0,1,
2016-05-12 00:26:38.548000-04:00,0,1,
2016-05-12 01:30:29.662000-04:00,0,1,
2016-05-12 02:00:21.292000-04:00,0,1,
2016-05-12 02:00:35.130000-04:00,0,1,
2016-05-12 02:59:00.310000-04:00,1,1,
2016-05-12 03:32:42.922000-04:00,-1,1,
2016-05-12 04:25:54.519000-04:00,1,1,
2016-05-12 04:39:14.766000-04:00,1,1,
2016-05-12 05:32:49.869000-04:00,0,1,
2016-05-12 07:00:50.504000-04:00,1,1,
2016-05-12 07:04:18.932000-04:00,0,1,
2016-05-12 08:15:17.376000-04:00,0,1,
2016-05-12 08:19:08.753000-04:00,0,1,
2016-05-12 09:06:38.052000-04:00,0,1,
2016-05-12 10:22:09.724000-04:00,1,1,
2016-05-12 10:45:50.036000-04:00,1,1,
2016-05-12 10:47:10.167000-04:00,-1,1,
2016-05-12 10:47:22.207000-04:00,1,1,
2016-05-12 12:16:42.304000-04:00,1,1,
2016-05-12 12:55:59.265000-04:00,1,1,
2016-05-12 14:20:42.562000-04:00,1,1,
2016-05-12 14:53:10.236000-04:00,-1,1,
2016-05-12 15:36:59.208000-04:00,1,1,
2016-05-12 15:39:03.370000-04:00,1,1,
2016-05-12 15:39:34.665000-04:00,-1,1,
2016-05-12 16:46:05.323000-04:00,-1,1,
2016-05-12 17:15:45.008000-04:00,-1,1,
2016-05-12 18:29:10.933000-04:00,1,1,
2016-05-12 18:59:32.234000-04:00,-1,1,
2016-05-12 19:59:07.328000-04:00,1,1,
2016-05-12 21:00:18.409000-04:00,-1,1,
2016-05-12 21:42:15.767000-04:00,0,1,
2016-05-12 22:19:25.572000-04:00,1,1,
2016-05-12 23:30:59.868000-04:00,1,1,
2016-05-12 23:39:50.086000-04:00,1,1,
2016-05-12 23:41:19.823000-04:00,1,1,
2016-05-13 00:49:47.469000-04:00,-1,1,
2016-05-13 02:22:21.575000-04:00,0,1,
2016-05-13 02:59:13.396000-04:00,0,1,
2016-05-13 03:08:46.197000-04:00,1,1,
2016-05-13 03:13:42.149000-04:00,0,1,
2016-05-13 04:15:25.958000-04:00,0,1,
2016-05-13 05:18:04.928000-04:00,0,1,
2016-05-13 05:50:55.068000-04:00,0,1,
2016-05-13 06:48:08.929000-04:00,0,1,
2016-05-13 07:28:35.746000-04:00,0,1,
2016-05-13 08:14:50.636000-04:00,0,1,
2016-05-13 09:04:42.260000-04:00,0,1,
2016-05-13 11:06:25.881000-04:00,1,1,
2016-05-13 11:28:58.625000-04:00,1,1,
2016-05-13 11:34:51.424000-04:00,0,1,
2016-05-13 11:53:47.134000-04:00,1,1,
2016-05-13 13:03:02.889000-04:00,0,1,
2016-05-13 13:14:01.277000-04:00,0,1,
2016-05-13 14:16:18.080000-04:00,0,1,
2016-05-13 15:11:14.492000-04:00,0,1,
2016-05-13 16:27:15.238000-04:00,-1,1,
2016-05-13 17:26:25.883000-04:00,0,1,
2016-05-13 18:28:32.080000-04:00,0,1,
2016-05-13 18:53:41.508000-04:00,0,1,
2016-05-13 19:36:25.573000-04:00,0,1,
2016-05-13 20:07:25.325000-04:00,0,1,
2016-05-13 21:14:54.164000-04:00,0,1,
2016-05-13 22:06:18.841000-04:00,0,1,
2016-05-13 22:06:56.528000-04:00,0,1,
2016-05-13 23:42:18.564000-04:00,0,1,
2016-05-13 23:49:12.393000-04:00,0,1,
2016-05-14 00:42:50.448000-04:00,0,1,
2016-05-14 01:20:27.752000-04:00,0,1,
2016-05-14 02:47:06.731000-04:00,0,1,
2016-05-14 02:47:10.682000-04:00,0,1,
2016-05-14 04:31:38.766000-04:00,0,1,
2016-05-14 04:59:19.168000-04:00,0,1,
2016-05-14 06:14:50.444000-04:00,0,1,
2016-05-14 06:31:02.083000-04:00,0,1,
2016-05-14 06:53:57.617000-04:00,0,1,
2016-05-14 08:25:22.915000-04:00,0,1,
2016-05-14 09:19:24.514000-04:00,1,1,
2016-05-14 09:25:24.422000-04:00,0,1,
2016-05-14 10:59:05.558000-04:00,0,1,
2016-05-14 11:17:55.338000-04:00,0,1,
2016-05-14 13:15:00.321000-04:00,1,1,
2016-05-14 13:23:53.794000-04:00,0,1,
2016-05-14 13:34:02.374000-04:00,0,1,
2016-05-14 15:25:04.924000-04:00,0,1,
2016-05-14 16:40:59.579000-04:00,0,1,
2016-05-14 17:38:47.738000-04:00,0,1,
2016-05-14 18:10:01.443000-04:00,0,1,
2016-05-14 19:48:54.105000-04:00,1,1,
2016-05-14 19:55:31.860000-04:00,1,1,
2016-05-14 20:35:23.293000-04:00,0,1,
2016-05-14 22:40:30.878000-04:00,1,1,
2016-05-14 22:42:01.498000-04:00,0,1,
2016-05-14 22:42:13.587000-04:00,0,1,
2016-05-15 00:47:23.833000-04:00,1,1,
2016-05-15 01:34:15.185000-04:00,0,1,
2016-05-15 02:23:58.188000-04:00,0,1,
2016-05-15 02:52:16.163000-04:00,0,1,
2016-05-15 03:44:03.564000-04:00,1,1,
2016-05-15 04:36:22.857000-04:00,0,1,
2016-05-15 05:05:15.426000-04:00,0,1,
2016-05-15 06:14:58.887000-04:00,1,1,
2016-05-15 08:01:00.788000-04:00,1,1,
2016-05-15 08:18:09.803000-04:00,0,1,
2016-05-15 10:09:16.629000-04:00,0,1,
2016-05-15 10:54:12.632000-04:00,0,1,
2016-05-15 10:55:17.206000-04:00,0,1,
2016-05-15 11:11:53.961000-04:00,0,1,
2016-05-15 13:32:38.653000-04:00,1,1,
2016-05-15 14:11:44.425000-04:00,0,1,
2016-05-15 14:52:26.013000-04:00,1,1,
2016-05-15 15:04:10.403000-04:00,0,1,
2016-05-15 16:14:32.508000-04:00,0,1,
2016-05-15 17:09:41.715000-04:00,1,1,
2016-05-15 18:43:20.709000-04:00,1,1,
2016-05-15 18:46:54.338000-04:00,-1,1,
2016-05-15 18:59:37.211000-04:00,0,1,
2016-05-15 19:37:12.479000-04:00,-1,1,
2016-05-15 20:46:28.499000-04:00,-1,1,
2016-05-15 21:00:48.521000-04:00,-1,1,
2016-05-15 21:53:56.407000-04:00,0,1,
2016-05-15 23:08:44.175000-04:00,0,1,
2016-05-15 23:19:53.441000-04:00,0,1,
2016-05-16 00:01:56.206000-04:00,0,1,
2016-05-16 01:23:49.865000-04:00,0,1,
2016-05-16 02:48:43.180000-04:00,0,1,
2016-05-16 03:15:17.778000-04:00,0,1,
2016-05-16 04:00:45.233000-04:00,-1,1,
2016-05-16 04:38:24.214000-04:00,-1,1,
2016-05-16 04:45:38.922000-04:00,0,1,
2016-05-16 05:22:03.575000-04:00,0,1,
2016-05-16 06:03:46.688000-04:00,0,1,
2016-05-16 08:00:41.342000-04:00,0,1,
2016-05-16 08:03:09.413000-04:00,0,1,
2016-05-16 08:12:15.686000-04:00,1,1,
2016-05-16 09:34:26.982000-04:00,0,1,
2016-05-16 10:58:49.324000-04:00,1,1,
2016-05-16 11:48:16.767000-04:00,1,1,
2016-05-16 12:26:20.776000-04:00,0,1,
2016-05-16 12:54:53.145000-04:00,1,1,
2016-05-16 13:54:32.509000-04:00,0,1,
2016-05-16 15:05:17.025000-04:00,1,1,
2016-05-16 15:33:30.205000-04:00,1,1,
2016-05-16 16:45:56.708000-04:00,0,1,
2016-05-16 16:55:22.209000-04:00,0,1,
2016-05-16 17:13:20.109000-04:00,1,1,
2016-05-16 17:57:00.942000-04:00,1,1,
2016-05-16 19:09:14.896000-04:00,1,1,
2016-05-16 20:35:42.194000-04:00,1,1,
2016-05-16 20:44:33.885000-04:00,1,1,
2016-05-16 21:59:20.703000-04:00,1,1,
2016-05-16 22:05:45.234000-04:00,1,1,
2016-05-17 00:04:42.876000-04:00,1,1,
2016-05-17 00:16:20.534000-04:00,1,1,
2016-05-17 00:20:30.587000-04:00,0,1,
2016-05-17 01:29:11.136000-04:00,1,1,
2016-05-17 01:50:46.805000-04:00,1,1,
2016-05-17 02:23:29.825000-04:00,1,1,
2016-05-17 03:42:45.516000-04:00,1,1,
2016-05-17 04:22:12.048000-04:00,1,1,
2016-05-17 05:32:17.390000-04:00,0,1,
2016-05-17 05:33:35.691000-04:00,0,1,
2016-05-17 06:29:34.610000-04:00,1,1,
2016-05-17 06:59:26.387000-04:00,1,1,
2016-05-17 08:37:41.809000-04:00,0,1,
2016-05-17 08:51:35.809000-04:00,0,1,
2016-05-17 08:51:52.246000-04:00,1,1,
2016-05-17 11:13:22.550000-04:00,0,1,
2016-05-17 11:15:31.113000-04:00,1,1,
2016-05-17 11:31:42.109000-04:00,1,1,
2016-05-17 13:02:27.452000-04:00,0,1,
2016-05-17 13:36:54.453000-04:00,0,1,
2016-05-17 13:47:11.385000-04:00,0,1,
2016-05-17 16:01:46.209000-04:00,1,1,
2016-05-17 16:57:38.518000-04:00,1,1,
2016-05-17 16:58:09.625000-04:00,0,1,
2016-05-17 16:59:34.095000-04:00,0,1,
2016-05-17 18:27:40.971000-04:00,0,1,
2016-05-17 18:59:32.266000-04:00,0,1,
2016-05-17 19:13:02.145000-04:00,0,1,
2016-05-17 20:14:05.333000-04:00,0,1,
2016-05-17 21:40:59.791000-04:00,0,1,
2016-05-17 22:17:38.221000-04:00,0,1,
2016-05-17 22:25:53.370000-04:00,0,1,
2016-05-17 22:44:04.974000-04:00,1,1,
2016-05-18 00:02:52.060000-04:00,0,1,
2016-05-18 01:01:36.770000-04:00,0,1,
2016-05-18 02:17:03.227000-04:00,-1,1,
2016-05-18 03:05:20.149000-04:00,0,1,
2016-05-18 03:43:48.601000-04:00,0,1,
2016-05-18 04:22:02.639000-04:00,1,1,
2016-05-18 04:24:09.720000-04:00,0,1,
2016-05-18 05:30:58.390000-04:00,0,1,
2016-05-18 06:58:16.405000-04:00,0,1,
2016-05-18 07:20:12.706000-04:00,0,1,
2016-05-18 08:34:53.734000-04:00,0,1,
2016-05-18 09:28:11.999000-04:00,0,1,
2016-05-18 10:26:11.095000-04:00,0,1,
2016-05-18 12:35:15.443000-04:00,0,1,
2016-05-18 12:56:29.113000-04:00,0,1,
2016-05-18 12:58:53.707000-04:00,0,1,
2016-05-18 14:45:50.605000-04:00,0,1,
2016-05-18 15:07:55.656000-04:00,0,1,
2016-05-18 17:00:10.876000-04:00,0,1,
2016-05-18 18:00:52.607000-04:00,-1,1,
2016-05-18 19:32:47.939000-04:00,0,1,
2016-05-18 21:27:31.206000-04:00,0,1,
2016-05-18 22:16:02.100000-04:00,0,1,
2016-05-18 22:24:08.034000-04:00,1,1,
2016-05-18 22:36:19.903000-04:00,0,1,
2016-05-18 22:40:07.009000-04:00,1,1,
2016-05-18 22:52:02.514000-04:00,1,1,
2016-05-19 02:39:29.900000-04:00,0,1,
2016-05-19 02:50:58.217000-04:00,0,1,
2016-05-19 02:57:49.037000-04:00,1,1,
2016-05-19 03:01:45.850000-04:00,-1,1,
2016-05-19 03:04:54.327000-04:00,-1,1,
2016-05-19 03:37:32.567000-04:00,0,1,
2016-05-19 05:16:35.396000-04:00,0,1,
2016-05-19 05:43:52.313000-04:00,0,1,
2016-05-19 05:46:53.861000-04:00,0,1,
2016-05-19 07:16:32.189000-04:00,0,1,
2016-05-19 07:24:03.622000-04:00,1,1,
2016-05-19 08:44:27.870000-04:00,1,1,
2016-05-19 09:13:55.563000-04:00,-1,1,
2016-05-19 10:09:46.530000-04:00,-1,1,
2016-05-19 11:19:55.735000-04:00,-1,1,
2016-05-19 11:36:06.666000-04:00,0,1,
2016-05-19 13:43:29.343000-04:00,1,1,
2016-05-19 13:44:13.124000-04:00,1,1,
2016-05-19 14:30:40.663000-04:00,1,1,
2016-05-19 16:03:35.300000-04:00,1,1,
2016-05-19 16:32:19.703000-04:00,-1,1,
2016-05-19 16:35:52.772000-04:00,1,1,
2016-05-19 17:57:00.007000-04:00,0,1,
2016-05-19 19:31:23.755000-04:00,1,1,
2016-05-19 20:02:51.748000-04:00,0,1,
2016-05-19 20:49:49.707000-04:00,1,1,
2016-05-19 21:08:24.673000-04:00,0,1,
2016-05-19 21:49:45.877000-04:00,-1,1,
2016-05-19 22:26:55.589000-04:00,-1,1,
2016-05-19 23:11:22.013000-04:00,-1,1,
2016-05-20 00:35:40.120000-04:00,1,1,
2016-05-20 00:44:11.677000-04:00,1,1,
2016-05-20 01:47:06.539000-04:00,1,1,
2016-05-20 03:06:16.297000-04:00,0,1,
2016-05-20 04:24:55.061000-04:00,0,1,
2016-05-20 04:35:48.759000-04:00,0,1,
2016-05-20 05:32:49.274000-04:00,0,1,
2016-05-20 05:54:37.798000-04:00,0,1,
2016-05-20 08:06:55.598000-04:00,1,1,
2016-05-20 08:35:34.734000-04:00,1,1,
2016-05-20 08:57:53.263000-04:00,1,1,
2016-05-20 11:08:41.335000-04:00,1,1,
2016-05-20 11:12:31.427000-04:00,-1,1,
2016-05-20 11:22:27.922000-04:00,0,1,
2016-05-20 12:13:45.516000-04:00,-1,1,
2016-05-20 12:58:32.046000-04:00,1,1,
2016-05-20 15:29:34.390000-04:00,1,1,
2016-05-20 15:29:56.852000-04:00,1,1,
2016-05-20 17:23:03.338000-04:00,1,1,
2016-05-20 17:31:22.328000-04:00,-1,1,
2016-05-20 18:12:06.950000-04:00,-1,1,
2016-05-20 18:22:07.157000-04:00,0,1,
2016-05-20 19:49:43.474000-04:00,1,1,
2016-05-20 20:03:40.603000-04:00,1,1,
2016-05-20 20:54:56.600000-04:00,1,1,
2016-05-20 22:09:48.830000-04:00,1,1,
2016-05-20 22:30:49.379000-04:00,1,1,
2016-05-21 00:25:57.164000-04:00,1,1,
2016-05-21 00:36:12.258000-04:00,1,1,
2016-05-21 02:41:42.457000-04:00,1,1,
2016-05-21 02:54:03.554000-04:00,1,1,
2016-05-21 03:17:12.534000-04:00,1,1,
2016-05-21 04:32:40.401000-04:00,1,1,
2016-05-21 05:35:28.718000-04:00,1,1,
2016-05-21 06:54:23.023000-04:00,1,1,
2016-05-21 08:07:52.468000-04:00,1,1,
2016-05-21 08:13:53.438000-04:00,1,1,
2016-05-21 11:06:26.341000-04:00,1,1,
2016-05-21 11:26:01.370000-04:00,1,1,
2016-05-21 11:32:42.926000-04:00,1,1,
2016-05-21 12:59:02.331000-04:00,1,1,
2016-05-21 13:58:36.132000-04:00,1,1,
2016-05-21 15:11:41.195000-04:00,1,1,
2016-05-21 15:20:26.319000-04:00,1,1,
2016-05-21 17:01:40.174000-04:00,1,1,
2016-05-21 17:30:13.828000-04:00,1,1,
2016-05-21 19:37:16.315000-04:00,1,1,
2016-05-21 19:42:10.575000-04:00,1,1,
2016-05-21 20:31:48.959000-04:00,1,1,
2016-05-21 21:56:53.734000-04:00,1,1,
2016-05-21 22:22:59.342000-04:00,1,1,
2016-05-22 00:37:36.660000-04:00,1,1,
2016-05-22 01:12:15.179000-04:00,1,1,
2016-05-22 01:17:49.045000-04:00,1,1,
2016-05-22 01:19:04.525000-04:00,1,1,
2016-05-22 02:45:19.477000-04:00,1,1,
2016-05-22 03:00:42.498000-04:00,1,1,
2016-05-22 03:40:43.844000-04:00,1,1,
2016-05-22 06:09:59.585000-04:00,1,1,
2016-05-22 09:06:20.303000-04:00,1,1,
2016-05-22 09:14:32.577000-04:00,1,1,
2016-05-22 09:39:36.791000-04:00,1,1,
2016-05-22 11:08:01.031000-04:00,1,1,
2016-05-22 12:31:59.216000-04:00,1,1,
2016-05-22 12:49:53.129000-04:00,1,1,
2016-05-22 13:33:00.542000-04:00,1,1,
2016-05-22 15:52:25.940000-04:00,1,1,
2016-05-22 16:31:08.118000-04:00,1,1,
2016-05-22 20:00:53.758000-04:00,1,1,
2016-05-22 20:18:16.751000-04:00,1,1,
2016-05-22 20:28:11.909000-04:00,1,1,
2016-05-22 21:21:33.457000-04:00,-1,1,
2016-05-23 00:21:23.112000-04:00,-1,1,
2016-05-23 00:22:06.744000-04:00,-1,1,
2016-05-23 00:38:08.530000-04:00,1,1,
2016-05-23 01:57:40.153000-04:00,1,1,
2016-05-23 03:41:36.570000-04:00,1,1,
2016-05-23 04:50:14.551000-04:00,1,1,
2016-05-23 05:06:40.406000-04:00,1,1,
2016-05-23 05:12:54.177000-04:00,-1,1,
2016-05-23 06:48:59.828000-04:00,1,1,
2016-05-23 08:00:29.847000-04:00,1,1,
2016-05-23 09:17:36.782000-04:00,1,1,
