dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,v4.4_system,mrThreshold
2016-06-13 00:00:00,-0.000379623694902,0.0,0.00186500961648,0.0,100538.73,15.32,both_zigZag_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100437.27,15.31,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1860.2462,20160614 07:00:14 EDT,zigZag_PCA10_f10_is27,
2016-06-14 00:00:00,-0.000171856543596,0.0,0.00208514414057,0.0,100671.64,20.45,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100518.97,20.42,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1266.67503333,20160614 21:06:40 EDT,zigZag_PCA10_f10_is27,
2016-06-15 00:00:00,-0.00246738076886,0.0,0.00228416096288,2.00970939182,100483.46,-83.73,both_zigZag_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100478.13,-40.84,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1572.03313333,20160616 02:12:01 EDT,zigZag_PCA10_f10_is27,
2016-06-16 00:00:00,-0.000171418360273,0.0,0.00246717581898,0.0,100656.23,56.18,both_zigZag_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100534.24,56.11,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1265.89306667,20160616 21:05:53 EDT,zigZag_PCA10_f10_is27,
2016-06-16 00:00:00,-0.000296997678118,0.0,0.00246717581898,0.0,100580.46,56.14,both_zigZag_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100534.24,56.11,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1546.22805,20160617 01:46:13 EDT,zigZag_PCA10_f10_is27,
2016-06-17 00:00:00,-0.00268746030948,0.0,0.00246717581898,0.0,100635.85,-51.09,both_zigZag_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100483.23,-51.01,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,41.05,20160618 02:50:17 EDT,zigZag_PCA10_f10_is27,
2016-06-17 00:00:00,0.00293666928766,0.000361624912918,0.00246717581898,8.01008612527,100118.07,93.5,both_gainAhead_GNBayes DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,100139.35,46.78,4.00573431147,1.0,gainAhead_GNBayes,1.0,,1.0,6.78,20160619 04:27:50 EDT,gainAhead_GNBayes_f86_is13,
2016-06-20 00:00:00,0.000196418280995,0.000738832603696,0.00263752189358,0.0,100057.08,-60.99,both_gainAhead_GNBayes DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,100108.85,-30.5,0.0,1.0,gainAhead_GNBayes,1.0,,1.0,1236.49276667,20160620 20:36:29 EDT,gainAhead_GNBayes_f86_is14,
2016-06-20 00:00:00,7.69802238176e-05,0.000715825291806,0.00263752189358,0.0,100057.08,-60.99,both_gainAhead_GNBayes DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,100108.85,-30.5,0.0,1.0,gainAhead_GNBayes,1.0,,1.0,2581.32136667,20160621 19:01:19 EDT,gainAhead_GNBayes_f86_is14,
2016-06-21 00:00:00,-0.00251259772943,0.0,0.0029488391231,2.0,99973.78,-83.3,both_gainAhead_GNBayes DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,100068.18,-40.67,0.0,1.0,gainAhead_GNBayes,1.0,,1.0,1476.5957,20160622 00:36:35 EDT,gainAhead_GNBayes_f86_is26,
