dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.0_system,RS_netEquity,safef,cycleTime,timestamp,v4.3_system,v4.5_system
2016-04-26 21:30:00,99700.41,99662.42,-0.282879170828,0.0,0.00437383524868,0.0,-95.29,both_best_wf_is_pv3s_v2v DPS wl22.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-95.26,0.0,1.0,sellHold,-1.0,sellHold,99662.42,1.0,-1.68251666667,20160426 21:28:19 EDT,,
2016-04-26 22:00:00,99735.92,99611.07,-0.503293075904,0.0,0.00437383524868,0.0,-105.83,both_best_wf_is_pv3s_v2v DPS wl22.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-105.7,0.0,1.0,sellHold,-1.0,sellHold,99611.07,1.0,-9.74523333333,20160426 21:50:15 EDT,,
2016-04-26 22:30:00,100834.01,100834.01,-0.735952445504,0.0,0.00437383524868,0.0,1298.94,both_best_wf_is_pv3s_v2v DPS wl22.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,1298.94,0.0,1.0,sellHold,-1.0,sellHold,100834.01,1.0,-19.7837833333,20160426 22:10:12 EDT,,
2016-04-26 22:30:00,100908.69,100834.01,-0.613754906649,0.0,0.00437383524868,0.0,1299.9,both_best_wf_is_pv3s_v2v DPS wl22.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,1298.94,0.0,1.0,sellHold,-1.0,sellHold,100834.01,1.0,-1.29171666667,20160426 22:28:42 EDT,,
2016-04-26 23:00:00,100711.0,100918.01,-0.144738097458,0.0,0.00373001923296,0.0,20.25,both_best_wf_is_pv3s_v2v DPS wl16.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,20.3,0.0,1.0,sellHold,-1.0,sellHold,100918.01,1.0,-14.2087833333,20160426 22:45:47 EDT,,
2016-04-26 23:00:00,101004.15,100918.01,-0.130087493111,0.0,0.00373001923296,0.0,20.31,both_best_wf_is_pv3s_v2v DPS wl16.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,20.3,0.0,1.0,sellHold,-1.0,sellHold,100918.01,1.0,-0.663366666667,20160426 22:59:20 EDT,,
2016-04-26 23:30:00,100815.67,100815.04,-0.187748286888,0.0,0.00395628284037,0.0,-51.41,both_best_wf_is_pv3s_v2v DPS wl18.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-51.41,0.0,1.0,sellHold,-1.0,sellHold,100815.04,1.0,-16.721,20160426 23:13:16 EDT,,
2016-04-26 23:30:00,100837.47,100815.04,-0.128435862357,0.0,0.00395628284037,0.0,-51.42,both_best_wf_is_pv3s_v2v DPS wl18.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-51.41,0.0,1.0,sellHold,-1.0,sellHold,100815.04,1.0,-2.92085,20160426 23:27:04 EDT,,
2016-04-27 00:00:00,101184.74,101124.72,-0.306674891817,0.0,0.00406469422349,0.0,348.1,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,347.89,0.0,1.0,sellHold,-1.0,sellHold,101124.72,1.0,-18.5578666667,20160426 23:41:26 EDT,,
2016-04-27 00:00:00,101196.09,101124.72,-0.349131210331,0.0,0.00406469422349,0.0,348.14,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,347.89,0.0,1.0,sellHold,-1.0,sellHold,101124.72,1.0,-4.84445,20160426 23:55:09 EDT,,
2016-04-27 00:30:00,101111.08,101054.45,0.873217962156,0.00348201513249,0.00373001923296,2.0,-51.05,both_best_wf_is_pv3s_v2v DPS wl16.0 maxL2 dd95_0.004 thres_0.0,1.07122430289,0.0,wf_is_pv3s_v2v,-31.96,0.0,1.0,sellHold,-1.0,sellHold,101054.45,1.0,-20.7921833333,20160427 00:09:12 EDT,,
2016-04-27 00:30:00,101052.45,101054.45,0.774298514396,0.00277385585447,0.00373001923296,2.0,-33.96,both_best_wf_is_pv3s_v2v DPS wl16.0 maxL2 dd95_0.004 thres_0.0,1.34470550333,0.0,wf_is_pv3s_v2v,-31.96,0.0,1.0,sellHold,-1.0,sellHold,101054.45,1.0,-7.28763333333,20160427 00:22:42 EDT,,
2016-04-27 00:30:00,101052.45,101054.45,0.91470378049,0.00245281311834,0.00373001923296,2.0,-33.96,both_best_wf_is_pv3s_v2v DPS wl16.0 maxL2 dd95_0.004 thres_0.0,1.52071073213,0.0,wf_is_pv3s_v2v,-31.96,0.0,1.0,sellHold,-1.0,sellHold,101054.45,1.0,6.19308333333,20160427 00:36:11 EDT,,
2016-04-27 01:00:00,101263.03,101128.55,0.61372807564,0.00281198070203,0.00395628284037,2.0,14.53,both_best_wf_is_pv3s_v2v DPS wl18.0 maxL2 dd95_0.004 thres_0.0,1.40693811928,0.0,wf_is_pv3s_v2v,10.2,0.0,1.0,sellHold,-1.0,sellHold,101128.55,1.0,-10.6794333333,20160427 00:49:19 EDT,,
2016-04-27 01:00:00,101187.09,101128.55,0.319492470042,0.00272018395001,0.00395628284037,2.0,16.95,both_best_wf_is_pv3s_v2v DPS wl18.0 maxL2 dd95_0.004 thres_0.0,1.45441738981,0.0,wf_is_pv3s_v2v,10.2,0.0,1.0,sellHold,-1.0,sellHold,101128.55,1.0,2.76075,20160427 01:02:45 EDT,,
