dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,RS_netEquity,safef,cycleTime,timestamp
2016-06-09 20:00:00,0.0857264025222,0.00196909475126,0.00659380473396,0.0,101135.19,-20.68,both_worst_wf_is_short DPS wl50.0 maxL2 dd95_0.007 thres_0.0,2.0,-0.000485560950677,wf_is_short,100631.55,-10.29,0.0,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f18_is4,100631.55,1.0,,
2016-06-10 00:00:00,0.0299600081281,0.00342604945207,0.00659380473396,8.09867236784,101225.31,90.12,both_worst_wf_is_short DPS wl50.0 maxL2 dd95_0.007 thres_0.0,2.0,0.0,wf_is_short,100676.39,44.84,4.02721651004,1.0,buyHold,1.0,buyHold,99575.37,1.0,-241.800983333,20160609 19:58:11 EDT
2016-06-10 00:00:00,0.0292521220377,3.99998999582e-05,0.00186500961648,8.08553995349,101061.16,226.41,both_gainAhead_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,100787.11,113.03,4.03164571535,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f18_is5,,1.0,-182.708783333,20160609 20:57:17 EDT
2016-06-10 04:00:00,0.0308787469342,3.999982e-05,0.00659380473396,0.0,100364.44,79.55,both_worst_wf_is_pv2e_p2p DPS wl50.0 maxL2 dd95_0.007 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,100326.68,39.78,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is20,99757.49,1.0,-191.90065,20160610 00:48:05 EDT
2016-06-10 08:00:00,0.00145654675539,0.000259097411466,0.00659380473396,6.01783625912,100291.25,164.35,both_worst_wf_is_short DPS wl50.0 maxL2 dd95_0.007 thres_0.0,2.0,0.0,wf_is_short,100293.26,166.36,4.01189083941,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f18_is7,99940.06,1.0,-191.91085,20160610 04:48:05 EDT
2016-06-10 12:00:00,0.0265745626489,5.09993400044e-05,0.00659380473396,8.05631477079,100695.88,455.7,both_worst_wf_is_short DPS wl50.0 maxL2 dd95_0.007 thres_0.0,2.0,0.0,wf_is_short,100470.04,227.86,4.01896247775,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f18_is8,99784.25,1.0,-192.1379,20160610 08:47:51 EDT
2016-06-10 16:00:00,0.0939012544936,5.09993400044e-05,0.00161514570617,0.0,101375.01,611.32,both_buyHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100690.2,304.51,0.0,1.0,buyHold,1.0,buyHold,,1.0,-191.189883333,20160610 12:48:48 EDT
2016-06-10 20:00:00,0.104088145619,5.9998800008e-05,0.00186500961648,0.0,101598.3,427.0,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100848.76,212.37,0.0,1.0,buyHold,1.0,buyHold,,1.0,-192.105016667,20160610 16:47:53 EDT
2016-06-10 20:00:00,0.128059185363,4e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,48.4467166667,20160610 20:48:26 EDT
2016-06-10 20:00:00,0.128116622814,5.9998800008e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,3.19,20160611 00:48:56 EDT
2016-06-10 20:00:00,0.12826866779,4e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,2.15,20160611 04:47:14 EDT
2016-06-10 20:00:00,0.127739910731,5.09991600044e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,1.0,20160611 08:46:09 EDT
2016-06-10 20:00:00,0.127589095964,5.09993400044e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,1.4,20160611 12:48:52 EDT
2016-06-10 20:00:00,0.127522697979,3.99996e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,1.76,20160611 16:46:51 EDT
2016-06-10 20:00:00,0.128116622814,5.09993400043e-05,0.00186500961648,0.0,101863.24,691.94,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100980.53,344.14,0.0,1.0,buyHold,1.0,buyHold,,1.0,1.59,20160611 20:48:18 EDT
