Date,Signal
2016-03-21 00:01:00,-1.0
2016-03-21 00:07:00,-1.0
2016-03-21 00:12:00,1.0
2016-03-21 00:17:00,1.0
2016-03-21 00:23:00,1.0
2016-03-21 00:28:00,1.0
2016-03-21 00:29:00,1.0
2016-03-21 00:32:00,-1.0
2016-03-21 00:36:00,-1.0
2016-03-21 00:39:00,-1.0
2016-03-21 00:40:00,-1.0
2016-03-21 00:43:00,-1.0
2016-03-21 00:45:00,-1.0
2016-03-21 00:47:00,-1.0
2016-03-21 00:51:00,-1.0
2016-03-21 00:54:00,-1.0
2016-03-21 00:57:00,-1.0
2016-03-21 01:02:00,-1.0
2016-03-21 01:05:00,-1.0
2016-03-21 01:10:00,-1.0
2016-03-21 01:12:00,-1.0
2016-03-21 01:17:00,-1.0
2016-03-21 01:19:00,-1.0
2016-03-21 01:22:00,-1.0
2016-03-21 01:24:00,1.0
2016-03-21 01:31:00,1.0
2016-03-21 01:33:00,1.0
2016-03-21 01:34:00,1.0
2016-03-21 01:37:00,1.0
2016-03-21 01:39:00,1.0
2016-03-21 01:43:00,-1.0
2016-03-21 01:46:00,-1.0
2016-03-21 01:49:00,1.0
2016-03-21 01:52:00,1.0
2016-03-21 01:54:00,1.0
2016-03-21 01:57:00,-1.0
2016-03-21 02:02:00,1.0
2016-03-21 02:07:00,-1.0
2016-03-21 02:16:00,-1.0
2016-03-21 02:21:00,1.0
2016-03-21 02:28:00,1.0
2016-03-21 02:32:00,1.0
2016-03-21 02:36:00,1.0
2016-03-21 02:37:00,1.0
2016-03-21 02:39:00,1.0
2016-03-21 02:43:00,1.0
2016-03-21 02:45:00,1.0
2016-03-21 02:48:00,-1.0
2016-03-21 02:51:00,1.0
2016-03-21 02:54:00,1.0
2016-03-21 02:57:00,1.0
2016-03-21 03:02:00,-1.0
2016-03-21 03:06:00,-1.0
2016-03-21 03:11:00,-1.0
2016-03-21 03:16:00,-1.0
2016-03-21 03:22:00,-1.0
2016-03-21 03:25:00,-1.0
2016-03-21 03:28:00,1.0
2016-03-21 03:31:00,-1.0
2016-03-21 03:33:00,1.0
2016-03-21 03:36:00,1.0
2016-03-21 03:38:00,-1.0
2016-03-21 03:42:00,-1.0
2016-03-21 03:45:00,-1.0
2016-03-21 03:48:00,1.0
2016-03-21 03:51:00,1.0
2016-03-21 03:54:00,1.0
2016-03-21 03:57:00,1.0
2016-03-21 04:04:00,-1.0
2016-03-21 04:08:00,-1.0
2016-03-21 04:19:00,1.0
2016-03-21 04:26:00,1.0
2016-03-21 04:29:00,-1.0
2016-03-21 04:31:00,1.0
2016-03-21 04:32:00,-1.0
2016-03-21 04:35:00,-1.0
2016-03-21 04:38:00,-1.0
2016-03-21 04:39:00,-1.0
2016-03-21 06:40:00,1.0
2016-03-21 06:47:00,1.0
2016-03-21 06:53:00,-1.0
2016-03-21 07:00:00,-1.0
2016-03-21 07:06:00,1.0
2016-03-21 07:11:00,-1.0
2016-03-21 07:15:00,1.0
2016-03-21 07:20:00,-1.0
2016-03-21 07:26:00,1.0
2016-03-21 07:33:00,1.0
2016-03-21 07:42:00,1.0
2016-03-21 07:47:00,-1.0
2016-03-21 07:50:00,1.0
2016-03-21 07:54:00,1.0
2016-03-21 08:30:00,1.0
2016-03-21 09:11:00,-1.0
2016-03-21 09:30:00,-1.0
2016-03-21 10:38:00,-1.0
2016-03-21 11:47:00,-1.0
2016-03-21 12:37:00,1.0
2016-03-21 13:05:00,1.0
2016-03-21 13:43:00,1.0
2016-03-21 14:09:00,-1.0
2016-03-21 14:30:00,-1.0
2016-03-21 14:43:00,-1.0
2016-03-21 15:07:00,-1.0
2016-03-21 15:36:00,-1.0
2016-03-21 16:01:00,-1.0
2016-03-21 16:39:00,-1.0
2016-03-21 16:58:00,-1.0
2016-03-21 17:32:00,-1.0
2016-03-21 17:55:00,-1.0
2016-03-21 18:49:00,-1.0
2016-03-21 19:05:00,-1.0
2016-03-21 19:17:00,-1.0
2016-03-21 19:27:00,-1.0
2016-03-21 19:27:00,-1.0
2016-03-21 19:27:00,-1.0
2016-03-21 19:27:00,-1.0
2016-03-21 19:59:00,0.0
2016-03-21 20:05:00,0.0
2016-03-21 20:10:00,0.0
2016-03-21 20:15:00,0.0
2016-03-21 20:23:00,0.0
2016-03-21 20:29:00,0.0
2016-03-21 20:34:00,0.0
2016-03-21 20:41:00,0.0
2016-03-21 20:46:00,0.0
2016-03-21 20:53:00,0.0
2016-03-21 21:00:00,0.0
2016-03-21 21:06:00,0.0
2016-03-21 21:10:00,-1.0
2016-03-21 21:20:00,-1.0
2016-03-21 21:28:00,-1.0
2016-03-21 21:35:00,-1.0
2016-03-21 21:41:00,-1.0
2016-03-21 21:48:00,-1.0
2016-03-21 21:57:00,-1.0
2016-03-21 22:05:00,-1.0
2016-03-21 22:13:00,-1.0
2016-03-21 22:19:00,-1.0
2016-03-21 22:25:00,-1.0
2016-03-21 22:35:00,-1.0
2016-03-21 22:44:00,-1.0
2016-03-21 22:50:00,1.0
2016-03-21 23:00:00,1.0
2016-03-21 23:08:00,1.0
2016-03-21 23:14:00,1.0
2016-03-21 23:25:00,1.0
2016-03-21 23:31:00,-1.0
2016-03-21 23:40:00,-1.0
2016-03-21 23:48:00,-1.0
2016-03-22 00:00:00,-1.0
2016-03-22 00:09:00,-1.0
2016-03-22 00:20:00,-1.0
2016-03-22 00:29:00,-1.0
2016-03-22 00:33:00,-1.0
