dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity,v4.4_system,mrThreshold
2016-06-03 00:00:00,103862.16,102204.37,0.059173739457,0.000110994900124,0.00131876094679,0.0,2900.34,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,1447.23,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f97_is29,1.0,1263.53063333,20160603 21:03:31 EDT,,,
2016-06-06 00:00:00,105619.63,103187.66,0.0134759835354,5.09993400043e-05,0.00161514570617,8.45024625547,1516.5,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,746.18,4.12767135234,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f96_is27,1.0,1244.14406667,20160606 20:44:08 EDT,,,
2016-06-07 00:00:00,104210.39,102985.27,0.0439621826988,4e-05,0.00186500961648,8.33749780258,952.67,both_gainAhead_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,472.91,4.1195757118,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f91_is18,1.0,1242.48493333,20160607 20:42:29 EDT,,,
2016-06-08 00:00:00,104249.87,102539.82,0.00703051016742,0.00166278419778,0.00208514414057,2.08503910381,647.74,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,639.15,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f96_is27,1.0,1346.76268333,20160608 22:26:45 EDT,,,
2016-06-09 00:00:00,102971.58,102411.53,0.00313827968936,0.00231670145821,0.00228416096288,6.17866567837,406.91,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,406.74,4.09662505293,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f91_is18,1.0,1249.86186667,20160609 20:49:51 EDT,,,
2016-06-09 00:00:00,102973.64,102411.53,-0.000761170330421,0.0,0.00228416096288,4.11911045224,408.97,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,406.74,4.09662505293,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f92_is18,1.0,1321.1098,20160609 22:01:06 EDT,,,
2016-06-09 00:00:00,102971.58,102411.53,0.00356456741077,0.00231670026889,0.00228416096288,6.17866567837,406.91,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,406.74,4.09662505293,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f92_is18,1.0,1360.47656667,20160609 22:40:28 EDT,,,
2016-06-09 00:00:00,103384.65,102411.53,0.00112711987017,0.00256414446411,0.00228416096288,8.27143353003,817.93,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,406.74,4.09662505293,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f92_is18,1.0,1465.71941667,20160610 00:25:43 EDT,,,
2016-06-10 00:00:00,100751.61,100932.19,0.000966541225811,0.00280154701476,0.00246717581898,2.01507258637,-31.13,both_gainAhead_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-29.16,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f92_is18,1.0,2.8,20160611 22:22:24 EDT,,,
2016-06-13 00:00:00,105615.68,104688.29,-0.00159674591466,0.0,0.00131876094679,0.0,-111.47,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-110.49,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1280.54176667,20160613 21:20:32 EDT,,zigZag_PCA10_f10_is21,
