dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,v4.4_system,mrThreshold
2016-06-13 00:00:00,0.0190647786076,7.99989200144e-05,0.00131876094679,2.38492632537,119243.93,1626.94,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,110297.09,1507.05,0.0,1.0,zigZag_VotingSoft,1.0,,1.0,1275.73151667,20160613 21:15:43 EDT,zigZag_VotingSoft_f89_is11,
2016-06-13 00:00:00,0.0190369963676,8e-05,0.00131876094679,2.18705287446,109350.46,1491.96,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,104870.62,1432.9,0.0,1.0,zigZag_VotingSoft,1.0,,1.0,1854.52035,20160614 06:54:31 EDT,zigZag_VotingSoft_f89_is11,
2016-06-14 00:00:00,0.0704925121813,7.99989200144e-05,0.00131876094679,9.04685957711,113076.7,3726.24,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,106657.48,1786.86,4.26646997165,1.0,zigZag_VotingSoft,-1.0,,1.0,1260.761,20160614 21:00:45 EDT,zigZag_VotingSoft_f89_is36,
2016-06-15 00:00:00,0.0553632270598,5.9998800008e-05,0.00161514570617,0.0,114405.9,1329.2,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,107284.35,626.87,0.0,1.0,zigZag_VotingSoft,-1.0,,1.0,1549.30265,20160616 01:49:18 EDT,zigZag_VotingSoft_f89_is36,
2016-06-16 00:00:00,-0.0025553369597,0.0,0.00186500961648,2.25204406757,112599.95,-1805.95,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,106438.64,-845.71,0.0,1.0,zigZag_VotingSoft,-1.0,,1.0,1246.66121667,20160616 20:46:39 EDT,zigZag_VotingSoft_f89_is36,
2016-06-16 00:00:00,-0.00343013221904,0.0,0.00186500961648,2.35317964685,117656.63,-1887.05,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,109441.51,-869.57,0.0,1.0,zigZag_VotingSoft,-1.0,,1.0,1509.9255,20160617 01:09:55 EDT,zigZag_VotingSoft_f89_is36,
2016-06-17 00:00:00,-0.00276053872159,0.0,0.00208514414057,4.72335498983,118079.15,422.52,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,109834.53,393.02,4.39355693218,1.0,zigZag_VotingSoft,1.0,,1.0,43.0,20160618 02:40:22 EDT,zigZag_VotingSoft_f89_is36,
2016-06-17 00:00:00,-0.00153152768426,0.0,0.00208514414057,4.72335498983,118079.15,422.52,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,109834.53,393.02,4.39355693218,1.0,zigZag_VotingSoft,1.0,,1.0,7.95,20160619 04:36:31 EDT,zigZag_VotingSoft_f89_is36,
2016-06-20 00:00:00,-0.000996607850012,0.0,0.00228416096288,4.71124884441,117776.51,-302.64,both_zigZag_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,109553.02,-281.51,4.38229613389,1.0,zigZag_VotingSoft,-1.0,,1.0,1247.21675,20160620 20:47:13 EDT,zigZag_VotingSoft_f89_is36,
2016-06-20 00:00:00,-0.00113317672068,0.0,0.00228416096288,4.71124884441,117776.51,-302.64,both_zigZag_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,109553.02,-281.51,4.38229613389,1.0,zigZag_VotingSoft,-1.0,,1.0,2564.0482,20160621 18:44:02 EDT,zigZag_VotingSoft_f89_is36,
