dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity,v4.5_system
2016-04-29 16:00:00,99998.0,99996.0,0.0,0.0,0.00567220530689,2.0,-2.0,both_sellHold DPS wl37.0 maxL2 dd95_0.006 thres_0.0,1.0,0.00055668756624,wf_is_pv2e_p2p,-4.0,4.0,2.0,sellHold,-1.0,sellHold,2.0,,,,
2016-04-29 16:30:00,99942.33,99884.67,-0.11237599003,0.0,0.00574834569775,0.0,-55.67,both_sellHold DPS wl38.0 maxL2 dd95_0.006 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-111.33,0.0,2.0,sellHold,-1.0,sellHold,2.0,0.53,20160501 07:43:01 EDT,,
2016-05-02 01:30:00,99979.09,99979.09,-0.00799984000001,0.0,0.00884651736929,0.0,-18.91,both_best_wf_is_pv3s_v2v DPS wl90.0 maxL2 dd95_0.009 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-18.91,0.0,1.0,buyHold,1.0,buyHold,1.0,-5.60851666667,20160502 01:24:23 EDT,99979.09,
2016-05-02 01:30:00,99979.09,99979.09,-0.00399996,0.0,0.00884651736929,0.0,-18.91,both_best_wf_is_pv3s_v2v DPS wl90.0 maxL2 dd95_0.009 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-18.91,0.0,1.0,buyHold,1.0,buyHold,1.0,-0.11995,20160502 01:29:52 EDT,99979.09,
2016-05-02 08:00:00,99909.2,99909.2,-0.171075184623,0.0,0.00384481582077,0.0,-88.8,both_sellHold DPS wl17.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-88.8,0.0,1.0,sellHold,-1.0,sellHold,1.0,-17.5143166667,20160502 07:42:29 EDT,,
2016-05-02 08:30:00,99990.16,99980.32,-0.0315124210554,0.0,0.00186500961648,0.0,-7.84,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-15.68,0.0,2.0,sellHold,-1.0,sellHold,2.0,0.0679166666667,20160502 08:30:04 EDT,,
2016-05-02 09:30:00,99984.12,99968.25,-0.0292279265986,0.0,0.00309276856414,0.0,-13.88,both_sellHold DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-27.75,0.0,2.0,sellHold,-1.0,sellHold,2.0,-16.6110333333,20160502 09:13:23 EDT,,
2016-05-02 10:00:00,99990.17,99980.35,-0.0190727398927,0.0,0.00484543711852,0.0,-7.83,both_buyHold DPS wl27.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-15.65,0.0,2.0,buyHold,1.0,buyHold,2.0,-3.22225,20160502 09:56:46 EDT,,
2016-05-02 19:00:00,99997.64,99995.29,-0.00467828655987,0.0,0.00417028828114,0.0,-0.36,both_buyHold DPS wl20.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-0.71,0.0,2.0,buyHold,1.0,buyHold,2.0,-21.6493333333,20160502 18:38:21 EDT,,
2016-05-02 20:00:00,100001.71,100007.42,0.00696782875733,0.0,0.0046625240412,2.00007424467,3.71,both_sellHold DPS wl25.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,11.42,0.0,2.0,sellHold,-1.0,sellHold,2.0,-2.94865,20160502 19:57:03 EDT,,
