dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity
2016-05-04,73124.55,86129.9,-0.00520577619767,0.0,0.00493435163795,0.0,778.39,both_zigZag_VotingSoft DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.00176424970919,wf_is_pv3s_v2v,916.83,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f80_is86,1.0,,,
2016-05-05,72995.54,85977.95,-0.00851007079286,0.0,0.00527504378717,0.0,-129.01,both_gainAhead_PCA10_VotingSoft DPS wl32.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-151.95,0.0,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is66,1.0,16.15,20160507 21:11:52 EDT,
2016-05-05 00:00:00,82513.29,89252.39,-0.00571907254476,0.0,0.00527504378717,0.0,-145.83,both_gainAhead_PCA10_VotingSoft DPS wl32.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-157.74,0.0,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is66,1.0,79.67,20160507 23:47:38 EDT,
2016-05-05 00:00:00,98519.92,98920.29,-0.00379652053285,0.0,0.00493435163795,3.94095448399,-178.07,both_gainAhead_VotingSoft DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-178.79,3.95696977908,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f80_is86,1.0,139.34,20160508 05:44:43 EDT,
2016-05-06 00:00:00,94618.57,96736.43,-0.00377606237231,0.0,0.00493435163795,0.0,190.06,both_zigZag_VotingSoft DPS wl28.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,194.31,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f80_is86,1.0,4837.86791667,20160509 08:37:52 EDT,
2016-05-09 00:00:00,77367.31,82409.46,0.000259424474458,0.00463271255195,0.00456832192576,4.64231686758,-408.85,both_gainAhead_PCA10_VotingSoft DPS wl24.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-433.84,3.29651012989,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is49,1.0,1590.51815,20160510 02:30:31 EDT,
2016-05-10 00:00:00,74110.48,83545.03,0.0078500545819,0.00320697133402,0.00336219390073,0.0,-1079.22,both_gainAhead_PCA10_GNBayes DPS wl13.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,-603.9,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is60,1.0,1482.16503333,20160511 00:42:09 EDT,
2016-05-11 00:00:00,111425.71,110521.99,-0.0160071070256,0.0,0.00884651736929,0.0,556.4,both_worst_wf_is_all DPS wl90.0 maxL2 dd95_0.009 thres_0.0,1.0,0.0,wf_is_short,551.88,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f59_is61,1.0,1792.43968333,20160512 05:52:26 EDT,79766.83
2016-05-11 00:00:00,147820.31,127583.99,0.066490558928,0.0145661959003,0.0125108648434,0.0,1468.92,both_worst_wf_is_pv2e_p2p DPS wl180.0 maxL2 dd95_0.013 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,637.08,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f67_is63,1.0,1957.61891667,20160512 08:37:37 EDT,96572.38
2016-05-12 00:00:00,116890.85,111544.39,-0.0086136012299,0.0,0.00361157559257,0.0,626.83,both_zigZag_PCA10_VotingSoft DPS wl15.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,598.16,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is23,1.0,1453.34615,20160513 00:13:20 EDT,
2016-05-12 00:00:00,113263.34,109628.95,0.0285409094593,6e-05,0.00161514570617,0.0,1208.27,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,587.89,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f61_is19,1.0,1947.41975,20160513 08:27:25 EDT,
2016-05-13 00:00:00,117372.06,111284.4,-0.00580631590501,0.0,0.00131876094679,2.34748824644,-1660.02,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-780.32,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f56_is9,1.0,5.8,20160514 03:13:53 EDT,
