dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp
2016-05-04,98215.62,98932.49,0.00236285324922,0.00352914083022,0.00456832192576,0.0,-15.25,both_gainAhead_PCA10_GNBayes DPS wl24.0 maxL2 dd95_0.005 thres_0.0,2.0,0.00106852275237,wf_is_short,-7.68,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is37,1.0,,
2016-05-05,98005.73,98826.78,0.0014423110396,0.00363588804553,0.00456832192576,0.0,-209.89,both_gainAhead_PCA10_GNBayes DPS wl24.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_short,-105.71,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is38,1.0,14.9,20160507 21:10:22 EDT
2016-05-05 00:00:00,104730.71,102405.72,-0.000866030979074,0.0,0.00361157559257,4.18939594679,-116.22,both_zigZag_VotingSoft DPS wl15.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-113.64,4.09639262925,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f67_is48,1.0,75.2,20160507 23:42:50 EDT
2016-05-06 00:00:00,102219.53,101162.26,0.00452610780446,0.00257022254731,0.00361157559257,0.0,124.19,both_zigZag_VotingSoft DPS wl15.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,61.49,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f67_is48,1.0,4882.83276667,20160509 09:22:49 EDT
2016-05-09 00:00:00,100972.52,100837.23,0.000783290790651,0.00235970522244,0.00361157559257,8.07844757607,53.27,both_zigZag_PCA10_VotingSoft DPS wl15.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,26.61,4.03365037338,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is48,1.0,1566.49166667,20160510 02:06:29 EDT
2016-05-10 00:00:00,103785.71,101830.36,0.00280762152938,5.09503408127e-05,0.00228416096288,0.0,16.07,both_gainAhead_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,7.89,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is29,1.0,1404.06346667,20160510 23:24:03 EDT
2016-05-11 00:00:00,103314.48,101839.76,-0.00633655237959,0.0,0.00246717581898,0.0,-7.73,both_gainAhead_GNBayes DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,-7.62,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f59_is8,1.0,1802.12483333,20160512 06:02:07 EDT
2016-05-12 00:00:00,103321.83,102097.91,-0.00583415239891,0.0,0.00263752189358,0.0,47.15,both_gainAhead_GNBayes DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,46.59,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f66_is43,1.0,1426.99011667,20160512 23:46:59 EDT
2016-05-13 00:00:00,103703.35,102254.23,-0.00400855535461,0.0,0.00279751442472,0.0,-15.53,both_gainAhead_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,-15.32,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f66_is44,1.0,90.61,20160514 04:50:57 EDT
2016-05-13 00:00:00,101994.51,101109.24,-0.00281354247114,0.0,0.00279751442472,0.0,15.27,both_zigZag_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,15.14,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f69_is35,1.0,2.86,20160515 05:25:07 EDT
2016-05-17 00:00:00,101994.51,101109.24,-0.000416531804026,0.0,0.00161514570617,0.0,38.95,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,38.61,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f69_is35,1.0,1495.75695,20160518 00:55:45 EDT
2016-05-18 00:00:00,101916.62,101032.03,-0.00454136097318,0.0,0.00186500961648,0.0,-77.89,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-77.21,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f69_is35,1.0,1587.11688333,20160519 02:27:07 EDT
2016-05-19 00:00:00,101908.96,101024.43,-0.00400730405287,0.0,0.00208514414057,0.0,-22.91,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-22.71,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f69_is35,1.0,1405.5006,20160519 23:25:30 EDT
