dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,RS_netEquity,safef,cycleTime,timestamp,v4.4_system,mrThreshold
2016-05-12 00:00:00,107864.32,115505.49,0.0449908167053,0.0,0.00114208048144,0.0,3404.72,both_zigZag_PCA10_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,1852.19,0.0,1.0,zigZag_PCA10_GNBayes,-1.0,zigZag_PCA10_f10_is9,,1.0,1374.82383333,20160512 22:54:49 EDT,,
2016-05-13 00:00:00,124320.16,115621.42,-0.0058880031237,0.0,0.00131876094679,0.0,-2219.17,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,-2063.89,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f55_is10,,1.0,94.43,20160514 04:48:19 EDT,,
2016-05-13 00:00:00,117439.89,111094.35,0.0722815342996,0.0001,0.00131876094679,9.39594285214,3970.52,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,1910.36,4.44395173596,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is17,,1.0,5.72,20160514 21:58:27 EDT,,
2016-05-17 00:00:00,124380.51,112065.76,0.103891368402,5.09993400043e-05,0.00186500961648,9.95123702219,3301.44,both_gainAhead_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,1507.35,4.4828096627,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f66_is30,,1.0,1483.06711667,20160518 00:43:04 EDT,,
2016-05-18 00:00:00,127387.14,113420.29,0.0334589307002,0.0,0.00114208048144,10.1917868688,3006.63,both_gainAhead_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,1354.53,4.53699307833,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f66_is30,,1.0,1590.86593333,20160519 02:30:51 EDT,,
2016-05-19 00:00:00,121858.86,113377.1,0.0357794077824,0.0,0.00114208048144,0.0,3080.16,both_zigZag_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,1451.23,0.0,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f56_is14,,1.0,1407.28983333,20160519 23:27:17 EDT,,
2016-05-20 00:00:00,130886.92,115072.05,-0.00571569549854,0.0,0.00131876094679,5.23568629228,-870.64,both_gainAhead_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-765.44,4.60306610509,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f59_is13,,1.0,9.14,20160522 07:00:47 EDT,,
2016-05-23 00:00:00,135154.42,117377.45,0.00147239163089,0.00130872160821,0.00161514570617,8.1097517612,2138.72,both_gainAhead_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,1859.72,4.69528591646,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f67_is30,,1.0,1244.79715,20160523 20:44:47 EDT,,
2016-05-24 00:00:00,132172.56,117160.24,0.00806001740352,8e-05,0.00131876094679,0.0,530.6,both_gainAhead_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,235.64,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f67_is30,,1.0,1581.11701667,20160525 02:21:07 EDT,,
2016-05-25 00:00:00,136421.75,118306.38,0.03246605844,6e-05,0.00161514570617,10.9146132089,2617.81,both_gainAhead_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,1146.14,4.7324444275,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f67_is30,,1.0,1495.08076667,20160526 00:55:04 EDT,,
2016-05-26 00:00:00,137590.19,118435.53,-0.0118023459839,0.0,0.00131876094679,8.25590670097,-763.87,both_gainAhead_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-329.05,4.73761064304,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f67_is30,,1.0,1405.40803333,20160526 23:25:24 EDT,,
2016-05-27 00:00:00,131525.75,114375.98,-0.00448593852672,0.0,0.00208514414057,0.0,-4142.8,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-3602.62,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f67_is30,,1.0,30.21,20160528 05:08:13 EDT,,
2016-05-27 00:00:00,104541.28,104695.88,0.0835794237713,0.00519866499027,0.00208514414057,2.09086747532,3095.67,both_gainAhead_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,3102.28,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f62_is20,,1.0,3.04,20160528 18:13:19 EDT,,
2016-05-31 00:00:00,115463.41,108411.89,0.0124013245247,0.0,0.00114208048144,9.2378118573,3996.88,both_gainAhead_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,1909.52,4.33664891621,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f85_is7,,1.0,1712.59978333,20160601 04:32:35 EDT,,
2016-06-01 00:00:00,113876.26,108162.26,0.017357046671,9.99960000802e-05,0.00131876094679,0.0,959.74,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,457.72,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f85_is8,,1.0,1285.68671667,20160601 21:25:41 EDT,,
2016-06-01 00:00:00,112532.79,106664.78,0.0172736955768,0.000101996700088,0.00131876094679,0.0,948.41,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,451.38,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f85_is8,,1.0,1901.96618333,20160602 07:41:57 EDT,,
2016-06-02 00:00:00,108413.23,105571.62,0.0252091866775,5.99994600036e-05,0.00161514570617,0.0,1063.92,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,520.57,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is31,,1.0,1218.6744,20160602 20:18:40 EDT,,
2016-06-03 00:00:00,107850.84,105443.67,-0.0147967765226,0.0,0.00186500961648,2.1570598426,-859.83,both_zigZag_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-417.6,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is31,,1.0,1256.36875,20160603 20:56:22 EDT,,
2016-06-06 00:00:00,103623.85,103097.4,0.00815274719133,0.00503196909138,0.00208514414057,2.0725184703,778.6,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,776.69,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is31,,1.0,1232.34856667,20160606 20:32:20 EDT,,
2016-06-07 00:00:00,102701.94,101944.98,0.0395374610602,0.00398083722859,0.00228416096288,0.0,1328.19,both_zigZag_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,663.49,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is31,,1.0,1228.70868333,20160607 20:28:42 EDT,,
2016-06-08 00:00:00,103028.05,102145.3,0.0465945225888,0.00341830793969,0.00246717581898,0.0,1258.46,both_zigZag_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,627.67,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is31,,1.0,1335.51528333,20160608 22:15:30 EDT,,
2016-06-09 00:00:00,103064.93,101707.37,0.0458763812505,0.00299636199713,0.00263752189358,0.0,133.16,both_zigZag_PCA10_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,65.74,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is31,,1.0,1239.5557,20160609 20:39:33 EDT,,
2016-06-09 00:00:00,103064.93,101707.37,0.0334415234741,0.00394774375599,0.00263752189358,0.0,133.16,both_gainAhead_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,65.74,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f99_is31,,1.0,1304.86271667,20160609 21:44:51 EDT,,
2016-06-09 00:00:00,103064.93,101707.37,0.0439961718999,0.00299634850352,0.00263752189358,0.0,133.16,both_gainAhead_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,65.74,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f99_is31,,1.0,1344.93285,20160609 22:24:55 EDT,,
2016-06-09 00:00:00,103064.93,101707.37,0.032422008724,0.00299636199713,0.00263752189358,0.0,133.16,both_gainAhead_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,65.74,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f99_is31,,1.0,1453.17135,20160610 00:13:10 EDT,,
2016-06-10 00:00:00,103807.55,102275.18,0.0511532708242,0.0,0.00279751442472,0.0,334.43,both_gainAhead_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,165.01,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f99_is31,,1.0,10.25,20160611 22:17:27 EDT,,
2016-06-13 00:00:00,105986.91,105019.09,0.000318985091963,0.00274545869789,0.0029488391231,6.35959644046,334.56,both_zigZag_PCA10_VotingSoft DPS wl10.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,333.6,4.20093176392,1.0,zigZag_PCA10_VotingSoft,-1.0,,,1.0,1231.82941667,20160613 20:31:49 EDT,zigZag_PCA10_f10_is6,
2016-06-13 00:00:00,104796.79,103776.88,0.000965013197152,0.00755330606151,0.0029488391231,6.28818454637,330.81,both_zigZag_PCA10_VotingSoft DPS wl10.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,329.66,4.15124113559,1.0,zigZag_PCA10_VotingSoft,-1.0,,,1.0,1843.43173333,20160614 06:43:25 EDT,zigZag_PCA10_f10_is6,
