symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
USDCHF,open,long,2.0,0.0,0.96517,0.0,-2.0,0.0,2.0,175.0,,,,,USDCHF,,20160418 06:36:57 EST,20160418 06:36:57 EST,2.0,CHF,233.64016,235.64016,101049.9889,1707246.8779,101719.9889
EURCHF,open,long,2.0,0.0,1.09101,0.0,-2.0,0.0,2.0,176.0,,,,,EURCHF,,20160418 06:37:45 EST,20160418 06:37:45 EST,2.0,CHF,131.40796,133.40796,101060.56458,1707246.8779,101734.56458
GBPUSD,open,long,2.0,0.0,1.42764,0.0,-2.0,0.0,2.0,193.0,,,,,GBPUSD,,20160418 18:34:21 EST,20160418 18:34:21 EST,2.0,USD,186.8,188.8,101143.91382,1707246.8779,101885.91382
EURGBP,open,short,2.0,0.0,0.79232,0.0,-2.0,0.0,2.0,194.0,,,,,EURGBP,,20160418 18:37:57 EST,20160418 18:37:57 EST,-2.0,GBP,-359.4207,-357.4207,101013.53302,1707246.8779,101759.53302
EURUSD,open,short,2.0,0.0,1.12293,0.0,-2.0,0.0,2.0,195.0,,,,,EURUSD,,20160422 12:38:54 EST,20160422 12:38:54 EST,-2.0,USD,-4.6,-2.6,100862.73302,1707246.8779,101612.73302
AUDUSD,open,short,2.0,0.0,0.77074,0.0,-2.0,0.0,2.0,196.0,,,,,AUDUSD,,20160422 12:39:43 EST,20160422 12:39:43 EST,-2.0,USD,9.2,11.2,100859.33302,1707246.8779,101613.33302
USDCAD,open,long,2.0,0.0,1.27028,0.0,-2.0,0.0,2.0,197.0,,,,,USDCAD,,20160422 12:40:22 EST,20160422 12:40:22 EST,2.0,CAD,-53.86956,-51.86956,101139.79346,1707246.8779,101897.79346
NZDUSD,open,short,2.0,0.0,0.68502,0.0,-2.0,0.0,2.0,198.0,,,,,NZDUSD,,20160422 12:41:40 EST,20160422 12:41:40 EST,-2.0,USD,4.0,6.0,100967.19346,1707246.8779,101729.19346
EURJPY,open,long,2.0,0.0,125.514,0.0,-2.0,0.0,2.0,206.0,,,,,EURJPY,,20160424 00:05:55 EST,20160424 00:05:55 EST,2.0,JPY,-5.52,-3.52,105106.21746,1707246.8779,105900.21746
USDJPY,open,long,2.0,0.0,111.831,0.0,-2.0,0.0,2.0,207.0,,,,,USDJPY,,20160424 00:07:19 EST,20160424 00:07:19 EST,2.0,JPY,-12.208,-10.208,105092.00946,1707246.8779,105890.00946
NZDJPY,open,long,2.0,0.0,76.631,0.0,-2.0,0.0,2.0,208.0,,,,,NZDJPY,,20160424 00:07:30 EST,20160424 00:07:30 EST,2.0,JPY,-12.912,-10.912,105077.09746,1707246.8779,105879.09746
CADJPY,open,long,2.0,0.0,88.279,0.0,-2.0,0.0,2.0,209.0,,,,,CADJPY,,20160424 00:07:43 EST,20160424 00:07:43 EST,2.0,JPY,-23.648,-21.648,105051.44946,1707246.8779,105857.44946
CHFJPY,open,long,2.0,0.0,114.345,0.0,-2.0,0.0,2.0,210.0,,,,,CHFJPY,,20160424 00:08:03 EST,20160424 00:08:03 EST,2.0,JPY,-44.416,-42.416,105005.03346,1707246.8779,105815.03346
GBPJPY,open,long,2.0,0.0,161.138,0.0,-2.0,0.0,2.0,211.0,,,,,GBPJPY,,20160424 00:08:16 EST,20160424 00:08:16 EST,2.0,JPY,-51.808,-49.808,104951.22546,1707246.8779,105765.22546
AUDJPY,open,long,2.0,0.0,86.227,0.0,-2.0,0.0,2.0,212.0,,,,,AUDJPY,,20160424 00:08:28 EST,20160424 00:08:28 EST,2.0,JPY,-16.432,-14.432,104932.79346,1707246.8779,105750.79346
