symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,currency,unr_pnl,pure_unr_pnl,balance,margin_available,purebalance
EURUSD,open,short,2.0,0.0,1.12302,0.0,-2.0,0.0,2.0,168.0,,,,,EURUSD,,20160422 12:39:09 EST,20160422 12:39:09 EST,-2.0,USD,-6.4,-4.4,98790.1722399,1934638.8421,100684.172239
GBPUSD,open,long,2.0,0.0,1.4385,0.0,-2.0,0.0,2.0,169.0,,,,,GBPUSD,,20160422 12:39:17 EST,20160422 12:39:17 EST,2.0,USD,-30.4,-28.4,98788.1722399,1905868.8421,100684.172239
USDCHF,open,long,2.0,0.0,0.97773,0.0,-2.0,0.0,2.0,170.0,,,,,USDCHF,,20160422 12:39:40 EST,20160422 12:39:40 EST,2.0,CHF,-20.62448,-18.62448,98786.1722399,1886075.67598,100684.172239
AUDUSD,open,short,2.0,0.0,0.77076,0.0,-2.0,0.0,2.0,172.0,,,,,AUDUSD,,20160422 12:40:19 EST,20160422 12:40:19 EST,-2.0,USD,8.8,10.8,98782.1722399,1851018.87598,100684.172239
USDCAD,open,long,2.0,0.0,1.27038,0.0,-2.0,0.0,2.0,173.0,,,,,USDCAD,,20160422 12:40:34 EST,20160422 12:40:34 EST,2.0,CAD,-55.36436,-53.36436,98780.1722399,1832029.23574,100684.172239
EURGBP,open,short,2.0,0.0,0.7806,0.0,-2.0,0.0,2.0,177.0,,,,,EURGBP,,20160422 12:42:31 EST,20160422 12:42:31 EST,-2.0,GBP,-28.7995,-26.7995,98772.1722399,1761002.18974,100684.172239
EURCHF,open,long,2.0,0.0,1.09822,0.0,-2.0,0.0,2.0,179.0,,,,,EURCHF,,20160422 12:43:07 EST,20160422 12:43:07 EST,2.0,CHF,-14.55128,-12.55128,98768.1722399,1710518.12806,100684.172239
NZDUSD,open,short,2.0,0.0,0.68501,0.0,-2.0,0.0,2.0,181.0,,,,,NZDUSD,,20160422 12:43:33 EST,20160422 12:43:33 EST,-2.0,USD,4.2,6.2,98764.1722399,1681682.45606,100684.172239
EURJPY,open,long,2.0,0.0,125.514,0.0,-2.0,0.0,2.0,189.0,,,,,EURJPY,,20160424 00:00:26 EST,20160424 00:00:26 EST,2.0,JPY,-5.52,-3.52,98936.1562399,1681682.45606,100888.156239
NZDJPY,open,long,2.0,0.0,76.631,0.0,-2.0,0.0,2.0,190.0,,,,,NZDJPY,,20160424 00:07:19 EST,20160424 00:07:19 EST,2.0,JPY,-12.912,-10.912,98921.2442399,1681682.45606,100877.244239
CADJPY,open,long,2.0,0.0,88.279,0.0,-2.0,0.0,2.0,191.0,,,,,CADJPY,,20160424 00:07:30 EST,20160424 00:07:30 EST,2.0,JPY,-23.648,-21.648,98895.5962399,1681682.45606,100855.596239
CHFJPY,open,long,2.0,0.0,114.345,0.0,-2.0,0.0,2.0,192.0,,,,,CHFJPY,,20160424 00:07:42 EST,20160424 00:07:42 EST,2.0,JPY,-44.416,-42.416,98849.1802399,1681682.45606,100813.180239
USDJPY,open,long,2.0,0.0,111.831,0.0,-2.0,0.0,2.0,193.0,,,,,USDJPY,,20160424 00:08:36 EST,20160424 00:08:36 EST,2.0,JPY,-12.208,-10.208,98834.9722399,1681682.45606,100802.972239
GBPJPY,open,long,2.0,0.0,161.138,0.0,-2.0,0.0,2.0,194.0,,,,,GBPJPY,,20160424 00:08:47 EST,20160424 00:08:47 EST,2.0,JPY,-51.808,-49.808,98781.1642399,1681682.45606,100753.164239
AUDJPY,open,long,2.0,0.0,86.227,0.0,-2.0,0.0,2.0,195.0,,,,,AUDJPY,,20160424 00:08:54 EST,20160424 00:08:54 EST,2.0,JPY,-16.432,-14.432,98762.7322399,1681682.45606,100738.732239
