symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
EURUSD,EUR,,-20000.0,-20000.0,1.12302,1.12302,-22460.4,2.0,2.4,-2.0,0.0,Paper,USD,4.4
GBPUSD,GBP,,20000.0,20000.0,1.4385,1.4385,-28770.0,2.0,-30.4,-2.0,0.0,Paper,USD,-28.4
USDCHF,USD,,20000.0,20000.0,0.97773,0.97773,-19793.16612,2.0,-20.62448,-2.0,0.0,Paper,CHF,-18.62448
AUDUSD,AUD,,-20000.0,-20000.0,0.77076,0.77076,-15415.2,2.0,-12.8,-2.0,0.0,Paper,USD,-10.8
USDCAD,USD,,20000.0,20000.0,1.27038,1.27038,-18989.64024,2.0,-55.36436,-2.0,0.0,Paper,CAD,-53.36436
EURGBP,EUR,,-20000.0,-20000.0,0.7806,0.7806,-22020.726,2.0,24.7995,-2.0,0.0,Paper,GBP,26.7995
EURCHF,EUR,,20000.0,20000.0,1.09822,1.09822,-22232.36568,2.0,-14.55128,-2.0,0.0,Paper,CHF,-12.55128
NZDUSD,NZD,,-20000.0,-20000.0,0.68501,0.68501,-13700.2,2.0,-8.2,-2.0,0.0,Paper,USD,-6.2
EURJPY,EUR,,20000.0,20000.0,125.514,125.514,0.0,2.0,-5.52,15.12,21.12,Paper,JPY,-3.52
NZDJPY,NZD,,20000.0,20000.0,76.631,76.631,0.0,2.0,-12.912,2.624,8.624,Paper,JPY,-10.912
CADJPY,CAD,,20000.0,20000.0,88.279,88.279,0.0,2.0,-23.648,21.456,27.456,Paper,JPY,-21.648
CHFJPY,CHF,,20000.0,20000.0,114.345,114.345,0.0,2.0,-44.416,-49.472,-43.472,Paper,JPY,-42.416
USDJPY,USD,,20000.0,20000.0,111.831,111.831,0.0,2.0,-12.208,14.24,20.24,Paper,JPY,-10.208
GBPJPY,GBP,,20000.0,20000.0,161.138,161.138,0.0,2.0,-51.808,2.976,8.976,Paper,JPY,-49.808
AUDJPY,AUD,,20000.0,20000.0,86.227,86.227,0.0,2.0,-16.432,5.616,11.616,Paper,JPY,-14.432
