symbol,sym,exp,qty,openqty,price,openprice,value,avg_cost,unr_pnl,real_pnl,PurePL,accountid,currency,pure_unr_pnl
USDCHF,USD,,20000.0,20000.0,0.96525,0.96525,0.0,2.0,232.02064,-0.712160000002,7.28784,Paper,CHF,234.02064
USDCAD,USD,,20000.0,20000.0,1.2675,1.2675,-18946.59,2.0,-12.31412,-2.0,0.0,Paper,CAD,-10.31412
NZDUSD,NZD,,-20000.0,-20000.0,0.68235,0.68235,-13647.0,2.0,-61.4,-2.0,0.0,Paper,USD,-59.4
EURUSD,EUR,,-20000.0,-20000.0,1.12112,1.12112,89824.0,2.0,-35.6,-140.4,-134.4,Paper,USD,-33.6
GBPUSD,GBP,,20000.0,20000.0,1.443,1.443,-28860.0,2.0,-120.4,-2.0,0.0,Paper,USD,-118.4
EURCHF,EUR,,20000.0,20000.0,1.0988,1.0988,0.0,2.0,-26.2928,-460.50408,-340.50408,Paper,CHF,-24.2928
EURGBP,EUR,,-20000.0,-20000.0,0.7782,0.7782,0.0,2.0,-42.9045,-19.9962,22.0038,Paper,GBP,-40.9045
AUDUSD,AUD,,-20000.0,-20000.0,0.77075,0.77075,15415.0,2.0,-13.0,-216.0,-192.0,Paper,USD,-11.0
NZDJPY,NZD,,20000.0,20000.0,76.631,76.631,0.0,2.0,-12.912,-27.824,-21.824,Paper,JPY,-10.912
CADJPY,CAD,,20000.0,20000.0,88.279,88.279,0.0,2.0,-23.648,669.984,775.984,Paper,JPY,-21.648
CHFJPY,CHF,,20000.0,20000.0,114.345,114.345,0.0,2.0,-44.416,126.832,172.832,Paper,JPY,-42.416
USDJPY,USD,,20000.0,20000.0,111.831,111.831,0.0,2.0,-12.208,-26.416,-20.416,Paper,JPY,-10.208
GBPJPY,GBP,,20000.0,20000.0,161.138,161.138,0.0,2.0,-51.808,690.96,784.96,Paper,JPY,-49.808
EURJPY,EUR,,20000.0,20000.0,125.514,125.514,0.0,2.0,-5.52,385.424,391.424,Paper,JPY,-3.52
AUDJPY,AUD,,20000.0,20000.0,86.227,86.227,0.0,2.0,-16.432,-34.864,-28.864,Paper,JPY,-14.432
