PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
56,1457327534,2016-03-04 01:01:00,1457071260,113.88400,,forex,long,,1457079580,closed,2016-03-03 23:31:54,113.56350,100,,2,2,0,USDJPY,,100983393,
-10,1457463728,,,112.59400,,forex,short,2016-03-08 14:02:08,1457463728,open,2016-03-08 14:01:28,112.62100,10000,,0,2,,USDJPY,,101086201,
44,1457367140,2016-03-04 12:02:06,1457110926,113.82950,,forex,long,,1457089305,closed,2016-03-04 05:01:40,113.70300,10000,,4,4,,USDJPY,,100987688,
-5,1457186794,2016-03-03 05:01:47,1456999307,113.95900,,forex,long,,1457079580,closed,2016-03-03 02:41:42,113.98850,10000,,2,2,,USDJPY,,100962533,
11,1457478117,2016-03-08 12:01:14,1457456474,112.536,,forex,long,,1457452936,closed,2016-03-08 11:01:25,112.47500,10000,,2,2,,USDJPY,,101081201,
-43,1457478117,2016-03-08 03:01:34,1457424094,112.868,,forex,long,,1457420747,closed,2016-03-08 00:40:48,113.03133,10000,,3,3,,USDJPY,,101066602,
-49,1457323989,2016-03-03 23:30:19,1457065819,113.60733,,forex,short,,1457079580,closed,2016-03-03 10:01:20,113.51500,10000,,6,6,,USDJPY,,100968871,
186,1457478117,2016-03-08 00:40:47,1457415647,113.148,,forex,short,,1457118371,closed,2016-03-04 14:02:34,114.19900,10000,,2,2,,USDJPY,,100998859,
-4,1457371106,2016-03-04 13:01:41,1457114501,113.94600,,forex,short,,1457111153,closed,2016-03-04 12:02:17,113.92300,10000,,2,2,,USDJPY,,100996213,
-2,1457186794,2016-03-03 07:01:20,1457006480,114.00400,,forex,short,,1457079580,closed,2016-03-03 06:17:12,113.99300,10000,,2,2,,USDJPY,,100964231,
-5,1457478117,2016-03-08 11:01:19,1457452879,112.868333333333,,forex,short,,1457424623,closed,2016-03-08 03:01:45,112.85950,10000,,6,6,,USDJPY,,101071119,
-7,1457478117,2016-03-08 13:01:17,1457460077,112.572,,forex,short,,1457456517,closed,2016-03-08 12:01:19,112.53400,10000,,2,2,,USDJPY,,101083007,
9,1457186794,2016-03-03 06:17:12,1457003832,113.99300,,forex,long,,1457079580,closed,2016-03-03 06:03:50,113.94200,10000,,2,2,,USDJPY,,100964098,
-83,1457186794,2016-03-03 10:01:19,1457017279,113.53000,,forex,long,,1457079580,closed,2016-03-03 07:01:20,114.00200,10000,,2,2,,USDJPY,,100964537,
3,1457186794,2016-03-03 06:03:49,1457003029,113.94500,,forex,short,,1457079580,closed,2016-03-03 05:01:48,113.96000,10000,,2,2,,USDJPY,,100963638,
44,1457374406,2016-03-04 14:02:23,1457118143,114.19800,,forex,long,,1457114730,closed,2016-03-04 13:01:52,113.94900,10000,,2,2,,USDJPY,,100997402,
9,1457478117,2016-03-08 14:01:22,1457463682,112.618,,forex,long,,1457460129,closed,2016-03-08 13:01:23,112.56800,10000,,2,2,,USDJPY,,101084691,
5,1457330731,2016-03-04 02:01:34,1457074894,113.85600,,forex,short,,1457079580,closed,2016-03-04 01:01:01,113.88400,10000,,2,2,,USDJPY,,100984856,
10,1457334724,2016-03-04 03:01:30,1457078490,113.91200,,forex,long,,1457079580,closed,2016-03-04 02:01:44,113.85600,10000,,2,2,,USDJPY,,100986310,
36,1457341920,2016-03-04 05:01:29,1457085689,113.70800,,forex,short,,1457079580,closed,2016-03-04 03:01:41,113.91300,10000,,2,2,,USDJPY,,100986723,
