trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,underlying
101218006,3,1457983583,,,1.32652,,forex,short,2016-03-14 15:26:23,1457983583,open,2016-03-14 15:23:48,1.32665,10000,,0,3,,USDCAD,,
101217755,-29,1457982869,,,1.10949,,forex,short,2016-03-14 15:14:29,1457982869,open,2016-03-14 15:14:25,1.10945,10000,,0,3,,EURUSD,,
101217761,0,1457982885,,,0.98723,,forex,short,2016-03-14 15:14:45,1457982885,open,2016-03-14 15:14:42,0.98730,10000,,0,3,,USDCHF,,
101217537,-31,1457982333,,,126.27400,,forex,short,2016-03-14 15:05:33,1457982333,open,2016-03-14 15:05:30,126.27400,10000,,0,3,,EURJPY,,
101217929,-8,1457983182,,,113.79600,,forex,short,2016-03-14 15:19:42,1457983182,open,2016-03-14 15:19:38,113.79700,10000,,0,3,,USDJPY,,
101217767,15,1457982905,,,0.75060,,forex,long,2016-03-14 15:15:05,1457982905,open,2016-03-14 15:15:02,0.75061,10000,,0,3,,AUDUSD,,
101214338,42,1457976338,,,1.43188,,forex,short,2016-03-14 13:25:38,1457976338,open,2016-03-14 13:25:34,1.43189,10000,,0,3,,GBPUSD,,
101092815,44,1457484598,2016-03-08 21:02:30,1457488950,0.74261,,forex,short,2016-03-08 19:49:58,1457484598,closed,2016-03-08 19:49:55,0.74262,10000,,5,5,,AUDUSD,,
101092817,52,1457485347,2016-03-08 21:02:41,1457488961,1.34250,,forex,long,2016-03-08 20:02:27,1457485347,closed,2016-03-08 19:50:00,1.34201,10000,,5,5,,USDCAD,,
101092809,104,1457484582,2016-03-08 23:03:38,1457496218,1.42033,,forex,short,2016-03-08 19:49:42,1457484582,closed,2016-03-08 19:49:39,1.42033,10000,,5,5,,GBPUSD,,
