PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
-30,1457456519,2016-03-07 11:04:47,1457366687,1.09797,,forex,short,,1457363154,closed,2016-03-07 10:05:06,1.09497,10000,,1,1,,EURUSD,,101017159,
46,1457186796,2016-03-03 09:01:08,1457013668,0.99279,,forex,short,,1457073669,closed,2016-03-03 06:17:04,0.99740,10000,,1,1,,USDCHF,,100964216,
82,1457309150,2016-03-03 20:04:02,1457053442,1.09520,,forex,long,,1457073669,closed,2016-03-03 05:01:40,1.08698,10000,,1,1,,EURUSD,,100963619,
76,1457367143,2016-03-04 12:05:06,1457111106,1.42294,,forex,long,,1457093126,closed,2016-03-04 07:04:48,1.41530,10000,,1,1,,GBPUSD,,100988377,
9,1457456519,2016-03-08 00:40:23,1457415623,0.9935,,forex,short,,1457414104,closed,2016-03-07 22:08:58,0.99397,10000,,2,2,,USDCHF,,101063750,
-41,1457456519,2016-03-07 12:05:07,1457370307,0.99586,,forex,long,,1457363154,closed,2016-03-07 10:05:28,0.99998,10000,,1,1,,USDCHF,,101017182,
-64,1457456519,2016-03-07 11:05:00,1457366700,1.42096,,forex,short,,1457359540,closed,2016-03-07 09:05:00,1.41455,10000,,1,1,,GBPUSD,,101015058,
60,1457456519,2016-03-07 05:04:45,1457345085,1.415,,forex,short,,1457327134,closed,2016-03-07 00:04:56,1.42102,10000,,1,1,,GBPUSD,,101010769,
-20,1457186796,2016-03-03 10:01:09,1457017269,0.99076,,forex,long,,1457073669,closed,2016-03-03 09:01:09,0.99276,10000,,1,1,,USDCHF,,100966029,
15,1457316353,2016-03-03 22:01:21,1457060481,1.09374,,forex,short,,1457073669,closed,2016-03-03 20:04:04,1.09520,10000,,1,1,,EURUSD,,100980711,
32,1457334726,2016-03-04 04:04:34,1457082274,0.99417,,forex,long,,1457076474,closed,2016-03-04 02:04:58,0.99103,10000,,1,1,,USDCHF,,100986340,
3,1457186796,2016-03-03 06:03:47,1457003027,113.94500,,forex,short,,1457073669,closed,2016-03-03 05:01:42,113.96400,10000,,2,2,,USDJPY,,100963625,
5,1457186796,2016-03-03 06:17:03,1457003823,0.99740,,forex,long,,1457073669,closed,2016-03-03 05:09:07,0.99690,10000,,1,1,,USDCHF,,100963708,
84,1457186796,2016-03-03 10:01:06,1457017266,1.41440,,forex,long,,1457073669,closed,2016-03-03 07:01:12,1.40601,10000,,1,1,,GBPUSD,,100964522,
18,1457456519,2016-03-06 21:05:15,1457316315,1.33449,,forex,long,,1457118374,closed,2016-03-04 14:06:07,1.33203,10000,,1,1,,USDCAD,,100998972,
20,1457186796,2016-03-03 03:04:08,1456992248,1.08659,,forex,long,,1457073669,closed,2016-03-02 23:52:39,1.08592,10000,,3,3,,EURUSD,,100961305,
25,1457456519,2016-03-08 06:04:34,1457435074,0.99372,,forex,long,,1457431527,closed,2016-03-08 05:04:47,0.99128,10000,,1,1,,USDCHF,,101072729,
