,20171130,20171201,20171204,20171205,20171206,20171207,20171208,20171211,20171212,20171213,20171214,20171215,20171218,20171219,20171220,20171221,20171222,20171225,20171226,20171227,20171228,20171229,20180101,20180102,20180103
NQ trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 09:00,,,,,,,,,,,,,
PA open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
PA close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
PA trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
PL open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
PL close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
PL trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
RB open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,,,
RB close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,,,
RB trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,,,
ZS open,2017-11-29 20:00,2017-11-30 20:00,2017-12-03 20:00,2017-12-04 20:00,2017-12-05 20:00,2017-12-06 20:00,2017-12-07 20:00,2017-12-10 20:00,2017-12-11 20:00,2017-12-12 20:00,2017-12-13 20:00,2017-12-14 20:00,2017-12-17 20:00,2017-12-18 20:00,2017-12-19 20:00,2017-12-20 20:00,2017-12-21 20:00,2017-12-24 20:00,2017-12-25 20:00,2017-12-26 20:00,2017-12-27 20:00,2017-12-28 20:00,2017-11-30 20:00,2018-01-01 20:00,2018-01-02 20:00
ZS close,2017-11-30 14:20,2017-12-01 14:20,2017-12-04 14:20,2017-12-05 14:20,2017-12-06 14:20,2017-12-07 14:20,2017-12-08 14:20,2017-12-11 14:20,2017-12-12 14:20,2017-12-13 14:20,2017-12-14 14:20,2017-12-15 14:20,2017-12-18 14:20,2017-12-19 14:20,2017-12-20 14:20,2017-12-21 14:20,2017-12-22 14:20,2017-12-25 14:20,2017-12-26 14:20,2017-12-27 14:20,2017-12-28 14:20,2017-12-29 14:20,2018-01-01 14:20,2018-01-02 14:20,2018-01-03 14:20
ZS trigger,2017-11-30 14:05,2017-12-01 14:05,2017-12-04 14:05,2017-12-05 14:05,2017-12-06 14:05,2017-12-07 14:05,2017-12-08 14:05,2017-12-11 14:05,2017-12-12 14:05,2017-12-13 14:05,2017-12-14 14:05,2017-12-15 14:05,2017-12-18 14:05,2017-12-19 14:05,2017-12-20 14:05,2017-12-21 14:05,2017-12-22 14:05,2017-12-25 14:05,2017-12-26 14:05,2017-12-27 14:05,2017-12-28 14:05,2017-12-29 14:05,2018-01-01 14:05,2018-01-02 14:05,2018-01-03 14:05
CHF open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,,,,,,,,,,,,
CHF close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 10:16,,,,,,,,,,,,
CHF trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 09:46,,,,,,,,,,,,
SI open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
SI close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
SI trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
ZM open,2017-11-29 20:00,2017-11-30 20:00,2017-12-03 20:00,2017-12-04 20:00,2017-12-05 20:00,2017-12-06 20:00,2017-12-07 20:00,2017-12-10 20:00,2017-12-11 20:00,2017-12-12 20:00,2017-12-13 20:00,2017-12-14 20:00,2017-12-17 20:00,2017-12-18 20:00,2017-12-19 20:00,2017-12-20 20:00,2017-12-21 20:00,2017-12-24 20:00,2017-12-25 20:00,2017-12-26 20:00,2017-12-27 20:00,2017-12-28 20:00,2017-11-30 20:00,2018-01-01 20:00,2018-01-02 20:00
ZM close,2017-11-30 14:20,2017-12-01 14:20,2017-12-04 14:20,2017-12-05 14:20,2017-12-06 14:20,2017-12-07 14:20,2017-12-08 14:20,2017-12-11 14:20,2017-12-12 14:20,2017-12-13 14:20,2017-12-14 14:20,2017-12-15 14:20,2017-12-18 14:20,2017-12-19 14:20,2017-12-20 14:20,2017-12-21 14:20,2017-12-22 14:20,2017-12-25 14:20,2017-12-26 14:20,2017-12-27 14:20,2017-12-28 14:20,2017-12-29 14:20,2018-01-01 14:20,2018-01-02 14:20,2018-01-03 14:20
ZM trigger,2017-11-30 14:05,2017-12-01 14:05,2017-12-04 14:05,2017-12-05 14:05,2017-12-06 14:05,2017-12-07 14:05,2017-12-08 14:05,2017-12-11 14:05,2017-12-12 14:05,2017-12-13 14:05,2017-12-14 14:05,2017-12-15 14:05,2017-12-18 14:05,2017-12-19 14:05,2017-12-20 14:05,2017-12-21 14:05,2017-12-22 14:05,2017-12-25 14:05,2017-12-26 14:05,2017-12-27 14:05,2017-12-28 14:05,2017-12-29 14:05,2018-01-01 14:05,2018-01-02 14:05,2018-01-03 14:05
ZT open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
ZT close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
ZT trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
ZN open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
ZN close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
ZN trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
ZB open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
ZB close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
ZB trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
ZW open,2017-11-29 20:00,2017-11-30 20:00,2017-12-03 20:00,2017-12-04 20:00,2017-12-05 20:00,2017-12-06 20:00,2017-12-07 20:00,2017-12-10 20:00,2017-12-11 20:00,2017-12-12 20:00,2017-12-13 20:00,2017-12-14 20:00,2017-12-17 20:00,2017-12-18 20:00,2017-12-19 20:00,2017-12-20 20:00,2017-12-21 20:00,2017-12-24 20:00,2017-12-25 20:00,2017-12-26 20:00,2017-12-27 20:00,2017-12-28 20:00,2017-11-30 20:00,2018-01-01 20:00,2018-01-02 20:00
ZW close,2017-11-30 14:20,2017-12-01 14:20,2017-12-04 14:20,2017-12-05 14:20,2017-12-06 14:20,2017-12-07 14:20,2017-12-08 14:20,2017-12-11 14:20,2017-12-12 14:20,2017-12-13 14:20,2017-12-14 14:20,2017-12-15 14:20,2017-12-18 14:20,2017-12-19 14:20,2017-12-20 14:20,2017-12-21 14:20,2017-12-22 14:20,2017-12-25 14:20,2017-12-26 14:20,2017-12-27 14:20,2017-12-28 14:20,2017-12-29 14:20,2018-01-01 14:20,2018-01-02 14:20,2018-01-03 14:20
ZW trigger,2017-11-30 14:05,2017-12-01 14:05,2017-12-04 14:05,2017-12-05 14:05,2017-12-06 14:05,2017-12-07 14:05,2017-12-08 14:05,2017-12-11 14:05,2017-12-12 14:05,2017-12-13 14:05,2017-12-14 14:05,2017-12-15 14:05,2017-12-18 14:05,2017-12-19 14:05,2017-12-20 14:05,2017-12-21 14:05,2017-12-22 14:05,2017-12-25 14:05,2017-12-26 14:05,2017-12-27 14:05,2017-12-28 14:05,2017-12-29 14:05,2018-01-01 14:05,2018-01-02 14:05,2018-01-03 14:05
YM open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,,,,,,,,,,,,,
YM close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 09:30,,,,,,,,,,,,,
YM trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 09:00,,,,,,,,,,,,,
