,20171130,20171201,20171204,20171205,20171206,20171207,20171208,20171211,20171212,20171213,20171214,20171215,20171218,20171219,20171220,20171221,20171222,20171225,20171226,20171227,20171228,20171229,20180101,20180102,20180103
EMD close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 09:30,,,,,,,,,,,,,
EMD trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 09:00,,,,,,,,,,,,,
ES open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,,,,,,,,,,,,,
ES close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 09:30,,,,,,,,,,,,,
ES trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 09:00,,,,,,,,,,,,,
GF open,2017-11-30 09:30,2017-12-01 09:30,2017-12-04 09:30,2017-12-05 09:30,2017-12-06 09:30,2017-12-07 09:30,2017-12-08 09:30,2017-12-11 09:30,2017-12-12 09:30,2017-12-13 09:30,2017-12-14 09:30,2017-12-15 09:30,2017-12-18 09:30,2017-12-19 09:30,2017-12-20 09:30,2017-12-21 09:30,2017-12-22 09:30,2017-12-25 09:30,2017-12-26 09:30,2017-12-27 09:30,2017-12-28 09:30,2017-12-29 09:30,2018-01-01 09:30,2018-01-02 09:30,2018-01-03 09:30
GF close,2017-11-30 14:05,2017-12-01 14:05,2017-12-04 14:05,2017-12-05 14:05,2017-12-06 14:05,2017-12-07 14:05,2017-12-08 14:05,2017-12-11 14:05,2017-12-12 14:05,2017-12-13 14:05,2017-12-14 14:05,2017-12-15 14:05,2017-12-18 14:05,2017-12-19 14:05,2017-12-20 14:05,2017-12-21 14:05,2017-12-22 14:05,2017-12-25 14:05,2017-12-26 14:05,2017-12-27 14:05,2017-12-28 14:05,2017-12-29 14:05,2018-01-01 14:05,2018-01-02 14:05,2018-01-03 14:05
GF trigger,2017-11-30 13:55,2017-12-01 13:55,2017-12-04 13:55,2017-12-05 13:55,2017-12-06 13:55,2017-12-07 13:55,2017-12-08 13:55,2017-12-11 13:55,2017-12-12 13:55,2017-12-13 13:55,2017-12-14 13:55,2017-12-15 13:55,2017-12-18 13:55,2017-12-19 13:55,2017-12-20 13:55,2017-12-21 13:55,2017-12-22 13:55,2017-12-25 13:55,2017-12-26 13:55,2017-12-27 13:55,2017-12-28 13:55,2017-12-29 13:55,2018-01-01 13:55,2018-01-02 13:55,2018-01-03 13:55
ZF open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
ZF close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
