,20161111,20161114
EMD open,11/10/2016 18:00,11/13/2016 18:00
EMD close,11/11/2016 17:00,11/14/2016 17:00
EMD trigger,11/11/2016 16:30,11/14/2016 16:30
YM open,11/10/2016 18:00,11/13/2016 18:00
YM close,11/11/2016 17:00,11/14/2016 17:00
YM trigger,11/11/2016 16:30,11/14/2016 16:30
HO open,11/10/2016 18:00,11/13/2016 18:00
HO close,11/11/2016 17:00,11/14/2016 17:00
HO trigger,11/11/2016 16:30,11/14/2016 16:30
GBP open,11/10/2016 18:00,11/13/2016 18:00
GBP close,11/11/2016 17:00,11/14/2016 17:00
GBP trigger,11/11/2016 16:30,11/14/2016 16:30
HG open,11/10/2016 18:00,11/13/2016 18:00
HG close,11/11/2016 17:00,11/14/2016 17:00
HG trigger,11/11/2016 16:30,11/14/2016 16:30
HE open,11/10/2016 9:30,11/13/2016 9:30
HE close,11/11/2016 14:05,11/14/2016 14:05
HE trigger,11/11/2016 13:35,11/14/2016 13:35
LE open,11/10/2016 9:30,11/13/2016 9:30
LE close,11/11/2016 14:05,11/14/2016 14:05
LE trigger,11/11/2016 13:35,11/14/2016 13:35
ZS open,11/10/2016 20:00,11/13/2016 20:00
ZS close,11/11/2016 14:20,11/14/2016 14:20
ZS trigger,11/11/2016 13:50,11/14/2016 13:50
NG open,11/10/2016 18:00,11/13/2016 18:00
NG close,11/11/2016 17:00,11/14/2016 17:00
NG trigger,11/11/2016 16:30,11/14/2016 16:30
PA open,11/10/2016 18:00,11/13/2016 18:00
PA close,11/11/2016 17:00,11/14/2016 17:00
PA trigger,11/11/2016 16:30,11/14/2016 16:30
RB open,11/10/2016 18:00,11/13/2016 18:00
RB close,11/11/2016 17:00,11/14/2016 17:00
RB trigger,11/11/2016 16:30,11/14/2016 16:30
NQ open,11/10/2016 18:00,11/13/2016 18:00
NQ close,11/11/2016 17:00,11/14/2016 17:00
NQ trigger,11/11/2016 16:30,11/14/2016 16:30
CAD open,11/10/2016 18:00,11/13/2016 18:00
CAD close,11/11/2016 17:00,11/14/2016 17:00
CAD trigger,11/11/2016 16:30,11/14/2016 16:30
PL open,11/10/2016 18:00,11/13/2016 18:00
PL close,11/11/2016 17:00,11/14/2016 17:00
PL trigger,11/11/2016 16:30,11/14/2016 16:30
ZL open,11/10/2016 20:00,11/13/2016 20:00
ZL close,11/11/2016 14:20,11/14/2016 14:20
ZL trigger,11/11/2016 13:50,11/14/2016 13:50
ZM open,11/10/2016 20:00,11/13/2016 20:00
ZM close,11/11/2016 14:20,11/14/2016 14:20
ZM trigger,11/11/2016 13:50,11/14/2016 13:50
ZN open,11/10/2016 18:00,11/13/2016 18:00
ZN close,11/11/2016 17:00,11/14/2016 17:00
ZN trigger,11/11/2016 16:30,11/14/2016 16:30
AUD open,11/10/2016 18:00,11/13/2016 18:00
AUD close,11/11/2016 17:00,11/14/2016 17:00
AUD trigger,11/11/2016 16:30,11/14/2016 16:30
CHF open,11/10/2016 18:00,11/13/2016 18:00
CHF close,11/11/2016 17:00,11/14/2016 17:00
CHF trigger,11/11/2016 16:30,11/14/2016 16:30
CL open,11/10/2016 18:00,11/13/2016 18:00
CL close,11/11/2016 17:00,11/14/2016 17:00
CL trigger,11/11/2016 16:30,11/14/2016 16:30
ZF open,11/10/2016 18:00,11/13/2016 18:00
ZF close,11/11/2016 17:00,11/14/2016 17:00
ZF trigger,11/11/2016 16:30,11/14/2016 16:30
ZB open,11/10/2016 18:00,11/13/2016 18:00
ZB close,11/11/2016 17:00,11/14/2016 17:00
ZB trigger,11/11/2016 16:30,11/14/2016 16:30
ZC open,11/10/2016 20:00,11/13/2016 20:00
ZC close,11/11/2016 14:20,11/14/2016 14:20
ZC trigger,11/11/2016 13:50,11/14/2016 13:50
GF open,11/10/2016 9:30,11/13/2016 9:30
GF close,11/11/2016 14:05,11/14/2016 14:05
GF trigger,11/11/2016 13:35,11/14/2016 13:35
GC open,11/10/2016 18:00,11/13/2016 18:00
GC close,11/11/2016 17:00,11/14/2016 17:00
GC trigger,11/11/2016 16:30,11/14/2016 16:30
NZD open,11/10/2016 18:00,11/13/2016 18:00
NZD close,11/11/2016 17:00,11/14/2016 17:00
NZD trigger,11/11/2016 16:30,11/14/2016 16:30
ZT open,11/10/2016 18:00,11/13/2016 18:00
ZT close,11/11/2016 17:00,11/14/2016 17:00
ZT trigger,11/11/2016 16:30,11/14/2016 16:30
ZW open,11/10/2016 20:00,11/13/2016 20:00
ZW close,11/11/2016 14:20,11/14/2016 14:20
ZW trigger,11/11/2016 13:50,11/14/2016 13:50
ES open,11/10/2016 18:00,11/13/2016 18:00
ES close,11/11/2016 17:00,11/14/2016 17:00
ES trigger,11/11/2016 16:30,11/14/2016 16:30
EUR open,11/10/2016 18:00,11/13/2016 18:00
EUR close,11/11/2016 17:00,11/14/2016 17:00
EUR trigger,11/11/2016 16:30,11/14/2016 16:30
MXP open,11/10/2016 18:00,11/13/2016 18:00
MXP close,11/11/2016 17:00,11/14/2016 17:00
MXP trigger,11/11/2016 16:30,11/14/2016 16:30
JPY open,11/10/2016 18:00,11/13/2016 18:00
JPY close,11/11/2016 17:00,11/14/2016 17:00
JPY trigger,11/11/2016 16:30,11/14/2016 16:30
SI open,11/10/2016 18:00,11/13/2016 18:00
SI close,11/11/2016 17:00,11/14/2016 17:00
SI trigger,11/11/2016 16:30,11/14/2016 16:30
NIY open,11/10/2016 18:00,11/13/2016 18:00
NIY close,11/11/2016 17:00,11/14/2016 17:00
NIY trigger,11/11/2016 16:30,11/14/2016 16:30
