Symbol,Currency,Type,Exchange,Pct,Cash
EUR,USD,CASH,IDEALPRO,0.00002,2
EUR,JPY,CASH,IDEALPRO,0.00002,2
GBP,USD,CASH,IDEALPRO,0.00002,2
USD,CHF,CASH,IDEALPRO,0.00002,2
USD,JPY,CASH,IDEALPRO,0.00002,2
AUD,USD,CASH,IDEALPRO,0.00002,2
USD,CAD,CASH,IDEALPRO,0.00002,2
BTC,USD,CASH,BITSTAMP,0.0025,0
bitstampUSD,USD,CASH,bitstampUSD,0.0025,0
bitfinexUSD,USD,CASH,bitfinexUSD,0.0025,0
