,signal,safef
AC,-1,0
AD,-1,0
AEX,-1,0
BO,-1,0
BP,-1,0
C,-1,0
CC,-1,0
CD,-1,0
CGB,1,0
CL,-1,0
CT,-1,0
CU,-1,0
DX,1,0
EBL,1,0
EBM,1,0
EBS,1,0
ED,1,0
EMD,-1,0
ES,-1,0
FC,-1,0
FCH,-1,0
FDX,-1,0
FEI,1,0
FFI,-1,0
FLG,1,0
FSS,1,0
FV,1,0
GC,1,0
HCM,-1,0
HG,-1,0
HIC,-1,0
HO,-1,0
JY,1,0
KC,-1,0
KW,-1,0
LB,-1,0
LC,-1,0
LCO,-1,0
LGO,-1,0
LH,-1,0
LRC,-1,0
LSU,-1,0
MEM,-1,0
MFX,-1,0
MP,-1,0
MW,-1,0
NE,-1,0
NG,-1,0
NIY,-1,0
NQ,-1,0
O,-1,0
OJ,-1,0
PA,-1,0
PL,1,0
RB,-1,0
RR,-1,0
RS,-1,0
S,-1,0
SB,-1,0
SF,-1,0
SI,1,0
SIN,-1,0
SJB,1,0
SM,-1,0
SMI,-1,0
SSG,-1,0
STW,-1,0
SXE,-1,0
TF,-1,0
TU,1,0
TY,1,0
US,1,0
VX,1,0
W,-1,0
YA,-1,0
YB,1,0
YM,-1,0
YT2,1,0
YT3,1,0
