Symbol,Currency,Type,Ask,Bid,Date
EUR,USD,CASH,1.1092,1.109,3/16/16 16:47
JPY,USD,CASH,0.0088,0.0088,3/16/16 16:47
GBP,USD,CASH,1.4105,1.4102,3/16/16 16:47
CHF,USD,CASH,1.0122,1.0117,3/16/16 16:47
CAD,USD,CASH,0.7474,0.7472,3/16/16 16:47
AUD,USD,CASH,0.7446,0.7445,3/16/16 16:47
