,signals,gainAhead
2006-09-29,0.0,0.0113340765515
2006-10-10,0.0,-0.00128605548411
2006-10-11,0.0,0.00864606328182
2006-10-12,1.0,0.00200620098486
2006-10-13,0.0,0.00182016745541
2006-10-16,0.0,-0.0030886627907
2006-10-17,0.0,0.000546746856206
2006-10-18,0.0,0.00127504553734
2006-10-19,0.0,0.000545752228488
2006-10-20,1.0,0.00418181818182
2006-10-23,1.0,0.00289697628101
2006-10-24,1.0,0.00324968405849
2006-10-25,1.0,0.00269929818247
2006-10-26,1.0,-0.00592246949031
2006-10-27,0.0,-0.0010832280195
2006-10-30,1.0,0.0
2006-10-31,1.0,-0.00741008494488
2006-11-01,1.0,-0.00127458120903
2006-11-02,1.0,-0.00200546946217
2006-11-03,1.0,0.0111435878699
2006-11-06,1.0,0.00379403794038
2006-11-07,1.0,0.00179985601152
2006-11-08,1.0,-0.00538986704995
2006-11-09,0.0,0.000541907514451
2006-11-10,1.0,0.00234699404225
2006-11-13,1.0,0.00702449567723
2006-11-14,1.0,0.00268288320515
2006-11-15,0.0,0.0024973242954
2006-11-16,0.0,-0.00017793594306
2006-11-17,0.0,0.00035593521979
2006-11-20,0.0,0.000711617149973
2006-11-21,0.0,0.0016
2006-11-22,0.0,-0.0177493787717
2006-11-27,0.0,0.00361402240694
2006-11-28,1.0,0.00990277277638
2006-11-29,0.0,0.000534854697807
2006-11-30,1.0,-0.00178189593728
2006-12-01,1.0,0.00731881470903
2006-12-04,1.0,0.00425305688464
2006-12-05,1.0,-0.00141168166578
2006-12-06,1.0,-0.00424103198445
2006-12-07,1.0,0.00958296362023
2006-12-08,1.0,0.00316400070311
2006-12-11,1.0,-0.00122656386893
2006-12-12,1.0,0.00105263157895
2006-12-13,1.0,0.00823694356817
2006-12-14,1.0,0.0
2006-12-15,1.0,-0.00243351294977
2006-12-18,1.0,0.00104547830633
2006-12-19,1.0,-0.000696257615318
2006-12-20,1.0,-0.00383208500261
2006-12-21,1.0,-0.00664451827243
2006-12-22,1.0,0.0117936982926
2006-12-27,0.0,-0.00226165622825
2006-12-28,1.0,-0.00366172624237
2006-12-29,1.0,-0.00070003500175
2007-01-04,1.0,-0.0077057793345
2007-01-05,1.0,0.00423579244617
2007-01-08,1.0,-0.00140597539543
2007-01-09,1.0,0.00281590989088
2007-01-10,1.0,0.004563004563
2007-01-11,1.0,0.00681341719078
2007-01-12,1.0,-0.00138816588582
2007-01-16,0.0,0.0
2007-01-17,0.0,-0.00382276281494
2007-01-18,0.0,0.002442002442
2007-01-19,0.0,-0.00400208804594
2007-01-22,1.0,0.00314465408805
2007-01-23,1.0,0.00748867990247
2007-01-24,1.0,-0.0117545375972
2007-01-25,0.0,-0.00122441840126
2007-01-26,1.0,-0.000875656742557
2007-01-29,1.0,0.00543382997371
2007-01-30,1.0,0.00627615062762
2007-01-31,1.0,0.00537075537076
2007-02-01,1.0,0.00155092193693
2007-02-02,1.0,0.000516173434274
2007-02-05,0.0,-0.000343938091144
2007-02-06,0.0,0.00172028212627
2007-02-07,0.0,-0.00120212948652
2007-02-08,1.0,-0.00756533700138
2007-02-09,0.0,-0.003465003465
2007-02-12,1.0,0.00799721835883
2007-02-13,0.0,0.00620903759917
2007-02-14,1.0,0.000685635927323
2007-02-15,1.0,-0.000342583076396
2007-02-16,0.0,-0.00445510623715
2007-02-26,1.0,-0.0394148020654
2007-02-27,1.0,0.00985486471958
2007-02-28,1.0,-0.0028388928318
2007-03-01,0.0,-0.0137010676157
2007-03-02,1.0,-0.00974201695833
2007-03-05,1.0,0.0169429768628
2007-03-06,0.0,-0.00161232533142
2007-03-07,1.0,0.0172259106406
2007-03-08,0.0,0.000176397953784
2007-03-09,1.0,0.00141093474427
2007-03-12,0.0,-0.0193730186685
2007-03-13,1.0,0.00700431034483
2007-03-14,1.0,0.00124843945069
2007-03-15,1.0,-0.00320627003919
2007-03-16,0.0,0.0119728377412
2007-03-19,1.0,0.00547413031962
2007-03-20,1.0,0.0151036178433
2007-03-21,1.0,0.0
2007-03-22,0.0,0.00138408304498
2007-03-23,0.0,-0.00120939875605
2007-03-26,0.0,-0.00328662861097
2007-03-27,0.0,-0.00763623741756
2007-03-28,1.0,0.00139909059112
2007-03-29,1.0,-0.000174641983933
2007-03-30,0.0,0.00139737991266
2007-04-02,1.0,0.00976800976801
2007-04-03,1.0,0.000863707030575
2007-04-04,1.0,0.00517777010701
2007-04-10,0.0,-0.0051510989011
2007-04-11,1.0,0.00483258543321
2007-04-12,1.0,0.00395053246307
2007-04-13,1.0,0.00975192472198
2007-04-16,0.0,0.00237207726195
2007-04-17,0.0,0.000845165652468
2007-04-18,0.0,0.0
2007-04-19,0.0,0.00861340989698
2007-04-20,1.0,-0.00318151373074
2007-04-23,0.0,0.000167982529817
2007-04-24,1.0,0.00822976150487
2007-04-25,1.0,0.00133266699983
2007-04-26,1.0,-0.000499085010814
2007-04-27,1.0,-0.0089880159787
2007-04-30,0.0,0.0159556600605
2007-05-08,1.0,0.00214911555629
2007-05-09,0.0,-0.0107225338172
2007-05-10,1.0,0.00867100216775
