Date,Close,High,Low,Open,Volume,index
20160314  07:00:00,0.75142,0.751445,0.74953,0.75025,0.0,
20160314  08:00:00,0.751215,0.75198,0.750605,0.75142,0.0,
20160314  09:00:00,0.74985,0.75143,0.74964,0.751215,0.0,
20160314  10:00:00,0.75055,0.750625,0.749215,0.74985,0.0,
20160314  11:00:00,0.75072,0.750935,0.750235,0.75055,0.0,
20160314  12:00:00,0.75143,0.7518,0.750645,0.75072,0.0,
20160314  13:00:00,0.750855,0.75139,0.75041,0.750925,0.0,
20160314  14:00:00,0.751415,0.751435,0.750505,0.750855,0.0,
20160314  15:00:00,0.751825,0.7519,0.751195,0.751415,0.0,
20160314  16:00:00,0.749245,0.75279,0.749145,0.751825,0.0,
20160314  17:00:00,0.74827,0.749705,0.74794,0.749245,0.0,
20160314  18:00:00,0.7486,0.749375,0.748165,0.74827,0.0,
20160314  19:00:00,0.749645,0.750065,0.7486,0.7486,0.0,
20160314  20:00:00,0.74893,0.74973,0.748375,0.749645,0.0,
20160314  21:00:00,0.749035,0.749145,0.74846,0.74893,0.0,
20160314  22:00:00,0.749115,0.749965,0.748595,0.749035,0.0,
20160314  23:00:00,0.74649,0.74943,0.746405,0.749115,0.0,
20160315  00:00:00,0.747095,0.748335,0.74639,0.74649,0.0,
20160315  01:00:00,0.746065,0.74822,0.74588,0.747095,0.0,
20160315  02:00:00,0.74541,0.746785,0.74541,0.746065,0.0,
20160315  03:00:00,0.74632,0.746685,0.745405,0.74541,0.0,
20160315  04:00:00,0.7461,0.746475,0.744505,0.74632,0.0,
20160315  05:00:00,0.746505,0.747705,0.745995,0.7461,0.0,
20160315  06:00:00,0.74557,0.747465,0.745175,0.746505,0.0,
20160315  07:00:00,0.74642,0.74689,0.74456,0.74557,0.0,
20160315  08:00:00,0.74539,0.74667,0.74509,0.74642,0.0,
20160315  09:00:00,0.74602,0.74619,0.74522,0.74539,0.0,
20160315  10:00:00,0.74502,0.74608,0.744585,0.74602,0.0,
20160315  11:00:00,0.745565,0.745845,0.744985,0.74502,0.0,
20160315  12:00:00,0.7457,0.745945,0.745435,0.745565,0.0,
20160315  13:00:00,0.74604,0.74627,0.745215,0.745225,0.0,
20160315  14:00:00,0.746625,0.746755,0.74587,0.74604,0.0,
20160315  15:00:00,0.74619,0.7468,0.746085,0.746625,0.0,
20160315  16:00:00,0.746615,0.74728,0.74573,0.74619,0.0,
20160315  17:00:00,0.74547,0.74676,0.74395,0.746615,0.0,
20160315  18:00:00,0.74567,0.74626,0.74488,0.74547,0.0,
20160315  19:00:00,0.745545,0.74594,0.745045,0.74567,0.0,
20160315  20:00:00,0.74521,0.746095,0.74518,0.745545,0.0,
20160315  21:00:00,0.746485,0.746655,0.745175,0.74521,0.0,
20160315  22:00:00,0.745895,0.746895,0.745365,0.746485,0.0,
20160315  23:00:00,0.74508,0.746205,0.74379,0.745895,0.0,
20160316  00:00:00,0.747425,0.74759,0.74478,0.74508,0.0,
20160316  01:00:00,0.74631,0.747615,0.745715,0.747425,0.0,
20160316  02:00:00,0.745715,0.74713,0.745485,0.74631,0.0,
20160316  03:00:00,0.74478,0.746405,0.744765,0.745715,0.0,
20160316  04:00:00,0.74236,0.74509,0.741465,0.74478,0.0,
20160316  05:00:00,0.742365,0.743395,0.741655,0.74236,0.0,
20160316  06:00:00,0.74306,0.74358,0.742155,0.742365,0.0,
20160316  07:00:00,0.743355,0.74433,0.742835,0.74306,0.0,
20160316  08:00:00,0.74355,0.7447,0.743065,0.743355,0.0,
20160316  09:00:00,0.743745,0.74433,0.74238,0.74355,0.0,
20160316  10:00:00,0.75295,0.75609,0.74368,0.743745,0.0,
20160316  11:00:00,0.755945,0.75596,0.752885,0.75295,0.0,
20160316  12:00:00,0.755285,0.75608,0.75519,0.755945,0.0,
20160317  13:00:00,0.763775,0.76461,0.763765,0.76405,0.0,
20160317  14:00:00,0.764415,0.764665,0.76375,0.763775,0.0,
20160317  15:00:00,0.76464,0.7659,0.764125,0.764415,0.0,
20160317  16:00:00,0.765135,0.765135,0.763335,0.76464,0.0,
20160317  17:00:00,0.766715,0.76807,0.76509,0.765135,0.0,
20160317  18:00:00,0.765295,0.767315,0.76499,0.766715,0.0,
20160317  19:00:00,0.765445,0.765995,0.76498,0.765295,0.0,
20160317  20:00:00,0.7646,0.765545,0.76385,0.765445,0.0,
20160317  21:00:00,0.763995,0.7646,0.76376,0.7646,0.0,
20160317  22:00:00,0.764155,0.766165,0.763875,0.763995,0.0,
20160317  23:00:00,0.763065,0.76448,0.76206,0.764155,0.0,
20160318  00:00:00,0.761625,0.76382,0.761375,0.763065,0.0,
20160318  01:00:00,0.762175,0.763365,0.761185,0.761625,0.0,
20160318  02:00:00,0.76276,0.76364,0.76176,0.762175,0.0,
20160318  03:00:00,0.762435,0.763675,0.76236,0.76276,0.0,
20160318  04:00:00,0.763075,0.76376,0.762135,0.762435,0.0,
20160318  05:00:00,0.7621,0.763255,0.76114,0.763075,0.0,
20160318  06:00:00,0.76164,0.76247,0.761135,0.7621,0.0,
20160318  07:00:00,0.76173,0.761975,0.760325,0.76164,0.0,
20160318  08:00:00,0.76096,0.76206,0.76086,0.76173,0.0,
20160318  09:00:00,0.76015,0.760965,0.759545,0.76096,0.0,
20160318  10:00:00,0.760225,0.76056,0.759545,0.76015,0.0,
20160318  11:00:00,0.75966,0.760335,0.75954,0.760225,0.0,
20160318  12:00:00,0.760775,0.7609,0.75962,0.75966,0.0,
