,Open,High,Low,Close,Volume
20160210  16:15:00,113.396,113.5435,113.396,113.543,-1.0
20160210  16:30:00,113.543,113.595,113.4725,113.5325,-1.0
20160210  17:00:00,113.5325,113.5595,113.431,113.489,-1.0
20160210  17:30:00,113.489,113.519,113.1885,113.245,-1.0
20160210  18:00:00,113.245,113.491,113.243,113.309,-1.0
20160210  18:30:00,113.309,113.368,112.6625,112.7985,-1.0
20160210  19:00:00,112.7985,112.82,112.5325,112.6705,-1.0
20160210  19:30:00,112.6705,112.897,112.661,112.8875,-1.0
20160210  20:00:00,112.8875,113.03,112.7595,112.805,-1.0
20160210  20:30:00,112.805,113.0385,112.787,112.958,-1.0
20160210  21:00:00,112.958,112.974,112.832,112.865,-1.0
20160210  21:30:00,112.865,112.8915,112.7815,112.805,-1.0
20160210  22:00:00,112.805,112.805,112.5835,112.726,-1.0
20160210  22:30:00,112.726,112.7575,112.548,112.6355,-1.0
20160210  23:00:00,112.6355,112.7475,112.611,112.683,-1.0
20160210  23:30:00,112.683,112.7765,112.6305,112.7225,-1.0
20160211  00:00:00,112.7225,112.7515,112.3225,112.3525,-1.0
20160211  00:30:00,112.3525,112.589,112.281,112.58,-1.0
20160211  01:00:00,112.58,112.763,112.4825,112.673,-1.0
20160211  01:30:00,112.673,112.7995,112.6175,112.7275,-1.0
20160211  02:00:00,112.7275,112.7325,111.5475,111.95,-1.0
20160211  02:30:00,111.95,111.9575,110.978,111.5725,-1.0
20160211  03:00:00,111.5725,111.5725,110.9845,111.324,-1.0
20160211  03:30:00,111.324,111.5235,111.1795,111.3375,-1.0
20160211  04:00:00,111.3375,111.4825,111.274,111.4555,-1.0
20160211  04:30:00,111.4555,111.8935,111.4265,111.7295,-1.0
20160211  05:00:00,111.7295,111.767,111.4895,111.5875,-1.0
20160211  05:30:00,111.5875,111.626,111.301,111.308,-1.0
20160211  06:00:00,111.308,113.204,111.1105,112.2575,-1.0
20160211  06:30:00,112.2575,112.385,111.8815,112.1975,-1.0
20160211  07:00:00,112.1975,112.296,112.07,112.2235,-1.0
20160211  07:30:00,112.2235,112.6885,112.221,112.4235,-1.0
20160211  08:00:00,112.4235,112.6535,112.1755,112.268,-1.0
20160211  08:30:00,112.268,112.5595,112.2145,112.5145,-1.0
20160211  09:00:00,112.5145,112.5575,112.1715,112.18,-1.0
20160211  09:30:00,112.18,112.227,111.757,111.8795,-1.0
20160211  10:00:00,111.8795,112.255,111.8125,112.0835,-1.0
20160211  10:30:00,112.0835,112.104,111.576,111.7095,-1.0
20160211  11:00:00,111.7095,111.9875,111.7085,111.9245,-1.0
20160211  11:30:00,111.9245,112.0545,111.7805,112.0495,-1.0
20160211  12:00:00,112.0495,112.295,112.0095,112.1045,-1.0
20160211  12:30:00,112.1045,112.1535,111.9385,112.0515,-1.0
20160211  13:00:00,112.0515,112.171,111.9715,111.9765,-1.0
20160211  13:30:00,111.9765,112.5825,111.8335,112.3805,-1.0
20160211  14:00:00,112.3805,112.383,112.1175,112.2965,-1.0
20160211  14:30:00,112.2965,112.5225,112.274,112.3475,-1.0
20160211  15:00:00,112.3475,112.4975,112.291,112.424,-1.0
20160211  15:30:00,112.424,112.4535,112.344,112.4255,-1.0
20160211  16:15:00,112.395,112.4775,112.3705,112.4745,-1.0
20160211  16:30:00,112.4745,112.655,112.4675,112.5625,-1.0
20160211  17:00:00,112.5625,112.571,112.3795,112.453,-1.0
20160211  17:30:00,112.453,112.587,112.399,112.491,-1.0
20160211  18:00:00,112.491,112.5085,111.901,112.2775,-1.0
20160211  18:30:00,112.2775,112.5995,112.2245,112.433,-1.0
20160211  19:00:00,112.433,112.434,112.176,112.224,-1.0
20160211  19:30:00,112.224,112.5195,112.194,112.4865,-1.0
20160211  20:00:00,112.4865,112.4865,112.082,112.189,-1.0
20160211  20:30:00,112.189,112.2825,112.1435,112.268,-1.0
20160211  21:00:00,112.268,112.473,112.2595,112.3665,-1.0
20160211  21:30:00,112.3665,113.0175,112.3515,112.9635,-1.0
20160211  22:00:00,112.9635,112.9645,112.5355,112.661,-1.0
20160211  22:30:00,112.661,112.862,112.6185,112.7185,-1.0
20160211  23:00:00,112.7185,112.8235,112.441,112.4815,-1.0
20160211  23:30:00,112.4815,112.625,112.328,112.4375,-1.0
20160212  00:00:00,112.4375,112.4685,111.945,112.206,-1.0
20160212  00:30:00,112.206,112.266,111.6595,111.8065,-1.0
20160212  01:00:00,111.8065,112.2565,111.766,112.1305,-1.0
20160212  01:30:00,112.1305,112.24,111.984,112.1685,-1.0
20160212  02:00:00,112.1685,112.8085,112.087,112.423,-1.0
20160212  02:30:00,112.423,112.6385,112.3675,112.6085,-1.0
20160212  03:00:00,112.6085,112.689,112.473,112.4935,-1.0
20160212  03:30:00,112.4935,112.666,112.4095,112.493,-1.0
20160212  04:00:00,112.493,112.6445,112.446,112.5375,-1.0
20160212  04:30:00,112.5375,112.599,112.4915,112.5305,-1.0
20160212  05:00:00,112.5305,112.594,112.3865,112.4565,-1.0
20160212  05:30:00,112.4565,112.628,112.4475,112.5795,-1.0
20160212  06:00:00,112.5795,112.739,112.555,112.6545,-1.0
20160212  06:30:00,112.6545,112.8645,112.6525,112.727,-1.0
20160212  07:00:00,112.727,112.8095,112.635,112.781,-1.0
20160212  07:30:00,112.781,113.168,112.7685,112.8905,-1.0
20160212  08:00:00,112.8905,112.9715,112.7295,112.9075,-1.0
20160212  08:30:00,112.9075,113.031,112.7105,112.811,-1.0
20160212  09:00:00,112.811,112.955,112.592,112.8995,-1.0
20160212  09:30:00,112.8995,112.9915,112.698,112.7115,-1.0
20160212  10:00:00,112.7115,113.0055,112.708,112.986,-1.0
20160212  10:30:00,112.986,113.109,112.9355,112.9685,-1.0
20160212  11:00:00,112.9685,113.1155,112.9405,113.1055,-1.0
20160212  11:30:00,113.1055,113.2405,113.0355,113.214,-1.0
20160212  12:00:00,113.214,113.416,113.207,113.386,-1.0
20160212  12:30:00,113.386,113.4875,113.382,113.419,-1.0
20160212  13:00:00,113.419,113.542,113.3975,113.449,-1.0
20160212  13:30:00,113.449,113.482,113.2295,113.2495,-1.0
20160212  14:00:00,113.2495,113.371,113.2315,113.3095,-1.0
20160212  14:30:00,113.3095,113.358,113.2485,113.2995,-1.0
20160212  15:00:00,113.2995,113.312,113.2385,113.2775,-1.0
20160212  15:30:00,113.2775,113.307,113.186,113.22,-1.0
20160214  16:15:00,113.3725,113.379,113.3225,113.355,-1.0
20160214  16:30:00,113.355,113.601,113.3415,113.538,-1.0
20160214  17:00:00,113.538,113.6995,113.5325,113.607,-1.0
20160214  17:30:00,113.607,113.7105,113.554,113.6795,-1.0
20160214  18:00:00,113.6795,113.68,113.347,113.437,-1.0
20160214  18:30:00,113.437,113.566,113.2735,113.2765,-1.0
20160214  19:00:00,113.2765,113.5665,113.2765,113.4385,-1.0
20160214  19:30:00,113.4385,113.688,113.3915,113.6155,-1.0
20160214  20:00:00,113.6155,113.7285,113.4675,113.683,-1.0
20160214  20:30:00,113.683,113.8325,113.618,113.8095,-1.0
20160214  21:00:00,113.8095,113.869,113.756,113.776,-1.0
20160214  21:30:00,113.776,113.949,113.7505,113.934,-1.0
20160214  22:00:00,113.934,113.9785,113.8685,113.978,-1.0
20160214  22:30:00,113.978,113.989,113.8325,113.891,-1.0
20160214  23:00:00,113.891,113.9835,113.891,113.9645,-1.0
20160214  23:30:00,113.9645,114.009,113.883,113.9125,-1.0
20160215  00:00:00,113.9125,114.1005,113.8115,113.8845,-1.0
20160215  00:30:00,113.8845,113.995,113.8395,113.8725,-1.0
20160215  01:00:00,113.8725,113.9595,113.836,113.8925,-1.0
20160215  01:30:00,113.8925,113.909,113.6815,113.768,-1.0
20160215  02:00:00,113.768,113.857,113.602,113.787,-1.0
20160215  02:30:00,113.787,113.9415,113.7855,113.8045,-1.0
20160215  03:00:00,113.8045,113.944,113.725,113.92,-1.0
20160215  03:30:00,113.92,113.979,113.8835,113.927,-1.0
20160215  04:00:00,113.927,114.0075,113.902,113.969,-1.0
20160215  04:30:00,113.969,113.973,113.916,113.939,-1.0
20160215  05:00:00,113.939,114.0065,113.912,113.923,-1.0
20160215  05:30:00,113.923,113.999,113.886,113.9845,-1.0
20160215  06:00:00,113.9845,114.093,113.9445,114.07,-1.0
20160215  06:30:00,114.07,114.1525,114.0295,114.1415,-1.0
20160215  07:00:00,114.1415,114.152,114.0525,114.1135,-1.0
20160215  07:30:00,114.1135,114.2015,114.108,114.184,-1.0
20160215  08:00:00,114.184,114.2355,114.1385,114.2025,-1.0
20160215  08:30:00,114.2025,114.386,114.1105,114.3625,-1.0
20160215  09:00:00,114.3625,114.484,114.3185,114.449,-1.0
20160215  09:30:00,114.449,114.5635,114.3865,114.4935,-1.0
20160215  10:00:00,114.4935,114.6205,114.483,114.599,-1.0
20160215  10:30:00,114.599,114.679,114.5455,114.67,-1.0
20160215  11:00:00,114.67,114.7225,114.639,114.667,-1.0
20160215  11:30:00,114.667,114.708,114.631,114.66,-1.0
20160215  12:00:00,114.66,114.6655,114.5285,114.5755,-1.0
20160215  12:30:00,114.5755,114.6275,114.5645,114.6255,-1.0
20160215  13:00:00,114.6255,114.692,114.621,114.6835,-1.0
20160215  13:30:00,114.6835,114.7115,114.6725,114.701,-1.0
20160215  14:00:00,114.701,114.733,114.662,114.665,-1.0
20160215  14:30:00,114.665,114.6755,114.581,114.582,-1.0
20160215  15:00:00,114.582,114.6,114.5525,114.6,-1.0
20160215  15:30:00,114.6,114.6205,114.559,114.6055,-1.0
20160215  16:15:00,114.6025,114.6205,114.579,114.5945,-1.0
20160215  16:30:00,114.5945,114.6355,114.444,114.454,-1.0
20160215  17:00:00,114.454,114.5305,114.409,114.4725,-1.0
20160215  17:30:00,114.4725,114.4865,114.314,114.3535,-1.0
20160215  18:00:00,114.3535,114.508,114.292,114.5015,-1.0
20160215  18:30:00,114.5015,114.7295,114.486,114.671,-1.0
20160215  19:00:00,114.671,114.7595,114.5155,114.624,-1.0
20160215  19:30:00,114.624,114.672,114.524,114.5615,-1.0
20160215  20:00:00,114.5615,114.6635,114.5305,114.6525,-1.0
20160215  20:30:00,114.6525,114.765,114.611,114.6585,-1.0
20160215  21:00:00,114.6585,114.7975,114.6545,114.797,-1.0
20160215  21:30:00,114.797,114.871,114.776,114.868,-1.0
20160215  22:00:00,114.868,114.8765,114.7945,114.8105,-1.0
20160215  22:30:00,114.8105,114.8235,114.636,114.782,-1.0
20160215  23:00:00,114.782,114.801,114.7185,114.789,-1.0
20160215  23:30:00,114.789,114.7895,114.539,114.5805,-1.0
20160216  00:00:00,114.5805,114.628,114.5025,114.585,-1.0
20160216  00:30:00,114.585,114.6165,114.502,114.5995,-1.0
20160216  01:00:00,114.5995,114.602,114.3245,114.4695,-1.0
20160216  01:30:00,114.4695,114.499,114.367,114.499,-1.0
20160216  02:00:00,114.499,114.503,114.2405,114.379,-1.0
20160216  02:30:00,114.379,114.4365,114.326,114.3745,-1.0
20160216  03:00:00,114.3745,114.3765,113.853,114.0835,-1.0
20160216  03:30:00,114.0835,114.175,113.823,113.9225,-1.0
20160216  04:00:00,113.9225,113.929,113.733,113.831,-1.0
20160216  04:30:00,113.831,113.838,113.6475,113.7515,-1.0
20160216  05:00:00,113.7515,113.9025,113.738,113.875,-1.0
20160216  05:30:00,113.875,114.071,113.8265,114.0625,-1.0
20160216  06:00:00,114.0625,114.1095,113.8915,113.9625,-1.0
20160216  06:30:00,113.9625,113.9985,113.8385,113.84,-1.0
20160216  07:00:00,113.84,113.866,113.642,113.826,-1.0
20160216  07:30:00,113.826,113.913,113.7325,113.877,-1.0
20160216  08:00:00,113.877,113.9335,113.81,113.8215,-1.0
20160216  08:30:00,113.8215,114.132,113.809,113.9655,-1.0
20160216  09:00:00,113.9655,114.0885,113.77,113.8545,-1.0
20160216  09:30:00,113.8545,113.994,113.7875,113.815,-1.0
20160216  10:00:00,113.815,113.859,113.596,113.758,-1.0
20160216  10:30:00,113.758,113.9345,113.7465,113.9165,-1.0
20160216  11:00:00,113.9165,113.9735,113.8475,113.9145,-1.0
20160216  11:30:00,113.9145,113.927,113.821,113.897,-1.0
20160216  12:00:00,113.897,113.9905,113.8625,113.9705,-1.0
20160216  12:30:00,113.9705,113.976,113.9125,113.9225,-1.0
20160216  13:00:00,113.9225,113.935,113.868,113.908,-1.0
20160216  13:30:00,113.908,113.938,113.8575,113.8715,-1.0
20160216  14:00:00,113.8715,113.92,113.864,113.9115,-1.0
20160216  14:30:00,113.9115,113.9675,113.846,113.96,-1.0
20160216  15:00:00,113.96,114.0715,113.9385,114.054,-1.0
20160216  15:30:00,114.054,114.1055,114.0045,114.077,-1.0
20160216  16:15:00,114.0655,114.08,114.044,114.0555,-1.0
20160216  16:30:00,114.0555,114.2295,114.0455,114.2285,-1.0
20160216  17:00:00,114.2285,114.2395,114.1365,114.1415,-1.0
20160216  17:30:00,114.1415,114.143,114.0535,114.1375,-1.0
20160216  18:00:00,114.1375,114.3375,114.094,114.2455,-1.0
20160216  18:30:00,114.2455,114.3965,114.2215,114.305,-1.0
20160216  19:00:00,114.305,114.312,113.92,113.9765,-1.0
20160216  19:30:00,113.9765,114.0775,113.871,114.0535,-1.0
20160216  20:00:00,114.0535,114.1355,113.951,114.0505,-1.0
20160216  20:30:00,114.0505,114.0925,113.9885,114.0305,-1.0
20160216  21:00:00,114.0305,114.0565,113.8565,113.888,-1.0
20160216  21:30:00,113.888,113.939,113.7175,113.7185,-1.0
20160216  22:00:00,113.7185,113.8325,113.64,113.6915,-1.0
20160216  22:30:00,113.6915,113.807,113.5935,113.708,-1.0
20160216  23:00:00,113.708,113.798,113.6765,113.707,-1.0
20160216  23:30:00,113.707,113.9405,113.674,113.8635,-1.0
20160217  00:00:00,113.8635,113.887,113.674,113.7435,-1.0
20160217  00:30:00,113.7435,113.8165,113.6765,113.691,-1.0
20160217  01:00:00,113.691,113.756,113.376,113.5035,-1.0
20160217  01:30:00,113.5035,113.5645,113.4165,113.471,-1.0
20160217  02:00:00,113.471,113.7695,113.4665,113.6775,-1.0
20160217  02:30:00,113.6775,113.897,113.654,113.8535,-1.0
20160217  03:00:00,113.8535,114.0005,113.7985,113.9195,-1.0
20160217  03:30:00,113.9195,114.1345,113.9145,114.0815,-1.0
20160217  04:00:00,114.0815,114.277,113.9975,114.24,-1.0
20160217  04:30:00,114.24,114.2995,114.111,114.117,-1.0
20160217  05:00:00,114.117,114.1465,114.0095,114.0175,-1.0
20160217  05:30:00,114.0175,114.1615,114.0145,114.135,-1.0
20160217  06:00:00,114.135,114.1365,113.968,114.0395,-1.0
20160217  06:30:00,114.0395,114.1855,114.029,114.1755,-1.0
20160217  07:00:00,114.1755,114.245,114.107,114.167,-1.0
20160217  07:30:00,114.167,114.3445,114.164,114.1885,-1.0
20160217  08:00:00,114.1885,114.3665,114.1885,114.238,-1.0
20160217  08:30:00,114.238,114.301,114.1465,114.2445,-1.0
20160217  09:00:00,114.2445,114.4995,114.1995,114.4995,-1.0
20160217  09:30:00,114.4995,114.5065,114.2595,114.277,-1.0
20160217  10:00:00,114.277,114.352,114.226,114.332,-1.0
20160217  10:30:00,114.332,114.3395,114.122,114.1465,-1.0
20160217  11:00:00,114.1465,114.1925,114.0415,114.175,-1.0
20160217  11:30:00,114.175,114.2415,114.1555,114.224,-1.0
20160217  12:00:00,114.224,114.302,114.177,114.257,-1.0
20160217  12:30:00,114.257,114.2665,113.9945,114.082,-1.0
20160217  13:00:00,114.082,114.2265,113.8345,114.034,-1.0
20160217  13:30:00,114.034,114.1105,113.7485,113.7595,-1.0
20160217  14:00:00,113.7595,113.8775,113.7455,113.8145,-1.0
20160217  14:30:00,113.8145,113.8905,113.7635,113.815,-1.0
20160217  15:00:00,113.815,114.0175,113.8045,113.9945,-1.0
20160217  15:30:00,113.9945,114.104,113.9825,114.102,-1.0
20160217  16:15:00,114.0945,114.1405,114.09,114.1245,-1.0
20160217  16:30:00,114.1245,114.141,114.046,114.103,-1.0
20160217  17:00:00,114.103,114.2695,114.0745,114.268,-1.0
20160217  17:30:00,114.268,114.325,114.2465,114.2945,-1.0
20160217  18:00:00,114.2945,114.3225,114.1265,114.132,-1.0
20160217  18:30:00,114.132,114.213,113.924,113.9695,-1.0
20160217  19:00:00,113.9695,114.059,113.8325,114.031,-1.0
20160217  19:30:00,114.031,114.032,113.8305,113.921,-1.0
20160217  20:00:00,113.921,113.921,113.797,113.8475,-1.0
20160217  20:30:00,113.8475,114.009,113.842,113.9725,-1.0
20160217  21:00:00,113.9725,114.0115,113.921,113.976,-1.0
20160217  21:30:00,113.976,114.0585,113.909,113.9355,-1.0
20160217  22:00:00,113.9355,114.033,113.8975,113.947,-1.0
20160217  22:30:00,113.947,114.009,113.9025,113.9875,-1.0
20160217  23:00:00,113.9875,114.109,113.9405,114.0795,-1.0
20160217  23:30:00,114.0795,114.083,113.875,113.9005,-1.0
20160218  00:00:00,113.9005,113.9615,113.8445,113.8525,-1.0
20160218  00:30:00,113.8525,113.869,113.7965,113.818,-1.0
20160218  01:00:00,113.818,114.023,113.7525,113.9085,-1.0
