Date,Close,High,Low,Open,Volume,index
20160309  12:00:00,161.124,161.1945,161.091,161.1825,0.0,
20160309  12:30:00,161.05,161.141,160.958,161.124,0.0,
20160309  13:00:00,161.003,161.1325,160.9995,161.05,0.0,
20160309  13:30:00,160.8665,161.0375,160.805,161.003,0.0,
20160309  14:00:00,160.7665,160.931,160.759,160.8665,0.0,
20160309  14:30:00,160.933,160.992,160.7315,160.7665,0.0,
20160309  15:00:00,161.1795,161.2335,160.894,160.933,0.0,
20160309  15:30:00,161.313,161.4395,161.144,161.1795,0.0,
20160309  16:00:00,161.192,161.35,161.1795,161.313,0.0,
20160309  16:30:00,161.277,161.2955,161.138,161.192,0.0,
20160309  17:00:00,161.276,161.3395,161.2525,161.277,0.0,
20160309  17:30:00,161.4915,161.556,161.274,161.276,0.0,
20160309  18:00:00,161.54,161.5825,161.459,161.4915,0.0,
20160309  18:30:00,161.505,161.5675,161.43,161.54,0.0,
20160309  19:00:00,161.481,161.516,161.368,161.505,0.0,
20160309  19:30:00,161.531,161.5415,161.4105,161.481,0.0,
20160309  20:00:00,161.517,161.5755,161.374,161.531,0.0,
20160309  20:30:00,161.3425,161.5195,161.3295,161.517,0.0,
20160309  21:00:00,161.102,161.444,160.951,161.3425,0.0,
20160309  21:30:00,161.3065,161.3085,161.0795,161.102,0.0,
20160309  22:00:00,161.458,161.543,161.002,161.3065,0.0,
20160309  22:30:00,161.235,161.6505,161.2145,161.458,0.0,
20160309  23:00:00,161.172,161.4405,161.0145,161.235,0.0,
20160309  23:30:00,161.0805,161.1725,160.884,161.172,0.0,
20160310  00:00:00,161.375,161.376,161.0515,161.0805,0.0,
20160310  00:30:00,161.49,161.495,161.2075,161.375,0.0,
20160310  01:00:00,161.474,161.572,161.3395,161.49,0.0,
20160310  01:30:00,161.363,161.5375,161.2605,161.474,0.0,
20160310  02:00:00,161.418,161.5655,161.3345,161.363,0.0,
20160310  02:30:00,161.5955,161.7045,161.015,161.418,0.0,
20160310  03:00:00,161.5025,161.8325,161.331,161.5955,0.0,
20160310  03:30:00,161.602,161.9235,161.3565,161.5025,0.0,
20160310  04:00:00,161.5675,161.9935,161.5675,161.602,0.0,
20160310  04:30:00,162.1895,162.195,161.4095,161.5675,0.0,
20160310  05:00:00,162.2315,162.893,162.1885,162.1895,0.0,
20160310  05:30:00,162.2095,162.4155,161.9485,162.2315,0.0,
20160310  06:00:00,161.8765,162.326,161.6355,162.2095,0.0,
20160310  06:30:00,161.7905,161.9015,161.531,161.8765,0.0,
20160310  07:00:00,161.528,161.958,161.4415,161.7905,0.0,
20160310  07:30:00,161.2145,161.6015,160.9755,161.528,0.0,
20160310  08:00:00,161.1765,161.2955,161.078,161.2145,0.0,
20160310  08:30:00,161.286,161.3015,161.071,161.1765,0.0,
20160310  09:00:00,161.366,161.391,161.1435,161.286,0.0,
20160310  09:30:00,161.513,161.628,161.3345,161.366,0.0,
20160310  10:00:00,161.768,161.7845,161.5025,161.513,0.0,
20160310  10:30:00,161.6025,161.8015,161.5675,161.768,0.0,
20160310  11:00:00,161.5785,161.7065,161.5215,161.6025,0.0,
20160310  11:30:00,161.639,161.7195,161.5495,161.5785,0.0,
20160310  12:00:00,161.6855,161.7855,161.648,161.657,0.0,
20160310  12:30:00,161.667,161.7285,161.5775,161.6855,0.0,
20160310  13:00:00,161.434,161.675,161.433,161.667,0.0,
20160310  13:30:00,161.205,161.4445,161.153,161.434,0.0,
20160310  14:00:00,161.663,161.6675,161.0635,161.205,0.0,
20160310  14:30:00,161.6685,161.835,161.3965,161.663,0.0,
20160310  15:00:00,161.4625,161.6895,161.427,161.6685,0.0,
20160310  15:30:00,161.699,161.7485,161.3815,161.4625,0.0,
20160310  16:00:00,161.496,161.7365,161.4215,161.699,0.0,
20160310  16:30:00,161.5335,161.5895,161.3855,161.496,0.0,
20160310  17:00:00,161.712,161.7535,161.4735,161.5335,0.0,
20160310  17:30:00,162.0165,162.0405,161.6695,161.712,0.0,
20160310  18:00:00,162.12,162.1345,161.9475,162.0165,0.0,
20160310  18:30:00,162.0365,162.1655,162.0295,162.12,0.0,
20160310  19:00:00,162.023,162.06,161.9095,162.0365,0.0,
20160310  19:30:00,161.9115,162.028,161.7865,162.023,0.0,
20160310  20:00:00,161.9535,162.0195,161.9075,161.9115,0.0,
20160310  20:30:00,162.024,162.116,161.938,161.9535,0.0,
20160310  21:00:00,162.269,162.3475,161.932,162.024,0.0,
20160310  21:30:00,162.178,162.421,162.15,162.269,0.0,
20160310  22:00:00,162.307,162.448,162.1505,162.178,0.0,
20160310  22:30:00,162.224,162.429,162.1115,162.307,0.0,
20160310  23:00:00,162.5145,162.547,162.222,162.224,0.0,
20160310  23:30:00,162.5245,162.763,162.4155,162.5145,0.0,
20160311  00:00:00,162.826,162.876,162.5225,162.5245,0.0,
20160311  00:30:00,162.58,162.8885,162.5235,162.826,0.0,
20160311  01:00:00,162.6525,162.836,162.57,162.58,0.0,
20160311  01:30:00,162.693,162.791,162.564,162.6525,0.0,
20160311  02:00:00,162.6215,162.7285,162.596,162.693,0.0,
20160311  02:30:00,162.6755,162.6755,162.4655,162.6215,0.0,
20160311  03:00:00,162.4195,162.725,162.4065,162.6755,0.0,
20160311  03:30:00,162.3145,162.4445,162.234,162.4195,0.0,
20160311  04:00:00,162.5685,162.5735,162.236,162.3145,0.0,
20160311  04:30:00,162.7055,162.953,162.5185,162.5685,0.0,
20160311  05:00:00,163.092,163.1115,162.5985,162.7055,0.0,
20160311  05:30:00,163.3905,163.392,163.01,163.092,0.0,
20160311  06:00:00,163.708,163.7205,163.3165,163.3905,0.0,
20160311  06:30:00,163.948,164.1045,163.538,163.708,0.0,
20160311  07:00:00,163.8515,164.0105,163.7375,163.948,0.0,
20160311  07:30:00,163.796,163.9225,163.6825,163.8515,0.0,
20160311  08:00:00,163.5935,163.848,163.581,163.796,0.0,
20160311  08:30:00,163.5165,163.6555,163.5015,163.5935,0.0,
20160311  09:00:00,163.583,163.6885,163.4585,163.5165,0.0,
20160311  09:30:00,163.5935,163.6225,163.5205,163.583,0.0,
20160311  10:00:00,163.6235,163.721,163.542,163.5935,0.0,
20160311  10:30:00,163.5795,163.7075,163.5285,163.6235,0.0,
20160311  11:00:00,163.683,163.713,163.5495,163.5795,0.0,
20160311  11:30:00,163.7445,163.7935,163.5965,163.683,0.0,
20160313  13:00:00,163.8335,163.8645,163.7275,163.8475,0.0,
20160313  13:30:00,163.7955,163.837,163.6865,163.8335,0.0,
20160313  14:00:00,163.6395,163.819,163.598,163.7955,0.0,
20160313  14:30:00,163.4815,163.6455,163.426,163.6395,0.0,
20160313  15:00:00,163.426,163.5865,163.4225,163.4815,0.0,
20160313  15:30:00,163.5925,163.625,163.37,163.426,0.0,
20160313  16:00:00,163.596,163.6875,163.526,163.5925,0.0,
20160313  16:30:00,163.825,163.834,163.543,163.596,0.0,
