Date,Close,High,Low,Open,Volume,index
20160308  12:00:00,0.74353,0.743835,0.74336,0.74342,0.0,
20160308  12:30:00,0.742475,0.74353,0.74218,0.74353,0.0,
20160308  13:00:00,0.74304,0.743145,0.742415,0.742475,0.0,
20160308  13:30:00,0.74333,0.74345,0.742745,0.74304,0.0,
20160308  14:00:00,0.74259,0.74347,0.74247,0.74333,0.0,
20160308  14:30:00,0.74283,0.74303,0.742345,0.74259,0.0,
20160308  15:00:00,0.7418,0.74322,0.741785,0.74283,0.0,
20160308  15:30:00,0.74153,0.742035,0.741235,0.7418,0.0,
20160308  16:00:00,0.742005,0.742225,0.741485,0.74153,0.0,
20160308  16:30:00,0.741725,0.74208,0.741275,0.742005,0.0,
20160308  17:00:00,0.741915,0.742495,0.741645,0.741725,0.0,
20160308  17:30:00,0.742235,0.74239,0.74156,0.741915,0.0,
20160308  18:00:00,0.742245,0.74254,0.74219,0.742235,0.0,
20160308  18:30:00,0.7427,0.742885,0.74211,0.742245,0.0,
20160308  19:00:00,0.74345,0.74362,0.742615,0.7427,0.0,
20160308  19:30:00,0.743055,0.74353,0.743005,0.74345,0.0,
20160308  20:00:00,0.74315,0.743155,0.74228,0.743055,0.0,
20160308  20:30:00,0.742775,0.74324,0.742465,0.74315,0.0,
20160308  21:00:00,0.74319,0.74397,0.742775,0.742775,0.0,
20160308  21:30:00,0.7436,0.74382,0.743075,0.74319,0.0,
20160308  22:00:00,0.745005,0.745145,0.74321,0.7436,0.0,
20160308  22:30:00,0.745495,0.74619,0.744935,0.745005,0.0,
20160308  23:00:00,0.74801,0.748145,0.74548,0.745495,0.0,
20160308  23:30:00,0.747775,0.748795,0.747405,0.74801,0.0,
20160309  00:00:00,0.749075,0.74947,0.746895,0.747775,0.0,
20160309  00:30:00,0.74921,0.749365,0.748195,0.749075,0.0,
20160309  01:00:00,0.74862,0.749475,0.748415,0.74921,0.0,
20160309  01:30:00,0.748225,0.74907,0.74799,0.74862,0.0,
20160309  02:00:00,0.748345,0.749875,0.748225,0.748225,0.0,
20160309  02:30:00,0.748675,0.74943,0.747885,0.748345,0.0,
20160309  03:00:00,0.74768,0.74942,0.74768,0.748675,0.0,
20160309  03:30:00,0.747725,0.748035,0.746675,0.74768,0.0,
20160309  04:00:00,0.747705,0.748665,0.747485,0.747725,0.0,
20160309  04:30:00,0.74971,0.749975,0.747445,0.747705,0.0,
20160309  05:00:00,0.74962,0.751145,0.749305,0.74971,0.0,
20160309  05:30:00,0.750395,0.75098,0.749105,0.74962,0.0,
20160309  06:00:00,0.752325,0.752815,0.750295,0.750395,0.0,
20160309  06:30:00,0.752735,0.75279,0.751715,0.752325,0.0,
20160309  07:00:00,0.752045,0.75276,0.751785,0.752735,0.0,
20160309  07:30:00,0.751245,0.752215,0.75109,0.752045,0.0,
20160309  08:00:00,0.750855,0.75139,0.750855,0.751245,0.0,
20160309  08:30:00,0.751195,0.751625,0.75082,0.750855,0.0,
20160309  09:00:00,0.75114,0.751205,0.75036,0.751195,0.0,
20160309  09:30:00,0.751395,0.751645,0.750095,0.75114,0.0,
20160309  10:00:00,0.74805,0.751745,0.748015,0.751395,0.0,
20160309  10:30:00,0.748625,0.749135,0.747935,0.74805,0.0,
20160309  11:00:00,0.74836,0.74882,0.748185,0.748625,0.0,
